"y","x","cluster_id"
20,9,153
20,10,153
20,12,153
20,34,153
21,9,153
21,10,153
21,11,153
21,12,153
21,36,153
21,40,153
21,45,153
21,49,153
21,52,153
22,35,153
22,46,153
22,47,153
22,48,153
22,49,153
22,50,153
22,51,153
22,52,153
23,42,153
23,44,153
23,45,153
23,50,153
23,51,153
23,52,153
23,57,153
24,23,153
24,39,153
24,41,153
24,42,153
24,50,153
24,51,153
24,52,153
24,53,153
24,56,153
24,57,153
25,23,153
25,36,153
25,38,153
25,40,153
25,41,153
25,42,153
25,43,153
25,46,153
25,47,153
25,48,153
25,51,153
25,52,153
25,54,153
25,58,153
25,60,153
25,63,153
25,64,153
26,35,153
26,40,153
26,41,153
26,43,153
26,46,153
26,51,153
26,52,153
26,54,153
26,56,153
26,63,153
26,64,153
27,36,153
27,41,153
27,42,153
27,43,153
27,46,153
27,47,153
27,48,153
27,51,153
27,52,153
27,53,153
27,54,153
27,55,153
27,57,153
27,61,153
27,65,153
27,66,153
27,69,246
28,39,153
28,43,153
28,47,153
28,48,153
28,51,153
28,52,153
28,55,153
28,60,153
28,65,153
28,66,153
28,70,246
29,26,153
29,27,153
29,40,153
29,41,153
29,44,153
29,45,153
29,46,153
29,47,153
29,50,153
29,51,153
29,52,153
29,54,153
29,55,153
29,56,153
29,60,153
29,74,246
29,75,246
29,77,246
30,26,153
30,27,153
30,37,153
30,39,153
30,41,153
30,43,153
30,44,153
30,45,153
30,46,153
30,47,153
30,48,153
30,51,153
30,54,153
30,58,153
30,73,246
30,75,246
31,26,153
31,27,153
31,36,153
31,41,153
31,44,153
31,45,153
31,46,153
31,49,153
31,50,153
31,51,153
31,52,153
31,53,153
31,54,153
31,59,153
31,61,153
31,63,153
31,66,153
32,26,153
32,37,153
32,38,153
32,40,153
32,41,153
32,46,153
32,48,153
32,49,153
32,50,153
32,53,153
32,54,153
32,66,153
32,69,246
32,74,246
32,77,246
32,92,246
33,38,153
33,39,153
33,42,153
33,43,153
33,45,153
33,46,153
33,62,153
33,63,153
33,64,153
33,75,246
33,76,246
33,86,246
34,39,153
34,40,153
34,42,153
34,43,153
34,46,153
34,55,153
34,64,153
34,66,153
34,77,246
34,90,246
34,91,246
34,94,246
34,151,443
34,152,443
35,42,153
35,44,153
35,45,153
35,61,153
35,68,246
35,71,246
35,72,246
35,76,246
35,151,443
35,153,443
36,42,153
36,51,153
36,59,153
36,61,153
36,68,246
36,71,246
36,155,443
37,53,153
37,60,153
37,61,153
37,63,153
37,100,246
38,55,153
38,56,153
38,57,153
38,72,246
38,174,450
38,176,450
39,45,153
39,46,153
39,52,153
39,55,153
39,57,153
39,72,246
39,73,246
39,97,246
39,98,246
39,99,246
39,174,450
40,35,153
40,45,153
40,53,153
40,58,153
40,59,153
40,66,246
40,73,246
40,98,246
40,99,246
40,131,443
41,50,153
41,54,153
41,55,153
41,56,153
41,58,153
41,62,153
41,66,246
41,72,246
41,73,246
41,84,246
41,98,246
41,99,246
41,100,246
41,101,246
42,44,153
42,46,153
42,49,153
42,53,153
42,62,153
42,66,246
42,68,246
42,69,246
42,97,246
42,98,246
42,99,246
42,100,246
42,101,246
42,127,443
42,128,443
42,130,443
43,41,153
43,44,153
43,51,153
43,52,153
43,59,153
43,63,153
43,65,246
43,67,246
43,68,246
43,69,246
43,82,246
43,94,246
43,97,246
43,98,246
43,99,246
43,100,246
43,101,246
43,130,443
43,131,443
43,132,443
43,133,443
44,44,153
44,53,153
44,56,153
44,65,246
44,66,246
44,67,246
44,69,246
44,94,246
44,95,246
44,96,246
44,97,246
44,98,246
44,99,246
44,100,246
44,101,246
44,130,443
44,131,443
44,132,443
44,133,443
44,134,443
44,135,443
45,46,153
45,48,153
45,66,246
45,69,246
45,73,246
45,74,246
45,75,246
45,94,246
45,95,246
45,96,246
45,97,246
45,98,246
45,99,246
45,100,246
45,130,443
45,131,443
45,132,443
45,133,443
45,134,443
45,135,443
46,43,153
46,45,153
46,64,153
46,71,246
46,72,246
46,75,246
46,76,246
46,96,246
46,99,246
46,100,246
46,131,443
46,132,443
47,55,153
47,68,246
47,70,246
47,71,246
47,77,246
47,97,246
47,183,450
48,67,246
48,179,450
49,66,246
49,177,450
50,80,246
50,81,246
50,82,246
50,192,450
51,47,153
51,82,246
51,179,450
52,68,246
52,116,443
52,182,450
52,183,450
52,200,450
53,48,153
53,160,450
53,181,450
53,182,450
53,183,450
54,49,153
54,50,153
54,160,450
54,180,450
54,181,450
54,182,450
54,201,450
55,160,450
55,180,450
55,181,450
55,200,450
56,44,153
56,166,450
56,175,450
56,181,450
56,190,450
59,45,153
59,152,443
60,147,443
60,148,443
60,149,443
60,150,443
60,218,450
61,146,443
61,147,443
61,148,443
62,38,153
62,46,153
62,148,443
62,223,450
63,52,153
63,53,153
63,87,246
63,142,443
63,143,443
63,144,443
63,145,443
63,146,443
63,222,450
64,54,153
64,141,443
64,142,443
64,143,443
64,144,443
64,145,443
65,51,153
65,140,443
65,141,443
65,142,443
65,143,443
65,144,443
65,145,443
66,136,443
66,139,443
66,140,443
66,141,443
66,142,443
66,143,443
66,144,443
66,159,450
66,222,450
67,138,443
67,139,443
67,140,443
67,152,443
67,158,450
67,159,450
68,158,450
68,159,450
69,158,450
69,159,450
70,144,443
70,145,443
70,159,450
71,132,443
71,142,443
71,143,443
72,65,246
72,152,443
73,140,443
74,87,246
75,181,450
76,122,443
77,121,443
77,122,443
77,135,443
78,121,443
78,122,443
78,123,443
78,187,450
79,119,443
79,120,443
79,121,443
79,122,443
79,123,443
79,124,443
80,63,246
80,118,443
80,119,443
80,120,443
80,121,443
80,122,443
80,123,443
80,124,443
80,125,443
80,175,450
80,176,450
80,177,450
81,89,246
81,118,443
81,119,443
81,120,443
81,121,443
81,122,443
81,123,443
81,124,443
81,137,443
81,175,450
81,176,450
81,177,450
82,117,443
82,118,443
82,119,443
82,120,443
82,121,443
82,122,443
82,123,443
82,124,443
82,134,443
82,135,443
82,136,443
82,137,443
82,175,450
82,176,450
82,177,450
82,178,450
83,117,443
83,118,443
83,119,443
83,120,443
83,121,443
83,122,443
83,123,443
83,133,443
83,134,443
83,135,443
83,136,443
83,137,443
84,118,443
84,120,443
84,133,443
84,134,443
84,135,443
84,136,443
84,193,450
86,128,443
86,191,450
87,84,575
87,191,450
88,114,443
88,170,450
89,170,450
92,118,443
93,165,450
94,165,450
94,167,450
95,167,450
95,168,450
96,165,450
100,135,443
101,116,575
101,117,575
102,116,575
102,117,575
103,129,575
105,118,575
105,120,575
107,102,575
109,95,575
109,96,575
110,95,575
110,96,575
110,97,575
111,94,575
111,95,575
111,96,575
111,97,575
111,115,575
112,95,575
112,96,575
113,90,575
113,93,575
113,94,575
113,120,575
114,89,575
114,91,575
114,92,575
114,98,575
114,123,575
115,91,575
116,90,575
116,91,575
117,90,575
117,91,575
117,92,575
117,95,575
117,108,575
118,92,575
122,107,575
127,106,575
128,103,575
147,158,575
148,154,575
148,155,575
148,157,575
148,158,575
148,159,575
149,156,575
149,157,575
149,158,575
149,159,575
150,157,575
