"y","x","cluster_id"
22,137,107
22,138,107
23,127,107
23,129,107
23,138,107
25,137,107
25,138,107
25,139,107
26,104,233
26,128,107
26,129,107
26,140,107
27,126,107
27,128,107
27,129,107
27,130,107
27,138,107
27,139,107
28,105,233
29,102,233
29,114,107
29,118,107
29,130,107
29,131,107
29,132,107
30,76,233
30,105,233
30,110,233
30,130,107
30,131,107
30,132,107
30,133,107
31,104,233
31,105,233
31,106,233
31,131,107
31,132,107
31,133,107
31,134,107
32,107,233
32,131,107
32,132,107
32,133,107
32,134,107
32,135,107
32,137,107
32,138,107
33,64,233
33,90,233
33,107,233
33,132,107
33,133,107
33,134,107
33,135,107
33,136,107
33,137,107
33,138,107
33,139,107
34,107,233
34,108,233
34,132,107
34,133,107
34,134,107
34,135,107
34,136,107
34,137,107
34,138,107
34,139,107
34,140,107
35,104,233
35,105,233
35,132,107
35,133,107
35,134,107
35,135,107
35,136,107
35,137,107
35,138,107
35,139,107
35,140,107
36,105,233
36,108,233
36,132,107
36,133,107
36,134,107
36,135,107
36,136,107
36,137,107
36,138,107
36,139,107
37,107,233
37,109,233
37,132,107
37,133,107
37,134,107
37,135,107
37,136,107
37,137,107
37,138,107
37,139,107
38,92,233
38,104,233
38,105,233
38,106,233
38,107,233
38,108,233
38,132,107
38,133,107
38,134,107
38,135,107
38,136,107
38,137,107
38,138,107
38,139,107
39,91,233
39,95,233
39,106,233
39,108,233
39,132,107
39,133,107
39,134,107
39,135,107
39,136,107
39,137,107
39,138,107
40,91,233
40,95,233
40,107,233
40,108,233
40,132,107
40,133,107
40,134,107
40,135,107
40,136,107
40,137,107
40,138,107
41,91,233
41,94,233
41,95,233
41,102,233
41,103,233
41,104,233
41,106,233
41,107,233
41,108,233
41,132,107
41,133,107
41,134,107
41,135,107
41,136,107
41,137,107
41,138,107
42,92,233
42,93,233
42,94,233
42,95,233
42,96,233
42,100,233
42,101,233
42,102,233
42,103,233
42,104,233
42,121,107
42,129,107
42,132,107
42,133,107
42,134,107
42,135,107
42,136,107
42,137,107
43,90,233
43,91,233
43,92,233
43,93,233
43,94,233
43,98,233
43,99,233
43,100,233
43,101,233
43,102,233
43,103,233
43,104,233
43,106,233
43,121,107
43,123,107
43,124,107
43,132,107
43,133,107
43,134,107
43,135,107
43,136,107
43,137,107
44,90,233
44,91,233
44,92,233
44,93,233
44,94,233
44,97,233
44,98,233
44,99,233
44,101,233
44,107,233
44,120,107
44,121,107
44,122,107
44,123,107
44,124,107
44,133,107
44,134,107
44,135,107
44,136,107
45,89,233
45,90,233
45,91,233
45,93,233
45,95,233
45,103,233
45,111,233
45,121,107
45,122,107
45,123,107
45,134,107
45,135,107
46,75,233
46,89,233
46,91,233
46,92,233
46,93,233
46,94,233
46,97,233
46,98,233
46,99,233
46,102,233
46,107,233
46,110,233
46,117,233
46,118,233
46,119,107
46,121,107
46,122,107
47,87,233
47,88,233
47,90,233
47,91,233
47,92,233
47,93,233
47,94,233
47,95,233
47,97,233
47,100,233
47,108,233
47,109,233
47,115,233
47,116,233
47,117,233
47,119,107
47,120,107
47,121,107
47,122,107
47,125,107
48,90,233
48,91,233
48,95,233
48,96,233
48,107,233
48,108,233
48,115,233
48,120,107
48,121,107
48,122,107
48,123,107
48,124,107
49,92,233
49,93,233
49,94,233
49,95,233
49,98,233
49,102,233
49,107,233
49,120,107
49,121,107
49,122,107
49,123,107
49,124,107
49,125,107
49,126,107
49,127,107
50,95,233
50,97,233
50,98,233
50,101,233
50,107,233
50,109,233
50,117,233
50,120,107
50,121,107
51,99,233
51,106,233
51,107,233
51,108,233
51,111,233
51,118,233
51,119,233
51,120,107
51,121,107
51,123,107
52,36,563
52,107,233
52,108,233
52,109,233
52,117,233
52,118,233
52,119,233
52,120,107
53,99,233
53,107,233
53,108,233
53,110,233
53,115,233
53,116,233
53,117,233
53,118,233
53,119,233
53,121,107
54,97,233
54,108,233
54,109,233
54,115,233
54,118,233
54,120,233
54,125,107
54,129,107
55,97,233
55,98,233
55,107,233
55,109,233
55,114,233
55,118,233
55,119,233
56,94,233
56,98,233
56,99,233
56,106,233
56,108,233
56,109,233
56,110,233
56,111,233
56,117,233
57,31,563
57,92,233
57,98,233
57,108,233
57,112,233
57,114,233
57,116,233
57,117,233
58,31,563
58,92,233
58,111,233
58,116,233
58,117,233
58,120,685
59,32,563
59,111,233
59,112,233
59,114,233
59,116,685
59,123,685
60,98,233
60,101,233
60,106,233
60,112,685
60,116,685
60,123,685
60,124,685
60,128,107
61,32,563
61,33,563
61,98,233
61,106,233
61,113,685
61,114,685
61,124,685
62,32,563
62,33,563
62,50,563
62,57,563
62,73,699
62,75,699
62,86,699
62,106,685
62,108,685
62,112,685
62,113,685
62,124,685
63,28,563
63,29,563
63,38,563
63,47,563
63,55,563
63,56,563
63,61,699
63,73,699
63,74,699
63,76,699
63,105,685
63,106,685
64,22,563
64,29,563
64,55,563
64,56,563
64,58,563
64,60,699
64,61,699
64,62,699
64,63,699
64,64,699
64,100,685
64,104,685
64,107,685
64,121,685
64,123,685
65,21,563
65,22,563
65,31,563
65,45,563
65,49,563
65,57,563
65,58,563
65,60,699
65,61,699
65,64,699
65,72,699
65,100,685
65,105,685
65,110,685
65,124,685
66,29,563
66,31,563
66,33,563
66,48,563
66,49,563
66,60,699
66,62,699
66,64,699
66,65,699
66,68,699
66,70,699
66,71,699
66,84,699
66,120,685
67,27,563
67,34,563
67,48,563
67,51,563
67,58,563
67,61,699
67,62,699
67,63,699
67,64,699
67,69,699
67,71,699
67,74,699
67,75,699
67,76,699
67,86,699
67,121,685
67,122,685
67,123,685
67,125,685
67,126,685
68,27,563
68,34,563
68,35,563
68,46,563
68,51,563
68,52,563
68,56,563
68,61,699
68,62,699
68,64,699
68,68,699
68,70,699
68,72,699
68,74,699
68,75,699
68,76,699
68,77,699
68,78,699
68,79,699
68,84,699
68,121,685
68,124,685
68,125,685
69,33,563
69,34,563
69,35,563
69,46,563
69,51,563
69,52,563
69,59,699
69,61,699
69,62,699
69,71,699
69,72,699
69,73,699
69,74,699
69,75,699
69,76,699
69,77,699
69,78,699
69,79,699
69,83,699
69,120,685
69,124,685
70,45,563
70,46,563
70,47,563
70,51,563
70,67,699
70,70,699
70,71,699
70,72,699
70,73,699
70,75,699
70,76,699
70,77,699
70,78,699
70,79,699
70,80,699
70,91,699
70,120,685
70,121,685
71,38,563
71,51,563
71,52,563
71,54,563
71,66,699
71,67,699
71,68,699
71,69,699
71,70,699
71,71,699
71,72,699
71,73,699
71,74,699
71,75,699
71,76,699
71,77,699
71,78,699
71,79,699
71,80,699
71,87,699
71,100,685
71,103,685
71,120,685
71,121,685
71,124,685
72,33,563
72,36,563
72,37,563
72,38,563
72,42,563
72,46,563
72,47,563
72,50,563
72,51,563
72,52,563
72,66,699
72,68,699
72,69,699
72,70,699
72,71,699
72,72,699
72,73,699
72,74,699
72,75,699
72,76,699
72,77,699
72,78,699
72,79,699
72,92,685
72,93,685
72,121,685
72,124,685
73,33,563
73,34,563
73,41,563
73,44,563
73,46,563
73,47,563
73,48,563
73,49,563
73,51,563
73,52,563
73,53,563
73,55,563
73,58,699
73,59,699
73,63,699
73,65,699
73,68,699
73,70,699
73,71,699
73,72,699
73,73,699
73,74,699
73,75,699
73,76,699
73,77,699
73,78,699
73,80,699
74,34,563
74,49,563
74,50,563
74,54,563
74,55,563
74,69,699
74,70,699
74,71,699
74,72,699
74,73,699
74,74,699
74,75,699
74,76,699
74,77,699
74,78,699
74,79,699
74,100,685
74,121,685
75,19,563
75,32,563
75,33,563
75,54,563
75,55,563
75,65,699
75,69,699
75,70,699
75,71,699
75,72,699
75,73,699
75,74,699
75,75,699
75,76,699
75,77,699
75,98,685
75,99,685
75,100,685
75,111,685
75,112,685
75,116,685
