"y","x","cluster_id"
24,77,32
24,93,32
27,64,32
28,67,32
29,82,32
29,85,32
29,94,32
30,84,32
30,93,32
31,82,32
31,83,32
31,84,32
31,86,32
31,92,32
31,96,32
32,65,32
32,82,32
32,85,32
33,79,32
33,83,32
33,84,32
33,85,32
33,86,32
34,78,32
34,81,32
34,82,32
34,83,32
34,85,32
35,85,32
35,87,32
38,72,32
40,86,32
40,87,32
40,88,32
41,87,32
41,88,32
41,89,32
42,86,32
42,88,32
43,86,32
43,87,32
43,88,32
43,93,32
44,64,224
44,86,32
44,88,32
44,89,32
44,95,32
45,64,224
45,65,224
45,87,32
45,88,32
45,89,32
46,74,32
46,87,32
46,88,32
46,89,32
46,90,32
46,95,32
47,58,224
47,60,224
47,74,32
47,87,32
47,88,32
47,89,32
47,90,32
47,95,32
47,96,32
48,37,224
48,60,224
48,62,224
48,73,32
48,74,32
48,75,32
48,87,32
48,88,32
48,89,32
48,90,32
48,96,32
48,97,32
49,36,224
49,37,224
49,74,32
49,75,32
49,88,32
49,89,32
49,96,32
49,97,32
49,106,32
49,134,265
50,36,224
50,61,224
50,74,32
50,82,32
50,91,32
50,97,32
51,36,224
51,135,265
52,130,265
53,76,224
55,52,224
55,53,224
55,54,224
55,140,265
55,143,265
56,46,224
56,53,224
56,59,224
56,139,265
56,145,265
57,58,224
58,56,224
58,66,224
58,67,224
58,134,265
58,142,265
58,143,265
59,56,224
59,66,224
59,67,224
59,70,224
59,72,224
59,131,265
59,139,265
59,140,265
59,141,265
59,169,322
60,64,224
60,65,224
60,66,224
60,67,224
60,68,224
60,69,224
60,70,224
60,71,224
60,73,224
60,119,265
60,134,265
60,144,265
60,168,322
60,170,322
61,64,224
61,65,224
61,66,224
61,67,224
61,68,224
61,69,224
61,71,224
61,118,528
61,120,265
61,124,265
61,125,265
61,133,265
61,134,265
61,139,265
61,141,265
61,168,322
61,169,322
61,170,322
62,47,224
62,58,224
62,64,224
62,65,224
62,66,224
62,67,224
62,68,224
62,69,224
62,71,224
62,72,224
62,119,265
62,120,265
62,121,265
62,133,265
62,142,265
62,145,265
62,146,265
62,168,322
62,169,322
62,170,322
63,42,224
63,59,224
63,64,224
63,65,224
63,66,224
63,67,224
63,68,224
63,69,224
63,71,224
63,76,224
63,77,224
63,113,528
63,122,265
63,132,265
63,147,265
63,167,322
63,168,322
