"y","x","cluster_id"
5,329,179
5,330,179
5,333,179
6,330,179
7,329,179
7,330,179
7,334,179
7,335,179
7,336,179
8,328,179
8,329,179
8,337,179
8,338,179
9,327,179
9,328,179
9,338,179
9,339,179
9,340,179
10,299,762
10,300,762
10,302,762
10,303,762
10,304,762
10,308,762
10,309,762
10,310,762
10,326,179
10,327,179
10,334,179
10,339,179
10,343,179
11,297,762
11,298,762
11,316,179
11,318,179
11,321,179
11,322,179
11,324,179
11,326,179
11,333,179
11,343,179
11,344,179
11,352,179
12,274,762
12,295,762
12,296,762
12,297,762
12,323,179
12,344,179
12,345,179
12,346,179
12,351,179
12,352,179
12,353,179
12,354,179
12,355,179
12,356,179
12,357,179
13,275,762
13,276,762
13,277,762
13,278,762
13,279,762
13,280,762
13,281,762
13,282,762
13,284,762
13,292,762
13,293,762
13,294,762
13,345,179
13,346,179
13,347,179
13,348,179
13,349,179
13,350,179
13,351,179
13,352,179
13,355,179
13,357,179
13,358,179
14,277,762
14,278,762
14,279,762
14,282,762
14,283,762
14,284,762
14,285,762
14,286,762
14,288,762
14,289,762
14,291,762
14,292,762
14,293,762
14,344,179
14,345,179
14,346,179
14,347,179
14,348,179
14,349,179
14,352,179
14,357,179
14,358,179
14,359,179
15,286,762
15,346,179
15,347,179
15,348,179
15,349,179
15,350,179
15,351,179
15,352,179
15,353,179
15,358,179
15,359,179
15,360,179
15,361,179
15,364,179
16,267,762
16,301,762
16,302,762
16,317,179
16,333,179
16,347,179
16,348,179
16,349,179
16,350,179
16,351,179
16,352,179
16,353,179
16,354,179
16,357,179
16,358,179
16,359,179
16,364,179
16,365,179
17,298,762
17,299,762
17,300,762
17,301,762
17,302,762
17,303,762
17,318,179
17,348,179
17,349,179
17,350,179
17,351,179
17,352,179
17,353,179
17,354,179
17,355,179
17,368,179
18,255,1151
18,256,762
18,257,762
18,298,762
18,299,762
18,300,762
18,301,762
18,302,762
18,303,762
18,306,762
18,341,179
18,348,179
18,349,179
18,350,179
18,351,179
18,352,179
18,353,179
18,354,179
18,355,179
18,356,179
19,299,762
19,300,762
19,301,762
19,302,762
19,303,762
19,305,762
19,348,179
19,349,179
19,350,179
19,351,179
19,352,179
19,353,179
19,354,179
19,355,179
19,356,179
20,309,762
20,351,179
20,352,179
20,353,179
20,354,179
20,355,179
20,356,179
20,357,179
20,358,179
20,359,179
20,360,179
20,371,179
21,293,762
21,342,179
21,343,179
21,344,179
21,353,179
21,354,179
21,355,179
21,356,179
21,357,179
21,358,179
21,371,179
21,372,179
21,382,555
21,383,555
21,385,555
21,386,555
21,387,555
21,389,555
21,390,555
22,252,1151
22,341,179
22,342,179
22,343,179
22,344,179
22,354,179
22,355,179
22,356,179
22,371,179
22,372,179
22,373,555
22,376,555
22,381,555
22,382,555
22,383,555
22,384,555
22,385,555
22,386,555
22,387,555
22,388,555
22,389,555
22,390,555
22,392,555
23,152,1151
23,248,1151
23,341,179
23,342,179
23,343,179
23,344,179
23,345,179
23,346,179
23,354,179
23,355,179
23,358,179
23,361,179
