"y","x","cluster_id"
11,322,73
12,319,73
13,312,73
13,323,73
15,323,73
16,312,73
16,317,73
16,323,73
16,324,73
17,357,73
18,328,73
18,346,73
18,357,73
19,312,73
19,316,73
19,323,73
20,315,73
20,316,73
20,317,73
20,326,73
20,343,73
21,315,73
21,320,73
21,323,73
21,324,73
21,326,73
21,339,73
22,312,73
22,314,73
22,315,73
22,320,73
22,322,73
22,323,73
22,326,73
22,327,73
22,334,73
22,338,73
22,339,73
23,314,73
23,337,73
23,338,73
24,321,73
25,303,73
25,311,73
25,313,73
25,323,73
25,363,73
26,302,73
26,308,73
26,309,73
26,314,73
26,315,73
26,348,73
27,307,73
27,308,73
27,309,73
27,312,73
27,313,73
27,317,73
28,306,73
28,312,73
28,358,73
29,300,73
29,316,73
29,320,73
30,318,73
30,320,73
34,309,73
34,313,73
34,314,73
35,314,73
36,313,73
37,313,73
38,343,73
39,326,73
40,303,73
40,305,73
40,307,73
41,300,73
41,305,73
41,325,73
42,317,73
42,319,73
43,279,73
43,302,73
43,303,73
43,306,73
43,316,73
43,317,73
44,280,73
44,284,73
44,301,73
44,305,73
44,306,73
44,311,73
44,317,73
45,277,73
45,280,73
45,305,73
45,307,73
45,310,73
45,313,73
46,281,73
46,304,73
46,307,73
47,277,73
47,278,73
47,304,73
47,307,73
47,311,73
48,305,73
48,308,73
48,309,73
49,276,73
49,301,73
49,308,73
51,304,73
51,306,73
51,333,73
52,272,73
52,302,73
54,296,73
54,301,73
54,302,73
55,320,73
55,321,73
56,270,73
56,332,73
56,389,643
56,391,643
57,333,73
57,379,643
57,380,643
57,381,643
57,393,643
58,336,73
58,339,803
59,319,73
59,333,73
59,334,73
59,335,73
59,372,803
60,265,73
60,267,73
60,319,73
60,330,73
60,334,73
60,335,73
60,336,73
60,340,803
61,265,73
61,266,73
61,319,73
61,383,643
61,392,643
61,393,643
61,394,643
61,395,643
62,391,643
62,392,643
62,393,643
62,394,643
62,395,643
62,396,643
63,284,73
63,392,643
63,393,643
63,394,643
63,395,643
63,396,643
63,397,643
64,388,643
64,394,643
65,371,803
65,372,803
65,373,803
65,374,803
65,375,803
65,383,643
65,389,643
65,394,643
65,396,643
65,399,643
65,400,643
65,401,643
65,402,643
65,404,643
65,405,643
66,266,73
66,284,73
66,368,803
66,369,803
66,370,803
66,371,803
66,372,803
66,373,803
66,374,803
66,375,803
66,376,643
66,384,643
66,389,643
66,394,643
66,398,643
66,399,643
66,400,643
66,401,643
66,402,643
66,403,643
66,404,643
66,405,643
66,406,643
66,407,643
67,365,803
67,366,803
67,367,803
67,368,803
67,369,803
67,370,803
67,371,803
67,372,803
67,373,803
67,374,803
67,375,803
67,376,643
67,377,643
67,378,643
67,379,643
67,380,643
67,381,643
67,390,643
67,392,643
67,396,643
67,397,643
67,399,643
67,400,643
67,401,643
67,402,643
67,403,643
67,404,643
67,405,643
67,406,643
67,407,643
68,343,803
68,344,803
68,345,803
68,346,803
68,363,803
68,364,803
68,365,803
68,366,803
68,367,803
68,368,803
68,369,803
68,370,803
68,371,803
68,372,803
68,373,803
68,374,803
68,375,803
68,376,643
68,377,643
68,378,643
68,379,643
68,380,643
68,381,643
68,382,643
68,383,643
68,384,643
68,385,643
68,389,643
68,390,643
68,391,643
68,392,643
68,393,643
68,397,643
68,398,643
68,399,643
68,400,643
68,401,643
68,402,643
68,403,643
68,404,643
68,405,643
68,406,643
68,407,643
68,408,643
69,319,73
69,342,803
69,343,803
69,344,803
69,345,803
69,346,803
69,355,803
69,356,803
69,364,803
69,365,803
69,366,803
69,367,803
69,368,803
69,369,803
69,370,803
69,371,803
69,372,803
69,373,803
69,374,803
69,375,803
69,376,643
69,377,643
69,378,643
69,379,643
69,380,643
69,381,643
69,382,643
69,383,643
69,384,643
69,385,643
69,386,643
69,387,643
69,388,643
69,389,643
69,390,643
69,391,643
69,392,643
69,393,643
69,398,643
69,399,643
69,400,643
69,401,643
69,402,643
69,403,643
69,404,643
69,405,643
69,406,643
69,407,643
69,408,643
70,341,803
70,342,803
70,343,803
70,344,803
70,345,803
70,346,803
70,353,803
70,354,803
70,355,803
70,356,803
70,357,803
70,362,803
70,363,803
70,364,803
70,365,803
70,366,803
70,367,803
70,368,803
70,369,803
70,370,803
70,371,803
70,372,803
70,373,803
70,374,803
70,375,803
70,376,643
70,377,643
70,378,643
70,379,643
70,380,643
70,381,643
70,382,643
70,383,643
70,384,643
70,385,643
70,386,643
70,387,643
70,388,643
70,389,643
70,390,643
70,391,643
70,392,643
70,393,643
70,394,643
70,395,643
70,396,643
70,398,643
70,399,643
70,400,643
70,401,643
70,402,643
70,403,643
70,404,643
70,405,643
70,406,643
70,407,643
70,408,643
70,409,643
71,341,803
71,342,803
71,343,803
71,344,803
71,345,803
71,353,803
71,354,803
71,355,803
