"y","x","cluster_id"
30,252,379
31,251,379
31,252,379
31,253,379
39,254,379
46,251,379
50,270,379
53,247,379
54,239,379
54,240,379
54,241,379
54,246,379
59,246,379
60,271,379
60,284,379
62,247,379
64,192,903
64,245,379
64,246,379
64,247,379
65,259,379
65,688,560
66,187,903
66,687,560
67,229,379
67,263,379
68,267,379
68,278,379
68,279,379
68,284,379
68,286,379
69,226,379
69,272,379
69,683,560
70,226,379
71,266,379
71,284,379
72,212,379
72,258,379
72,299,379
72,684,560
73,195,903
73,196,903
73,199,379
73,202,379
73,694,560
73,695,560
73,696,560
73,697,560
74,202,379
74,231,379
74,277,379
74,694,560
74,695,560
74,696,560
74,697,560
75,212,379
75,240,379
75,257,379
76,228,379
76,239,379
76,240,379
76,256,379
76,257,379
76,258,379
76,286,379
76,287,379
76,674,560
76,676,560
77,202,379
77,248,379
77,256,379
77,266,379
77,286,379
77,287,379
78,261,379
78,264,379
78,268,379
78,287,379
78,303,379
78,673,560
79,273,379
79,279,379
79,672,560
79,673,560
80,202,379
80,225,379
80,226,379
80,227,379
80,229,379
80,280,379
80,669,560
80,672,560
80,673,560
80,678,560
80,697,560
81,195,903
81,208,379
81,222,379
81,225,379
81,232,379
81,243,379
81,275,379
81,280,379
81,668,560
81,669,560
81,673,560
81,697,560
81,698,560
82,221,379
82,222,379
82,266,379
82,276,379
82,668,560
82,670,560
82,671,560
82,697,560
83,165,903
83,205,379
83,212,379
83,221,379
83,222,379
83,225,379
83,226,379
83,232,379
83,282,379
83,302,379
83,303,379
83,667,560
84,204,379
84,220,379
84,221,379
84,222,379
84,223,379
84,224,379
84,225,379
84,260,379
84,268,379
84,272,379
84,283,379
84,667,560
84,668,560
84,669,560
84,675,560
84,704,560
85,215,379
85,219,379
85,220,379
85,221,379
85,222,379
85,230,379
85,234,379
85,272,379
85,286,379
85,287,379
85,288,379
85,289,379
86,219,379
86,220,379
86,221,379
86,222,379
86,230,379
86,231,379
86,233,379
86,234,379
86,261,379
86,288,379
86,662,560
86,664,560
86,668,560
87,220,379
87,221,379
87,277,379
87,281,379
87,285,379
87,291,379
87,292,379
87,661,560
87,662,560
87,663,560
87,669,560
87,670,560
87,711,560
88,282,379
88,288,379
88,293,379
88,294,379
88,659,560
88,660,560
88,662,560
88,665,560
88,713,560
89,161,903
89,164,903
89,226,379
89,227,379
89,264,379
89,288,379
89,658,560
89,659,560
89,666,560
89,672,560
89,674,560
89,695,560
89,696,560
90,256,379
90,269,379
90,281,379
90,656,560
90,657,560
90,658,560
90,660,560
90,663,560
90,664,560
91,157,903
91,654,560
91,656,560
91,657,560
91,671,560
91,696,560
91,714,560
92,157,903
92,228,379
92,230,379
92,232,379
92,292,379
92,295,379
92,652,560
92,653,560
92,654,560
92,655,560
92,656,560
92,657,560
92,659,560
92,714,560
92,715,560
93,161,903
93,256,379
93,273,379
93,274,379
93,653,560
93,654,560
93,655,560
93,657,560
94,160,903
94,240,379
94,250,379
94,274,379
94,651,560
94,652,560
94,653,560
94,654,560
94,655,560
95,157,903
95,158,903
95,228,379
95,264,379
95,650,560
95,651,560
95,652,560
95,653,560
95,654,560
95,656,560
95,677,560
95,681,560
95,692,560
96,154,903
96,155,903
96,160,903
96,164,903
96,228,379
96,229,379
96,240,379
96,241,379
96,248,379
96,262,379
96,268,379
96,271,379
96,294,379
96,652,560
96,653,560
96,655,560
96,661,560
96,677,560
96,691,560
96,705,560
97,231,379
97,237,379
97,241,379
97,245,379
97,246,379
97,264,379
97,268,379
97,271,379
97,294,379
97,648,560
97,651,560
97,652,560
97,659,560
97,684,560
97,685,560
98,159,903
98,169,903
98,228,379
98,245,379
98,268,379
98,279,379
98,645,560
98,651,560
99,152,903
99,216,379
99,223,379
99,234,379
99,238,379
99,241,379
99,246,379
99,251,379
99,261,379
99,271,379
99,299,379
99,650,560
99,661,560
100,182,903
100,183,903
100,218,379
100,232,379
100,233,379
100,234,379
100,240,379
100,274,379
100,643,560
100,646,560
100,647,560
100,649,560
101,187,903
101,188,903
101,217,379
101,218,379
101,232,379
101,233,379
101,234,379
101,241,379
101,251,379
101,257,379
101,274,379
101,305,379
101,639,560
101,641,560
101,652,560
102,221,379
102,222,379
102,274,379
102,275,379
102,281,379
102,639,560
102,641,560
102,652,560
102,655,560
102,724,560
102,729,560
103,159,903
103,172,903
103,273,379
103,274,379
103,275,379
103,277,379
103,278,379
103,280,379
103,639,560
103,640,560
103,646,560
103,650,560
103,653,560
103,680,560
104,146,903
104,225,379
104,242,379
104,243,379
104,246,379
104,259,379
104,638,560
104,639,560
104,640,560
104,643,560
104,648,560
104,649,560
104,650,560
104,691,560
105,147,903
105,242,379
105,244,379
105,277,379
105,636,560
105,637,560
105,638,560
105,648,560
105,653,560
105,692,560
105,693,560
106,261,379
106,272,379
106,285,379
106,300,379
106,636,560
106,637,560
106,638,560
106,649,560
106,652,560
106,670,560
106,690,560
106,691,560
107,167,903
107,271,379
107,272,379
107,277,379
107,284,379
107,285,379
107,286,379
107,635,560
107,636,560
107,637,560
107,691,560
107,692,560
108,149,903
108,201,903
108,209,379
108,210,379
108,216,379
108,271,379
108,285,379
108,301,379
108,637,560
108,638,560
108,639,560
108,646,560
108,647,560
108,672,560
108,673,560
109,171,903
109,172,903
109,210,379
109,212,379
109,215,379
109,221,379
109,267,379
109,268,379
109,269,379
109,270,379
109,271,379
109,634,560
109,637,560
109,639,560
109,640,560
109,642,560
109,645,560
109,646,560
109,657,560
109,724,560
110,153,903
110,157,903
110,159,903
110,170,903
110,171,903
110,210,379
110,230,379
110,256,379
110,261,379
110,268,379
110,269,379
110,273,379
110,636,560
110,637,560
110,640,560
110,641,560
110,642,560
110,643,560
110,645,560
110,646,560
110,658,560
111,144,903
111,170,903
111,206,903
111,207,903
111,254,379
111,258,379
111,265,379
111,636,560
111,638,560
111,641,560
111,704,560
112,161,903
112,172,903
112,202,903
112,204,903
112,205,903
112,206,903
112,258,379
112,259,379
112,637,560
112,640,560
112,641,560
112,642,560
112,643,560
112,646,560
112,682,560
112,743,560
113,154,903
113,155,903
113,157,903
113,158,903
113,159,903
113,168,903
113,169,903
113,170,903
113,172,903
113,205,903
113,206,903
113,207,903
113,218,379
113,257,379
113,258,379
113,264,379
113,644,560
113,666,560
113,668,560
113,671,560
114,146,903
114,147,903
114,148,903
114,149,903
114,151,903
114,152,903
114,153,903
114,154,903
114,155,903
114,156,903
114,157,903
114,158,903
114,159,903
114,160,903
114,172,903
114,197,903
114,202,903
114,204,903
114,206,903
114,225,379
114,226,379
114,257,379
114,258,379
114,262,379
114,281,379
114,283,379
114,284,379
114,634,560
114,637,560
114,641,560
114,642,560
114,643,560
114,668,560
114,672,560
115,143,903
115,144,903
115,145,903
115,146,903
115,147,903
115,148,903
115,149,903
115,150,903
115,151,903
115,152,903
115,153,903
115,154,903
115,155,903
115,156,903
115,157,903
115,158,903
115,159,903
115,160,903
115,161,903
115,165,903
115,171,903
115,188,903
115,192,903
115,194,903
115,195,903
115,197,903
115,198,903
115,213,379
115,214,379
115,217,379
115,225,379
115,244,379
115,258,379
115,259,379
115,270,379
115,271,379
115,631,560
115,634,560
115,637,560
115,638,560
115,639,560
115,640,560
115,641,560
115,642,560
115,643,560
115,670,560
116,142,903
116,143,903
116,144,903
116,145,903
116,146,903
116,147,903
116,148,903
116,149,903
116,150,903
116,151,903
116,152,903
116,153,903
116,154,903
116,155,903
116,156,903
116,157,903
116,158,903
116,159,903
116,160,903
116,161,903
116,162,903
116,169,903
116,170,903
116,187,903
116,195,903
116,208,903
116,216,379
116,217,379
116,224,379
116,225,379
116,226,379
116,227,379
116,256,379
116,270,379
116,271,379
116,285,379
116,293,379
116,626,560
116,632,560
116,639,560
116,640,560
116,644,560
116,645,560
116,647,560
116,648,560
116,687,560
116,732,560
117,142,903
117,143,903
117,144,903
117,145,903
117,146,903
117,147,903
117,148,903
117,149,903
117,150,903
117,151,903
117,152,903
117,153,903
117,154,903
117,155,903
117,156,903
117,157,903
117,158,903
117,159,903
117,160,903
117,161,903
117,162,903
117,163,903
117,207,903
117,211,379
117,213,379
117,216,379
117,217,379
117,219,379
117,223,379
117,224,379
117,225,379
117,226,379
117,269,379
117,270,379
117,271,379
117,293,379
117,625,560
117,639,560
117,640,560
117,641,560
117,645,560
117,646,560
117,667,560
117,703,560
117,731,560
117,732,560
117,733,560
118,144,903
118,145,903
118,146,903
118,147,903
118,148,903
118,149,903
118,150,903
118,151,903
118,152,903
118,153,903
118,154,903
118,155,903
118,156,903
118,157,903
118,158,903
118,159,903
118,160,903
118,161,903
118,162,903
118,163,903
118,164,903
118,190,903
118,191,903
118,196,903
118,216,379
118,217,379
118,224,379
118,225,379
118,234,379
118,266,379
118,268,379
118,281,379
118,625,560
118,640,560
118,641,560
118,642,560
118,643,560
118,645,560
118,674,560
118,675,560
118,678,560
118,685,560
118,702,560
118,703,560
118,732,560
118,733,560
119,146,903
119,147,903
119,148,903
119,149,903
119,150,903
119,151,903
119,152,903
119,153,903
119,154,903
119,155,903
119,156,903
119,157,903
119,158,903
119,159,903
119,160,903
119,161,903
119,162,903
119,163,903
119,164,903
119,217,379
119,280,379
119,299,379
119,636,560
119,641,560
119,642,560
119,648,560
119,674,560
119,678,560
119,686,560
119,702,560
119,750,560
120,146,903
120,147,903
120,148,903
120,149,903
120,150,903
120,151,903
120,152,903
120,154,903
120,155,903
120,156,903
120,157,903
120,158,903
120,159,903
120,160,903
120,161,903
120,176,903
120,196,903
120,197,903
120,198,903
120,199,903
120,200,903
120,204,903
120,212,379
120,215,379
120,216,379
120,227,379
120,269,379
120,276,379
120,285,379
120,723,560
121,147,903
121,148,903
121,149,903
121,151,903
121,152,903
121,153,903
121,154,903
121,155,903
121,156,903
121,157,903
121,158,903
121,159,903
121,160,903
121,175,903
121,203,903
121,204,903
121,207,903
121,208,903
121,217,379
121,218,379
121,235,379
121,275,379
121,283,379
121,645,560
121,647,560
121,648,560
121,671,560
121,706,560
121,714,560
121,718,560
122,147,903
122,148,903
122,149,903
122,152,903
122,153,903
122,154,903
122,156,903
122,157,903
122,158,903
122,159,903
122,160,903
122,166,903
122,175,903
122,208,903
122,217,379
122,221,379
122,225,379
122,233,379
122,237,379
122,267,379
122,641,560
122,642,560
122,649,560
122,653,560
123,149,903
123,151,903
123,152,903
123,153,903
123,154,903
123,155,903
123,156,903
123,157,903
123,158,903
123,159,903
123,160,903
123,164,903
123,169,903
123,173,903
123,175,903
123,205,903
123,207,903
123,210,903
123,226,379
123,233,379
123,268,379
123,287,379
123,303,379
123,646,560
123,653,560
123,673,560
123,692,560
123,726,560
123,727,560
123,748,560
123,749,560
124,151,903
124,152,903
124,153,903
124,154,903
124,155,903
124,156,903
124,157,903
124,158,903
124,159,903
124,164,903
124,172,903
124,174,903
124,175,903
124,177,903
124,179,903
124,205,903
124,209,903
124,223,379
124,226,379
124,236,379
124,245,379
124,618,1758
124,645,560
124,646,560
124,648,560
124,671,560
124,734,560
125,150,903
125,151,903
125,152,903
125,153,903
125,154,903
125,155,903
125,156,903
125,157,903
125,158,903
125,164,903
125,173,903
125,177,903
125,179,903
125,180,903
125,197,903
125,199,903
125,202,903
125,203,903
125,204,903
125,205,903
125,222,379
125,225,379
125,240,379
125,276,379
125,277,379
125,284,379
125,286,379
125,288,379
125,670,560
125,671,560
125,672,560
125,705,560
125,708,560
125,718,560
125,729,560
125,733,560
125,734,560
125,735,560
125,736,560
126,150,903
126,151,903
126,153,903
126,154,903
126,155,903
126,156,903
126,157,903
126,158,903
126,159,903
126,160,903
126,161,903
126,162,903
126,164,903
126,177,903
126,178,903
126,183,903
126,201,903
126,204,903
126,205,903
126,223,379
126,232,379
126,238,379
126,246,379
126,285,379
126,286,379
126,289,379
126,637,560
126,639,560
126,647,560
126,649,560
126,658,560
126,668,560
126,671,560
126,705,560
126,733,560
126,734,560
126,735,560
127,155,903
127,156,903
127,157,903
127,158,903
127,159,903
127,160,903
127,161,903
127,162,903
127,183,903
127,195,903
127,242,379
127,246,379
127,648,560
127,649,560
127,650,560
127,657,560
127,658,560
127,665,560
127,666,560
127,667,560
127,668,560
127,671,560
127,679,560
127,707,560
127,726,560
127,730,560
127,732,560
127,735,560
128,155,903
128,158,903
128,159,903
128,160,903
128,161,903
128,162,903
128,175,903
128,195,903
128,196,903
128,199,903
128,231,379
128,236,379
128,241,379
128,247,379
128,248,379
128,649,560
128,650,560
128,665,560
128,666,560
128,667,560
128,668,560
128,669,560
128,670,560
128,671,560
128,678,560
128,721,560
128,727,560
128,732,560
128,734,560
128,735,560
128,737,560
128,738,560
129,160,903
129,182,903
129,206,903
129,230,379
129,231,379
129,237,379
129,248,379
129,290,379
129,291,379
129,294,379
129,299,379
129,300,379
129,316,379
129,576,1758
129,577,1758
129,578,1758
129,615,1758
129,665,560
129,666,560
129,667,560
129,668,560
129,673,560
129,680,560
129,721,560
129,727,560
129,731,560
129,734,560
130,153,903
130,199,903
130,207,903
130,209,903
130,217,379
130,220,379
130,221,379
130,227,379
130,230,379
130,236,379
130,237,379
130,238,379
130,293,379
130,575,1758
130,577,1758
130,639,560
130,665,560
130,666,560
130,667,560
130,708,560
131,211,903
131,213,903
131,215,379
131,277,379
131,289,379
131,297,379
131,314,379
131,572,1758
131,578,1758
131,667,560
131,704,560
131,727,560
131,742,560
132,151,903
132,204,903
132,205,903
132,206,903
132,207,903
132,208,903
132,215,379
132,216,379
132,219,379
132,235,379
132,266,379
132,296,379
132,610,1758
132,676,560
132,703,560
132,726,560
132,743,560
133,187,903
133,203,903
133,220,379
133,233,379
133,249,379
133,250,379
133,269,379
133,288,379
133,313,379
133,593,1758
133,608,1758
133,612,1758
133,621,1758
133,674,560
133,729,560
133,741,560
134,179,903
134,199,903
134,200,903
134,204,903
134,206,903
134,207,903
134,219,379
134,220,379
134,221,379
134,231,379
134,235,379
134,268,379
134,297,379
134,312,2754
134,587,1758
134,605,1758
134,608,1758
134,672,560
134,676,560
134,747,560
135,144,903
135,145,903
135,154,903
135,178,903
135,182,903
135,199,903
135,200,903
135,202,903
135,205,903
135,206,903
135,210,903
135,211,903
135,219,379
135,220,379
135,221,379
135,284,379
135,577,1758
135,605,1758
135,608,1758
135,610,1758
135,625,1758
135,628,1758
135,729,560
135,747,560
136,142,903
136,143,903
136,144,903
136,182,903
136,183,903
136,200,903
136,216,379
136,250,379
136,566,1758
136,600,1758
136,604,1758
136,605,1758
136,606,1758
136,628,1758
136,724,560
136,741,560
137,142,903
137,200,903
137,202,903
137,203,903
137,274,379
137,279,379
137,599,1758
137,603,1758
137,604,1758
137,605,1758
137,675,560
137,741,560
138,141,903
138,192,903
138,210,903
138,213,903
138,224,379
138,253,379
138,602,1758
138,603,1758
138,604,1758
138,605,1758
138,606,1758
138,610,1758
139,148,903
139,149,903
139,192,903
139,209,903
139,214,903
139,244,379
139,252,379
139,266,379
139,279,379
139,600,1758
139,605,1758
139,607,1758
139,621,1758
139,651,560
139,652,560
139,673,560
139,711,560
139,735,560
140,143,903
140,201,903
140,208,903
140,209,903
140,213,903
140,214,903
140,215,903
140,248,379
140,570,1758
140,605,1758
140,606,1758
140,607,1758
140,670,560
140,750,560
141,116,903
141,209,903
141,214,903
141,216,903
141,244,379
141,267,379
141,274,379
141,596,1758
141,597,1758
141,611,1758
141,665,560
141,696,560
141,704,560
141,705,560
141,719,560
141,720,560
141,752,4365
142,205,903
142,248,379
142,252,379
142,272,379
142,274,379
142,280,379
142,281,2754
142,306,2754
142,576,1758
142,578,1758
142,595,1758
142,596,1758
142,605,1758
142,609,1758
142,648,560
142,652,560
142,655,560
142,673,560
142,675,560
142,695,560
142,720,560
143,163,903
143,305,2754
143,306,2754
143,307,2754
143,571,1758
143,604,1758
143,607,1758
143,608,1758
143,610,1758
143,674,560
143,720,560
143,721,560
144,189,903
144,208,903
144,211,903
144,213,903
144,275,2754
144,276,2754
144,290,2754
144,306,2754
144,307,2754
144,615,1758
144,621,1758
144,681,560
144,688,560
144,698,560
144,708,560
144,720,560
144,721,560
144,733,560
145,184,903
145,210,903
145,211,903
145,212,903
145,214,903
145,216,903
145,223,379
145,240,379
145,244,379
145,256,379
145,321,2754
145,578,1758
145,598,1758
145,610,1758
145,614,1758
145,623,1758
145,627,1758
145,628,1758
145,664,560
145,669,560
145,675,560
145,681,560
145,720,560
145,726,560
146,213,903
146,241,379
146,242,379
146,266,2754
146,271,2754
146,306,2754
146,557,1758
146,599,1758
146,601,1758
146,615,1758
146,628,1758
146,629,1758
146,634,1758
146,667,560
146,668,560
146,669,560
146,725,560
146,726,560
146,747,4365
147,219,379
147,220,379
147,242,379
147,272,2754
147,273,2754
147,564,1758
147,584,1758
147,609,1758
147,628,1758
147,629,1758
147,691,560
147,694,560
147,701,560
147,719,560
147,746,4365
147,747,4365
148,220,379
148,233,379
148,234,379
148,271,2754
148,554,1758
148,609,1758
148,614,1758
148,731,560
148,747,4365
148,748,4365
149,110,903
149,226,379
149,234,379
149,554,1758
149,717,560
149,718,560
149,732,560
150,220,379
150,226,379
150,242,379
150,243,379
150,307,2754
150,552,1758
150,596,1758
150,684,560
150,717,560
150,718,560
151,242,379
151,311,2754
151,323,2754
151,585,1758
151,593,1758
151,594,1758
151,595,1758
151,596,1758
151,597,1758
151,607,1758
151,648,2759
151,684,560
151,714,560
151,715,560
151,716,560
151,717,560
152,194,903
152,224,379
152,230,379
152,245,2754
152,274,2754
152,593,1758
152,594,1758
152,595,1758
152,596,1758
152,601,1758
152,608,1758
152,651,2759
152,652,2759
152,655,2759
152,661,560
152,714,560
152,715,560
152,716,560
152,726,560
153,192,903
153,222,379
153,240,2754
153,242,2754
153,243,2754
153,245,2754
153,246,2754
153,593,1758
153,594,1758
153,595,1758
153,596,1758
153,648,2759
153,649,2759
153,656,2759
153,700,560
154,230,379
154,233,379
154,241,2754
154,307,2754
154,309,2754
154,321,2754
154,587,1758
154,592,1758
154,603,1758
154,614,1758
154,615,1758
154,648,2759
154,649,2759
154,654,2759
154,655,2759
154,656,2759
154,657,2759
154,658,2759
154,698,560
154,705,560
154,706,560
154,738,4365
155,231,379
155,276,2754
155,317,2754
