"y","x","cluster_id"
25,283,47
26,292,47
27,285,47
29,279,47
30,278,47
30,279,47
30,297,47
31,296,47
31,297,47
31,302,47
32,296,47
33,282,47
36,73,54
37,74,54
37,87,54
38,66,54
38,67,54
38,87,54
38,301,47
39,65,54
39,301,47
39,302,47
45,81,54
51,297,47
52,270,47
52,302,47
55,81,54
60,303,47
63,297,47
63,298,47
65,84,54
65,263,47
65,300,47
65,307,47
66,262,47
66,263,47
66,307,47
67,49,54
67,263,47
69,83,54
69,307,47
71,43,54
71,78,54
72,272,47
74,78,54
74,269,47
74,287,47
75,86,54
78,49,54
78,55,54
79,55,54
82,83,54
82,86,54
83,82,54
83,83,54
83,86,54
93,313,47
101,315,47
103,313,47
106,90,54
107,90,54
107,264,47
107,322,47
108,263,47
108,264,47
110,37,54
111,36,54
111,37,54
111,38,54
111,58,54
111,60,54
112,36,54
113,40,54
113,87,54
115,86,54
119,289,47
121,288,47
122,92,54
125,87,54
127,302,47
127,325,47
128,330,47
129,57,54
129,58,54
129,330,47
135,295,47
135,297,47
138,55,54
143,93,54
144,64,54
144,92,54
146,97,54
148,92,54
149,93,54
152,76,54
157,91,54
