"y","x","cluster_id"
17,163,125
17,164,125
17,165,125
17,166,125
18,166,125
19,154,125
19,155,125
19,156,125
19,170,125
19,180,125
20,154,125
20,155,125
20,160,125
20,161,125
20,167,125
21,162,125
21,164,125
21,179,125
22,160,125
23,161,125
23,166,125
23,176,125
24,155,125
24,161,125
24,163,125
24,164,125
24,180,125
25,161,125
25,162,125
25,175,125
26,163,125
26,178,125
27,163,125
27,164,125
27,178,125
27,180,125
28,177,125
29,172,125
29,607,188
29,609,188
31,173,125
31,174,125
31,598,188
31,612,188
32,171,125
32,597,188
32,598,188
32,601,188
32,608,188
33,597,188
33,599,188
33,603,188
33,621,188
34,603,188
34,611,188
34,624,188
35,140,125
35,601,188
35,609,188
35,611,188
36,142,125
36,169,125
36,604,188
37,142,125
37,597,188
37,617,188
37,621,188
38,139,125
38,141,125
38,604,188
38,605,188
38,606,188
39,140,125
39,141,125
39,162,125
39,602,188
39,605,188
39,617,188
40,592,188
43,142,125
44,614,188
45,618,188
46,192,125
46,193,125
46,617,188
47,133,125
47,190,125
48,133,125
48,138,125
48,190,125
49,585,188
50,135,125
50,148,125
50,169,125
51,149,125
51,150,125
51,582,188
52,149,125
52,581,188
52,582,188
52,583,188
53,150,125
55,146,125
55,147,125
55,190,125
55,584,188
55,635,188
55,637,188
56,148,125
56,149,125
56,150,125
56,584,188
56,585,188
56,635,188
57,149,125
57,150,125
57,196,125
57,629,188
57,635,188
57,636,188
58,633,188
58,634,188
59,146,125
59,196,125
60,169,125
60,192,125
60,575,188
61,192,125
61,193,125
61,194,125
61,591,188
62,152,125
62,153,125
62,192,125
62,193,125
63,193,125
63,579,188
63,592,188
64,194,125
64,594,188
65,192,125
65,193,125
65,194,125
65,577,188
65,592,188
65,594,188
66,193,125
66,592,188
66,593,188
67,192,125
67,194,125
67,198,125
68,190,125
68,192,125
68,590,188
68,638,188
69,193,125
69,195,125
69,196,125
69,591,188
69,593,188
69,594,188
70,130,125
70,131,125
70,193,125
70,194,125
70,195,125
70,593,188
71,131,125
71,194,125
71,590,188
71,591,188
72,182,125
72,194,125
72,590,188
72,639,188
73,193,125
73,565,188
74,195,125
74,597,188
74,636,188
74,640,188
75,194,125
75,196,125
75,584,188
75,595,188
75,596,188
75,597,188
75,638,188
75,640,188
76,127,125
76,193,125
76,198,125
76,199,125
76,201,125
76,636,188
76,637,188
76,638,188
77,111,125
77,127,125
77,195,125
77,198,125
77,636,188
77,637,188
77,638,188
78,111,125
78,194,125
78,197,125
78,636,188
78,637,188
78,638,188
79,193,125
79,636,188
79,637,188
79,638,188
79,640,188
80,196,125
80,199,125
80,640,188
80,641,188
81,129,125
81,639,188
81,640,188
82,206,125
82,566,188
82,567,188
82,647,188
83,128,125
83,129,125
83,193,125
83,638,188
83,639,188
83,640,188
84,122,125
84,128,125
84,129,125
84,638,188
85,122,125
85,123,125
85,128,125
85,129,125
85,130,125
85,195,125
85,200,125
85,569,188
85,638,188
85,639,188
85,641,188
86,81,550
86,121,125
86,122,125
86,585,188
86,637,188
86,639,188
86,641,188
87,81,550
87,82,550
87,122,125
87,127,125
87,195,125
87,639,188
87,642,188
88,77,550
88,79,550
88,122,125
88,124,125
88,640,188
89,78,550
89,196,125
90,120,125
90,121,125
90,122,125
90,125,125
90,126,125
90,638,188
90,640,188
90,643,188
91,122,125
91,124,125
91,125,125
91,129,125
91,193,125
91,556,188
91,644,188
92,79,550
92,125,125
92,194,125
92,556,188
92,643,188
92,652,188
93,81,550
93,121,125
93,122,125
93,125,125
93,196,125
93,199,125
93,662,188
94,122,125
94,196,125
94,198,125
94,199,125
94,571,188
94,645,188
94,648,188
94,665,188
95,73,550
95,145,125
95,201,125
96,74,550
96,75,550
96,196,125
96,197,125
96,573,188
96,641,188
96,642,188
97,80,550
97,137,125
97,159,125
97,201,125
97,217,125
97,567,188
97,572,188
97,573,188
97,641,188
97,650,188
98,154,125
98,202,125
98,567,188
98,568,188
98,572,188
98,573,188
98,641,188
99,138,125
99,143,125
99,202,125
99,231,125
99,567,188
99,575,188
100,72,550
100,213,125
100,566,188
100,567,188
100,638,188
101,83,550
101,161,125
101,568,188
101,576,188
101,638,188
101,657,188
101,660,188
102,83,550
102,84,550
