"y","x","cluster_id"
4,52,189
6,54,189
8,43,308
10,52,189
16,38,308
16,47,308
20,34,308
21,40,308
28,87,189
31,91,189
31,92,189
32,86,189
33,92,189
35,88,189
35,92,189
35,98,189
35,99,189
36,88,189
36,90,189
36,91,189
36,100,189
37,97,189
37,100,189
37,102,189
38,84,189
38,87,189
38,91,189
38,100,189
38,101,189
38,102,189
39,83,189
39,84,189
39,85,189
39,86,189
39,87,189
39,88,189
39,90,189
39,99,189
39,101,189
40,42,308
40,43,308
40,54,308
40,83,189
40,84,189
40,85,189
40,86,189
40,88,189
40,89,189
40,102,189
40,105,189
41,77,189
41,78,189
41,83,189
41,87,189
41,88,189
41,89,189
41,92,189
41,93,189
41,104,189
42,42,308
42,45,308
42,50,308
42,77,189
42,78,189
42,79,189
42,80,189
42,84,189
42,85,189
42,89,189
42,93,189
43,51,308
43,52,308
43,70,189
43,71,189
43,76,189
43,77,189
43,78,189
43,79,189
43,90,189
43,95,189
43,96,189
43,106,189
44,31,308
44,32,308
44,38,308
44,49,308
44,50,308
44,51,308
44,52,308
44,53,308
44,70,189
44,76,189
44,77,189
44,78,189
44,79,189
44,90,189
44,96,189
45,38,308
45,49,308
45,50,308
45,51,308
45,52,308
45,53,308
45,69,189
45,70,189
45,76,189
45,89,189
45,90,189
45,95,189
45,99,189
45,106,189
45,107,189
45,108,189
45,109,189
46,50,308
46,51,308
46,52,308
46,57,308
46,71,189
46,72,189
46,75,189
46,80,189
46,88,189
46,89,189
46,94,189
46,106,189
46,107,189
46,109,189
47,44,308
47,50,308
47,51,308
47,56,308
47,69,189
47,71,189
47,73,189
47,74,189
47,75,189
47,87,189
47,88,189
47,91,189
47,95,189
47,108,189
47,109,189
47,110,189
48,50,308
48,55,308
48,69,189
48,72,189
48,73,189
48,74,189
48,87,189
48,89,189
48,91,189
48,93,189
48,95,189
48,106,189
48,107,189
48,108,189
48,109,189
49,50,308
49,51,308
49,73,189
49,74,189
49,75,189
49,76,189
49,90,189
49,91,189
49,92,189
49,93,189
49,106,189
49,107,189
50,69,189
50,73,189
50,74,189
50,75,189
50,76,189
50,79,189
50,92,189
50,96,189
50,106,189
51,53,308
51,69,189
51,75,189
51,76,189
51,77,189
51,78,189
51,79,189
51,80,189
51,83,189
51,92,189
51,93,189
51,96,189
51,107,189
52,78,189
52,80,189
52,91,189
52,92,189
53,64,308
53,70,189
53,71,189
53,76,189
53,79,189
53,102,189
53,112,506
54,74,189
54,75,189
54,79,189
54,90,189
55,55,308
55,74,189
55,112,506
55,113,506
55,115,506
55,116,506
56,76,189
56,112,506
56,113,506
56,115,506
56,117,506
57,69,189
57,118,506
58,58,308
58,69,308
58,70,189
58,73,189
58,76,189
58,80,189
58,82,189
58,118,506
59,68,308
59,76,189
59,93,189
59,106,506
59,118,506
59,119,506
60,67,308
60,68,308
60,76,189
60,115,506
60,118,506
60,119,506
60,120,506
61,58,308
61,66,308
61,67,308
61,68,308
61,77,189
61,92,189
61,93,189
61,102,189
61,106,506
61,108,506
61,110,506
62,66,308
62,67,308
62,68,308
62,70,308
62,74,189
62,78,189
62,82,189
62,83,189
62,93,189
62,94,189
62,106,506
62,109,506
62,110,506
62,119,506
62,121,506
62,122,506
63,49,308
63,64,308
63,65,308
63,66,308
63,67,308
63,70,308
63,71,308
63,72,308
63,74,189
63,79,189
63,82,189
63,83,189
63,93,189
63,95,189
63,107,506
63,110,506
63,118,506
63,119,506
63,120,506
63,121,506
64,62,308
64,64,308
64,65,308
64,66,308
64,67,308
64,70,308
64,73,189
64,79,189
64,80,189
64,81,189
64,82,189
64,83,189
64,94,189
64,95,189
64,109,506
64,116,506
64,119,506
65,47,308
65,56,308
65,63,308
65,64,308
65,65,308
65,66,308
65,69,308
65,72,308
65,73,308
65,74,189
65,78,189
65,79,189
65,80,189
65,81,189
65,82,189
65,84,189
65,85,189
65,93,189
65,115,506
65,120,506
65,122,506
65,123,506
65,124,506
66,48,308
66,61,308
66,62,308
66,63,308
66,70,308
66,71,308
66,72,308
66,73,308
66,74,189
66,76,189
66,77,189
66,78,189
66,79,189
66,80,189
66,81,189
66,83,189
66,84,189
66,85,189
66,86,189
66,112,506
66,121,506
