"y","x","cluster_id"
6,61,69
7,31,60
7,36,60
7,45,60
7,52,69
7,66,69
7,67,69
7,71,69
7,72,69
8,21,60
8,23,60
8,30,60
8,53,69
8,65,69
8,66,69
8,72,69
8,82,69
8,83,69
8,84,69
8,87,69
9,21,60
9,45,60
9,52,69
9,64,69
9,65,69
9,68,69
9,69,69
9,84,69
9,85,69
9,86,69
9,88,69
9,89,69
9,91,69
9,92,69
9,94,69
10,19,60
10,21,60
10,22,60
10,62,69
10,86,69
10,88,69
10,89,69
11,18,60
11,20,60
11,21,60
11,22,60
11,80,69
11,88,69
11,89,69
12,20,60
12,21,60
12,67,69
12,74,69
12,79,69
12,85,69
12,86,69
12,101,69
13,16,60
13,17,60
13,20,60
13,31,60
13,73,69
13,74,69
13,79,69
13,101,69
13,104,69
13,106,69
14,104,69
15,81,69
15,101,69
16,82,69
16,83,69
16,87,69
16,101,69
16,102,69
17,102,69
18,134,111
18,135,111
18,138,111
19,139,111
19,140,111
20,65,69
20,137,111
20,140,111
21,64,69
21,65,69
21,86,69
21,93,69
21,138,111
21,139,111
21,141,111
22,105,69
22,133,111
22,134,111
22,137,111
22,139,111
23,13,60
23,100,69
23,103,69
23,134,111
23,136,111
23,139,111
23,144,111
24,123,111
25,11,60
25,142,111
26,9,60
27,11,60
28,90,69
28,125,111
28,143,111
29,11,60
31,80,69
32,68,69
32,84,69
33,84,69
33,92,69
34,92,184
35,80,69
35,81,69
35,93,184
36,81,69
38,73,69
39,13,60
39,73,184
39,76,184
39,84,184
40,74,184
40,75,184
40,76,184
41,70,184
41,72,184
41,73,184
41,74,184
41,75,184
41,76,184
41,77,184
41,95,184
41,126,111
41,149,111
42,73,184
42,74,184
42,75,184
42,76,184
42,77,184
42,132,111
42,153,111
45,101,184
45,102,184
46,101,184
46,102,184
46,145,111
47,99,184
47,100,184
47,101,184
48,89,184
48,99,184
48,100,184
49,68,184
49,123,111
49,145,111
50,117,184
50,118,184
50,119,184
50,120,184
52,105,184
52,112,184
52,115,184
52,141,111
52,147,111
53,73,184
53,105,184
53,106,184
53,107,184
53,142,111
53,147,111
54,73,184
54,106,184
54,107,184
54,108,184
54,141,111
54,148,111
55,73,184
55,92,184
55,105,184
56,92,184
56,93,184
56,101,184
56,108,184
57,81,184
57,90,184
57,93,184
57,101,184
57,105,184
57,152,111
58,106,184
58,107,184
59,82,184
59,84,184
59,104,184
59,110,184
60,92,184
60,95,184
61,83,184
61,93,184
61,96,184
61,108,184
62,69,184
62,95,184
62,96,184
62,107,184
63,87,184
63,94,184
63,95,184
63,99,184
63,107,184
64,67,255
64,81,184
64,90,184
65,99,184
66,81,184
66,90,184
66,91,184
66,94,184
67,57,255
67,81,184
67,90,184
68,87,184
69,87,184
70,86,184
70,87,184
70,89,184
70,91,184
71,91,184
72,81,184
72,88,184
73,80,184
73,84,184
74,80,184
75,69,255
75,70,255
75,72,255
76,69,255
76,70,255
77,68,255
77,69,255
77,70,255
78,69,255
79,68,255
82,72,255
84,66,255
84,69,255
85,63,255
86,63,255
87,61,255
91,44,255
91,46,255
91,58,255
92,44,255
92,45,255
92,47,255
93,44,255
93,45,255
93,46,255
95,45,255
95,47,255
95,50,255
