"y","x","cluster_id"
19,258,68
20,240,85
22,229,85
25,205,85
25,206,85
25,208,85
25,209,85
26,204,85
26,209,85
27,181,85
27,182,85
27,233,85
28,193,85
29,229,85
29,269,68
30,281,68
30,289,68
31,274,68
31,285,68
32,232,85
32,233,85
32,278,68
32,286,68
32,289,68
32,291,68
33,294,68
33,295,68
34,158,85
34,197,85
34,209,85
34,297,68
34,299,68
34,303,68
34,308,68
34,318,68
34,319,68
35,158,85
35,209,85
35,294,68
35,295,68
35,296,68
35,297,68
35,299,68
35,303,68
35,304,68
35,305,68
35,307,68
35,308,68
35,309,68
35,310,68
35,311,68
35,316,68
36,165,85
36,230,85
36,233,85
36,296,68
36,297,68
36,301,68
36,306,68
36,310,68
36,323,68
37,228,85
37,229,85
37,230,85
37,231,85
37,232,85
37,233,85
37,304,68
37,305,68
37,306,68
37,307,68
38,196,85
38,229,85
38,308,68
38,310,68
38,311,68
38,344,68
38,348,68
39,265,68
39,287,68
41,163,85
41,180,85
41,220,85
41,222,85
42,202,85
42,216,85
42,217,85
42,219,85
42,221,85
42,222,85
42,276,68
43,216,85
43,217,85
43,221,85
43,273,68
43,274,68
43,275,68
43,276,68
43,318,68
44,151,85
44,219,85
44,273,68
44,274,68
45,148,85
47,208,85
47,267,68
48,164,85
48,175,85
48,177,85
48,348,68
48,350,68
49,177,85
49,269,68
49,270,68
49,275,68
50,275,68
50,276,68
50,307,68
50,332,68
50,359,68
51,343,68
52,362,68
53,144,85
53,364,68
56,109,230
56,144,85
57,107,230
63,160,85
65,317,68
67,302,68
68,117,230
68,118,230
68,119,230
71,150,85
72,97,230
75,166,85
75,167,85
78,126,230
78,190,85
79,249,225
81,95,230
82,113,230
82,318,225
82,319,225
83,70,230
83,318,225
83,319,225
83,320,225
84,318,225
88,65,230
88,80,230
88,104,230
88,105,230
88,318,225
89,83,230
89,100,230
89,105,230
89,251,225
89,322,225
90,66,230
90,320,225
90,321,225
90,322,225
91,75,230
91,175,85
91,303,225
91,320,225
92,303,225
92,320,225
93,77,230
93,80,230
93,81,230
95,77,230
96,76,230
96,81,230
97,125,230
97,234,225
97,291,225
98,152,230
98,235,225
98,254,225
99,235,225
99,255,225
99,256,225
100,235,225
100,255,225
100,256,225
101,62,230
101,329,225
102,194,85
103,60,230
103,236,225
103,258,225
103,259,225
104,69,230
104,142,230
104,146,230
104,236,225
104,237,225
104,260,225
106,62,230
106,145,230
106,257,225
107,134,230
107,136,230
108,258,225
109,130,230
109,136,230
109,273,225
110,316,225
111,146,230
112,261,225
112,313,225
112,315,225
112,316,225
113,260,225
113,261,225
113,262,225
113,313,225
113,314,225
113,315,225
113,316,225
113,317,225
114,57,230
114,287,225
114,315,225
114,316,225
114,317,225
114,318,225
115,106,230
115,287,225
115,288,225
116,155,230
117,306,225
118,44,230
118,150,230
118,305,225
119,152,230
120,305,225
120,306,225
121,55,230
121,299,225
122,54,230
122,55,230
122,56,230
122,98,230
122,300,225
122,305,225
123,53,230
123,54,230
123,55,230
123,306,225
124,53,230
124,54,230
124,273,225
125,53,230
125,152,230
125,204,85
126,99,230
126,205,225
126,314,225
127,306,225
128,202,85
128,314,225
129,202,225
129,305,225
130,157,230
133,103,230
134,169,230
135,105,230
135,160,230
135,176,230
135,248,225
135,295,225
135,296,225
136,294,225
136,344,329
138,293,225
139,300,225
140,39,230
141,304,225
142,106,230
142,160,230
143,301,225
144,304,329
144,339,329
145,159,464
145,233,225
145,274,225
145,275,225
146,159,464
146,167,464
146,172,464
146,339,329
147,164,464
147,295,225
148,65,230
149,31,532
149,337,329
150,95,230
151,165,464
151,228,225
151,336,329
151,340,329
152,28,532
152,164,464
153,88,230
153,336,329
154,165,464
155,158,464
155,336,329
155,337,329
156,96,230
156,108,230
156,337,329
157,163,464
158,26,532
158,66,230
160,336,329
164,320,329
165,109,464
166,57,532
166,246,225
167,57,532
167,94,464
167,333,329
168,323,329
169,26,532
169,325,329
170,209,650
170,210,650
171,25,532
171,319,329
172,25,532
172,107,464
172,212,650
172,330,329
174,24,532
174,109,464
174,210,650
174,329,329
175,24,532
175,218,650
175,219,650
176,31,532
176,37,532
176,109,464
176,110,464
176,217,650
176,219,650
176,220,650
176,330,329
177,32,532
177,33,532
177,109,464
177,110,464
177,217,650
177,328,329
178,216,650
178,324,329
180,155,464
180,253,650
180,266,329
181,81,464
181,100,464
181,321,329
181,324,329
182,110,464
182,324,329
182,325,329
183,97,464
183,324,329
183,325,329
184,23,532
184,96,464
184,147,464
184,253,650
184,324,329
185,108,464
185,120,464
185,146,464
185,314,329
185,323,329
186,87,464
186,145,464
186,146,464
186,147,464
186,325,329
187,105,464
187,107,464
187,143,464
187,146,464
188,99,464
188,100,464
188,102,464
188,106,464
188,144,464
188,324,329
189,105,464
189,147,464
190,143,464
190,144,464
191,144,464
191,147,464
191,148,464
191,149,464
191,248,650
192,26,532
192,99,464
192,110,464
192,132,464
192,145,464
192,146,464
192,147,464
192,148,464
192,149,464
192,150,464
192,151,464
192,152,464
193,26,532
193,109,464
193,145,464
193,146,464
193,147,464
193,150,464
193,151,464
193,152,464
193,169,464
193,222,650
193,313,329
194,26,532
194,27,532
194,88,464
194,112,464
194,146,464
194,148,464
194,150,464
194,151,464
194,152,464
194,166,464
194,168,464
194,169,464
194,209,650
194,222,650
195,104,464
195,108,464
195,109,464
195,134,464
195,144,464
195,168,464
195,169,464
195,221,650
196,26,532
196,81,464
196,109,464
