"y","x","cluster_id"
47,335,134
48,335,134
48,336,134
48,337,134
49,329,134
49,340,134
61,316,134
67,329,134
68,395,134
73,289,134
73,290,134
75,400,134
76,400,134
79,193,351
80,402,134
81,402,134
81,403,134
87,404,134
88,401,134
89,136,351
89,163,351
89,315,134
90,136,351
90,204,351
92,127,351
92,141,351
93,296,134
94,313,134
97,243,134
99,135,351
100,135,351
101,286,134
101,401,134
102,53,351
102,134,351
103,54,351
103,156,351
103,220,351
104,52,351
104,330,134
105,54,351
105,257,134
105,318,134
105,331,134
105,332,134
106,53,351
106,265,134
106,332,134
106,333,134
107,46,351
107,330,134
107,331,134
107,336,134
107,342,134
108,45,351
108,330,134
108,331,134
108,332,134
109,290,134
109,291,134
109,297,134
109,298,134
109,359,134
109,360,134
109,858,374
110,290,134
110,291,134
110,292,134
110,298,134
110,299,134
110,359,134
110,360,134
110,361,134
110,362,134
111,292,134
111,293,134
111,298,134
111,299,134
111,300,134
111,309,134
111,310,134
111,359,134
111,360,134
111,361,134
111,362,134
111,364,134
112,299,134
112,300,134
112,309,134
112,321,134
112,337,134
112,359,134
112,360,134
112,361,134
112,362,134
113,300,134
113,359,134
113,360,134
113,361,134
113,362,134
114,360,134
114,361,134
114,362,134
114,363,134
115,173,351
115,362,134
115,364,134
116,242,134
116,300,134
116,333,134
116,366,134
116,368,134
117,301,134
117,333,134
117,334,134
118,254,134
118,334,134
118,335,134
118,337,134
119,320,134
119,336,134
119,367,134
120,321,134
121,321,134
122,272,134
122,808,374
123,331,134
124,331,134
124,343,134
125,255,134
125,340,134
125,342,134
125,343,134
126,326,134
127,174,351
127,256,134
129,385,134
129,720,374
133,301,134
133,302,134
134,309,134
135,263,134
135,298,134
135,652,486
136,129,351
136,260,134
136,262,134
136,263,134
136,307,134
136,652,486
137,145,351
137,239,351
137,258,134
137,261,134
137,262,134
137,307,134
137,308,134
137,690,486
138,260,134
138,308,134
138,690,486
138,691,486
139,137,351
140,142,351
141,323,134
141,364,134
142,322,134
142,922,374
143,383,134
143,569,486
144,395,134
144,570,486
144,651,486
145,570,486
146,258,134
146,569,486
146,570,486
147,62,351
147,921,374
148,63,351
149,920,374
150,348,134
151,379,134
152,313,134
152,379,134
152,381,134
153,313,134
153,736,374
154,319,134
154,736,374
157,251,134
157,339,134
157,916,374
158,251,134
158,252,134
158,261,134
159,251,134
159,252,134
159,924,374
160,249,351
160,250,351
160,251,134
161,163,351
161,250,351
161,636,486
161,642,486
163,840,374
165,402,134
165,847,374
166,298,134
166,806,374
166,812,374
166,844,374
166,845,374
166,847,374
166,851,374
167,304,134
167,305,134
167,339,134
167,813,374
167,843,374
167,844,374
167,845,374
167,848,374
167,849,374
168,408,134
168,813,374
168,814,374
168,849,374
168,850,374
169,172,351
169,173,351
169,174,351
169,813,374
169,852,374
170,173,351
170,174,351
170,636,486
171,129,351
171,173,351
171,876,374
171,877,374
171,878,374
172,173,351
172,225,351
172,877,374
172,878,374
173,198,351
173,877,374
173,878,374
173,879,374
173,880,374
174,321,134
174,378,134
174,805,374
174,876,374
174,877,374
174,878,374
174,879,374
175,236,351
175,237,351
175,238,351
175,239,351
175,240,351
175,755,374
175,877,374
175,878,374
175,879,374
176,235,351
176,236,351
176,237,351
176,238,351
176,239,351
176,317,134
176,318,134
176,319,134
176,877,374
176,878,374
176,879,374
