"y","x","cluster_id"
26,307,28
27,307,28
27,308,28
32,309,28
32,310,28
33,310,28
33,311,28
34,310,28
34,311,28
36,204,28
38,197,28
48,208,28
49,209,28
49,210,28
52,196,28
54,182,28
54,183,28
54,184,28
54,281,28
55,76,71
57,96,71
60,74,71
61,192,28
61,193,28
61,222,28
61,223,28
64,302,28
65,232,28
66,118,71
68,83,71
69,317,166
71,74,71
72,74,71
72,75,71
72,117,71
73,73,71
73,74,71
73,220,28
77,74,71
77,217,28
79,218,28
80,74,71
81,73,71
81,210,28
82,71,71
82,72,71
82,73,71
82,105,71
82,194,28
82,218,28
83,72,71
84,206,28
85,86,71
85,194,28
85,199,28
85,206,28
85,207,28
85,214,28
86,105,71
86,199,28
87,69,71
87,111,71
88,103,71
88,214,28
89,64,71
89,105,71
89,115,71
89,214,28
90,64,71
90,117,71
91,101,71
92,103,71
92,104,71
92,105,71
92,106,71
92,112,71
93,102,71
93,105,71
93,106,71
93,107,71
93,144,71
94,105,71
94,106,71
94,107,71
94,110,71
95,105,71
95,106,71
95,107,71
96,107,71
98,110,71
98,111,71
99,102,71
99,103,71
99,104,71
99,105,71
100,106,71
101,105,71
101,106,71
102,131,71
103,130,71
107,80,71
107,81,71
108,237,28
109,118,71
109,238,28
111,243,28
115,318,166
116,332,166
117,319,166
118,278,166
120,238,166
123,289,166
123,294,166
123,297,166
123,299,166
124,213,262
124,298,166
124,299,166
124,301,166
125,225,262
125,299,166
128,62,227
128,169,262
128,298,166
129,299,166
130,297,166
130,298,166
130,299,166
131,120,227
131,299,166
131,300,166
132,122,227
133,87,227
133,157,262
133,256,166
133,261,166
134,88,227
134,256,166
134,260,166
134,262,166
134,263,166
135,87,227
135,88,227
135,262,166
136,87,227
136,88,227
137,87,227
137,88,227
138,86,227
138,87,227
138,88,227
138,260,166
139,86,227
139,87,227
139,88,227
139,89,227
139,257,166
140,86,227
140,87,227
140,89,227
140,260,166
141,86,227
142,86,227
142,89,227
142,90,227
142,281,166
143,86,227
143,87,227
143,89,227
143,90,227
144,87,227
144,88,227
144,89,227
144,90,227
144,91,227
145,67,227
145,87,227
145,88,227
146,86,227
146,87,227
146,88,227
146,89,227
147,86,227
147,87,227
147,88,227
147,89,227
147,90,227
147,109,227
147,201,262
147,252,166
148,86,227
148,87,227
148,88,227
148,89,227
148,90,227
148,334,166
149,86,227
149,87,227
149,88,227
149,89,227
149,90,227
149,133,227
150,86,227
150,87,227
150,88,227
150,89,227
150,90,227
150,104,227
151,87,227
151,88,227
151,89,227
151,172,262
152,87,227
152,88,227
152,89,227
152,97,227
153,88,227
153,89,227
153,90,227
154,88,227
154,89,227
154,129,227
154,185,262
155,89,227
155,129,227
156,89,227
156,96,227
156,102,227
156,128,227
156,193,262
157,87,227
157,88,227
157,182,262
157,192,262
157,193,262
157,223,262
158,97,227
158,183,262
158,187,262
158,190,262
158,191,262
158,192,262
158,193,262
158,194,262
159,78,227
159,88,227
159,97,227
159,98,227
159,103,227
159,115,227
159,190,262
159,191,262
159,192,262
159,284,166
160,77,227
160,88,227
160,115,227
160,116,227
160,118,227
160,122,227
160,132,227
160,198,262
160,224,262
161,88,227
161,132,227
161,284,166
161,285,166
162,88,227
162,115,227
162,121,227
162,122,227
162,285,166
163,98,227
163,99,227
163,110,227
163,115,227
163,118,227
163,283,166
164,98,227
164,130,227
164,284,166
164,285,166
165,98,227
165,99,227
165,175,262
166,98,227
166,99,227
166,109,227
166,179,262
167,99,227
168,110,227
169,102,227
170,102,227
170,112,227
171,99,227
171,100,227
171,131,452
172,278,166
173,277,166
173,278,166
174,104,227
174,112,227
175,102,227
175,106,227
175,112,452
175,130,452
176,107,227
177,106,227
177,107,452
177,111,452
177,194,262
178,106,452
178,110,452
178,111,452
178,112,452
179,106,452
179,108,452
179,109,452
179,110,452
179,111,452
179,112,452
179,132,452
180,101,452
180,107,452
180,108,452
180,109,452
