"y","x","cluster_id"
21,204,8
33,148,8
44,154,8
68,169,8
69,82,8
69,169,8
73,222,8
78,170,8
86,266,21
86,267,21
91,269,21
92,75,8
95,262,21
95,263,21
96,263,21
97,264,21
98,265,21
101,263,21
109,215,21
124,136,8
129,254,21
130,76,57
135,179,8
137,164,8
144,228,21
144,277,21
145,252,21
158,272,21
161,78,57
161,222,21
163,153,57
163,160,57
166,275,21
166,280,21
171,212,21
172,277,21
173,278,21
174,142,57
174,280,21
179,134,57
179,135,57
180,133,57
180,140,57
181,129,57
182,128,57
183,79,57
183,139,57
185,128,57
185,129,57
185,130,57
185,159,57
188,127,57
190,131,57
195,197,139
195,198,139
196,63,57
200,112,57
200,126,57
200,202,139
201,120,57
202,134,57
203,202,139
203,206,139
208,196,139
209,168,57
210,102,57
210,112,57
210,169,57
213,273,139
214,95,57
215,87,57
215,88,57
216,87,57
216,89,57
216,93,57
216,110,57
217,87,57
217,89,57
218,83,57
218,89,57
218,91,57
219,267,139
219,268,139
220,98,57
221,98,57
222,72,57
222,112,57
228,143,57
229,71,57
229,254,139
232,131,57
233,69,198
233,192,139
234,71,198
234,139,169
234,147,169
235,70,198
236,193,139
237,193,139
238,61,198
241,192,139
241,219,139
242,125,169
243,250,139
244,187,139
244,194,139
245,73,198
245,74,198
245,189,139
245,252,139
246,89,198
246,194,139
247,194,139
247,195,139
248,83,198
248,150,169
248,182,169
249,149,169
249,191,139
249,192,139
249,220,139
250,132,169
250,139,169
250,179,169
250,180,169
250,191,139
250,211,139
251,140,169
251,241,139
251,250,139
252,102,198
252,138,169
252,139,169
252,172,169
252,173,169
252,175,169
252,176,169
252,241,139
253,221,139
253,241,139
253,242,139
254,187,139
254,228,139
255,171,169
257,109,198
257,140,169
258,127,169
258,198,139
260,162,169
261,216,139
262,100,198
262,101,198
262,158,169
262,231,139
263,244,139
265,218,139
266,70,198
266,160,169
267,70,198
267,241,139
268,70,198
269,241,139
270,68,198
270,74,198
270,84,198
270,240,139
270,241,139
271,83,198
271,157,169
271,223,139
272,80,198
272,84,198
272,157,169
273,232,139
274,76,198
274,79,198
274,155,169
274,157,169
275,61,198
275,162,169
276,59,198
276,61,198
276,62,198
276,164,169
276,165,169
277,60,198
277,78,198
278,64,198
278,191,169
278,230,139
279,47,198
279,125,169
279,232,139
281,47,198
281,153,169
281,209,139
282,146,169
283,86,198
283,222,139
283,226,139
284,113,198
284,221,139
285,222,139
286,163,169
286,164,169
286,217,139
286,219,139
287,151,169
287,152,169
287,164,169
287,165,169
287,218,139
288,88,198
288,154,169
288,189,169
288,213,139
289,86,198
289,153,169
289,211,139
289,212,139
289,213,139
289,215,139
290,86,198
292,50,198
292,86,198
294,181,169
294,182,169
295,89,198
295,181,169
296,86,198
296,95,198
296,108,198
297,86,198
297,115,198
298,86,198
299,95,198
301,101,198
301,113,198
301,119,198
303,102,198
304,102,198
304,103,198
306,95,198
306,98,198
307,133,169
307,134,169
308,92,198
308,93,198
308,94,198
308,122,198
309,92,198
309,93,198
309,94,198
314,90,198
