"y","x","cluster_id"
29,379,86
32,362,86
36,430,86
37,369,86
39,380,86
49,233,96
52,382,86
54,226,96
55,227,96
56,439,86
56,440,86
56,441,86
57,214,96
57,437,86
57,441,86
59,436,86
60,224,96
61,218,96
73,263,96
73,463,86
73,464,86
74,462,86
74,463,86
74,464,86
74,466,86
75,462,86
75,463,86
75,464,86
75,465,86
75,466,86
76,463,86
76,464,86
76,465,86
76,466,86
77,466,86
78,467,86
79,240,96
79,241,96
79,461,86
79,466,86
79,467,86
80,241,96
80,368,86
80,461,86
80,466,86
81,368,86
82,229,96
82,368,86
83,460,86
84,361,86
84,362,86
85,459,86
85,466,86
86,361,86
86,460,86
89,232,96
91,330,96
92,196,96
92,197,96
92,199,96
92,329,96
93,196,96
93,330,96
94,329,96
94,330,96
94,331,96
94,463,86
96,197,96
96,394,86
96,395,86
96,460,86
97,196,96
97,392,86
97,393,86
97,459,86
97,460,86
98,196,96
98,301,96
98,458,86
98,459,86
98,460,86
99,393,86
100,393,86
101,393,86
102,395,86
102,456,86
103,289,96
104,287,96
104,288,96
104,289,96
105,287,96
105,288,96
105,379,86
106,288,96
108,502,86
109,261,96
109,279,96
110,298,96
110,501,86
114,255,96
116,334,96
117,333,96
119,324,96
119,326,96
120,267,96
120,325,96
121,244,96
121,267,96
121,268,96
121,269,96
121,321,96
121,325,96
122,210,96
122,211,96
122,267,96
122,268,96
122,321,96
122,332,96
122,405,86
123,211,96
123,242,96
123,267,96
123,268,96
123,269,96
123,270,96
123,402,86
123,405,86
123,406,86
124,264,96
124,266,96
124,267,96
124,268,96
124,269,96
124,270,96
124,271,96
124,272,96
124,273,96
124,274,96
124,453,86
125,264,96
125,268,96
125,270,96
125,271,96
125,272,96
125,273,96
125,274,96
125,342,96
126,266,96
126,268,96
126,270,96
126,271,96
126,272,96
126,273,96
126,274,96
126,402,86
126,450,86
127,326,96
127,327,96
127,332,96
130,523,86
131,522,86
131,523,86
132,229,96
132,230,96
132,231,96
132,232,96
132,233,96
132,344,96
132,522,86
133,228,96
133,231,96
133,232,96
133,444,86
133,445,86
133,523,86
134,198,267
134,229,96
134,230,96
134,231,96
134,232,96
135,198,267
135,201,267
135,202,267
135,230,96
135,231,96
135,232,96
135,486,86
135,528,86
136,202,267
136,231,96
137,202,267
137,203,267
137,204,267
138,499,86
140,401,86
141,208,267
141,520,86
142,209,267
142,245,96
142,522,86
142,545,86
142,546,86
143,207,267
143,208,267
143,209,267
143,544,86
143,545,86
144,209,267
144,210,267
144,537,86
144,540,86
144,543,86
147,71,488
147,196,267
148,71,488
149,92,267
149,94,267
149,95,267
150,97,267
152,112,267
156,215,267
159,498,86
160,500,86
161,199,267
162,201,267
163,202,267
163,203,267
163,217,267
164,70,488
164,71,488
164,88,488
164,89,488
164,190,267
168,198,267
169,156,267
170,493,86
170,494,86
171,130,267
171,180,267
171,493,86
171,494,86
172,493,86
175,114,267
177,90,488
178,176,267
178,464,335
179,89,488
180,184,267
180,185,267
180,188,267
180,521,86
181,187,267
184,445,335
185,441,335
186,440,335
186,441,335
187,437,335
187,438,335
187,439,335
188,130,267
188,438,335
188,439,335
188,440,335
189,435,335
189,438,335
190,132,267
190,196,267
190,435,335
190,436,335
191,435,335
192,432,335
193,430,335
193,436,335
193,437,335
194,183,267
194,429,335
195,203,267
196,202,267
196,203,267
196,206,267
196,207,267
197,213,267
198,204,267
198,207,267
198,213,267
199,163,267
199,183,267
199,206,267
199,207,267
199,214,267
199,215,267
200,203,267
200,205,267
200,206,267
200,213,267
200,215,267
201,204,267
201,215,267
201,216,267
202,204,267
202,212,267
202,214,267
202,218,267
202,219,267
202,220,267
202,421,335
203,218,267
203,219,267
203,417,335
204,211,267
204,212,267
204,213,267
204,218,267
204,222,267
204,414,335
205,209,267
205,214,267
205,216,267
205,223,267
205,224,267
205,414,335
205,416,335
206,191,267
206,205,267
206,206,267
206,208,267
206,209,267
206,215,267
206,427,335
207,208,267
207,224,267
207,412,335
208,210,267
208,412,335
208,413,335
209,209,267
209,410,335
210,412,335
211,107,488
211,108,488
211,409,335
212,408,335
212,409,335
212,410,335
219,401,335
220,252,267
220,253,267
220,411,335
220,412,335
221,255,267
221,405,335
221,410,335
222,106,488
222,403,335
222,408,335
222,411,335
223,410,335
223,411,335
224,103,488
224,397,335
224,411,335
224,412,335
224,413,335
225,405,335
225,412,335
225,413,335
225,414,335
226,413,335
227,413,335
228,110,488
229,110,488
229,264,625
230,112,488
230,272,553
231,272,553
231,441,335
233,380,335
234,100,488
234,382,335
235,100,488
235,101,488
235,124,488
235,363,335
235,375,335
236,100,488
236,101,488
236,279,553
236,377,335
237,252,625
237,398,335
239,129,488
239,395,335
239,399,335
242,106,488
242,262,625
243,106,488
243,108,488
244,104,488
244,105,488
244,106,488
244,262,625
244,263,625
245,105,488
245,106,488
245,262,625
245,263,625
246,106,488
246,261,625
246,262,625
246,263,625
246,264,625
246,295,553
246,364,553
247,262,625
247,263,625
248,260,625
249,294,553
249,363,553
250,254,625
250,263,625
251,303,553
251,306,553
252,258,625
253,284,553
253,311,553
255,314,553
256,104,488
256,285,553
256,307,553
256,415,335
257,263,625
257,415,335
258,118,488
258,306,553
258,307,553
258,314,553
258,317,553
259,117,488
259,118,488
259,314,553
259,316,553
259,366,553
260,116,488
260,117,488
260,118,488
260,119,488
260,231,625
260,297,553
260,305,553
260,306,553
260,315,553
260,378,553
261,116,488
261,117,488
261,118,488
261,119,488
261,120,488
261,306,553
261,324,553
262,110,488
262,118,488
262,119,488
262,120,488
262,292,553
262,301,553
262,315,553
262,317,553
262,326,553
262,327,553
263,110,488
263,120,488
263,121,488
263,316,553
263,323,553
263,324,553
263,325,553
263,326,553
263,327,553
264,110,488
264,121,488
264,122,488
264,319,553
264,324,553
264,326,553
264,327,553
264,333,553
264,367,553
265,123,488
265,313,553
265,318,553
265,319,553
265,335,553
266,112,488
266,334,553
266,335,553
267,314,553
268,310,553
268,326,553
268,327,553
269,270,625
269,325,553
270,221,625
270,332,553
270,341,553
271,288,553
271,305,553
271,318,553
271,332,553
271,333,553
272,288,553
272,301,553
272,303,553
273,118,488
273,119,488
274,118,488
274,119,488
274,301,553
274,329,553
274,336,553
275,336,553
275,356,553
275,374,553
276,137,488
276,336,553
277,137,488
277,328,553
277,336,553
278,240,625
278,242,625
278,337,553
279,69,488
279,119,488
279,120,488
279,239,625
279,240,625
279,336,553
279,360,553
279,361,553
280,119,488
280,241,625
280,242,625
280,290,553
280,342,553
280,360,553
281,121,488
281,238,625
281,239,625
281,290,553
281,319,553
281,320,553
282,329,553
282,335,553
283,321,553
283,326,553
284,302,553
284,320,553
284,326,553
284,359,553
285,232,625
285,240,625
285,324,553
285,326,553
285,327,553
285,328,553
285,344,553
285,358,553
286,153,488
286,169,488
286,322,553
286,327,553
287,213,625
287,322,553
287,325,553
288,310,553
288,318,553
288,326,553
289,307,553
289,310,553
289,316,553
289,322,553
289,323,553
290,322,553
290,323,553
291,319,553
291,322,553
293,315,553
294,222,625
294,317,553
294,321,553
296,330,553
296,430,335
297,227,625
297,235,625
297,236,625
297,308,553
297,314,553
297,316,553
297,322,553
298,227,625
298,235,625
298,236,625
298,239,625
298,241,625
298,288,553
298,298,553
298,304,553
298,311,553
298,313,553
298,321,553
298,322,553
299,234,625
299,235,625
299,236,625
299,306,553
299,339,553
300,234,625
300,235,625
300,236,625
300,240,625
300,307,553
300,428,335
301,232,625
301,234,625
301,235,625
301,236,625
301,309,553
301,369,553
302,231,625
302,333,553
303,230,625
303,231,625
303,232,625
303,269,625
303,310,553
304,230,625
304,231,625
304,232,625
304,233,625
305,322,553
306,189,625
306,190,625
306,240,625
306,244,625
306,314,553
307,143,488
307,205,625
307,206,625
307,228,625
307,313,553
307,334,553
308,143,488
308,144,488
308,205,625
308,241,625
309,145,488
309,200,625
309,318,553
310,316,553
311,152,488
311,168,488
311,241,625
311,386,553
311,387,553
311,388,553
312,204,625
312,241,625
312,385,553
312,386,553
312,387,553
312,388,553
315,263,625
317,149,488
318,149,488
318,150,488
318,151,488
318,263,625
319,148,488
319,149,488
319,150,488
319,151,488
319,152,488
319,184,625
319,271,625
319,333,553
320,148,488
320,149,488
320,150,488
320,200,625
320,270,625
320,271,625
320,282,625
320,335,553
321,160,488
321,161,488
321,183,625
321,329,553
322,203,625
322,204,625
322,304,553
322,338,553
323,304,553
324,221,625
324,317,553
324,331,553
325,233,625
326,233,625
326,315,553
326,335,553
327,234,625
327,292,553
327,314,553
327,315,553
328,278,625
328,302,553
329,178,625
329,265,625
329,303,553
329,309,553
330,175,625
330,236,625
331,222,625
331,223,625
332,282,625
332,284,625
334,172,625
334,173,625
334,174,625
334,221,625
334,222,625
334,224,625
334,225,625
335,225,625
335,239,625
335,279,625
336,293,553
336,295,553
337,232,625
337,233,625
339,152,488
339,153,488
339,154,488
339,279,625
340,264,625
341,228,625
341,264,625
