"y","x","cluster_id"
13,76,77
25,83,77
26,85,77
27,87,77
27,88,77
28,82,77
32,121,77
35,109,77
36,108,77
36,109,77
36,110,77
37,106,77
37,107,77
37,108,77
37,111,77
38,80,77
38,82,77
39,64,77
41,318,261
42,319,261
42,320,261
42,326,157
44,75,77
44,81,77
44,316,261
44,325,261
45,347,157
46,71,77
46,88,77
46,152,275
46,355,157
47,82,77
47,112,77
47,354,157
47,359,157
48,85,77
48,96,77
48,100,77
48,101,77
48,130,77
49,72,77
49,121,77
49,123,77
49,355,157
50,76,77
50,123,77
50,317,261
51,88,77
52,67,77
52,68,77
52,146,275
52,147,275
52,148,275
53,52,77
53,71,77
53,72,77
53,74,77
53,105,77
53,106,77
53,305,261
53,355,157
54,71,77
54,303,261
54,321,261
54,393,157
55,105,77
55,305,261
55,352,157
55,385,157
56,300,261
56,381,157
57,312,261
57,341,157
57,349,157
58,58,77
58,70,77
58,89,77
58,91,77
58,340,157
58,382,157
59,74,77
59,381,157
59,395,157
60,163,275
60,164,275
60,330,261
61,57,77
61,91,77
61,164,275
61,165,275
61,296,261
62,164,275
62,165,275
63,164,275
63,165,275
63,333,157
64,164,275
64,165,275
64,171,275
64,318,261
64,368,157
64,369,157
65,170,275
65,396,157
66,329,261
66,378,157
66,379,157
66,396,157
67,378,157
67,379,157
68,176,275
69,209,275
69,313,261
69,380,157
70,77,77
70,205,275
70,372,157
70,377,157
71,179,275
71,206,275
71,306,261
71,307,261
71,382,157
72,312,261
72,374,157
73,373,157
73,374,157
75,175,275
75,299,261
75,368,157
75,387,157
76,296,261
76,370,157
77,162,275
77,367,157
77,368,157
77,369,157
78,162,275
78,367,157
78,368,157
78,369,157
78,370,157
78,384,157
79,150,275
79,369,157
79,372,157
79,383,157
79,384,157
80,150,275
80,187,275
81,156,275
81,158,275
81,181,275
81,186,275
81,295,261
81,360,157
81,377,157
81,384,157
82,156,275
82,188,275
82,189,275
82,218,275
82,299,261
82,361,157
83,71,77
83,156,275
83,181,275
83,182,275
83,189,275
83,298,261
83,394,157
84,129,275
84,153,275
84,154,275
84,155,275
84,156,275
84,182,275
84,218,275
84,295,261
84,314,261
84,373,157
84,392,157
84,394,157
85,73,77
85,152,275
85,153,275
85,154,275
85,155,275
85,156,275
85,179,275
85,311,261
85,363,157
85,380,157
85,385,157
85,386,157
85,391,157
86,153,275
86,154,275
86,155,275
86,156,275
86,294,261
86,366,157
86,386,157
86,395,157
87,153,275
87,154,275
87,155,275
87,188,275
87,295,261
87,298,261
87,299,261
87,364,157
87,365,157
87,394,157
88,152,275
88,153,275
88,154,275
88,219,275
89,151,275
89,152,275
89,153,275
89,154,275
90,298,261
90,313,261
90,396,157
91,175,275
91,191,275
92,151,275
92,299,261
92,375,157
92,384,157
93,49,77
93,51,77
93,82,77
94,301,261
95,378,157
96,138,275
96,292,261
96,397,157
97,97,77
97,138,275
97,165,275
97,291,261
97,293,261
98,47,77
98,296,261
99,91,77
99,148,275
99,168,275
99,294,261
99,297,261
99,376,157
100,334,261
100,376,157
100,384,157
101,336,261
102,139,275
102,165,275
102,193,275
103,141,275
103,304,261
104,140,275
104,151,275
105,140,275
105,147,275
105,149,275
105,151,275
105,183,275
105,318,261
105,342,261
106,140,275
106,141,275
106,143,275
106,150,275
106,151,275
106,184,275
106,313,261
107,143,275
107,185,275
107,313,261
107,314,261
108,101,275
108,102,275
108,127,275
108,185,275
108,312,261
108,313,261
108,314,261
109,134,275
109,185,275
109,186,275
109,187,275
109,299,261
109,313,261
109,341,261
110,102,275
110,141,275
110,185,275
110,298,261
110,302,261
110,303,261
110,304,261
110,305,261
110,309,261
110,342,261
111,142,275
111,168,275
111,192,275
111,301,261
111,302,261
112,302,261
112,311,261
113,190,275
