"y","x","cluster_id"
15,224,74
25,222,74
27,203,74
29,215,74
29,222,74
30,221,74
31,202,74
35,172,74
35,195,74
35,212,74
36,331,88
38,165,74
39,317,88
40,320,88
44,334,88
49,220,74
50,217,74
50,218,74
52,242,74
53,246,74
54,246,74
54,247,74
55,97,74
55,243,74
56,244,74
56,245,74
58,381,196
58,385,196
59,385,196
60,191,74
61,310,88
61,311,88
61,312,88
61,316,88
61,387,196
62,306,88
62,307,88
62,310,88
62,311,88
62,312,88
62,313,88
62,314,88
62,401,196
63,304,88
63,305,88
63,306,88
63,307,88
63,318,88
64,144,74
64,301,88
64,302,88
64,303,88
64,304,88
64,305,88
64,306,88
64,307,88
64,308,88
64,318,88
65,182,74
65,300,88
65,301,88
65,302,88
65,303,88
65,304,88
65,305,88
66,303,88
66,304,88
66,333,88
67,306,88
67,307,88
67,310,88
67,317,88
68,279,88
69,219,74
69,261,74
69,262,74
70,261,74
70,263,74
71,155,74
71,261,74
71,265,74
71,345,88
71,350,88
72,156,74
72,262,74
72,264,74
72,265,74
72,329,88
72,348,88
72,351,88
72,352,88
73,128,74
73,265,74
73,347,88
73,352,88
74,351,88
74,352,88
74,353,88
75,354,88
77,246,74
77,362,88
77,364,88
78,137,74
78,244,74
78,358,88
78,359,88
78,360,88
79,242,74
79,244,74
79,261,74
79,360,88
79,361,88
79,362,88
80,362,88
80,372,196
81,370,196
81,371,196
81,372,196
82,371,196
82,372,196
84,377,196
85,214,74
85,215,74
85,377,196
85,378,196
85,379,196
85,384,196
86,208,74
86,357,88
86,382,196
86,383,196
86,384,196
86,387,196
86,388,196
86,389,196
87,198,74
87,203,74
87,332,88
87,383,196
87,385,196
87,386,196
87,387,196
87,388,196
87,389,196
87,390,196
88,205,74
89,206,74
89,393,196
89,395,196
90,318,88
90,342,88
90,397,196
92,196,74
93,353,88
94,336,88
94,352,88
94,353,88
94,393,196
95,278,88
95,354,88
96,354,88
96,420,196
97,166,74
97,354,88
97,401,196
97,402,196
97,403,196
97,405,196
97,421,196
98,405,196
98,407,196
98,408,196
99,402,196
99,408,196
99,409,196
99,410,196
99,411,196
99,412,196
99,413,196
100,393,196
100,403,196
100,410,196
100,411,196
100,412,196
100,413,196
100,414,196
101,358,196
101,392,196
101,410,196
101,411,196
102,407,196
102,408,196
102,410,196
102,411,196
103,201,74
103,393,196
103,409,196
103,411,196
103,412,196
103,421,196
104,153,74
104,331,88
104,417,196
104,428,196
105,356,196
105,357,196
105,428,196
106,355,196
106,356,196
106,357,196
106,367,196
106,372,196
106,401,196
106,428,196
106,432,196
107,271,348
107,355,196
107,357,196
107,432,196
108,270,348
108,353,196
108,432,196
109,339,88
109,340,88
109,410,196
110,192,74
110,194,74
110,332,88
110,342,88
110,344,88
111,194,74
111,332,88
111,343,88
112,342,88
112,345,88
113,330,88
113,415,196
114,208,74
114,424,196
115,277,348
116,317,88
116,334,88
117,235,348
117,236,348
117,237,348
117,238,348
117,329,88
118,158,74
118,195,348
118,233,348
118,234,348
118,235,348
118,236,348
118,237,348
118,238,348
118,343,88
119,234,348
119,297,88
119,321,88
120,161,74
120,186,74
120,213,348
121,161,74
121,165,74
122,164,74
125,245,348
125,260,348
125,261,348
126,258,348
126,259,348
126,260,348
126,261,348
126,344,196
127,258,348
127,259,348
127,260,348
127,304,88
128,258,348
128,259,348
128,260,348
128,302,88
128,304,88
128,306,88
128,342,196
129,258,348
129,259,348
129,269,348
129,270,348
129,306,88
130,258,348
130,259,348
130,261,348
130,268,348
130,269,348
130,270,348
130,271,348
131,268,348
131,270,348
132,261,348
133,262,348
133,350,196
134,199,348
134,355,196
134,364,196
134,365,196
135,199,348
135,200,348
135,354,196
135,365,196
136,199,348
136,262,348
136,389,196
136,390,196
137,197,348
137,353,196
137,389,196
138,411,196
138,412,196
138,413,196
138,415,196
139,82,479
139,335,88
139,336,88
139,411,196
139,412,196
139,414,196
140,336,196
140,337,196
140,359,196
140,412,196
141,337,196
141,383,196
143,268,348
143,378,196
144,256,348
144,269,348
144,369,196
144,370,196
145,269,348
145,271,348
145,294,348
146,215,348
146,269,348
146,350,196
146,351,196
147,269,348
148,232,348
148,240,348
148,264,348
149,239,348
149,265,348
150,245,348
152,113,479
156,232,348
158,234,348
159,201,348
159,202,348
159,235,348
159,236,348
160,234,348
160,236,348
160,237,348
161,218,348
161,335,527
162,218,348
162,219,348
162,220,348
