"y","x","cluster_id"
19,341,161
20,359,186
24,314,161
24,341,161
26,310,161
26,311,161
28,297,161
30,316,161
30,328,161
31,311,161
31,312,161
31,314,161
31,315,161
31,316,161
32,297,161
38,100,607
38,221,161
38,274,161
38,275,161
39,171,607
39,195,369
43,178,369
43,192,369
43,221,161
44,218,161
44,219,161
44,339,161
46,192,369
47,205,369
47,359,186
48,163,607
48,489,421
49,347,186
49,378,186
50,256,161
50,308,161
50,309,161
50,444,186
51,308,161
51,309,161
51,310,161
52,265,161
52,266,161
52,267,161
52,309,161
52,310,161
52,311,161
52,313,161
52,314,161
52,315,161
52,316,161
52,445,186
53,264,161
53,265,161
53,267,161
53,268,161
53,313,161
53,407,186
53,446,186
54,264,161
54,265,161
54,266,161
54,267,161
54,268,161
54,269,161
54,270,161
54,271,161
54,277,161
54,278,161
54,434,186
54,437,186
54,438,186
54,445,186
54,448,186
55,159,607
55,263,161
55,264,161
55,265,161
55,266,161
55,267,161
55,268,161
55,269,161
55,434,186
56,159,607
56,263,161
56,264,161
56,265,161
56,266,161
56,320,161
56,381,186
56,382,186
56,383,186
56,433,186
56,488,421
57,71,935
57,381,186
57,382,186
57,383,186
57,384,186
57,385,186
57,403,186
57,490,421
58,383,186
58,384,186
58,385,186
59,130,607
59,242,161
59,304,161
59,369,186
60,156,607
60,413,186
61,155,607
61,156,607
61,159,607
61,418,186
62,234,161
62,367,186
63,231,369
63,306,161
63,367,186
64,230,369
64,306,161
64,307,161
64,403,186
65,234,369
65,406,186
65,437,186
65,455,421
66,231,369
66,318,161
67,313,161
67,401,186
67,456,421
67,482,421
68,279,161
68,313,161
68,314,161
68,320,161
68,321,161
68,322,161
68,323,161
68,324,161
68,398,186
68,401,186
68,405,186
69,277,161
69,278,161
69,320,161
69,321,161
69,322,161
69,323,161
69,324,161
69,402,186
69,403,186
69,424,186
69,448,421
69,519,421
70,275,161
70,277,161
70,278,161
70,291,161
70,323,161
70,402,186
70,403,186
71,278,161
71,279,161
71,280,161
71,404,186
72,438,186
73,419,186
73,448,421
74,288,161
75,485,421
76,360,186
77,254,161
77,354,186
77,386,186
78,382,186
78,386,186
78,434,186
78,465,421
78,491,421
79,60,935
79,387,186
80,387,186
80,388,186
81,237,369
81,239,369
81,240,369
81,241,369
81,426,186
82,82,935
82,357,186
82,358,186
82,359,186
82,478,421
83,233,369
83,244,369
83,245,369
83,310,161
83,370,186
83,372,186
83,376,186
83,377,186
83,380,186
84,249,369
84,250,369
84,258,161
84,265,161
84,373,186
84,376,186
84,380,186
84,381,186
84,382,186
84,443,421
84,456,421
85,233,369
85,235,369
85,258,161
85,368,186
85,375,186
85,429,186
86,173,607
86,237,369
86,238,369
86,239,369
86,249,369
86,250,369
86,383,186
87,195,369
88,388,186
89,244,369
89,374,186
89,432,421
89,507,421
90,208,369
90,351,186
90,371,186
91,271,161
91,375,186
91,384,186
92,217,369
92,299,161
92,351,186
92,421,186
93,298,161
93,299,161
93,300,161
93,335,161
93,392,186
93,411,186
94,299,161
94,300,161
94,301,161
94,335,161
95,298,161
95,299,161
95,300,161
95,301,161
96,201,369
96,209,369
96,299,161
96,300,161
96,301,161
96,304,161
96,397,186
96,400,186
97,286,161
97,299,161
97,300,161
97,304,161
97,397,186
97,399,186
98,296,161
98,299,161
98,305,161
98,407,186
99,299,161
99,353,186
100,202,369
100,215,369
100,230,369
100,237,369
100,238,369
100,289,161
101,299,161
101,435,421
102,198,369
102,213,369
102,417,421
103,213,369
103,214,369
103,293,161
104,195,607
104,250,369
105,194,607
105,195,607
105,196,369
105,251,369
105,252,369
105,305,161
105,308,161
105,439,421
105,472,421
106,194,607
106,195,607
106,199,369
106,218,369
106,251,369
106,306,161
106,308,161
106,439,421
106,440,421
107,228,369
107,231,369
107,301,161
107,302,161
107,307,161
107,312,161
107,371,186
107,388,186
108,467,421
109,217,369
109,441,421
110,298,161
111,353,186
112,227,369
112,300,161
112,310,161
112,331,161
112,353,186
112,354,186
112,355,186
113,206,369
113,353,186
113,354,186
113,355,186
114,197,607
114,354,186
114,355,186
114,486,421
115,254,369
115,277,369
115,428,421
116,181,607
116,222,369
116,381,186
116,431,421
117,345,874
117,381,186
117,382,186
117,477,421
117,486,421
118,189,607
118,274,369
118,347,874
118,348,874
118,352,874
118,382,186
118,383,186
118,411,421
118,477,421
119,254,369
119,273,369
119,383,186
119,477,421
120,186,607
120,231,369
120,239,369
121,275,369
121,381,186
121,383,186
122,23,935
122,185,607
122,201,607
122,275,369
122,276,369
122,282,369
122,354,874
122,421,421
122,442,421
123,231,369
123,254,369
123,275,369
123,276,369
123,277,369
123,336,874
123,337,874
123,474,421
123,480,421
123,481,421
123,483,421
124,229,369
124,275,369
124,276,369
124,277,369
124,425,421
124,474,421
124,481,421
124,482,421
124,483,421
125,199,607
125,225,369
125,226,369
125,243,369
125,277,369
125,278,369
125,361,874
125,373,874
125,417,421
125,473,421
125,481,421
126,192,607
126,219,369
126,276,369
126,278,369
126,279,369
126,331,874
126,361,874
126,389,186
126,443,421
126,472,421
127,228,369
127,276,369
127,278,369
127,361,874
127,362,874
127,389,186
127,425,421
128,240,369
128,252,369
128,262,369
128,263,369
128,266,369
128,277,369
128,279,369
128,281,369
128,355,874
128,356,874
129,169,607
129,278,369
129,280,369
129,283,369
129,356,874
129,357,874
129,359,874
129,360,874
129,480,421
130,268,369
130,279,369
130,360,874
130,361,874
130,448,421
130,473,421
130,480,421
131,94,935
131,173,607
131,174,607
131,205,369
131,224,369
131,308,874
131,361,874
132,166,607
132,169,607
132,170,607
132,171,607
132,172,607
132,174,607
132,248,369
132,307,874
132,308,874
132,336,874
132,365,874
133,165,607
133,166,607
133,169,607
133,170,607
133,171,607
133,233,369
133,240,369
133,363,874
133,468,421
133,469,421
133,470,421
134,165,607
134,166,607
134,171,607
134,226,369
134,233,369
134,283,369
134,379,874
134,419,421
134,420,421
134,421,421
134,468,421
134,469,421
135,165,607
135,166,607
135,171,607
135,286,369
135,338,874
135,409,421
135,419,421
135,420,421
135,426,421
135,469,421
136,162,607
136,164,607
136,165,607
136,166,607
136,167,607
136,229,369
136,242,369
136,286,369
136,419,421
136,420,421
137,165,607
137,166,607
137,167,607
137,168,607
137,171,607
137,244,369
137,274,369
137,275,369
137,276,369
137,288,369
137,289,369
137,328,874
137,419,421
137,420,421
137,465,421
138,163,607
138,164,607
138,165,607
138,166,607
138,167,607
138,168,607
138,171,607
138,172,607
138,173,607
138,212,369
138,220,369
138,275,369
138,276,369
138,420,421
139,162,607
139,163,607
139,167,607
139,168,607
139,171,607
139,173,607
139,223,369
139,239,369
139,365,874
140,163,607
140,164,607
140,173,607
140,223,369
140,227,369
140,237,369
140,238,369
140,338,874
140,363,874
140,368,874
140,413,421
141,163,607
141,164,607
141,170,607
141,171,607
141,173,607
141,219,369
141,221,369
141,222,369
141,223,369
141,237,369
141,287,369
141,311,874
141,340,874
141,411,421
141,418,421
141,419,421
142,93,935
142,162,607
142,172,607
142,173,607
142,174,607
142,204,607
142,219,369
142,221,369
142,417,421
142,419,421
142,420,421
143,161,607
143,162,607
143,203,607
143,215,369
143,218,369
143,219,369
143,364,874
143,415,421
143,416,421
143,417,421
143,418,421
143,420,421
144,91,935
144,92,935
144,171,607
144,172,607
144,229,369
144,290,369
144,322,874
144,340,874
144,341,874
144,416,421
144,417,421
144,418,421
145,154,607
145,172,607
145,173,607
145,321,874
145,340,874
145,417,421
145,418,421
146,93,935
146,172,607
146,174,607
146,292,369
146,346,874
146,376,874
146,417,421
146,418,421
146,419,421
146,420,421
146,461,421
147,236,369
