"y","x","cluster_id"
18,368,450
21,370,450
22,367,450
24,384,450
24,400,450
25,310,561
25,325,561
25,327,561
25,369,450
25,400,450
26,389,450
26,401,450
27,289,561
27,298,561
27,401,450
28,291,561
28,298,561
28,307,561
28,308,561
28,310,561
28,326,561
28,354,450
28,367,450
28,397,450
28,398,450
29,291,561
29,305,561
29,308,561
29,309,561
29,310,561
29,392,450
29,397,450
29,398,450
30,286,561
30,289,561
30,290,561
30,295,561
30,305,561
30,308,561
30,311,561
30,327,561
30,401,450
31,289,561
31,291,561
31,292,561
31,294,561
31,295,561
31,296,561
31,307,561
31,312,561
31,316,561
31,317,561
32,276,561
32,277,561
32,290,561
32,295,561
32,306,561
32,308,561
32,309,561
32,327,561
32,343,450
32,354,450
32,358,450
32,369,450
32,404,450
33,267,561
33,291,561
33,292,561
33,294,561
33,303,561
33,304,561
33,305,561
33,308,561
33,313,561
33,357,450
33,358,450
33,363,450
33,381,450
33,397,450
34,245,768
34,266,561
34,267,561
34,268,561
34,301,561
34,304,561
34,305,561
34,307,561
34,308,561
34,310,561
34,311,561
34,314,561
34,339,450
34,353,450
34,354,450
34,355,450
34,362,450
34,363,450
34,367,450
34,371,450
34,378,450
34,379,450
34,381,450
34,382,450
34,406,450
34,410,450
35,265,561
35,266,561
35,267,561
35,268,561
35,269,561
35,280,561
35,295,561
35,296,561
35,308,561
35,309,561
35,352,450
35,354,450
35,355,450
35,356,450
35,359,450
35,361,450
35,362,450
35,363,450
35,379,450
35,385,450
36,262,561
36,264,561
36,265,561
36,267,561
36,268,561
36,269,561
36,274,561
36,281,561
36,282,561
36,290,561
36,293,561
36,310,561
36,314,561
36,334,450
36,351,450
36,352,450
36,353,450
36,358,450
36,381,450
36,386,450
36,403,450
37,247,768
37,262,561
37,263,561
37,264,561
37,292,561
37,293,561
37,294,561
37,303,561
37,309,561
37,343,450
37,351,450
37,352,450
37,354,450
37,377,450
37,379,450
37,395,450
37,402,450
37,403,450
37,404,450
37,406,450
37,408,450
37,413,814
38,249,768
38,251,768
38,252,768
38,255,768
38,258,768
38,262,561
38,263,561
38,265,561
38,267,561
38,268,561
38,269,561
38,272,561
38,273,561
38,292,561
38,294,561
38,296,561
38,301,561
38,314,561
38,315,561
38,323,561
38,345,450
38,353,450
38,354,450
38,355,450
38,357,450
38,360,450
38,367,450
38,368,450
38,369,450
38,373,450
38,376,450
38,377,450
38,378,450
38,379,450
38,401,450
38,402,450
38,412,814
38,414,814
39,249,768
39,251,768
39,252,768
39,253,768
39,254,768
39,255,768
39,256,768
39,257,768
39,259,768
39,260,561
39,262,561
39,263,561
39,264,561
39,265,561
39,266,561
39,267,561
39,269,561
39,279,561
39,281,561
39,285,561
39,292,561
39,293,561
39,300,561
39,301,561
39,305,561
39,315,561
39,316,561
39,318,561
39,319,561
39,320,561
39,340,450
39,344,450
39,353,450
39,354,450
39,355,450
39,356,450
39,357,450
39,375,450
39,379,450
39,385,450
39,401,450
39,403,450
40,247,768
40,251,768
40,254,768
40,255,768
40,256,768
40,257,768
40,258,768
40,259,768
40,260,561
40,262,561
40,263,561
40,264,561
40,265,561
40,266,561
40,267,561
40,268,561
40,271,561
40,279,561
40,295,561
40,296,561
40,297,561
40,298,561
40,299,561
40,300,561
40,301,561
40,315,561
40,340,450
40,341,450
40,342,450
40,343,450
40,345,450
40,354,450
40,356,450
40,357,450
40,370,450
40,379,450
40,385,450
40,388,450
40,390,450
40,394,450
40,407,450
40,411,814
41,253,768
41,255,768
41,256,768
41,257,768
41,258,768
41,259,768
41,262,561
41,263,561
41,265,561
41,268,561
41,269,561
41,282,561
41,295,561
41,297,561
41,298,561
41,299,561
41,306,561
41,332,561
41,338,450
41,339,450
41,343,450
41,354,450
41,355,450
41,357,450
41,366,450
41,369,450
41,374,450
41,379,450
41,380,450
41,384,450
41,387,450
41,407,450
42,257,768
42,258,768
42,262,561
42,263,561
42,266,561
42,268,561
42,279,561
42,283,561
42,294,561
42,296,561
42,297,561
42,298,561
42,379,450
42,380,450
42,386,450
42,397,450
42,405,450
42,411,814
42,412,814
42,415,814
42,416,814
43,263,561
43,265,561
43,267,561
43,269,561
43,270,561
43,271,561
43,281,561
43,285,561
43,287,561
43,290,561
43,356,450
43,369,450
43,379,450
43,405,450
44,174,768
44,263,561
44,264,561
44,266,561
44,287,561
44,290,561
44,291,561
44,324,561
44,340,450
44,341,450
44,351,450
44,353,450
44,354,450
44,365,450
44,397,450
44,398,450
44,406,450
44,407,450
44,412,814
44,413,814
44,414,814
45,263,561
45,285,561
45,291,561
45,323,561
45,325,561
45,353,450
45,355,450
45,356,450
45,378,450
45,381,450
45,403,450
45,409,814
45,410,814
45,414,814
45,415,814
45,417,814
45,422,814
46,265,561
46,270,561
46,274,561
46,285,561
46,289,561
46,304,561
46,328,561
46,355,450
46,356,450
46,357,450
46,370,450
46,382,450
46,400,450
46,401,450
46,405,450
46,421,814
47,275,561
47,300,561
47,346,450
47,355,450
47,358,450
47,380,450
47,395,450
47,416,814
47,421,814
47,436,814
48,176,768
48,177,768
48,306,561
48,311,561
48,312,561
48,313,561
48,316,561
48,318,561
48,379,450
48,382,450
48,406,450
48,418,814
48,421,814
48,423,814
49,240,768
49,244,768
49,250,768
49,251,768
49,265,561
49,311,561
49,312,561
49,317,561
49,318,561
49,319,561
49,329,561
49,346,450
49,357,450
49,360,450
49,373,450
49,377,450
49,385,450
49,386,450
49,387,450
49,396,450
49,406,814
49,407,814
49,417,814
49,419,814
49,420,814
49,424,814
50,240,768
50,272,561
50,277,561
50,319,561
50,344,450
50,385,450
50,410,814
50,416,814
50,418,814
50,419,814
50,424,814
50,431,814
51,242,768
51,248,768
51,249,768
51,250,768
51,255,768
51,277,561
51,280,561
51,318,561
51,319,561
51,329,561
51,363,450
51,365,450
51,388,450
51,398,450
51,411,814
51,413,814
51,425,814
51,426,814
51,432,814
52,237,768
52,242,768
52,245,768
52,255,768
52,286,561
52,306,561
52,314,561
52,318,561
52,328,561
52,348,450
52,364,450
52,391,450
52,398,450
52,399,450
52,413,814
52,421,814
52,430,814
53,237,768
53,240,768
53,248,768
53,250,768
53,312,561
53,314,561
53,319,561
53,320,561
53,344,450
53,347,450
53,351,450
53,416,814
53,421,814
53,425,814
54,214,768
54,238,768
54,248,768
54,249,768
54,322,561
54,325,561
54,343,450
54,345,450
54,367,450
54,379,450
54,380,450
54,393,450
54,400,450
54,405,814
54,406,814
54,413,814
54,422,814
54,423,814
54,424,814
54,425,814
55,217,768
55,299,561
55,322,561
55,326,561
55,327,561
55,328,561
55,329,561
55,338,450
55,380,450
55,392,450
55,406,814
55,415,814
55,416,814
55,417,814
55,425,814
55,426,814
56,217,768
56,296,561
56,313,561
56,316,561
56,326,561
56,327,561
56,344,450
56,359,450
56,360,450
56,379,450
56,392,450
57,214,768
57,215,768
57,249,768
57,250,768
57,251,768
57,291,561
57,300,561
57,321,561
57,352,450
57,361,450
57,379,450
57,382,450
57,392,450
57,405,814
57,408,814
57,415,814
57,416,814
58,212,768
58,214,768
58,242,768
58,243,768
58,292,561
58,293,561
58,300,561
58,382,450
58,401,450
58,403,814
58,404,814
58,407,814
58,423,814
58,425,814
58,429,814
59,245,768
59,246,768
59,289,561
59,381,450
59,382,450
59,407,814
59,424,814
60,214,768
60,215,768
60,244,768
60,245,768
60,264,768
60,289,561
60,291,561
60,322,561
60,323,561
60,330,561
60,351,450
60,359,450
60,379,450
60,380,450
60,381,450
60,393,450
60,396,450
60,403,814
60,430,814
60,442,814
61,214,768
61,227,768
61,263,768
61,316,561
61,347,450
61,380,450
61,381,450
61,384,450
61,394,450
61,395,450
61,411,814
61,418,814
61,429,814
61,433,814
62,169,768
62,212,768
62,228,768
62,263,768
62,268,561
62,274,561
62,292,561
62,293,561
62,294,561
62,296,561
62,316,561
62,358,450
62,390,450
62,396,450
62,404,814
62,411,814
62,434,814
63,211,768
63,212,768
63,263,768
63,273,561
63,294,561
63,349,450
63,375,450
63,389,450
64,213,768
64,263,768
64,264,768
64,272,561
64,274,561
64,296,561
64,321,561
64,323,561
64,349,450
64,357,450
64,375,450
64,388,450
64,412,814
64,413,814
64,438,814
65,258,768
65,261,768
65,264,768
65,268,561
65,274,561
65,294,561
65,321,561
65,323,561
65,324,561
65,347,450
65,374,450
65,389,450
65,405,814
65,406,814
65,407,814
66,200,768
66,243,768
66,257,768
66,266,768
66,275,561
66,347,450
66,393,450
66,406,814
66,416,814
67,199,768
67,200,768
67,201,768
67,202,768
67,235,768
67,277,561
67,278,561
67,301,561
67,322,561
67,323,561
67,380,450
67,394,450
67,411,814
67,426,814
68,205,768
68,220,768
68,236,768
68,268,561
68,323,561
68,356,450
68,415,814
68,416,814
69,215,768
69,224,768
69,237,768
69,238,768
69,253,768
69,264,768
69,277,561
69,281,561
69,282,561
69,363,450
70,214,768
70,215,768
70,216,768
70,219,768
70,226,768
70,239,768
70,252,768
70,302,561
70,335,561
70,336,561
70,388,450
71,213,768
71,214,768
71,239,768
71,245,768
71,246,768
71,254,768
71,255,768
71,269,561
71,278,561
71,279,561
71,338,450
71,381,450
71,387,450
71,436,814
71,444,814
72,215,768
72,221,768
72,236,768
72,239,768
72,245,768
72,259,768
72,260,768
72,281,561
72,298,561
72,387,450
72,411,814
73,215,768
73,218,768
73,222,768
73,224,768
73,225,768
73,226,768
73,238,768
73,267,768
73,290,561
73,292,561
73,294,561
73,295,561
73,299,561
73,339,450
73,340,450
73,349,450
73,358,450
73,395,814
73,409,814
73,411,814
73,413,814
73,432,814
74,214,768
74,215,768
74,219,768
74,222,768
74,224,768
74,239,768
74,274,561
74,292,561
74,341,450
74,342,450
74,349,450
74,389,450
74,391,450
74,404,814
74,412,814
74,427,814
74,431,814
74,433,814
74,436,814
74,442,814
74,444,814
75,215,768
75,239,768
75,240,768
75,264,768
75,286,561
75,319,561
75,321,561
75,335,561
75,358,450
75,379,450
75,386,450
75,388,450
75,389,450
75,391,450
75,430,814
75,432,814
75,433,814
76,214,768
76,218,768
76,220,768
76,264,768
76,277,561
76,293,561
76,295,561
76,313,561
76,358,450
76,359,450
76,391,450
76,434,814
76,440,814
77,210,768
77,213,768
77,277,561
77,288,561
77,289,561
77,293,561
77,295,561
77,296,561
77,297,561
77,312,561
77,313,561
77,359,450
77,360,450
77,376,450
77,431,814
77,435,814
78,289,561
78,293,561
78,312,561
78,313,561
78,314,561
78,324,561
78,359,450
78,390,450
78,432,814
79,296,561
79,298,561
79,313,561
79,314,561
79,321,561
79,376,450
79,379,450
79,434,814
79,439,814
80,241,768
80,272,561
80,290,561
80,328,561
80,359,450
80,361,450
80,369,450
80,372,450
80,378,450
80,381,450
80,382,450
80,389,450
80,395,814
80,427,814
80,438,814
80,439,814
80,440,814
81,147,1428
81,292,561
81,293,561
81,297,561
81,307,561
81,315,561
81,328,561
81,339,450
81,395,814
81,432,814
81,439,814
81,444,814
81,447,814
82,246,768
82,295,561
82,373,450
82,378,450
82,425,814
82,441,814
82,443,814
82,446,814
82,447,814
82,448,814
83,196,768
83,299,561
83,362,450
83,373,450
83,374,450
83,385,450
83,390,450
83,423,814
83,427,814
83,429,814
83,430,814
83,438,814
83,442,814
83,443,814
83,447,814
83,448,814
84,197,768
84,245,768
84,300,561
84,305,561
84,375,450
84,379,450
84,386,450
84,438,814
84,444,814
84,447,814
84,448,814
85,196,768
85,296,561
85,305,561
85,374,450
85,387,450
85,409,814
85,412,814
85,426,814
85,434,814
85,435,814
85,438,814
85,447,814
86,196,768
86,207,768
86,298,561
86,299,561
86,303,561
86,304,561
86,308,561
86,350,1326
86,378,450
86,383,450
86,428,814
86,433,814
86,446,814
87,299,561
87,303,561
87,305,561
87,306,561
87,373,450
87,375,450
87,378,450
87,381,450
87,382,450
87,415,814
87,427,814
87,429,814
87,430,814
88,206,768
88,207,768
88,303,561
88,412,814
88,429,814
88,431,814
88,436,814
89,206,768
89,209,768
89,270,768
89,304,561
89,368,450
89,369,450
89,410,814
89,427,814
90,144,1428
90,209,768
90,230,768
90,231,768
90,257,768
90,301,561
90,373,450
90,374,450
90,381,450
90,409,814
90,414,814
90,434,814
90,442,814
91,234,768
91,264,768
91,301,561
91,302,561
91,304,561
91,312,561
91,354,1326
91,375,450
91,442,814
92,147,1428
92,182,1428
92,287,561
92,304,561
92,379,450
92,409,814
