"y","x","cluster_id"
7,448,341
10,620,66
10,641,66
10,645,66
10,646,66
11,620,66
11,639,66
11,640,66
11,641,66
11,642,66
12,634,66
12,635,66
12,636,66
12,641,66
12,642,66
12,643,66
12,644,66
12,646,66
13,630,66
13,632,66
13,633,66
13,636,66
13,637,66
13,638,66
13,639,66
13,641,66
13,642,66
13,643,66
13,644,66
13,645,66
13,646,66
14,632,66
14,633,66
14,634,66
14,635,66
14,636,66
14,637,66
14,638,66
14,639,66
14,640,66
14,641,66
14,643,66
14,644,66
14,645,66
14,646,66
15,227,373
15,634,66
15,640,66
15,641,66
15,642,66
15,643,66
15,644,66
15,645,66
15,646,66
16,639,66
16,640,66
16,641,66
16,642,66
16,643,66
16,644,66
16,645,66
16,646,66
17,620,66
17,621,66
17,622,66
17,631,66
17,632,66
17,634,66
17,635,66
17,639,66
17,646,66
17,649,66
18,620,66
18,621,66
18,622,66
18,623,66
18,625,66
18,634,66
18,635,66
18,636,66
18,638,66
18,648,66
19,636,66
20,640,66
22,542,66
23,642,66
24,641,66
27,278,373
30,281,373
31,384,341
32,384,341
32,386,341
33,385,341
33,386,341
34,346,341
34,385,341
35,385,341
36,385,341
37,304,373
37,306,373
37,392,341
37,393,341
38,315,373
38,394,341
38,395,341
39,395,341
39,396,341
39,397,341
40,303,373
40,308,373
40,325,373
40,374,341
40,378,341
40,379,341
40,395,341
40,396,341
40,397,341
41,309,373
41,369,341
41,379,341
41,380,341
41,395,341
41,396,341
41,397,341
42,316,373
42,379,341
42,394,341
42,395,341
42,396,341
43,394,341
43,395,341
43,433,341
43,434,341
44,436,341
44,446,341
44,448,341
45,437,341
45,444,341
45,445,341
45,446,341
45,448,341
46,549,66
47,359,341
47,441,341
48,383,341
48,441,341
48,442,341
48,452,341
48,538,66
48,558,66
49,382,341
49,383,341
49,444,341
50,443,341
50,456,341
51,385,341
52,208,373
52,455,341
52,458,341
52,460,341
52,461,341
52,462,341
53,389,341
53,442,341
53,461,341
53,464,341
54,416,341
54,460,341
54,463,341
54,464,341
54,466,341
55,379,341
55,380,341
55,393,341
56,382,341
56,384,341
56,385,341
56,392,341
56,393,341
56,442,341
56,446,341
56,470,341
57,57,2244
57,204,373
57,382,341
57,383,341
57,384,341
57,385,341
57,441,341
57,447,341
57,467,341
57,468,341
57,472,341
58,208,373
58,382,341
58,383,341
58,384,341
58,385,341
58,386,341
58,448,341
58,470,341
58,471,341
59,208,373
59,304,373
59,384,341
59,385,341
59,386,341
59,421,341
59,448,341
59,449,341
59,450,341
59,451,341
59,452,341
59,465,341
59,471,341
59,472,341
59,562,66
59,621,66
60,188,373
60,201,373
60,207,373
60,208,373
60,385,341
60,386,341
60,387,341
60,414,341
60,420,341
60,443,341
60,448,341
60,449,341
60,450,341
60,451,341
60,452,341
60,466,341
60,471,341
60,472,341
60,473,341
60,474,341
60,562,66
61,207,373
61,208,373
61,444,341
61,448,341
61,449,341
61,450,341
61,451,341
61,452,341
61,453,341
61,472,341
61,473,341
62,207,373
62,208,373
62,209,373
62,450,341
62,451,341
62,452,341
62,453,341
62,454,341
62,470,341
62,471,341
62,472,341
62,473,341
62,474,341
62,475,341
63,61,2244
63,207,373
63,208,373
63,209,373
63,223,373
63,434,341
63,452,341
63,454,341
63,472,341
63,473,341
63,474,341
63,475,341
64,207,373
64,208,373
64,417,341
64,424,341
64,476,341
64,477,341
65,309,373
65,422,341
65,473,341
65,475,341
65,477,341
66,478,341
67,425,341
71,217,373
71,422,341
72,217,373
73,216,373
74,615,66
75,58,2244
75,230,373
75,613,66
76,229,373
77,56,2244
78,56,2244
78,220,373
78,284,373
78,285,373
79,222,373
79,225,373
79,281,373
79,282,373
79,283,373
79,284,373
79,285,373
80,279,373
80,280,373
80,281,373
80,282,373
80,283,373
80,284,373
81,281,373
81,282,373
82,277,373
82,278,373
82,524,1018
83,623,66
84,508,341
86,257,373
86,258,373
86,259,373
