"y","x","cluster_id"
27,51,92
27,52,92
27,53,92
28,50,92
28,51,92
28,52,92
28,54,92
28,55,92
29,46,92
29,47,92
29,51,92
29,52,92
29,53,92
29,54,92
29,55,92
29,56,92
30,44,92
30,47,92
30,51,92
30,52,92
30,53,92
30,54,92
30,55,92
31,43,92
31,47,92
31,48,92
31,52,92
31,53,92
32,42,92
32,43,92
32,44,92
32,47,92
32,48,92
32,49,92
32,52,92
32,53,92
33,42,92
33,43,92
33,44,92
33,46,92
33,47,92
33,48,92
33,49,92
33,50,92
33,51,92
33,53,92
33,54,92
33,57,92
33,58,92
33,59,92
33,60,92
34,41,92
34,42,92
34,46,92
34,47,92
34,54,92
34,55,92
34,57,92
34,58,92
34,59,92
34,60,92
35,39,92
35,41,92
35,42,92
35,43,92
35,47,92
35,51,92
35,52,92
35,55,92
35,56,92
35,57,92
35,58,92
35,60,92
35,61,92
36,38,92
36,42,92
36,43,92
36,49,92
36,52,92
36,56,92
36,57,92
36,60,92
36,61,92
36,62,92
37,39,92
37,42,92
37,43,92
37,44,92
37,46,92
37,47,92
37,48,92
37,50,92
37,52,92
37,53,92
37,56,92
37,57,92
37,61,92
38,40,92
38,42,92
38,43,92
38,44,92
38,45,92
38,46,92
38,49,92
38,50,92
38,51,92
38,52,92
38,53,92
38,54,92
38,57,92
38,58,92
38,62,92
38,63,92
38,66,353
39,41,92
39,42,92
39,43,92
39,44,92
39,45,92
39,46,92
39,49,92
39,50,92
39,51,92
39,52,92
39,53,92
39,54,92
39,57,92
39,58,92
39,59,92
39,62,92
39,63,92
39,65,353
39,66,353
39,67,353
40,36,92
40,37,92
40,45,92
40,46,92
40,51,92
40,52,92
40,53,92
40,54,92
40,57,92
40,58,92
40,59,92
40,62,353
40,63,353
41,38,92
41,41,92
41,42,92
41,58,92
41,59,92
41,62,353
41,63,353
41,64,353
42,40,92
42,41,92
42,42,92
42,43,92
42,48,92
42,49,92
42,62,353
42,63,353
43,42,92
43,43,92
43,44,92
43,48,92
43,49,92
43,66,353
43,67,353
43,70,353
43,102,675
44,34,410
44,35,410
44,36,410
44,44,92
44,45,92
44,46,92
44,47,92
44,48,92
44,53,92
44,54,92
44,55,92
44,68,353
44,69,353
45,34,410
45,35,410
45,36,410
45,37,410
45,46,92
45,47,92
45,54,92
45,55,353
45,56,353
45,57,353
45,58,353
45,59,353
45,60,353
46,35,410
46,36,410
46,39,410
46,41,410
46,47,92
46,48,92
46,53,353
46,54,353
46,55,353
46,56,353
46,57,353
46,58,353
46,59,353
46,60,353
46,61,353
46,65,353
46,66,353
47,32,410
47,33,410
47,36,410
47,40,410
47,42,410
47,43,410
47,44,410
47,47,92
47,48,92
47,49,92
47,50,92
47,52,353
47,53,353
47,54,353
47,57,353
47,58,353
47,59,353
47,60,353
47,64,353
47,65,353
47,66,353
47,67,353
47,68,353
47,70,353
48,32,410
48,33,410
48,34,410
48,35,410
48,36,410
48,42,410
48,43,410
48,44,410
48,45,410
48,46,410
48,47,92
48,48,92
48,49,92
48,50,353
48,53,353
48,54,353
48,56,353
48,57,353
48,58,353
48,59,353
48,60,353
48,61,353
48,63,353
48,64,353
48,65,353
48,66,353
48,67,353
49,33,410
49,34,410
49,35,410
49,36,410
49,37,410
49,38,410
49,39,410
49,40,410
49,42,410
49,44,410
49,46,410
49,47,410
49,48,410
49,49,353
49,50,353
49,51,353
49,54,353
49,56,353
49,57,353
49,58,353
49,59,353
49,60,353
49,61,353
49,63,353
49,64,353
49,65,353
49,66,353
49,68,353
49,70,353
49,106,675
50,34,410
50,35,410
50,36,410
50,37,410
50,38,410
50,39,410
50,40,410
50,41,410
50,48,410
50,49,353
50,50,353
50,51,353
50,52,353
50,54,353
50,55,353
50,57,353
50,58,353
50,59,353
50,60,353
50,61,353
50,64,353
50,65,353
50,69,353
50,70,353
51,30,410
51,35,410
51,36,410
51,37,410
51,38,410
51,39,410
51,40,410
51,41,410
51,50,353
51,51,353
51,53,353
51,54,353
51,55,353
51,58,353
51,59,353
51,60,353
51,61,353
51,64,353
51,65,353
52,28,410
52,30,410
52,43,410
52,49,353
52,50,353
52,51,353
52,52,353
52,53,353
52,54,353
52,56,353
52,57,353
52,58,353
52,59,353
52,60,353
52,61,353
52,62,353
52,63,353
52,66,353
52,68,353
52,69,353
52,106,675
52,107,675
53,32,410
53,43,410
53,44,410
53,45,410
53,46,410
53,47,410
53,48,410
53,49,353
53,50,353
53,51,353
53,52,353
53,53,353
53,54,353
53,62,353
53,68,353
53,106,675
53,107,675
54,28,410
54,29,410
54,31,410
54,32,410
54,33,410
54,42,410
54,43,410
54,46,410
54,47,410
54,48,410
54,49,410
54,50,353
54,51,353
54,52,353
54,53,353
54,54,353
54,65,353
54,66,353
54,67,353
54,68,353
54,69,353
54,99,675
54,102,675
54,106,675
54,107,675
55,28,410
55,29,410
55,30,410
55,33,410
55,36,410
55,37,410
55,38,410
55,39,410
55,40,410
55,41,410
55,42,410
55,54,353
55,55,353
55,56,353
55,61,353
55,62,353
55,63,353
55,64,353
55,65,353
55,66,353
55,67,353
55,68,353
55,69,353
55,98,675
55,99,675
55,100,675
55,101,675
55,102,675
55,106,675
55,107,675
55,108,675
55,109,675
55,110,675
56,27,410
56,28,410
56,29,410
56,37,410
56,40,410
56,41,410
56,42,410
56,53,353
56,54,353
56,55,353
56,57,353
56,58,353
56,59,353
56,60,353
56,61,353
56,62,353
56,63,353
56,65,353
56,66,353
56,67,353
56,68,353
56,89,675
56,90,675
56,91,675
56,98,675
56,99,675
56,100,675
56,101,675
56,102,675
57,34,410
57,35,410
57,36,410
57,47,410
57,48,410
57,49,410
57,50,353
57,51,353
57,52,353
57,53,353
57,57,353
57,58,353
57,59,353
57,60,353
57,61,353
57,66,353
57,89,675
57,90,675
57,95,675
57,96,675
57,97,675
57,98,675
57,101,675
57,102,675
58,34,410
58,44,410
58,45,410
58,46,410
58,47,410
58,48,410
58,49,410
58,50,353
58,51,353
58,57,353
58,58,353
58,59,353
58,60,353
58,61,353
58,72,353
58,87,675
58,88,675
58,89,675
58,90,675
58,94,675
58,95,675
58,98,675
58,99,675
58,100,675
58,101,675
58,102,675
58,108,675
59,38,410
59,44,410
59,45,410
59,46,410
59,47,410
59,48,410
59,49,410
59,50,353
59,58,353
59,61,353
59,62,353
59,63,353
59,69,353
59,70,353
59,78,872
59,85,675
59,86,675
59,87,675
59,88,675
59,91,675
59,93,675
59,94,675
59,95,675
59,98,675
59,99,675
59,100,675
59,101,675
59,102,675
59,103,675
59,105,675
59,106,675
59,107,675
59,108,675
59,109,675
60,27,410
60,30,410
60,31,410
60,34,410
60,38,410
60,39,410
60,40,410
60,50,353
60,60,353
60,62,353
60,63,353
60,64,353
60,65,353
60,72,872
60,79,872
60,85,675
60,86,675
60,87,675
60,91,675
60,94,675
60,95,675
60,96,675
60,98,675
60,99,675
60,100,675
60,101,675
60,107,675
60,109,675
61,25,410
61,26,410
61,27,410
61,28,410
61,29,410
61,30,410
61,33,410
61,34,410
61,38,410
61,40,410
61,41,410
61,42,410
61,54,353
61,58,353
61,59,353
61,63,353
61,64,353
61,67,353
61,68,872
61,79,872
61,85,675
61,86,675
61,89,675
61,90,675
61,91,675
61,92,675
61,95,675
61,97,675
61,109,675
61,110,675
61,115,675
62,28,410
62,36,410
62,50,410
62,51,353
62,63,353
62,68,872
62,69,872
62,78,872
62,79,872
62,86,675
62,87,675
62,89,675
62,90,675
62,94,675
62,95,675
62,99,675
62,102,675
62,103,675
62,110,675
62,111,675
63,33,410
63,37,410
63,40,410
63,50,981
63,51,981
63,54,353
63,63,353
63,64,872
63,67,872
63,69,872
63,78,872
63,79,872
63,86,675
63,90,675
63,94,675
63,95,675
63,96,675
63,98,675
63,101,675
63,102,675
63,103,675
63,114,675
63,115,675
64,30,410
64,32,410
64,33,410
64,34,410
64,40,410
64,60,353
64,61,353
64,62,872
64,63,872
64,64,872
64,65,872
64,66,872
64,70,872
64,74,872
64,78,872
64,79,872
64,85,675
64,86,675
64,90,675
64,92,675
64,93,675
64,94,675
64,97,675
64,101,675
64,102,675
64,103,675
64,104,675
64,105,675
65,34,410
65,61,872
65,62,872
65,63,872
65,64,872
65,68,872
65,69,872
65,70,872
65,72,872
65,77,872
65,78,872
65,79,872
65,86,675
65,87,675
65,91,675
65,92,675
65,97,675
65,98,675
65,101,675
65,102,675
65,105,675
65,106,675
66,27,410
66,30,410
66,46,981
66,50,981
66,51,981
66,52,981
66,54,981
66,61,872
66,62,872
66,63,872
66,64,872
66,69,872
66,70,872
66,72,872
66,76,872
66,77,872
66,78,872
66,79,872
66,80,872
66,87,675
66,91,675
66,92,675
66,96,675
66,97,675
66,98,675
66,101,675
66,102,675
66,103,675
66,106,675
66,107,675
66,115,675
67,24,410
67,25,410
67,26,410
67,39,410
67,40,410
67,44,981
67,45,981
67,46,981
67,47,981
67,48,981
67,50,981
67,51,981
67,57,981
67,58,981
67,75,872
67,76,872
67,77,872
67,78,872
67,79,872
67,80,872
67,91,675
67,92,675
67,102,675
67,103,675
67,104,675
67,107,675
67,112,675
67,113,675
68,23,1124
68,24,410
68,25,410
68,26,410
68,45,981
68,46,981
68,47,981
68,48,981
68,51,981
68,56,981
68,58,981
68,59,981
68,63,872
68,66,872
68,75,872
68,76,872
68,77,872
68,80,872
68,89,675
68,97,675
68,105,675
69,23,1124
69,24,1124
69,25,1124
69,48,981
69,50,981
69,51,981
69,52,981
69,55,981
69,65,872
69,66,872
69,67,872
69,76,872
69,86,675
69,88,675
69,89,675
69,95,675
69,96,675
69,97,675
69,98,675
69,99,675
69,105,675
69,106,675
69,112,675
70,25,1124
70,37,410
70,38,981
70,39,981
70,47,981
70,48,981
70,51,981
70,52,981
70,55,981
70,64,872
70,65,872
70,66,872
70,67,872
70,68,872
70,85,675
70,88,675
70,91,675
70,92,675
70,93,675
70,97,675
70,98,675
70,99,675
70,109,675
70,113,675
71,26,1124
71,27,1124
71,29,1124
71,30,1124
71,33,1124
71,40,981
71,41,981
71,46,981
71,47,981
71,48,981
71,56,981
71,57,981
71,58,981
71,64,872
71,65,872
71,66,872
71,67,872
71,86,675
71,89,675
71,92,675
71,93,675
71,94,675
71,97,675
71,98,675
71,101,675
71,102,675
71,104,675
71,108,675
71,109,675
72,27,1124
72,30,1124
72,45,981
72,46,981
72,47,981
72,48,981
72,53,981
72,57,981
72,64,872
72,65,872
72,66,872
72,67,872
72,68,872
72,71,872
72,72,872
72,75,872
72,76,872
72,77,872
72,89,675
72,93,675
72,94,675
72,96,675
72,97,675
72,98,675
73,24,1124
73,25,1124
73,26,1124
73,45,981
73,46,981
73,56,981
73,57,981
73,58,981
