"y","x","cluster_id"
13,165,48
15,162,48
18,150,48
20,169,48
20,170,48
20,180,48
21,168,48
21,169,48
21,170,48
21,179,48
21,180,48
22,168,48
22,169,48
22,170,48
22,174,48
22,179,48
23,169,48
23,170,48
23,173,48
23,179,48
24,149,48
24,173,48
25,178,48
26,147,48
26,158,48
26,168,48
26,173,48
26,196,48
28,197,48
29,177,48
29,189,48
29,196,48
30,164,48
30,177,48
30,189,48
31,164,48
31,176,48
31,177,48
32,163,48
33,149,48
33,190,48
34,146,48
34,149,48
34,151,48
34,152,48
34,154,48
34,166,48
34,170,48
35,151,48
35,169,48
36,184,48
36,193,48
37,150,48
37,171,48
37,173,48
37,174,48
37,191,48
37,193,48
37,223,212
38,158,48
38,173,48
38,180,48
38,184,48
38,186,48
38,187,48
38,191,48
38,200,212
38,224,212
39,118,191
39,151,48
39,158,48
39,179,48
39,190,48
39,192,48
39,199,212
40,116,191
40,117,191
40,118,191
40,120,191
40,121,191
40,166,48
40,181,48
40,185,48
40,224,212
41,118,191
41,120,191
41,156,48
41,172,48
41,176,48
41,188,48
41,194,48
41,199,212
41,207,212
41,211,212
41,223,212
42,106,191
42,116,191
42,164,48
42,171,48
42,172,48
42,200,212
42,207,212
42,222,212
43,96,191
43,109,191
43,118,191
43,201,212
43,205,212
43,206,212
43,222,212
43,231,212
44,93,191
44,94,191
44,97,191
44,105,191
44,114,191
44,119,191
44,121,191
44,122,191
45,92,191
45,97,191
45,98,191
45,102,191
45,119,191
45,121,191
45,124,191
45,125,191
45,126,191
45,211,212
45,214,212
45,215,212
45,222,212
46,89,191
46,90,191
46,122,191
46,124,191
46,125,191
46,126,191
46,128,191
46,129,191
46,210,212
47,102,191
47,106,191
47,116,191
47,118,191
47,121,191
47,122,191
47,126,191
47,127,191
47,128,191
47,129,191
47,130,191
47,131,191
47,210,212
47,216,212
47,218,212
47,219,212
48,101,191
48,103,191
48,113,191
48,115,191
48,120,191
48,121,191
48,125,191
48,126,191
48,127,191
48,129,191
48,130,191
48,131,191
48,132,191
48,210,212
48,216,212
48,218,212
48,219,212
49,112,191
49,113,191
49,120,191
49,125,191
49,126,191
49,127,191
49,131,191
49,132,191
49,209,212
49,219,212
50,110,191
50,113,191
50,118,191
50,121,191
50,208,212
50,219,212
51,118,191
51,120,191
51,134,191
52,95,191
52,110,191
52,111,191
52,119,191
52,120,191
52,121,191
