"y","x","cluster_id"
32,44,95
32,45,95
32,46,95
32,47,95
32,57,95
32,65,95
32,66,95
33,35,95
33,36,95
33,44,95
33,45,95
33,46,95
33,47,95
33,65,95
34,42,95
34,43,95
34,45,95
34,46,95
34,47,95
34,55,95
34,56,95
35,43,95
35,44,95
35,45,95
35,50,95
35,51,95
35,52,95
35,55,95
35,56,95
35,57,95
35,60,95
36,39,95
36,43,95
36,44,95
36,46,95
36,47,95
36,52,95
36,53,95
36,54,95
36,55,95
36,56,95
36,57,95
37,28,95
37,29,95
37,42,95
37,43,95
37,44,95
37,50,95
37,51,95
37,52,95
37,53,95
37,54,95
37,55,95
37,58,95
38,28,95
38,29,95
38,30,95
38,40,95
38,41,95
38,42,95
38,43,95
38,44,95
39,28,95
39,29,95
39,32,95
39,33,95
39,37,95
39,38,95
39,39,95
39,40,95
39,41,95
39,44,95
39,45,95
40,27,95
40,28,95
40,35,95
40,36,95
40,37,95
40,38,95
40,39,95
40,40,95
40,41,95
40,43,95
40,44,95
40,45,95
41,31,95
41,35,95
41,36,95
41,37,95
41,38,95
41,39,95
41,40,95
41,41,95
41,42,95
41,43,95
41,62,95
41,63,95
41,65,95
42,34,95
42,37,95
42,38,95
42,39,95
42,40,95
42,42,95
43,37,95
43,38,95
43,39,95
44,36,95
44,37,95
44,38,95
44,39,95
44,41,95
45,31,95
45,37,95
45,38,95
45,39,95
45,40,95
46,38,95
46,39,95
46,48,95
46,56,95
47,33,95
47,39,95
47,56,95
48,33,95
48,34,95
48,35,95
48,39,95
48,47,95
49,34,95
49,35,95
49,39,95
50,34,95
50,35,95
50,54,95
51,34,95
51,35,95
51,48,95
51,53,95
51,54,95
52,34,95
52,39,95
52,54,95
52,63,95
53,40,95
53,51,95
53,52,95
53,53,95
54,51,95
54,52,95
54,53,95
54,56,95
55,51,95
55,52,95
55,59,95
55,60,95
56,50,95
56,51,95
316,91,625
317,91,625
318,87,565
319,96,625
320,85,565
320,86,565
321,87,565
321,96,625
322,94,625
322,107,625
323,58,565
323,72,565
323,73,565
323,77,565
323,106,625
323,107,625
324,70,565
324,71,565
324,81,565
324,106,625
324,107,625
324,111,625
324,113,625
325,62,565
325,81,565
325,85,565
325,90,625
325,92,625
325,106,625
325,107,625
325,112,625
325,113,625
325,114,625
325,115,625
325,116,625
326,56,565
326,58,565
326,59,565
326,60,565
326,62,565
326,64,565
326,83,565
326,91,625
326,92,625
326,111,625
326,112,625
326,113,625
326,115,625
326,116,625
326,126,625
326,127,625
326,128,625
327,56,565
327,57,565
327,58,565
327,59,565
327,60,565
327,61,565
327,64,565
327,65,565
327,91,625
327,96,625
327,108,625
327,109,625
327,111,625
327,113,625
327,115,625
327,116,625
327,117,625
327,128,625
328,57,565
328,58,565
328,61,565
328,65,565
328,66,565
328,72,565
328,73,565
328,75,565
328,107,625
328,108,625
328,116,625
328,122,625
328,128,625
328,129,625
329,57,565
329,58,565
329,71,565
329,72,565
329,74,565
329,81,565
329,126,625
329,127,625
329,128,625
329,129,625
330,51,565
330,52,565
330,53,565
330,56,565
330,58,565
330,81,565
330,82,565
330,83,565
330,87,565
330,88,625
330,106,625
330,109,625
330,119,625
330,126,625
330,127,625
330,134,918
330,137,918
330,138,918
330,143,918
331,51,565
331,52,565
331,55,565
331,74,565
331,81,565
331,82,565
331,87,565
331,88,625
331,94,625
331,109,625
331,120,625
331,127,625
331,134,918
331,138,918
331,140,918
331,141,918
332,51,565
332,52,565
332,53,565
332,54,565
332,55,565
332,81,565
332,84,565
332,86,565
332,87,565
332,88,625
332,104,625
332,131,625
332,134,918
332,135,918
332,136,918
332,138,918
332,141,918
333,53,565
333,72,565
333,73,565
333,74,565
333,75,565
333,76,565
333,77,565
333,78,565
333,79,565
333,80,565
333,81,565
333,85,565
333,86,565
333,87,565
333,88,625
333,104,625
333,127,625
333,135,918
333,136,918
333,137,918
333,141,918
334,72,565
334,73,565
334,74,565
334,75,565
334,76,565
334,77,565
334,85,565
334,86,565
334,89,625
334,92,625
334,102,625
334,103,625
334,116,625
334,121,625
334,136,918
335,73,565
335,74,565
335,81,565
335,102,625
335,103,625
335,116,625
335,126,625
335,132,625
335,136,918
335,141,918
335,142,918
336,72,565
336,79,565
336,80,565
336,81,565
