"y","x","cluster_id"
24,426,1282
24,429,1282
24,430,1282
24,431,1282
25,219,1274
25,224,1274
26,217,1274
26,224,1274
26,230,1274
26,235,1274
26,241,1274
26,242,1274
26,394,1282
26,420,1282
26,423,1282
26,427,1282
26,465,1984
27,225,1274
27,232,1274
27,235,1274
27,241,1274
27,253,1274
27,266,1274
27,388,1282
27,420,1282
27,421,1282
27,430,1282
27,432,1282
27,458,1984
28,55,1668
28,217,1274
28,229,1274
28,230,1274
28,231,1274
28,232,1274
28,233,1274
28,407,1282
28,410,1282
28,430,1282
28,431,1282
28,465,1984
28,466,1984
29,44,1668
29,217,1274
29,218,1274
29,232,1274
29,234,1274
29,241,1274
29,253,1274
29,390,1282
29,392,1282
29,401,1282
29,407,1282
29,408,1282
29,410,1282
29,424,1282
29,429,1282
29,430,1282
29,431,1282
29,432,1282
30,36,1668
30,217,1274
30,218,1274
30,231,1274
30,232,1274
30,234,1274
30,237,1274
30,240,1274
30,241,1274
30,253,1274
30,267,1274
30,271,1274
30,386,1282
30,391,1282
30,400,1282
30,401,1282
30,402,1282
30,404,1282
30,408,1282
30,433,1282
30,435,1282
30,443,1282
31,45,1668
31,202,1274
31,204,1274
31,211,1274
31,217,1274
31,218,1274
31,229,1274
31,230,1274
31,231,1274
31,237,1274
31,240,1274
31,243,1274
31,254,1274
31,268,1274
31,270,1274
31,398,1282
31,400,1282
31,401,1282
31,403,1282
31,404,1282
31,405,1282
31,408,1282
31,411,1282
31,415,1282
31,431,1282
31,436,1282
31,442,1282
31,443,1282
31,458,1984
31,469,1984
32,43,1668
32,46,1668
32,201,1274
32,202,1274
32,203,1274
32,211,1274
32,216,1274
32,217,1274
32,218,1274
32,231,1274
32,239,1274
32,240,1274
32,243,1274
32,268,1274
32,398,1282
32,399,1282
32,400,1282
32,401,1282
32,402,1282
32,403,1282
32,404,1282
32,405,1282
32,408,1282
32,410,1282
32,414,1282
32,431,1282
32,441,1282
32,442,1282
33,26,1668
33,33,1668
33,34,1668
33,42,1668
33,45,1668
33,46,1668
33,195,1274
33,201,1274
33,210,1274
33,211,1274
33,216,1274
33,217,1274
33,220,1274
33,222,1274
33,223,1274
33,224,1274
33,227,1274
33,232,1274
33,241,1274
33,242,1274
33,243,1274
33,268,1274
33,269,1274
33,274,1274
33,275,1274
33,398,1282
33,399,1282
33,400,1282
33,402,1282
33,403,1282
33,404,1282
33,405,1282
33,408,1282
33,409,1282
33,412,1282
33,413,1282
33,414,1282
33,418,1282
33,421,1282
33,425,1282
33,430,1282
33,464,1984
33,473,1984
33,481,1984
34,45,1668
34,47,1668
34,210,1274
34,211,1274
34,213,1274
34,214,1274
34,216,1274
34,217,1274
34,218,1274
34,222,1274
34,223,1274
34,224,1274
34,228,1274
34,232,1274
34,236,1274
34,242,1274
34,243,1274
34,252,1274
34,262,1274
34,268,1274
34,271,1274
34,272,1274
34,277,1274
34,395,1282
34,397,1282
34,398,1282
34,399,1282
34,400,1282
34,401,1282
34,402,1282
34,403,1282
34,404,1282
34,405,1282
34,406,1282
34,407,1282
34,408,1282
34,409,1282
34,410,1282
34,412,1282
34,413,1282
34,414,1282
34,415,1282
34,418,1282
34,436,1282
34,477,1984
34,479,1984
34,480,1984
34,481,1984
34,482,1984
34,658,2029
34,661,2029
34,673,2029
35,25,1668
35,34,1668
35,35,1668
35,43,1668
35,76,1668
35,208,1274
35,209,1274
35,210,1274
35,213,1274
35,216,1274
35,217,1274
35,221,1274
35,222,1274
35,225,1274
35,226,1274
35,244,1274
35,252,1274
35,256,1274
35,274,1274
35,388,1282
35,389,1282
35,392,1282
35,397,1282
35,398,1282
35,399,1282
35,400,1282
35,401,1282
35,402,1282
35,403,1282
35,408,1282
35,410,1282
35,412,1282
35,413,1282
35,414,1282
35,415,1282
35,416,1282
35,424,1282
35,429,1282
35,434,1282
35,455,1984
35,473,1984
35,478,1984
35,480,1984
35,481,1984
35,661,2029
36,32,1668
36,33,1668
36,34,1668
36,35,1668
36,36,1668
36,37,1668
36,38,1668
36,40,1668
36,43,1668
36,46,1668
36,50,1668
36,62,1668
36,208,1274
36,209,1274
36,210,1274
36,212,1274
36,215,1274
36,216,1274
36,217,1274
36,218,1274
36,221,1274
36,222,1274
36,223,1274
36,226,1274
36,244,1274
36,398,1282
36,399,1282
36,400,1282
36,401,1282
36,402,1282
36,403,1282
36,404,1282
36,410,1282
36,411,1282
36,412,1282
36,413,1282
36,414,1282
36,415,1282
36,416,1282
36,427,1282
36,429,1282
36,434,1282
36,473,1984
36,476,1984
36,482,1984
36,677,2029
36,678,2029
37,21,1668
37,22,1668
37,33,1668
37,35,1668
37,36,1668
37,37,1668
37,38,1668
37,39,1668
37,40,1668
37,46,1668
37,72,1668
37,76,1668
37,208,1274
37,209,1274
37,210,1274
37,211,1274
37,213,1274
37,214,1274
37,217,1274
37,218,1274
37,220,1274
37,221,1274
37,222,1274
37,223,1274
37,224,1274
37,230,1274
37,244,1274
37,252,1274
37,269,1274
37,271,1274
37,387,1282
37,394,1282
37,397,1282
37,399,1282
37,401,1282
37,402,1282
37,403,1282
37,404,1282
37,406,1282
37,408,1282
37,409,1282
37,418,1282
37,432,1282
37,476,1984
37,477,1984
37,480,1984
37,481,1984
37,483,1984
37,484,1984
38,24,1668
38,25,1668
38,26,1668
38,33,1668
38,35,1668
38,36,1668
38,37,1668
38,38,1668
38,39,1668
38,40,1668
38,41,1668
38,43,1668
38,47,1668
38,49,1668
38,54,1668
38,55,1668
38,56,1668
38,68,1668
38,69,1668
38,198,1274
38,199,1274
38,200,1274
38,207,1274
38,208,1274
38,209,1274
38,210,1274
38,211,1274
38,213,1274
38,214,1274
38,217,1274
38,219,1274
38,220,1274
38,221,1274
38,223,1274
38,236,1274
38,244,1274
38,245,1274
38,246,1274
38,250,1274
38,252,1274
38,254,1274
38,393,1282
38,398,1282
38,399,1282
38,400,1282
38,404,1282
38,411,1282
38,418,1282
38,464,1984
38,681,2029
39,30,1668
39,31,1668
39,32,1668
39,33,1668
39,35,1668
39,36,1668
39,37,1668
39,38,1668
39,39,1668
39,41,1668
39,42,1668
39,44,1668
39,48,1668
39,52,1668
39,53,1668
39,64,1668
39,69,1668
39,75,1668
39,76,1668
39,77,1668
39,207,1274
39,208,1274
39,209,1274
39,211,1274
39,212,1274
39,213,1274
39,214,1274
39,217,1274
39,218,1274
39,219,1274
39,220,1274
39,221,1274
39,222,1274
39,223,1274
39,224,1274
39,232,1274
39,235,1274
39,250,1274
39,251,1274
39,252,1274
39,255,1274
39,259,1274
39,261,1274
39,265,1274
39,273,1274
39,394,1282
39,399,1282
39,401,1282
39,402,1282
39,404,1282
39,405,1282
39,406,1282
39,407,1282
39,408,1282
39,410,1282
39,443,1984
39,454,1984
39,456,1984
39,458,1984
39,470,1984
39,657,2029
39,664,2029
39,665,2029
39,671,2029
39,675,2029
40,29,1668
40,30,1668
40,31,1668
40,32,1668
40,33,1668
40,35,1668
40,36,1668
40,40,1668
40,44,1668
40,53,1668
40,196,1274
40,207,1274
40,208,1274
40,209,1274
40,213,1274
40,214,1274
40,217,1274
40,219,1274
40,220,1274
40,225,1274
40,226,1274
40,239,1274
40,242,1274
40,246,1274
40,250,1274
40,252,1274
40,254,1274
40,264,1274
40,265,1274
40,269,1274
40,271,1274
40,272,1274
40,273,1274
40,384,1282
40,386,1282
40,389,1282
40,390,1282
40,391,1282
40,392,1282
40,393,1282
40,399,1282
40,400,1282
40,401,1282
40,402,1282
40,403,1282
40,404,1282
40,405,1282
40,406,1282
40,407,1282
40,408,1282
40,409,1282
40,410,1282
40,432,1282
40,434,1282
40,436,1282
40,437,1282
40,453,1984
40,454,1984
40,456,1984
40,465,1984
40,665,2029
40,671,2029
40,672,2029
40,675,2029
40,676,2029
41,15,1668
41,29,1668
41,30,1668
41,31,1668
41,32,1668
41,33,1668
41,34,1668
41,35,1668
41,36,1668
41,39,1668
41,59,1668
41,194,1274
41,195,1274
41,203,1274
41,208,1274
41,209,1274
41,210,1274
41,211,1274
41,212,1274
41,214,1274
41,216,1274
41,217,1274
41,218,1274
41,219,1274
41,225,1274
41,243,1274
41,249,1274
41,268,1274
41,271,1274
41,272,1274
41,273,1274
41,387,1282
41,388,1282
41,389,1282
41,391,1282
41,392,1282
41,394,1282
41,395,1282
41,397,1282
41,399,1282
41,400,1282
41,401,1282
41,403,1282
41,405,1282
41,406,1282
41,410,1282
41,478,1984
41,661,2029
41,664,2029
41,665,2029
41,670,2029
41,671,2029
41,696,2029
42,18,1668
42,22,1668
42,29,1668
42,30,1668
42,31,1668
42,32,1668
42,33,1668
42,34,1668
42,35,1668
42,39,1668
42,52,1668
42,54,1668
42,61,1668
42,65,1668
42,66,1668
42,67,1668
42,76,1668
42,79,1668
42,204,1274
42,209,1274
42,210,1274
42,211,1274
42,215,1274
42,216,1274
42,217,1274
42,218,1274
42,219,1274
42,236,1274
42,237,1274
42,238,1274
42,261,1274
42,273,1274
42,276,1274
42,383,1282
42,387,1282
42,388,1282
42,389,1282
42,390,1282
42,392,1282
42,393,1282
42,394,1282
42,395,1282
42,396,1282
42,397,1282
42,398,1282
42,400,1282
42,401,1282
42,402,1282
42,403,1282
42,404,1282
42,405,1282
42,406,1282
42,410,1282
42,430,1282
42,434,1282
42,453,1984
42,454,1984
42,469,1984
42,480,1984
42,483,1984
42,484,1984
42,648,2029
42,659,2029
42,661,2029
42,662,2029
42,664,2029
42,665,2029
42,668,2029
42,670,2029
42,671,2029
42,672,2029
42,673,2029
42,674,2029
42,676,2029
42,679,2029
42,690,2029
43,11,1668
43,12,1668
43,15,1668
43,18,1668
43,20,1668
43,21,1668
43,22,1668
43,23,1668
43,24,1668
43,26,1668
43,28,1668
43,29,1668
43,35,1668
43,38,1668
43,40,1668
43,61,1668
43,70,1668
43,200,1274
43,201,1274
43,202,1274
43,203,1274
43,207,1274
43,210,1274
43,211,1274
43,212,1274
43,213,1274
43,214,1274
43,215,1274
43,216,1274
43,217,1274
43,218,1274
43,219,1274
43,228,1274
43,231,1274
43,236,1274
43,241,1274
43,248,1274
43,250,1274
43,253,1274
43,260,1274
43,262,1274
43,267,1274
43,268,1274
43,271,1274
43,387,1282
43,388,1282
43,389,1282
43,390,1282
43,394,1282
43,395,1282
43,398,1282
43,399,1282
43,400,1282
43,401,1282
43,402,1282
43,403,1282
43,407,1282
43,409,1282
43,410,1282
43,411,1282
43,429,1282
43,455,1984
43,456,1984
43,472,1984
43,475,1984
43,476,1984
43,477,1984
43,484,1984
43,646,2029
43,651,2029
43,659,2029
43,661,2029
43,662,2029
43,663,2029
43,664,2029
43,665,2029
43,666,2029
43,667,2029
43,668,2029
43,669,2029
43,670,2029
43,671,2029
43,672,2029
43,686,2029
44,19,1668
44,20,1668
44,21,1668
44,22,1668
44,23,1668
44,25,1668
44,26,1668
44,27,1668
44,28,1668
44,30,1668
44,31,1668
44,32,1668
44,33,1668
44,35,1668
44,39,1668
44,40,1668
44,61,1668
44,65,1668
44,198,1274
44,199,1274
44,200,1274
44,201,1274
44,202,1274
44,203,1274
44,205,1274
44,206,1274
44,207,1274
44,208,1274
44,211,1274
44,212,1274
44,213,1274
44,215,1274
44,216,1274
44,218,1274
44,237,1274
44,242,1274
44,252,1274
44,260,1274
44,262,1274
44,267,1274
44,268,1274
44,381,1282
44,386,1282
44,387,1282
44,388,1282
44,389,1282
44,393,1282
44,394,1282
44,395,1282
44,399,1282
44,400,1282
44,401,1282
44,410,1282
44,411,1282
44,412,1282
44,427,1282
44,444,1984
44,450,1984
44,452,1984
44,453,1984
44,455,1984
44,460,1984
44,462,1984
44,472,1984
44,475,1984
44,476,1984
44,477,1984
44,479,1984
44,480,1984
44,645,2029
44,650,2029
44,651,2029
44,661,2029
44,662,2029
44,665,2029
44,666,2029
44,667,2029
44,668,2029
44,669,2029
44,670,2029
44,671,2029
44,673,2029
44,674,2029
44,675,2029
44,676,2029
44,682,2029
45,18,1668
45,19,1668
45,20,1668
45,21,1668
45,22,1668
45,24,1668
45,25,1668
45,26,1668
45,27,1668
45,28,1668
45,30,1668
45,31,1668
45,32,1668
45,33,1668
45,34,1668
45,36,1668
45,52,1668
45,53,1668
45,71,1668
45,198,1274
45,199,1274
45,200,1274
45,201,1274
45,202,1274
45,203,1274
45,205,1274
45,210,1274
45,211,1274
45,212,1274
45,213,1274
45,214,1274
45,216,1274
45,239,1274
45,244,1274
45,245,1274
45,249,1274
45,250,1274
45,251,1274
45,252,1274
45,260,1274
45,263,1274
45,278,1274
45,380,1282
45,386,1282
45,389,1282
45,391,1282
45,392,1282
45,393,1282
45,394,1282
45,395,1282
45,410,1282
45,411,1282
45,415,1282
45,427,1282
45,437,1282
45,455,1984
45,471,1984
45,472,1984
45,476,1984
45,651,2029
45,660,2029
45,661,2029
45,662,2029
45,663,2029
45,664,2029
45,665,2029
45,666,2029
45,667,2029
45,668,2029
45,670,2029
45,671,2029
45,675,2029
45,682,2029
45,687,2029
45,688,2029
45,689,2029
45,694,2029
45,695,2029
46,17,1668
46,18,1668
46,19,1668
46,20,1668
46,25,1668
46,26,1668
46,27,1668
46,31,1668
46,32,1668
46,34,1668
46,61,1668
46,64,1668
46,66,1668
46,67,1668
46,68,1668
46,78,1668
46,197,1274
46,198,1274
46,199,1274
46,201,1274
46,202,1274
46,204,1274
46,205,1274
46,206,1274
46,207,1274
46,208,1274
46,210,1274
46,211,1274
46,212,1274
46,217,1274
46,218,1274
46,219,1274
46,220,1274
46,244,1274
46,252,1274
46,253,1274
46,254,1274
46,255,1274
46,256,1274
46,260,1274
46,261,1274
46,262,1274
46,263,1274
46,264,1274
46,266,1274
46,270,1274
46,386,1282
46,387,1282
46,389,1282
46,390,1282
46,392,1282
46,393,1282
46,394,1282
46,395,1282
46,412,1282
46,413,1282
46,416,1282
46,432,1282
46,433,1282
46,437,1282
46,455,1984
46,456,1984
46,463,1984
46,473,1984
46,478,1984
46,483,1984
46,650,2029
46,651,2029
46,652,2029
46,655,2029
46,660,2029
46,661,2029
46,663,2029
46,664,2029
46,665,2029
46,666,2029
46,670,2029
46,671,2029
46,673,2029
46,674,2029
46,689,2029
46,690,2029
46,691,2029
46,694,2029
46,695,2029
47,17,1668
47,18,1668
47,20,1668
47,22,1668
47,23,1668
47,24,1668
47,25,1668
47,26,1668
47,30,1668
47,31,1668
47,32,1668
47,33,1668
47,34,1668
47,36,1668
47,38,1668
47,61,1668
47,64,1668
47,65,1668
47,66,1668
47,67,1668
47,72,1668
47,77,1668
47,190,1274
47,191,1274
47,197,1274
47,198,1274
47,199,1274
47,201,1274
47,204,1274
47,205,1274
47,206,1274
47,209,1274
47,210,1274
47,218,1274
47,219,1274
47,241,1274
47,250,1274
47,253,1274
47,254,1274
47,256,1274
47,260,1274
47,262,1274
47,263,1274
47,264,1274
47,387,1282
47,390,1282
47,395,1282
47,398,1282
47,411,1282
47,424,1282
47,428,1282
47,430,1282
47,437,1282
47,447,1984
47,455,1984
47,456,1984
47,457,1984
47,462,1984
47,466,1984
47,481,1984
47,482,1984
47,483,1984
47,648,2029
47,649,2029
47,650,2029
47,651,2029
47,652,2029
47,654,2029
47,655,2029
47,656,2029
47,659,2029
47,660,2029
47,661,2029
47,662,2029
47,663,2029
47,664,2029
47,665,2029
47,668,2029
47,669,2029
47,670,2029
47,671,2029
47,673,2029
47,674,2029
47,675,2029
47,688,2029
