"y","x","cluster_id"
39,385,136
40,393,383
41,358,136
41,367,136
41,398,383
42,364,136
42,365,136
44,361,136
44,363,136
46,363,136
47,343,136
47,346,136
47,439,383
48,337,136
48,340,136
48,341,136
48,342,136
48,344,136
49,338,136
49,339,136
49,340,136
49,341,136
49,342,136
49,358,136
50,335,136
50,413,383
50,428,383
51,330,136
51,332,136
51,333,136
51,334,136
51,335,136
51,336,136
51,340,136
51,356,136
51,413,383
51,427,383
51,428,383
52,328,136
52,332,136
52,333,136
52,338,136
52,339,136
52,348,136
52,355,136
52,356,136
52,365,136
52,426,383
53,325,136
53,328,136
53,330,136
53,331,136
53,332,136
53,333,136
53,335,136
54,325,136
55,318,136
55,319,136
55,322,136
55,323,136
55,347,136
55,349,136
56,346,136
56,348,136
56,349,136
56,350,136
56,440,383
57,346,136
57,347,136
57,348,136
57,349,136
57,350,136
58,347,136
58,348,136
58,349,136
58,350,136
59,317,136
59,342,136
59,345,136
59,346,136
59,347,136
59,348,136
59,349,136
59,350,136
59,413,383
60,309,136
60,310,136
60,311,136
60,340,136
60,341,136
60,342,136
60,343,136
60,344,136
60,345,136
60,346,136
60,347,136
60,348,136
60,349,136
60,350,136
60,351,136
60,353,136
60,355,136
61,308,136
61,309,136
61,310,136
61,342,136
61,343,136
61,344,136
61,345,136
61,346,136
61,347,136
61,348,136
61,349,136
61,350,136
61,351,136
61,352,136
62,307,136
62,338,136
62,343,136
62,344,136
62,345,136
62,346,136
62,347,136
62,348,136
62,349,136
62,351,136
62,352,136
62,353,136
62,369,136
62,370,136
62,418,383
62,462,383
62,463,383
63,304,136
63,305,136
63,327,136
63,339,136
63,340,136
63,342,136
63,343,136
63,344,136
63,345,136
63,346,136
63,347,136
63,348,136
63,357,136
63,463,383
63,464,383
64,296,136
64,302,136
64,303,136
64,304,136
64,342,136
64,343,136
64,344,136
64,345,136
64,346,136
64,347,136
64,348,136
64,414,383
64,415,383
64,450,383
64,464,383
64,465,383
65,298,136
65,303,136
65,342,136
65,343,136
65,344,136
65,345,136
65,346,136
65,349,136
65,350,136
65,413,383
65,414,383
65,415,383
65,465,383
65,466,383
66,294,136
66,300,136
66,344,136
66,345,136
66,346,136
66,349,136
66,376,136
66,466,383
67,299,136
67,343,136
67,468,383
68,291,136
68,298,136
68,300,136
68,393,383
68,394,383
68,460,383
68,461,383
68,462,383
68,467,383
68,468,383
68,469,383
69,283,136
69,289,136
69,291,136
69,320,136
69,394,383
69,411,383
69,460,383
69,461,383
69,462,383
69,463,383
69,470,383
70,284,136
70,288,136
70,291,136
70,292,136
70,294,136
70,319,136
70,409,383
70,410,383
70,461,383
70,462,383
70,463,383
70,470,383
71,286,136
71,289,136
71,291,136
71,400,383
71,410,383
71,454,383
71,462,383
71,463,383
71,464,383
71,470,383
71,471,383
72,287,136
72,288,136
72,348,136
72,454,383
72,455,383
72,458,383
72,462,383
72,463,383
72,464,383
72,470,383
72,471,383
73,286,136
73,288,136
73,294,136
73,377,136
73,457,383
73,465,383
73,471,383
74,286,136
74,419,383
74,463,383
74,472,383
75,287,136
75,308,136
75,418,383
75,420,383
75,473,383
75,474,383
76,280,136
76,292,136
76,411,383
76,412,383
76,413,383
76,414,383
77,362,136
77,399,383
77,401,383
77,402,383
77,403,383
77,404,383
77,412,383
77,413,383
77,414,383
77,475,383
77,476,383
78,293,136
78,300,136
78,301,136
78,306,136
78,398,383
78,399,383
78,400,383
78,401,383
78,402,383
78,403,383
78,404,383
78,413,383
78,414,383
78,420,383
78,476,383
79,300,136
79,301,136
79,303,136
79,304,136
79,362,136
79,398,383
79,399,383
79,400,383
79,401,383
79,402,383
79,403,383
79,404,383
79,405,383
79,414,383
79,415,383
79,424,383
79,476,383
80,377,136
80,398,383
80,399,383
80,400,383
80,401,383
80,402,383
80,403,383
80,404,383
80,405,383
80,414,383
80,473,383
80,475,383
81,292,136
81,416,383
82,291,136
82,292,136
82,307,136
82,400,383
82,421,383
82,473,383
83,285,136
83,401,383
83,414,383
83,416,383
83,440,383
83,448,383
83,449,383
84,243,697
84,287,136
84,416,383
84,480,665
85,288,136
85,290,136
85,315,136
85,417,383
85,418,383
85,422,383
85,442,383
85,455,383
85,480,665
86,281,136
86,282,136
86,288,136
86,289,136
86,311,136
86,318,136
86,416,383
86,417,383
86,418,383
86,427,383
86,447,383
86,470,383
87,290,136
87,292,136
87,315,136
87,316,136
87,317,136
87,419,383
87,422,383
87,423,383
87,466,383
87,471,383
87,472,383
88,279,136
88,404,383
88,418,383
88,420,383
88,421,383
88,422,383
88,423,383
88,430,383
88,431,383
88,467,383
89,271,697
89,320,136
89,404,383
89,420,383
89,421,383
89,431,383
89,432,383
89,437,383
89,439,383
89,440,383
89,468,383
90,320,136
90,371,136
90,372,136
90,409,383
90,420,383
90,421,383
90,430,383
90,431,383
90,439,383
91,267,697
91,318,136
91,319,136
91,320,136
91,423,383
91,427,383
91,429,383
91,432,383
91,479,665
92,318,136
92,368,136
92,369,136
92,420,383
92,429,383
92,432,383
92,478,665
92,479,665
93,291,136
93,369,136
93,418,383
93,419,383
93,420,383
93,433,383
93,480,665
94,289,136
94,420,383
94,433,383
94,437,383
94,442,383
94,476,665
95,258,697
95,419,383
95,420,383
95,430,383
95,438,383
95,442,383
95,451,383
95,478,665
95,485,665
96,417,383
96,418,383
96,419,383
96,420,383
96,480,665
96,485,665
97,250,697
97,251,697
97,253,697
97,416,383
97,417,383
97,418,383
97,420,383
97,441,383
97,443,383
97,444,383
97,446,383
97,480,665
97,481,665
98,252,697
98,417,383
98,418,383
98,419,383
98,443,383
98,444,383
98,445,383
98,446,383
98,447,383
98,476,665
98,482,665
99,262,697
99,339,136
99,422,383
99,426,383
99,444,383
99,445,383
99,469,665
99,473,665
100,190,697
100,426,383
100,429,383
100,444,383
100,446,383
100,456,383
100,460,383
100,478,665
101,206,697
101,257,697
101,438,383
101,439,383
101,444,383
101,445,383
101,456,383
102,287,136
102,438,383
102,441,383
102,444,383
102,446,383
103,234,697
103,332,136
103,438,383
103,459,383
103,460,383
103,483,665
103,485,665
103,488,665
104,234,697
104,398,383
104,484,665
104,489,665
104,490,665
105,231,697
105,232,697
105,459,383
105,479,665
105,482,665
105,483,665
105,484,665
105,485,665
106,402,383
106,458,383
106,474,665
106,483,665
106,484,665
107,317,136
107,402,383
107,483,665
107,484,665
108,237,697
108,238,697
108,264,697
108,401,383
108,402,383
108,482,665
108,484,665
108,491,665
109,317,136
109,482,665
109,483,665
110,274,697
110,308,136
111,194,697
111,195,697
111,196,697
111,270,697
111,308,136
111,318,136
111,324,136
111,326,136
112,152,987
112,275,697
112,319,136
112,469,665
112,486,665
112,488,665
112,492,665
112,493,665
113,205,697
113,256,697
113,257,697
113,304,136
113,305,136
113,326,136
113,327,136
113,493,665
114,177,697
114,193,697
114,294,136
114,296,136
114,452,383
114,453,383
114,454,383
114,469,665
114,484,665
114,490,665
114,500,665
115,323,136
115,485,665
116,142,987
116,220,697
116,467,665
116,468,665
116,470,665
117,140,987
117,320,136
118,162,987
118,324,136
118,466,665
118,468,665
118,469,665
118,517,665
119,143,987
119,280,697
119,323,136
119,468,665
119,473,665
120,247,697
120,483,665
120,503,665
121,237,697
121,440,383
121,441,383
121,467,665
121,473,665
121,511,665
122,238,697
122,330,136
122,438,383
122,439,383
122,440,383
122,476,665
122,483,665
122,485,665
122,486,665
122,515,665
122,516,665
123,238,697
123,467,665
123,468,665
123,469,665
123,473,665
123,482,665
123,483,665
123,484,665
123,485,665
123,486,665
123,487,665
123,507,665
124,126,987
124,322,1079
124,468,665
124,482,665
124,485,665
124,487,665
124,490,665
125,322,1079
125,361,1079
125,444,383
125,445,383
125,485,665
125,487,665
125,488,665
125,502,665
125,508,665
126,330,1079
126,444,383
126,445,383
126,485,665
126,487,665
126,488,665
126,489,665
126,523,665
127,436,383
127,447,991
127,448,665
127,466,665
127,470,665
127,480,665
127,484,665
127,485,665
127,486,665
127,487,665
127,488,665
127,489,665
127,490,665
127,515,665
127,528,665
128,331,1079
128,447,991
128,448,665
128,450,665
128,451,665
128,481,665
128,485,665
128,489,665
128,490,665
128,496,665
129,249,697
129,440,991
129,447,991
129,448,991
129,449,665
129,451,665
129,452,665
129,458,665
129,462,665
129,480,665
129,482,665
129,483,665
129,485,665
129,490,665
129,497,665
130,156,987
130,233,697
130,332,1079
130,439,991
130,447,991
130,448,991
130,453,665
130,481,665
130,482,665
130,486,665
130,487,665
131,446,991
131,448,991
131,462,665
131,482,665
131,484,665
131,486,665
131,487,665
131,489,665
131,491,665
131,513,665
131,530,665
131,531,665
132,114,987
132,392,383
132,428,991
132,450,991
132,452,991
132,454,665
132,462,665
132,476,665
132,480,665
132,487,665
132,489,665
132,493,665
132,506,665
132,530,665
133,391,383
133,392,383
133,436,991
133,446,991
133,447,991
133,449,991
133,450,991
133,451,991
133,452,991
133,455,665
133,456,665
133,457,665
134,391,383
134,444,991
134,445,991
134,446,991
134,448,991
134,449,991
134,450,991
134,455,665
134,491,665
135,331,1079
135,394,383
135,396,383
135,438,991
135,444,991
135,445,991
135,446,991
135,448,991
135,449,991
135,451,991
135,452,991
136,118,987
136,153,987
136,325,1079
136,331,1079
136,433,991
136,442,991
136,443,991
136,448,991
136,450,991
136,451,991
136,452,991
136,463,665
136,484,665
136,500,665
136,501,665
137,242,697
137,331,1079
137,333,1079
137,443,991
137,444,991
137,446,991
137,447,991
137,448,991
137,450,991
137,451,991
137,452,991
138,108,987
138,383,383
138,445,991
138,446,991
138,447,991
138,450,991
138,452,991
138,507,665
138,512,665
139,383,991
139,448,991
139,464,665
139,505,665
139,507,665
139,510,665
139,511,665
140,502,665
140,510,665
140,514,665
141,397,991
141,437,991
141,466,665
141,510,665
142,512,665
142,522,665
143,327,1079
143,467,665
143,489,665
143,508,665
143,511,665
143,512,665
144,154,987
144,329,1079
144,450,991
144,481,665
144,507,665
144,509,665
144,510,665
145,99,987
145,141,987
145,509,665
145,510,665
146,98,987
146,99,987
146,104,987
146,132,987
146,133,987
146,139,987
146,226,697
146,227,697
146,229,697
146,230,697
146,315,1079
146,331,1079
146,438,991
146,450,991
146,451,991
146,491,665
146,492,665
146,501,665
146,510,665
146,511,665
146,528,665
147,100,987
147,102,987
147,227,697
147,502,665
147,504,665
147,508,665
147,510,665
147,511,665
147,512,665
147,513,665
148,96,987
148,101,987
148,321,1079
148,508,665
148,511,665
149,93,987
149,96,987
149,111,987
149,502,665
149,504,665
149,511,665
149,512,665
150,92,987
150,96,987
150,97,987
150,334,1079
150,481,665
150,503,665
150,505,665
150,509,665
150,511,665
151,89,987
151,91,987
151,92,987
151,93,987
151,451,991
151,480,665
151,508,665
152,233,697
152,522,665
153,88,987
153,90,987
153,91,987
153,93,987
153,100,987
153,486,665
154,337,1079
154,416,991
154,417,991
154,496,665
155,85,987
155,94,987
155,229,697
155,417,991
155,418,991
155,453,991
155,490,665
155,495,665
155,496,665
156,417,991
156,418,991
156,419,991
157,417,991
157,418,991
157,448,991
158,79,987
158,80,987
158,82,987
158,417,991
158,418,991
159,82,987
159,229,697
159,418,991
159,452,991
160,212,697
160,323,1079
160,420,991
160,452,991
161,75,987
161,205,697
161,211,697
161,328,1079
161,419,991
161,420,991
161,462,991
162,73,987
162,217,697
162,421,991
162,461,991
162,462,991
162,463,991
162,507,665
163,89,987
163,321,1079
163,325,1079
163,326,1079
163,367,1079
163,461,991
163,462,991
163,463,991
163,480,991
163,506,665
164,69,987
164,180,697
164,190,697
164,452,991
164,458,991
164,459,991
164,460,991
164,461,991
164,462,991
164,463,991
164,464,991
165,68,987
165,195,697
165,307,1079
165,458,991
165,459,991
165,460,991
165,461,991
165,462,991
165,463,991
165,464,991
166,315,1079
166,316,1079
166,326,1079
166,416,991
166,417,991
166,418,991
166,458,991
166,459,991
166,460,991
166,461,991
167,110,987
167,194,697
167,203,697
167,418,991
167,447,991
167,457,991
167,458,991
167,459,991
167,460,991
167,461,991
168,163,987
168,235,697
168,250,697
168,323,1079
168,324,1079
168,418,991
168,458,991
169,90,987
169,132,987
169,445,991
169,446,991
169,447,991
169,453,991
169,460,991
169,463,991
170,69,987
170,115,987
170,116,987
170,121,987
170,324,1079
170,424,991
170,463,991
171,115,987
171,116,987
171,117,987
171,118,987
171,151,987
171,281,1079
171,413,991
171,461,991
171,494,665
172,66,987
172,205,697
172,447,991
172,461,991
172,462,991
172,491,991
173,66,987
173,205,697
173,281,1079
173,324,1079
173,453,991
173,459,991
173,460,991
173,461,991
173,491,991
173,502,665
174,197,697
174,209,697
174,397,991
174,459,991
174,461,991
174,504,665
174,506,665
174,507,665
175,445,991
175,456,991
175,461,991
175,462,991
175,504,665
176,52,987
176,57,987
176,62,987
176,458,991
176,462,991
177,224,697
177,444,991
178,51,987
178,221,697
178,444,991
