"y","x","cluster_id"
8,478,82
9,450,82
10,482,82
11,448,82
11,482,82
11,485,82
12,485,82
16,431,82
17,428,82
17,430,82
17,435,82
17,437,82
17,454,82
17,472,82
17,523,82
19,472,82
20,413,82
20,415,82
21,430,82
21,434,82
21,473,82
21,474,82
22,421,82
22,422,82
22,427,82
22,434,82
22,456,82
22,457,82
23,417,82
23,418,82
23,419,82
23,421,82
24,416,82
24,418,82
24,424,82
24,471,82
24,472,82
26,380,222
26,410,82
26,411,82
26,510,82
27,362,222
27,368,222
27,382,222
27,383,222
27,385,222
28,372,222
28,390,222
28,394,222
28,404,82
29,396,222
29,404,82
29,405,82
30,343,222
30,345,222
30,349,222
30,391,222
30,403,82
30,405,82
31,379,222
32,216,173
32,218,173
32,225,173
32,234,173
32,237,173
32,390,222
32,395,222
32,399,222
33,226,173
33,238,173
33,370,222
33,374,222
33,392,222
33,394,222
34,222,173
34,250,173
35,207,173
35,210,173
35,252,173
35,385,222
35,393,222
35,457,82
36,209,173
36,251,173
36,303,173
36,344,222
36,400,222
36,401,222
37,211,173
37,212,173
37,255,173
37,301,173
37,305,173
37,346,222
37,449,82
37,467,82
38,214,173
38,255,173
38,256,173
38,307,173
38,526,82
39,189,281
39,195,281
39,261,173
39,307,173
39,308,173
39,486,82
40,185,281
40,211,173
40,233,173
40,264,173
40,265,173
40,296,173
40,297,173
40,309,173
41,313,173
41,335,222
42,315,173
43,315,173
43,318,173
44,227,173
44,273,173
44,328,222
45,279,173
46,281,173
46,286,173
47,279,173
47,346,222
48,346,222
48,347,222
49,313,173
49,336,222
50,331,222
50,342,222
50,449,82
50,453,82
51,344,222
52,330,222
52,341,222
52,342,222
52,347,222
52,348,222
53,346,222
53,347,222
53,459,82
54,176,281
54,177,281
54,265,173
54,348,222
55,176,281
55,177,281
55,178,281
56,338,222
56,339,222
56,340,222
57,243,173
57,313,173
57,338,222
57,340,222
57,414,82
57,441,82
57,452,82
59,313,173
59,426,82
59,440,82
60,179,281
60,387,222
60,439,82
60,487,82
60,489,82
61,151,281
61,197,281
61,271,173
61,345,222
61,346,222
61,406,222
61,487,82
61,488,82
62,157,281
62,251,173
62,346,222
62,347,222
62,456,82
62,487,82
63,155,281
63,157,281
63,158,281
63,167,281
63,347,222
63,348,222
63,349,222
63,351,222
64,158,281
64,166,281
64,167,281
64,201,281
64,352,222
64,354,222
65,218,173
65,331,222
65,352,222
65,353,222
65,354,222
65,355,222
65,356,222
65,455,82
66,329,222
67,161,281
67,418,82
67,460,82
67,467,82
