"y","x","cluster_id"
5,448,202
6,427,202
6,446,202
7,434,202
7,436,202
7,441,202
7,444,202
8,435,202
8,436,202
8,445,202
8,449,202
11,374,202
11,379,202
11,381,202
11,452,202
11,453,202
12,370,202
12,371,202
12,372,202
12,452,202
12,454,202
12,457,202
12,458,202
13,365,202
13,366,202
13,367,202
13,384,202
13,391,202
13,416,202
13,447,202
13,452,202
13,453,202
13,454,202
13,456,202
13,457,202
14,386,202
14,395,202
14,396,202
14,398,202
14,399,202
14,400,202
14,451,202
14,457,202
15,360,302
15,370,202
15,373,202
15,392,202
15,394,202
15,396,202
15,402,202
15,451,202
15,453,202
15,454,202
15,457,202
16,357,302
16,392,202
16,393,202
16,394,202
16,396,202
16,398,202
16,453,202
16,455,202
17,355,302
17,361,202
17,389,202
17,392,202
17,393,202
17,397,202
17,412,202
17,447,202
17,453,202
17,454,202
17,456,202
18,355,302
18,376,202
18,382,202
18,401,202
18,403,202
18,453,202
19,353,302
19,355,302
19,378,202
20,349,302
20,350,302
20,390,202
20,391,202
20,394,202
20,395,202
20,396,202
20,399,202
20,416,202
20,452,202
21,348,302
21,349,302
21,350,302
21,389,202
21,390,202
21,391,202
21,394,202
21,397,202
21,446,202
21,450,202
22,339,302
22,341,302
22,342,302
22,343,302
22,347,302
22,348,302
22,349,302
22,391,202
22,392,202
22,394,202
22,395,202
22,399,202
22,401,202
22,402,202
22,450,202
23,336,302
23,340,302
23,346,302
23,347,302
23,382,202
23,393,202
23,394,202
23,395,202
23,397,202
23,399,202
23,400,202
23,401,202
24,333,302
24,337,302
24,339,302
24,340,302
24,351,302
24,394,202
24,395,202
24,396,202
24,397,202
24,398,202
24,399,202
24,400,202
24,401,202
24,402,202
24,403,202
24,458,531
24,459,531
25,329,302
25,337,302
25,338,302
25,341,302
25,394,202
25,396,202
25,397,202
25,398,202
25,400,202
25,401,202
25,402,202
25,403,202
25,405,202
26,337,302
26,351,302
26,396,202
26,397,202
26,398,202
26,399,202
26,401,202
26,404,202
26,460,531
27,326,302
27,328,302
27,334,302
27,388,202
27,389,202
27,398,202
27,399,202
27,401,202
27,402,202
28,324,302
28,345,302
28,346,302
28,350,302
28,360,302
28,401,202
28,404,202
28,414,202
28,425,202
28,436,202
29,321,302
29,330,302
29,344,302
29,345,302
29,398,202
29,399,202
29,404,202
29,426,202
30,326,302
30,332,302
30,399,202
30,402,202
30,404,202
30,405,202
30,409,202
30,437,202
31,328,302
31,331,302
31,343,302
31,398,202
31,402,202
31,404,202
31,405,202
31,427,202
32,318,302
32,328,302
32,331,302
32,345,302
32,404,202
32,405,202
32,406,202
32,415,202
33,306,302
33,318,302
33,336,302
33,405,202
33,406,202
33,410,202
34,303,302
34,341,302
34,345,302
34,404,202
34,406,202
34,408,202
34,409,202
34,418,202
35,300,302
35,301,302
35,302,302
35,346,302
35,348,302
35,422,202
35,430,202
35,466,531
35,467,531
36,301,302
36,352,302
36,387,202
36,410,202
36,411,202
36,416,202
37,295,302
37,299,302
37,300,302
37,368,202
37,376,202
37,410,202
37,411,202
37,412,202
37,413,202
38,296,302
38,297,302
38,367,202
38,396,202
38,399,202
38,412,202
