"y","x","cluster_id"
3,54,29
4,53,29
4,57,29
5,52,29
5,53,29
5,55,29
5,57,29
6,52,29
6,56,29
7,54,29
8,52,29
9,53,29
10,52,29
10,60,29
12,65,29
22,76,29
22,77,29
23,74,29
23,75,29
23,76,29
23,77,29
23,78,29
24,73,29
24,74,29
24,75,29
24,76,29
24,77,29
24,78,29
25,72,29
25,73,29
25,74,29
25,75,29
26,65,29
26,66,29
26,72,29
26,73,29
26,74,29
27,64,29
27,65,29
27,68,29
27,73,29
28,64,29
28,66,29
28,67,29
28,69,29
28,70,29
29,65,29
29,67,29
29,68,29
29,70,29
29,72,29
29,73,29
29,74,29
29,75,29
29,76,29
30,68,29
30,69,29
30,70,29
30,72,29
30,73,29
30,74,29
30,75,29
30,76,29
31,68,29
31,69,29
31,70,29
31,75,29
31,81,29
32,67,29
32,68,29
32,69,29
32,76,29
32,77,29
33,68,29
33,69,29
33,79,29
34,69,29
35,72,29
35,73,29
35,75,29
35,80,29
35,88,29
36,89,29
36,155,840
37,90,563
37,115,904
38,90,563
38,103,563
38,114,904
38,115,904
38,116,904
38,124,904
38,145,840
39,88,563
39,89,563
39,90,563
39,113,904
39,124,904
39,126,904
39,128,904
39,144,840
40,87,563
40,91,563
40,122,904
40,123,904
40,124,904
40,127,904
41,91,563
41,92,563
41,93,563
41,112,904
41,125,904
41,126,904
41,127,904
41,128,904
41,217,1001
42,85,563
42,86,563
42,87,563
42,91,563
42,92,563
42,93,563
42,117,904
42,125,904
42,127,904
42,128,904
42,132,904
42,153,840
43,83,563
43,86,563
43,91,563
43,92,563
43,93,563
43,102,563
43,103,563
43,116,904
43,117,904
43,118,904
43,126,904
43,132,904
43,196,1001
44,90,563
44,91,563
44,92,563
44,114,904
44,115,904
44,116,904
44,117,904
44,119,904
44,124,904
44,125,904
44,168,840
44,171,840
44,222,1001
45,88,563
45,90,563
45,91,563
45,109,563
45,112,904
45,114,904
45,116,904
45,118,904
45,119,904
45,126,904
45,132,904
45,165,840
45,170,840
45,223,1001
45,224,1001
46,88,563
46,89,563
46,95,563
46,109,563
46,111,904
46,112,904
46,113,904
46,114,904
46,115,904
46,116,904
46,117,904
46,118,904
46,119,904
46,120,904
46,124,904
46,188,1001
46,193,1001
46,198,1001
46,219,1001
47,88,563
47,94,563
47,99,563
47,104,563
47,105,563
47,108,563
47,110,904
47,113,904
47,114,904
47,117,904
47,118,904
47,119,904
47,120,904
47,121,904
47,123,904
47,125,904
47,126,904
47,128,904
47,161,840
47,218,1001
47,219,1001
48,95,563
48,99,563
48,107,563
48,112,904
48,113,904
48,114,904
48,117,904
48,118,904
48,119,904
48,120,904
48,121,904
48,122,904
48,124,904
48,125,904
48,162,840
48,188,1001
48,207,1001
48,217,1001
48,218,1001
48,220,1001
48,221,1001
48,222,1001
48,225,1001
48,226,1001
48,227,1001
48,229,1001
48,230,1001
48,231,1001
48,236,1001
48,247,1001
48,248,1330
48,249,1330
48,251,1330
49,98,563
49,106,563
49,107,563
49,108,563
49,109,904
49,110,904
49,111,904
49,112,904
49,113,904
49,114,904
49,118,904
49,119,904
49,120,904
49,121,904
49,122,904
49,123,904
49,124,904
49,125,904
49,132,904
49,147,840
49,148,840
49,210,1001
49,213,1001
49,214,1001
49,215,1001
49,216,1001
49,217,1001
49,220,1001
49,221,1001
49,222,1001
49,223,1001
49,224,1001
49,225,1001
49,226,1001
49,227,1001
49,228,1001
49,229,1001
49,230,1001
49,245,1001
49,246,1001
49,247,1001
49,248,1330
49,249,1330
49,250,1330
49,251,1330
49,252,1330
49,257,1330
50,90,563
50,107,563
50,108,563
50,109,904
50,110,904
50,111,904
50,112,904
50,113,904
50,114,904
50,116,904
50,119,904
50,122,904
50,123,904
50,124,904
50,195,1001
50,210,1001
50,213,1001
50,216,1001
50,217,1001
50,218,1001
50,220,1001
50,221,1001
50,222,1001
50,225,1001
50,226,1001
50,227,1001
50,228,1001
50,244,1001
50,245,1001
50,246,1001
50,247,1001
50,248,1330
50,249,1330
50,250,1330
50,251,1330
50,257,1330
50,258,1330
50,263,1330
51,85,563
51,95,563
51,100,563
51,101,563
51,104,563
51,107,563
51,108,563
51,109,904
51,110,904
51,111,904
51,112,904
51,113,904
51,114,904
51,115,904
51,116,904
51,117,904
51,118,904
51,119,904
51,120,904
51,121,904
51,122,904
51,123,904
51,124,904
51,125,904
51,132,904
51,156,840
51,157,840
51,195,1001
51,208,1001
51,216,1001
51,217,1001
51,218,1001
51,221,1001
51,222,1001
51,247,1001
51,249,1330
51,251,1330
51,252,1330
51,253,1330
51,256,1330
51,257,1330
51,258,1330
51,259,1330
51,260,1330
51,261,1330
51,262,1330
52,86,563
52,87,563
52,91,563
52,92,563
52,94,563
52,100,563
52,105,563
52,106,563
52,107,563
52,108,904
52,109,904
52,110,904
52,111,904
52,112,904
52,113,904
52,114,904
52,115,904
52,116,904
52,118,904
52,119,904
52,120,904
52,122,904
52,123,904
52,126,904
52,132,904
52,133,904
52,142,840
52,156,840
52,159,840
52,160,840
52,212,1001
52,248,1330
52,252,1330
52,259,1330
52,260,1330
52,261,1330
52,262,1330
52,263,1330
52,264,1330
52,272,1330
53,87,563
53,89,563
53,90,563
53,91,563
53,93,563
53,103,563
53,104,563
53,105,563
53,108,904
53,109,904
53,110,904
53,111,904
53,112,904
53,113,904
53,114,904
53,115,904
53,116,904
53,117,904
53,118,904
53,120,904
53,121,904
53,122,904
53,123,904
53,126,904
53,128,904
53,132,904
53,136,904
53,151,840
53,152,840
53,165,840
53,193,1001
53,209,1001
53,211,1001
53,212,1001
53,249,1330
53,250,1330
53,252,1330
53,253,1330
53,263,1330
53,266,1330
54,86,563
54,89,563
54,93,563
54,97,563
54,99,563
54,100,563
54,101,563
54,102,563
54,103,563
54,104,563
54,105,563
54,106,563
54,107,563
54,108,904
54,109,904
54,110,904
54,111,904
54,112,904
54,113,904
54,114,904
54,115,904
54,116,904
54,117,904
54,118,904
54,119,904
54,120,904
54,121,904
54,122,904
54,123,904
54,124,904
54,125,904
54,126,904
54,127,904
54,149,840
54,152,840
54,164,840
54,165,840
54,193,1001
54,208,1001
54,209,1001
54,210,1001
54,211,1001
54,212,1001
54,221,1001
54,267,1330
54,268,1330
54,274,1330
55,86,563
55,87,563
55,88,563
55,89,563
55,90,563
55,91,563
55,95,563
55,96,563
55,97,563
55,98,563
55,99,563
55,100,563
55,102,563
55,103,563
55,105,563
55,107,563
55,108,904
55,109,904
55,110,904
55,111,904
55,112,904
55,113,904
55,114,904
55,115,904
55,117,904
55,118,904
55,119,904
55,120,904
55,121,904
55,122,904
55,123,904
55,124,904
55,125,904
55,126,904
55,127,904
55,129,904
55,152,840
55,160,840
55,163,840
55,164,840
55,165,840
55,166,840
55,172,840
55,173,840
55,208,1001
55,209,1001
55,210,1001
55,211,1001
55,212,1001
55,213,1001
55,224,1001
55,265,1330
55,266,1330
55,267,1330
55,268,1330
55,269,1330
55,270,1330
55,272,1330
55,293,1330
56,87,563
56,88,563
56,89,563
56,95,563
56,96,563
56,97,563
56,98,563
56,99,563
56,100,563
56,101,563
56,102,563
56,103,563
56,105,563
56,106,563
56,107,563
