"y","x","cluster_id"
24,138,126
27,135,126
27,140,126
27,142,126
27,143,126
27,144,126
27,146,126
27,147,126
28,132,126
28,138,126
28,139,126
28,142,126
28,143,126
28,144,126
28,146,126
28,148,126
28,150,126
28,151,126
28,152,126
29,138,126
29,141,126
29,142,126
29,143,126
29,144,126
29,145,126
29,146,126
29,147,126
29,148,126
29,151,126
29,152,126
29,155,126
29,157,126
30,136,126
30,137,126
30,138,126
30,142,126
30,143,126
30,146,126
30,147,126
30,148,126
30,149,126
30,150,126
30,151,126
30,152,126
30,153,126
30,154,126
30,155,126
30,157,126
30,159,126
31,135,126
31,136,126
31,138,126
31,139,126
31,146,126
31,147,126
31,148,126
31,149,126
31,150,126
31,151,126
31,152,126
31,153,126
31,154,126
31,155,126
31,156,126
31,157,126
31,158,126
31,159,126
31,160,126
31,161,126
31,162,126
32,134,126
32,135,126
32,137,126
32,138,126
32,145,126
32,146,126
32,147,126
32,148,126
32,149,126
32,150,126
32,152,126
32,153,126
32,154,126
32,156,126
32,157,126
32,159,126
32,160,126
32,161,126
32,162,126
32,163,126
32,164,126
32,165,126
33,135,126
33,137,126
33,138,126
33,139,126
33,140,126
33,142,126
33,144,126
33,145,126
33,146,126
33,147,126
33,148,126
33,149,126
33,150,126
33,151,126
33,153,126
33,154,126
33,155,126
33,156,126
33,158,126
33,159,126
33,160,126
33,162,126
33,164,126
33,165,126
34,135,126
34,139,126
34,140,126
34,141,126
34,142,126
34,143,126
34,144,126
34,146,126
34,148,126
34,149,126
34,150,126
34,151,126
34,152,126
34,153,126
34,154,126
34,156,126
34,157,126
34,159,126
34,164,126
35,136,126
35,137,126
35,139,126
35,143,126
35,144,126
35,145,126
35,146,126
35,147,126
35,148,126
35,149,126
35,150,126
35,151,126
35,152,126
35,154,126
35,155,126
36,135,126
36,136,126
36,137,126
36,138,126
36,140,126
36,141,126
36,144,126
36,145,126
36,150,126
36,154,126
36,155,126
37,133,126
37,136,126
37,143,126
37,144,126
37,145,126
37,146,126
37,149,126
37,150,126
37,151,126
37,152,126
37,153,126
37,154,126
38,144,126
38,145,126
38,146,126
38,148,126
38,150,126
38,151,126
38,152,126
38,153,126
38,158,126
39,148,126
39,149,126
39,150,126
39,151,126
39,152,126
40,65,394
40,66,394
40,148,126
40,149,126
40,150,126
40,151,126
40,152,126
41,70,651
41,149,126
41,150,126
41,151,126
41,152,126
42,71,651
42,153,126
43,42,394
43,61,394
43,71,651
43,159,126
44,62,394
45,35,394
45,39,394
45,41,394
45,42,394
45,43,394
45,44,394
45,45,394
45,46,394
45,62,394
45,69,651
45,75,651
45,83,651
46,34,394
46,36,394
46,42,394
46,44,394
46,45,394
46,48,394
46,61,394
46,64,394
46,72,651
46,76,651
47,30,394
47,31,394
47,32,394
47,33,394
47,34,394
47,35,394
47,37,394
47,40,394
47,43,394
47,44,394
47,45,394
47,46,394
47,49,394
47,61,394
47,73,651
47,74,651
47,80,651
47,158,126
48,30,394
48,31,394
48,32,394
48,34,394
48,38,394
48,43,394
48,44,394
48,45,394
48,46,394
48,47,394
48,49,394
48,58,394
48,59,394
48,60,394
48,61,394
48,62,394
48,63,394
48,64,394
48,65,394
48,66,394
48,67,651
48,70,651
48,71,651
48,72,651
48,75,651
48,87,651
48,159,126
48,162,126
49,29,394
49,30,394
49,31,394
49,34,394
49,42,394
49,43,394
49,44,394
49,45,394
49,46,394
49,47,394
49,48,394
49,49,394
49,58,394
49,59,394
49,60,394
49,61,394
49,62,394
49,63,394
49,64,394
49,65,394
49,66,394
49,67,651
49,68,651
49,69,651
49,70,651
49,71,651
49,72,651
49,73,651
49,75,651
49,76,651
49,78,651
49,159,126
49,184,126
50,25,394
50,30,394
50,31,394
50,34,394
50,35,394
50,36,394
50,38,394
50,39,394
50,40,394
50,41,394
50,44,394
50,45,394
50,46,394
50,47,394
50,48,394
50,49,394
50,58,394
50,59,394
50,60,394
50,61,394
50,62,394
50,63,394
50,64,394
50,65,394
50,66,394
50,67,651
50,68,651
50,69,651
50,70,651
50,71,651
50,72,651
50,73,651
50,74,651
50,75,651
50,76,651
50,77,651
50,78,651
50,79,651
51,24,394
51,32,394
51,36,394
51,37,394
51,38,394
51,39,394
51,46,394
51,47,394
51,48,394
51,54,394
51,55,394
51,56,394
51,57,394
51,58,394
51,59,394
51,60,394
51,61,394
51,62,394
51,63,394
51,64,394
51,65,394
51,66,394
51,67,651
51,68,651
51,69,651
51,70,651
51,71,651
51,72,651
51,73,651
51,74,651
51,75,651
51,76,651
51,77,651
51,78,651
51,81,651
51,82,651
51,84,651
51,89,651
51,90,651
51,92,651
51,93,651
51,94,651
51,159,126
52,31,394
52,32,394
52,47,394
52,48,394
52,49,394
52,51,394
52,53,394
52,54,394
52,55,394
52,56,394
52,57,394
52,58,394
52,59,394
52,60,394
52,61,394
52,62,394
52,63,394
52,65,394
52,66,651
52,67,651
52,68,651
52,69,651
52,70,651
52,71,651
52,72,651
52,73,651
52,74,651
52,75,651
52,76,651
52,77,651
52,78,651
52,79,651
52,84,651
52,85,651
52,89,651
52,90,651
52,91,651
52,92,651
52,93,651
52,192,883
53,30,394
53,47,394
53,48,394
53,52,394
53,53,394
53,54,394
53,55,394
53,56,394
53,57,394
53,58,394
53,59,394
53,60,394
53,61,394
53,62,394
53,63,394
53,64,394
53,65,394
53,66,651
53,67,651
53,68,651
53,69,651
53,70,651
53,71,651
53,72,651
53,73,651
53,74,651
53,75,651
53,76,651
53,77,651
53,78,651
53,79,651
53,80,651
53,81,651
53,85,651
53,87,651
53,88,651
53,89,651
53,90,651
53,91,651
53,92,651
53,93,651
53,94,651
53,95,651
54,50,394
54,51,394
54,52,394
54,53,394
54,54,394
54,55,394
54,56,394
54,61,394
54,62,394
54,63,394
54,64,394
54,65,394
54,66,651
54,67,651
54,68,651
54,72,651
54,73,651
54,74,651
54,75,651
54,76,651
54,77,651
54,78,651
54,79,651
54,80,651
54,81,651
54,83,651
54,84,651
54,85,651
54,86,651
54,87,651
54,88,651
54,89,651
54,93,651
54,94,651
54,95,651
54,96,651
54,97,651
54,194,883
55,50,394
55,52,394
55,53,394
55,54,394
55,55,394
55,56,394
55,64,394
55,65,394
55,66,651
55,67,651
55,73,651
55,74,651
55,75,651
55,76,651
55,77,651
55,78,651
55,79,651
55,84,651
55,85,651
55,89,651
55,90,651
55,91,651
55,93,651
55,94,651
55,95,651
55,96,651
56,52,394
56,54,394
56,55,394
56,56,394
56,57,394
56,58,394
56,60,394
56,61,394
56,64,394
56,65,651
56,66,651
56,67,651
56,68,651
56,72,651
56,73,651
56,74,651
56,75,651
56,76,651
56,77,651
56,78,651
56,79,651
56,80,651
56,83,651
56,84,651
56,85,651
56,88,651
56,89,651
56,90,651
56,94,651
56,95,651
56,97,651
56,98,651
56,158,126
56,196,883
57,48,394
57,53,394
57,54,394
57,55,394
57,56,394
57,57,394
57,65,651
57,66,651
57,67,651
57,68,651
57,73,651
57,74,651
57,75,651
57,76,651
57,77,651
57,82,651
57,83,651
57,85,651
57,86,651
57,88,651
57,89,651
57,90,651
57,91,651
57,92,651
57,93,651
57,94,651
57,97,651
57,98,651
57,197,883
58,28,394
58,48,394
58,50,394
58,51,394
58,52,394
58,53,394
58,54,394
58,56,394
58,65,651
58,66,651
58,67,651
58,68,651
58,69,651
