"y","x","cluster_id"
56,275,526
65,258,526
77,252,526
83,391,88
83,392,88
84,407,88
85,306,88
85,307,88
85,409,88
86,402,88
86,409,88
87,378,88
87,400,88
87,402,88
87,403,88
87,404,88
87,409,88
87,411,88
87,427,88
88,400,88
88,401,88
88,409,88
88,415,88
89,393,88
89,429,88
90,420,88
91,373,88
91,381,88
91,414,88
91,415,88
91,416,88
92,414,88
92,415,88
93,386,88
93,418,88
94,372,88
94,379,88
94,382,88
94,416,88
95,375,88
95,376,88
95,377,88
96,375,88
96,377,88
96,389,88
96,390,88
97,369,88
97,370,88
97,374,88
97,376,88
97,390,88
97,441,174
97,442,174
99,358,88
99,372,88
99,374,88
99,375,88
99,376,88
99,377,88
99,378,88
99,381,88
99,385,88
99,428,88
99,434,88
99,438,174
99,439,174
99,441,174
100,362,88
100,377,88
100,381,88
100,385,88
100,431,88
100,434,88
100,440,174
101,376,88
101,379,88
101,429,88
101,432,88
101,433,88
101,434,88
102,365,88
102,376,88
102,383,88
103,356,88
103,377,88
103,398,88
104,381,88
104,392,88
104,443,174
104,444,174
105,147,744
105,358,88
105,381,88
105,382,88
105,393,88
106,147,744
106,148,744
107,357,88
107,393,88
108,390,88
109,297,526
109,351,88
109,441,174
110,426,88
110,443,174
111,352,88
111,393,88
111,394,88
112,283,526
112,367,88
112,393,88
112,394,88
113,429,174
114,427,174
114,429,174
115,422,88
115,428,174
115,431,174
116,394,88
116,421,88
116,448,174
117,348,359
117,394,88
117,421,88
118,419,88
118,420,88
118,421,88
119,419,88
119,420,88
120,354,88
121,382,88
121,383,88
122,381,88
122,382,88
123,95,744
123,297,526
123,298,526
123,380,88
123,381,88
126,298,526
126,300,526
126,342,359
127,95,744
127,434,174
128,433,174
128,434,174
128,435,174
129,435,174
131,347,359
131,405,88
131,433,174
132,343,359
132,348,359
132,433,174
132,453,174
132,454,174
134,342,359
135,197,744
136,464,174
137,341,359
137,348,359
137,463,174
137,464,174
139,337,359
139,338,359
139,341,359
139,439,174
139,440,174
139,464,174
141,433,174
141,434,174
141,435,174
142,343,359
142,445,174
143,343,359
143,347,359
143,441,174
144,353,359
144,358,359
144,451,174
144,455,174
145,350,359
145,355,359
145,358,359
145,442,174
145,451,174
145,452,174
145,454,174
145,456,174
146,350,359
146,353,359
146,450,174
146,454,174
146,456,174
147,350,359
147,355,359
147,359,359
147,438,174
147,449,174
147,450,174
147,455,174
148,348,359
148,352,359
148,355,359
148,356,359
148,449,174
148,452,174
148,453,174
148,454,174
148,455,174
148,457,174
149,351,359
149,352,359
149,358,359
149,361,359
149,362,359
149,365,359
149,445,174
149,457,174
150,352,359
150,354,359
150,355,359
150,356,359
150,358,359
150,359,359
150,360,359
150,361,359
150,362,359
150,368,359
150,441,174
151,354,359
151,361,359
151,363,359
151,364,359
151,442,174
152,354,359
152,356,359
152,357,359
152,358,359
152,359,359
152,360,359
152,361,359
152,364,359
152,374,359
152,442,174
153,349,359
153,351,359
153,353,359
153,354,359
153,357,359
153,358,359
153,359,359
153,360,359
153,361,359
153,363,359
153,364,359
153,367,359
153,436,174
153,441,174
153,447,174
153,448,174
153,456,174
154,349,359
154,350,359
154,351,359
154,352,359
154,356,359
154,357,359
154,358,359
154,359,359
154,360,359
154,362,359
154,364,359
154,365,359
155,321,526
155,322,526
155,350,359
155,355,359
155,356,359
155,357,359
155,358,359
155,360,359
155,361,359
155,362,359
155,363,359
155,364,359
155,365,359
155,366,359
155,417,174
155,429,174
155,445,174
156,321,526
156,352,359
156,355,359
156,356,359
156,357,359
156,358,359
156,363,359
156,370,359
156,444,174
156,445,174
157,245,526
157,351,359
157,353,359
157,355,359
157,356,359
157,357,359
157,358,359
157,360,359
157,363,359
157,370,359
157,444,174
158,316,526
158,318,526
158,352,359
158,353,359
158,354,359
158,357,359
158,360,359
158,364,359
159,315,526
