"y","x","cluster_id"
32,170,60
33,190,60
34,191,60
39,208,60
43,210,60
46,194,60
46,210,60
46,247,60
47,212,60
48,212,60
48,213,60
49,179,60
49,207,60
50,157,60
50,190,60
50,213,60
51,273,60
53,172,60
53,287,60
54,289,60
55,151,60
55,270,60
56,150,60
56,175,60
56,266,60
57,199,60
57,200,60
57,290,60
58,241,60
58,244,60
59,152,60
59,166,60
60,176,60
60,266,60
61,122,60
61,157,60
61,194,60
61,213,60
61,256,60
61,268,60
62,194,60
63,163,60
63,193,60
64,154,60
64,156,60
64,178,60
64,191,60
65,102,147
66,146,60
67,174,60
68,159,60
68,175,60
69,175,60
69,288,60
70,177,60
70,220,60
71,174,60
72,167,60
72,179,60
72,202,60
72,262,60
73,92,147
73,182,60
73,255,60
76,181,60
76,264,60
77,141,60
77,244,60
78,178,60
79,143,60
79,144,60
79,243,60
79,250,60
80,231,60
81,183,60
83,185,60
91,199,60
91,200,60
93,312,183
99,185,60
99,193,60
100,86,147
100,193,60
101,83,147
101,196,60
103,82,147
103,87,147
105,86,147
106,82,147
106,193,60
106,204,60
107,183,60
108,237,60
110,82,147
111,82,147
112,84,147
113,82,147
114,183,60
114,237,60
117,197,60
122,482,392
125,84,147
125,314,183
126,239,183
130,229,183
131,83,147
131,84,147
131,243,183
131,300,183
132,83,147
132,84,147
132,88,147
132,301,183
133,319,183
135,244,183
135,259,183
136,243,183
136,321,183
137,249,183
139,320,183
139,322,183
139,329,183
140,231,183
140,315,183
140,317,183
140,322,183
143,286,183
143,297,183
143,300,183
143,322,183
144,85,147
145,88,147
145,240,183
146,88,147
146,89,147
146,142,147
147,89,147
148,308,183
149,90,147
149,337,183
150,90,147
150,93,147
150,334,183
150,337,183
151,333,183
151,349,183
152,94,147
153,92,147
153,93,147
153,222,183
153,265,183
154,94,147
154,332,183
155,335,183
156,94,147
157,330,183
157,334,183
158,221,183
161,324,183
162,323,183
163,305,183
163,316,183
164,199,183
165,207,183
165,293,183
166,119,147
166,206,183
166,293,183
167,209,183
167,256,183
168,111,147
168,112,147
168,113,147
168,209,183
168,305,183
169,91,147
169,305,183
169,311,183
170,176,147
171,298,183
172,98,147
173,112,147
173,265,183
174,251,183
175,269,183
176,134,147
176,272,183
177,259,183
178,200,183
178,207,183
179,201,183
179,254,183
181,412,392
182,258,183
182,412,392
183,189,183
183,253,183
183,254,183
185,218,183
186,177,183
186,241,183
188,414,392
189,215,183
189,414,392
190,424,392
191,428,392
193,273,183
193,417,392
193,418,392
193,421,392
197,106,147
200,274,183
201,261,183
203,215,183
203,273,183
203,275,183
204,99,147
204,216,183
204,244,183
205,215,183
205,291,297
205,304,297
205,425,392
206,170,147
206,217,183
206,290,297
206,303,297
206,304,297
206,305,297
207,95,147
207,170,147
208,97,147
208,240,183
208,242,183
208,301,297
