"y","x","cluster_id"
42,56,13
42,59,13
42,60,13
43,54,13
43,55,13
43,68,13
44,79,13
45,55,13
47,95,13
52,111,13
53,119,13
57,89,13
72,86,13
72,87,13
73,86,13
73,113,13
78,154,351
79,74,13
79,109,13
79,154,351
79,158,351
80,75,13
80,109,13
81,160,351
81,161,351
82,161,351
87,177,351
88,174,351
88,175,351
89,175,351
89,177,351
90,172,351
90,176,351
90,179,351
91,177,351
91,178,351
91,183,351
92,177,351
92,178,351
93,76,13
93,173,351
93,178,351
93,179,351
94,175,351
94,176,351
94,177,351
94,179,351
94,180,351
95,76,13
95,151,351
95,175,351
95,176,351
95,177,351
95,178,351
95,179,351
96,76,13
96,129,753
96,177,351
96,178,351
96,179,351
96,180,351
97,76,13
97,77,13
97,130,753
97,132,753
97,180,351
97,182,351
97,183,351
97,186,351
97,187,351
98,76,13
98,77,13
98,128,753
98,130,753
98,132,753
98,135,753
98,181,351
98,182,351
98,185,351
98,186,351
98,187,351
99,130,753
99,181,351
99,182,351
99,183,351
99,184,351
99,185,351
99,186,351
99,187,351
99,188,351
99,189,351
99,237,707
100,128,753
100,132,753
100,133,753
100,135,753
100,180,351
100,182,351
100,183,351
100,184,351
100,185,351
100,186,351
100,187,351
100,188,351
100,189,351
101,181,351
101,182,351
101,183,351
101,184,351
101,185,351
101,186,351
101,187,351
101,189,351
101,190,351
101,242,707
102,79,13
102,133,753
102,134,753
102,151,351
102,181,351
102,182,351
102,183,351
102,184,351
102,185,351
102,186,351
102,187,351
102,189,351
103,134,753
103,181,351
103,182,351
103,185,351
103,186,351
104,185,351
104,186,351
105,184,351
105,185,351
105,186,351
105,251,707
106,183,351
106,184,351
106,185,351
106,194,351
107,121,753
107,186,351
107,194,351
108,182,351
108,193,351
109,186,351
109,187,351
109,189,351
110,184,351
110,185,351
110,187,351
110,188,351
110,189,351
110,190,351
110,192,351
110,221,707
111,184,351
111,185,351
111,186,351
111,187,351
111,188,351
111,189,351
111,190,351
111,191,351
111,192,351
111,236,707
111,237,707
112,185,351
112,186,351
112,187,351
112,188,351
112,189,351
112,190,351
112,191,351
112,192,351
112,214,351
112,215,351
112,236,707
112,237,707
112,238,707
113,184,351
113,185,351
113,186,351
113,187,351
113,188,351
113,189,351
113,190,351
113,191,351
113,192,351
113,194,351
113,237,707
113,238,707
113,239,707
113,263,707
114,181,351
114,182,351
114,183,351
114,184,351
114,185,351
114,186,351
114,187,351
114,188,351
114,189,351
114,190,351
114,191,351
114,237,707
114,238,707
114,239,707
114,242,707
114,243,707
114,244,707
114,259,707
115,181,351
115,182,351
115,183,351
115,184,351
115,185,351
115,186,351
115,187,351
115,188,351
115,189,351
115,190,351
115,191,351
115,192,351
115,229,707
115,237,707
115,238,707
115,239,707
115,242,707
115,243,707
115,244,707
116,182,351
116,183,351
116,184,351
116,185,351
116,186,351
116,187,351
116,188,351
116,189,351
116,191,351
116,192,351
116,193,351
116,194,351
116,196,351
116,197,351
116,237,707
116,238,707
116,239,707
116,240,707
116,241,707
116,242,707
116,243,707
116,244,707
116,246,707
117,181,351
117,182,351
117,183,351
117,184,351
117,185,351
117,186,351
117,187,351
117,188,351
117,189,351
117,190,351
117,191,351
117,192,351
117,193,351
117,194,351
117,195,351
117,233,707
117,235,707
117,236,707
117,237,707
117,238,707
117,239,707
117,240,707
117,242,707
117,243,707
117,244,707
117,245,707
117,246,707
118,186,351
118,187,351
118,188,351
118,189,351
118,190,351
118,191,351
118,192,351
118,193,351
118,194,351
118,195,351
118,196,351
118,203,351
118,234,707
118,235,707
118,238,707
118,239,707
118,240,707
118,242,707
118,244,707
118,245,707
118,246,707
118,247,707
118,248,707
118,249,707
119,186,351
119,187,351
119,188,351
119,189,351
119,190,351
119,191,351
119,192,351
119,193,351
119,194,351
119,195,351
119,203,351
119,230,707
119,238,707
119,242,707
119,243,707
119,244,707
119,245,707
119,246,707
119,247,707
119,248,707
120,185,351
120,186,351
120,188,351
120,189,351
120,190,351
120,191,351
120,192,351
120,193,351
120,194,351
120,195,351
120,196,351
120,231,707
120,234,707
120,238,707
120,239,707
120,241,707
120,242,707
120,243,707
120,246,707
121,187,351
121,188,351
121,189,351
121,190,351
121,191,351
121,192,351
121,193,351
121,194,351
121,195,351
121,196,351
121,238,707
121,239,707
121,241,707
121,242,707
121,243,707
121,246,707
122,186,351
122,187,351
122,188,351
122,189,351
122,190,351
122,191,351
122,192,351
122,193,351
122,194,351
122,195,351
122,228,707
122,230,707
122,232,707
122,238,707
122,239,707
122,240,707
122,241,707
122,242,707
122,243,707
122,244,707
123,187,351
123,188,351
123,189,351
123,190,351
123,191,351
123,192,351
123,193,351
123,194,351
123,195,351
123,232,707
123,234,707
123,239,707
123,240,707
123,241,707
123,242,707
123,244,707
123,245,707
124,112,753
124,119,753
124,185,351
124,187,351
124,188,351
124,189,351
124,190,351
124,191,351
124,192,351
124,193,351
124,194,351
124,195,351
124,232,707
124,233,707
124,238,707
124,239,707
124,240,707
124,241,707
124,242,707
124,243,707
124,244,707
124,245,707
124,246,707
124,247,707
125,105,753
125,106,753
125,187,351
125,189,351
125,190,351
125,191,351
125,192,351
125,193,351
125,194,351
125,195,351
125,196,351
125,233,707
125,236,707
125,239,707
125,240,707
125,241,707
125,242,707
125,245,707
126,108,753
126,114,753
126,117,753
126,187,351
126,188,351
126,189,351
126,190,351
126,191,351
126,192,351
126,193,351
126,194,351
126,195,351
126,198,351
126,222,707
126,235,707
126,238,707
126,239,707
126,240,707
126,244,707
126,246,707
126,247,707
127,107,753
127,113,753
127,115,753
127,120,753
127,188,351
127,189,351
127,190,351
127,191,351
127,192,351
127,193,351
127,194,351
127,195,351
127,196,351
127,197,351
127,198,351
127,231,707
127,236,707
127,238,707
127,239,707
127,240,707
127,241,707
