"y","x","cluster_id"
17,224,26
18,226,26
21,227,26
30,241,26
32,260,26
46,255,26
48,275,26
54,233,26
54,234,26
54,281,26
55,233,26
55,234,26
56,145,47
63,270,26
64,151,47
66,256,26
68,115,47
78,241,26
85,210,26
104,174,47
109,108,47
109,148,47
109,240,26
115,258,26
120,258,26
120,259,26
121,293,26
123,179,47
123,292,26
125,308,26
129,146,47
131,289,26
132,169,47
132,305,26
134,98,47
135,301,26
139,266,26
144,244,26
148,285,26
151,106,47
152,132,47
153,126,47
153,216,47
153,314,26
155,174,47
155,315,26
156,171,47
156,284,26
157,302,26
159,108,47
159,371,223
160,109,47
162,250,26
162,302,26
163,249,26
163,312,26
164,185,47
164,248,26
164,249,26
165,190,47
166,109,47
166,288,26
167,113,47
168,201,47
168,300,26
169,127,47
172,183,47
173,267,26
173,296,26
173,298,26
174,179,47
174,298,26
175,184,47
175,194,47
176,178,47
178,179,47
178,364,223
181,173,47
181,348,223
182,177,47
183,174,47
183,178,47
185,178,47
185,192,47
186,195,47
188,173,47
189,173,47
189,243,187
189,244,187
190,173,47
190,174,47
190,240,187
191,174,47
191,179,47
191,240,187
191,241,187
193,301,223
196,283,223
196,359,223
197,236,187
199,209,47
206,107,225
207,105,225
209,118,225
209,119,225
213,115,225
213,120,225
215,336,223
215,408,629
216,336,223
217,114,225
220,412,629
222,302,223
225,278,223
226,279,223
227,278,223
227,280,223
227,286,223
227,287,223
227,299,223
228,279,223
228,280,223
229,302,223
229,303,223
230,282,223
230,283,223
230,286,223
230,288,223
230,302,223
230,306,223
230,311,223
231,134,225
231,273,187
231,289,223
231,307,223
233,273,187
234,274,187
235,271,187
235,275,223
235,305,223
235,311,223
236,304,223
236,305,223
238,339,223
239,111,225
239,171,225
239,339,223
240,111,225
240,120,225
241,113,225
241,258,187
242,109,225
242,258,187
242,302,223
243,109,225
243,207,187
243,254,187
243,255,187
244,252,187
244,254,187
245,235,187
246,231,187
246,233,187
246,237,187
246,385,629
247,230,187
247,231,187
247,232,187
247,233,187
247,236,187
248,100,225
248,228,187
248,230,187
248,231,187
248,233,187
248,415,629
249,176,225
249,227,187
249,228,187
249,230,187
249,232,187
249,233,187
249,251,187
250,227,187
250,231,187
251,229,187
251,237,187
252,68,710
252,110,225
252,111,225
252,167,225
252,226,187
252,227,187
252,336,223
252,337,223
252,405,629
253,64,710
253,166,225
253,229,187
253,365,223
254,122,225
254,229,187
254,418,629
255,235,187
255,255,187
255,293,223
255,294,223
255,295,223
255,350,223
255,356,223
255,357,223
256,228,187
256,279,223
256,302,223
257,281,223
257,292,223
257,306,223
258,124,225
258,228,187
258,282,223
258,306,223
258,307,223
258,308,223
259,55,710
259,151,225
259,312,223
260,152,225
260,153,225
260,343,223
261,152,225
261,153,225
261,154,225
261,226,187
262,128,225
262,153,225
262,154,225
262,155,225
262,220,187
262,240,187
262,309,223
262,311,223
262,312,223
262,326,223
262,328,223
262,420,629
263,152,225
263,153,225
263,154,225
263,155,225
263,238,187
263,241,187
263,310,223
263,311,223
263,312,223
264,150,225
264,153,225
264,154,225
264,155,225
264,177,225
264,287,223
264,306,223
264,308,223
264,312,223
264,313,223
264,316,223
264,317,223
264,318,223
264,324,223
264,328,223
265,154,225
265,155,225
265,156,225
265,177,225
265,223,187
265,238,187
265,246,187
265,286,223
265,288,223
265,295,223
265,299,223
265,301,223
265,304,223
265,305,223
265,306,223
265,310,223
265,313,223
265,315,223
265,316,223
265,319,223
265,321,223
265,326,223
265,417,629
266,154,225
266,155,225
266,177,225
266,287,223
266,289,223
266,294,223
266,300,223
266,301,223
266,305,223
266,306,223
266,307,223
266,314,223
266,315,223
266,316,223
266,319,223
266,327,223
266,363,629
267,298,223
267,300,223
267,303,223
267,306,223
267,323,223
267,419,629
268,91,710
268,157,225
268,221,187
268,295,223
268,296,223
268,301,223
268,302,223
268,304,223
268,305,223
268,306,223
268,311,223
268,315,223
268,318,223
269,90,710
269,112,225
269,114,225
269,226,187
