"y","x","cluster_id"
37,215,172
50,392,95
66,358,95
67,185,172
69,182,172
70,367,95
71,366,95
71,367,95
71,368,95
72,366,95
75,361,95
76,136,172
77,400,95
77,443,95
79,441,95
80,369,95
84,409,95
85,366,95
85,409,95
86,365,95
86,396,95
86,397,95
86,418,95
86,424,95
87,418,95
87,428,95
88,424,95
89,392,95
90,398,95
90,430,95
91,373,95
91,398,95
91,399,95
92,373,95
92,395,95
92,396,95
94,375,95
94,397,95
94,423,95
96,375,95
96,412,95
101,377,95
101,421,95
102,374,95
102,378,95
106,182,172
107,178,172
108,178,172
108,373,95
108,378,95
110,163,172
110,395,95
111,171,172
111,172,172
111,185,172
111,379,95
111,380,95
111,396,95
112,171,172
112,182,172
112,380,95
112,381,95
113,173,172
113,174,172
113,184,172
113,377,95
113,380,95
113,381,95
114,160,172
114,182,172
114,185,172
114,373,95
114,381,95
114,382,95
114,384,95
115,172,172
115,182,172
115,378,95
115,381,95
115,382,95
115,383,95
116,162,172
116,180,172
116,185,172
116,376,95
116,378,95
116,381,95
116,385,95
117,171,172
117,182,172
117,186,172
117,377,95
117,385,95
117,387,95
117,388,95
118,162,172
118,165,172
118,179,172
119,166,172
119,179,172
119,180,172
119,187,172
119,189,172
119,382,95
119,383,95
119,385,95
119,386,95
119,387,95
119,390,95
120,178,172
120,180,172
120,182,172
120,184,172
120,187,172
120,188,172
120,189,172
120,385,95
120,386,95
120,390,95
121,153,172
121,177,172
121,178,172
121,184,172
121,185,172
121,186,172
121,187,172
121,379,95
121,384,95
121,389,95
121,390,95
121,421,95
122,177,172
122,184,172
122,185,172
122,186,172
122,187,172
122,383,95
122,386,95
123,122,562
123,125,562
123,149,172
123,175,172
123,177,172
123,178,172
123,378,95
123,379,95
123,381,95
123,382,95
123,386,95
123,387,95
123,394,95
124,176,172
124,184,172
124,186,172
124,376,95
124,378,95
124,381,95
125,147,172
125,148,172
125,150,172
125,177,172
125,180,172
125,183,172
125,184,172
125,185,172
125,186,172
125,377,95
125,378,95
125,379,95
125,381,95
126,150,172
126,177,172
126,184,172
126,185,172
126,343,95
126,376,95
126,378,95
126,386,95
126,391,95
126,398,95
127,132,562
127,149,172
127,175,172
127,183,172
127,342,95
127,343,95
128,145,172
128,152,172
128,179,172
128,186,172
128,348,95
128,388,95
128,389,95
129,150,172
129,152,172
129,153,172
129,157,172
129,171,172
129,182,172
129,184,172
129,185,172
129,186,172
129,342,639
129,349,95
129,378,95
129,382,95
129,388,95
129,389,95
129,390,95
129,395,95
130,131,562
130,132,562
130,133,562
130,157,172
130,177,172
130,184,172
130,185,172
130,187,172
130,347,95
130,351,95
130,395,95
131,164,172
131,177,172
131,181,172
131,182,172
131,187,172
131,394,95
132,119,562
132,145,172
132,146,172
132,148,172
132,171,172
132,175,172
132,180,172
132,181,172
132,182,172
132,183,172
132,185,172
132,186,172
132,187,172
132,373,95
132,401,95
133,93,562
133,179,172
133,180,172
133,181,172
133,313,639
134,154,172
134,174,172
134,184,172
134,185,172
134,314,639
134,316,639
134,317,639
134,396,95
134,399,95
134,400,95
135,173,172
135,183,172
135,188,172
135,189,172
135,313,639
135,316,639
135,347,639
136,171,172
136,185,172
136,188,172
136,189,172
136,315,639
136,316,639
136,317,639
137,170,172
137,188,172
137,189,172
137,308,639
138,160,172
138,182,172
138,183,172
139,183,172
139,310,639
139,343,639
139,412,95
140,88,562
140,89,562
140,168,172
140,177,172
140,178,172
140,186,172
140,340,639
141,89,562
141,117,562
141,336,639
141,338,639
142,87,562
142,419,95
143,86,562
143,87,562
143,191,172
143,312,639
143,314,639
143,319,639
143,416,95
143,417,95
143,418,95
143,419,95
144,87,562
144,88,562
144,89,562
144,313,639
144,419,95
145,85,562
145,88,562
145,89,562
145,183,172
145,416,95
145,417,95
146,84,562
146,85,562
146,319,639
146,415,95
147,172,172
147,373,95
147,375,95
147,417,95
148,85,562
148,98,562
148,99,562
148,118,562
148,171,172
148,180,172
148,182,172
148,186,172
148,187,172
148,314,639
148,317,639
149,89,562
149,99,562
149,188,172
149,364,95
149,416,95
149,417,95
150,98,562
150,99,562
150,117,562
150,119,562
150,186,172
150,187,172
150,189,172
150,190,172
150,368,95
150,415,95
151,120,562
151,190,172
152,125,562
152,368,95
153,100,562
153,101,562
153,103,562
153,119,562
153,122,562
154,101,562
154,119,562
154,122,562
154,123,562
154,124,562
155,54,562
155,102,562
155,103,562
155,116,562
155,124,562
155,354,639
156,102,562
156,103,562
156,119,562
156,120,562
156,122,562
156,123,562
156,125,562
156,296,639
157,103,562
157,118,562
157,122,562
157,123,562
157,292,639
157,350,639
158,102,562
158,103,562
158,120,562
158,122,562
158,123,562
158,131,562
158,292,639
159,102,562
159,103,562
159,105,562
159,118,562
159,119,562
159,120,562
159,121,562
159,123,562
159,127,562
159,132,562
159,133,562
159,137,562
160,71,562
160,101,562
160,102,562
160,104,562
160,119,562
160,120,562
160,121,562
160,124,562
160,132,562
160,135,562
160,144,562
160,145,562
160,146,562
160,149,562
161,69,562
161,103,562
161,105,562
161,119,562
161,120,562
161,121,562
161,128,562
161,131,562
161,133,562
161,134,562
161,136,562
161,137,562
161,140,562
161,141,562
161,144,562
162,117,562
162,119,562
162,120,562
162,123,562
162,124,562
162,127,562
162,132,562
162,135,562
162,136,562
162,137,562
162,138,562
162,139,562
162,140,562
162,145,562
162,150,562
162,152,562
162,325,639
162,327,639
163,118,562
163,119,562
163,122,562
163,123,562
163,124,562
163,129,562
163,130,562
163,132,562
163,134,562
163,135,562
163,136,562
163,137,562
163,139,562
163,140,562
163,142,562
163,147,562
163,150,562
164,80,562
164,102,562
164,116,562
164,119,562
164,120,562
164,121,562
164,126,562
164,129,562
164,130,562
164,131,562
164,132,562
164,135,562
164,139,562
164,141,562
164,142,562
164,146,562
165,49,562
165,97,562
165,98,562
165,100,562
165,118,562
165,122,562
165,124,562
165,130,562
165,132,562
165,135,562
165,136,562
165,137,562
165,140,562
165,141,562
165,142,562
165,145,562
165,146,562
165,147,562
165,149,562
165,150,562
166,49,562
166,51,562
166,86,562
166,102,562
166,115,562
166,117,562
166,118,562
166,124,562
166,127,562
166,128,562
166,132,562
166,134,562
166,135,562
166,136,562
166,141,562
166,144,562
166,149,562
167,102,562
167,115,562
167,117,562
167,120,562
167,122,562
167,123,562
167,126,562
167,131,562
167,132,562
167,133,562
167,134,562
167,135,562
167,139,562
167,140,562
167,141,562
167,143,562
167,144,562
167,145,562
167,146,562
167,149,562
167,150,562
168,99,562
168,115,562
168,116,562
168,117,562
168,125,562
168,134,562
168,135,562
168,136,562
168,138,562
168,140,562
168,141,562
168,150,562
168,152,562
168,226,172
168,325,639
169,100,562
169,116,562
169,117,562
169,118,562
169,127,562
169,130,562
169,134,562
169,135,562
169,136,562
169,137,562
169,138,562
169,141,562
169,144,562
169,150,562
169,152,562
169,153,562
169,226,172
170,78,562
170,99,562
170,109,562
170,116,562
170,117,562
170,118,562
170,127,562
170,133,562
170,135,562
170,136,562
170,141,562
170,145,562
170,146,562
170,152,562
170,153,562
170,306,639
170,308,639
171,66,562
171,98,562
171,103,562
171,109,562
171,116,562
171,117,562
171,118,562
171,122,562
171,128,562
171,135,562
171,140,562
171,142,562
171,143,562
171,144,562
171,145,562
171,146,562
171,147,562
171,316,639
171,322,639
172,103,562
172,109,562
172,134,562
172,138,562
172,141,562
172,142,562
172,143,562
172,145,562
172,146,562
172,147,562
172,189,1334
172,290,639
172,302,639
172,388,95
173,67,562
173,77,562
173,104,562
173,133,562
173,135,562
173,138,562
173,139,562
173,140,562
173,141,562
173,146,562
173,150,562
173,189,1334
173,305,639
173,317,639
173,325,639
174,70,562
174,100,562
174,123,562
174,134,562
174,135,562
174,136,562
174,137,562
174,138,562
174,141,562
174,142,562
174,143,562
174,147,562
174,319,639
175,67,562
175,88,562
175,99,562
175,125,562
175,126,562
175,135,562
175,137,562
175,141,562
175,142,562
175,143,562
175,145,562
175,146,562
175,147,562
175,148,562
175,149,562
175,150,562
175,157,562
175,304,639
175,305,639
175,315,639
176,89,562
176,90,562
176,99,562
176,126,562
176,134,562
176,136,562
176,137,562
176,138,562
176,140,562
176,141,562
176,142,562
176,143,562
176,144,562
176,146,562
176,147,562
176,148,562
176,149,562
176,150,562
176,152,562
176,157,562
176,305,639
177,92,562
177,100,562
177,101,562
177,126,562
177,130,562
177,135,562
177,136,562
177,137,562
177,138,562
177,139,562
177,141,562
177,142,562
177,144,562
177,145,562
177,147,562
177,148,562
177,149,562
177,150,562
177,151,562
177,152,562
177,153,562
177,154,562
177,306,639
178,66,1341
178,67,1341
178,90,562
178,92,562
178,133,562
178,137,562
178,138,562
178,139,562
178,140,562
178,142,562
178,143,562
178,144,562
178,146,562
178,147,562
178,148,562
178,149,562
178,150,562
178,151,562
