"y","x","cluster_id"
25,384,1316
27,372,1316
27,374,1316
27,379,1316
27,380,1316
27,385,1316
27,388,1316
27,389,1316
27,390,1316
27,394,1316
27,396,1316
28,340,1679
28,341,1679
28,367,1316
28,369,1316
28,370,1316
28,371,1316
28,372,1316
28,381,1316
28,388,1316
28,389,1316
28,390,1316
29,339,1679
29,340,1679
29,343,1679
29,349,1679
29,373,1316
29,374,1316
29,386,1316
29,387,1316
29,388,1316
29,390,1316
29,391,1316
30,291,1039
30,301,1039
30,310,1679
30,338,1679
30,339,1679
30,373,1316
30,374,1316
30,386,1316
30,389,1316
30,390,1316
30,393,1316
31,284,1039
31,291,1039
31,292,1039
31,293,1039
31,295,1039
31,296,1039
31,297,1039
31,306,1679
31,307,1679
31,311,1679
31,315,1679
31,316,1679
31,317,1679
31,318,1679
31,319,1679
31,320,1679
31,322,1679
31,323,1679
31,331,1679
31,356,1679
31,360,1679
31,369,1316
31,372,1316
31,373,1316
31,374,1316
31,387,1316
31,388,1316
31,389,1316
31,394,1316
31,418,1316
32,282,1039
32,283,1039
32,291,1039
32,292,1039
32,293,1039
32,294,1039
32,295,1039
32,297,1039
32,298,1039
32,300,1039
32,306,1679
32,308,1679
32,310,1679
32,312,1679
32,313,1679
32,315,1679
32,316,1679
32,317,1679
32,318,1679
32,319,1679
32,320,1679
32,323,1679
32,327,1679
32,387,1316
32,389,1316
32,391,1316
32,431,1316
33,276,1039
33,277,1039
33,278,1039
33,279,1039
33,282,1039
33,283,1039
33,284,1039
33,285,1039
33,293,1039
33,294,1039
33,297,1039
33,298,1039
33,299,1039
33,300,1039
33,306,1679
33,309,1679
33,310,1679
33,311,1679
33,312,1679
33,314,1679
33,315,1679
33,317,1679
33,328,1679
33,368,1316
33,370,1316
33,387,1316
33,388,1316
33,389,1316
33,391,1316
33,392,1316
33,394,1316
33,397,1316
33,420,1316
34,274,1039
34,275,1039
34,277,1039
34,278,1039
34,279,1039
34,280,1039
34,282,1039
34,283,1039
34,284,1039
34,292,1039
34,293,1039
34,294,1039
34,296,1039
34,298,1039
34,299,1039
34,300,1039
34,306,1679
34,308,1679
34,309,1679
34,310,1679
34,311,1679
34,312,1679
34,313,1679
34,314,1679
34,315,1679
34,316,1679
34,318,1679
34,323,1679
34,325,1679
34,369,1316
34,388,1316
34,389,1316
34,391,1316
34,392,1316
34,394,1316
34,395,1316
35,216,2590
35,263,1039
35,264,1039
35,265,1039
35,266,1039
35,268,1039
35,269,1039
35,270,1039
35,271,1039
35,273,1039
35,274,1039
35,275,1039
35,276,1039
35,277,1039
35,279,1039
35,282,1039
35,283,1039
35,294,1039
35,296,1039
35,297,1039
35,305,1679
35,306,1679
35,307,1679
35,310,1679
35,311,1679
35,312,1679
35,315,1679
35,317,1679
35,318,1679
35,319,1679
35,369,1316
35,388,1316
35,389,1316
35,390,1316
35,391,1316
35,392,1316
35,394,1316
35,395,1316
36,216,2590
36,260,1039
36,261,1039
36,262,1039
36,263,1039
36,264,1039
36,265,1039
36,267,1039
36,268,1039
36,271,1039
36,272,1039
36,274,1039
36,275,1039
36,276,1039
36,277,1039
36,278,1039
36,279,1039
36,281,1039
36,282,1039
36,283,1039
36,284,1039
36,289,1039
36,297,1039
36,298,1039
36,299,1039
36,300,1039
36,301,1039
36,307,1679
36,311,1679
36,314,1679
36,316,1679
36,388,1316
36,389,1316
36,390,1316
36,393,1316
36,394,1316
36,395,1316
36,423,1316
36,434,1316
37,257,1039
37,258,1039
37,261,1039
37,263,1039
37,264,1039
37,267,1039
37,268,1039
37,269,1039
37,271,1039
37,275,1039
37,276,1039
37,278,1039
37,279,1039
37,280,1039
37,281,1039
37,282,1039
37,283,1039
37,284,1039
37,285,1039
37,294,1039
37,295,1039
37,297,1039
37,299,1039
37,301,1039
37,302,1039
37,303,1679
37,313,1679
37,386,1316
37,388,1316
37,389,1316
37,390,1316
37,393,1316
37,394,1316
37,395,1316
37,396,1316
37,397,1316
38,239,1039
38,240,1039
38,250,1039
38,251,1039
38,252,1039
38,253,1039
38,255,1039
38,256,1039
38,257,1039
38,258,1039
38,259,1039
38,260,1039
38,261,1039
38,262,1039
38,263,1039
38,265,1039
38,267,1039
38,268,1039
38,269,1039
38,271,1039
38,272,1039
38,275,1039
38,279,1039
38,280,1039
38,281,1039
38,282,1039
38,283,1039
38,284,1039
38,294,1039
38,295,1039
38,296,1039
38,297,1039
38,303,1679
38,304,1679
38,381,1316
38,382,1316
38,387,1316
38,388,1316
38,389,1316
38,390,1316
38,391,1316
38,394,1316
38,395,1316
38,396,1316
38,397,1316
38,438,1316
38,442,1316
38,444,1316
38,463,1316
38,485,4324
38,486,4324
38,487,4324
39,205,2590
39,206,2590
39,236,1039
39,237,1039
39,239,1039
39,240,1039
39,250,1039
39,251,1039
39,252,1039
39,254,1039
39,255,1039
39,256,1039
39,257,1039
39,261,1039
39,262,1039
39,263,1039
39,264,1039
39,266,1039
39,267,1039
39,269,1039
39,273,1039
39,274,1039
39,275,1039
39,276,1039
39,279,1039
39,280,1039
39,281,1039
39,282,1039
39,283,1039
39,287,1039
39,296,1039
39,297,1039
39,298,1039
39,303,1679
39,304,1679
39,381,1316
39,382,1316
39,387,1316
39,388,1316
39,389,1316
39,390,1316
39,391,1316
39,393,1316
39,394,1316
39,395,1316
39,396,1316
39,398,1316
39,451,1316
39,454,1316
39,455,1316
39,457,1316
39,458,1316
39,527,4324
39,535,4324
39,537,4324
40,203,2590
40,215,2590
40,237,1039
40,238,1039
40,240,1039
40,241,1039
40,249,1039
40,250,1039
40,251,1039
40,252,1039
