"y","x","cluster_id"
3,91,366
10,12,376
11,13,376
40,146,157
44,125,366
46,142,157
47,139,157
48,141,157
49,124,366
49,125,366
50,127,366
51,160,157
52,109,366
52,110,366
52,120,366
52,165,157
53,110,366
54,125,366
55,97,366
55,127,366
56,141,366
58,90,366
58,292,623
59,88,376
59,146,157
61,84,376
61,89,366
61,100,366
61,317,623
62,269,623
64,83,376
64,155,157
64,159,157
64,160,157
65,160,157
65,161,157
65,171,157
65,172,157
65,291,623
66,101,366
66,158,157
66,159,157
66,160,157
66,161,157
66,162,157
66,169,157
67,152,157
67,160,157
67,161,157
67,162,157
67,163,157
68,101,366
68,156,157
68,160,157
68,161,157
68,162,157
68,164,157
69,107,366
69,152,157
69,159,157
69,160,157
69,162,157
69,163,157
69,165,157
69,166,157
70,105,366
70,107,366
70,164,157
70,180,157
70,185,157
70,186,157
70,262,623
70,370,623
71,157,157
71,159,157
71,166,157
71,183,157
71,187,157
72,106,366
72,112,366
72,166,157
72,167,157
72,168,157
72,184,157
72,185,157
72,326,623
73,161,157
73,172,157
73,173,157
73,175,157
73,183,157
73,184,157
73,185,157
73,186,157
73,187,157
73,200,157
74,90,366
74,149,157
74,161,157
74,181,157
74,183,157
74,184,157
74,185,157
74,187,157
74,189,157
74,204,157
74,317,623
75,93,366
75,159,157
75,160,157
75,163,157
75,171,157
75,174,157
75,175,157
75,183,157
75,184,157
75,185,157
75,189,157
75,211,157
76,28,376
76,164,157
76,165,157
76,169,157
76,170,157
76,171,157
76,184,157
76,185,157
76,186,157
76,187,157
76,189,157
76,190,157
76,191,157
76,193,157
76,210,157
76,211,157
76,212,157
76,213,157
76,214,157
76,348,623
77,69,376
77,70,376
77,72,376
77,145,366
77,164,157
77,200,157
77,208,157
77,209,157
77,210,157
77,212,157
77,213,157
77,214,157
78,68,376
78,69,376
78,71,376
78,72,376
78,180,157
78,183,157
78,188,157
78,197,157
78,203,157
78,207,157
78,208,157
78,211,157
78,212,157
78,213,157
78,214,157
79,37,376
79,61,376
79,197,157
79,198,157
79,199,157
79,207,157
79,211,157
79,214,157
79,267,623
79,278,623
79,285,623
79,357,623
80,123,366
80,148,366
80,150,366
80,151,157
80,187,157
80,195,157
80,196,157
80,197,157
80,198,157
80,199,157
80,200,157
80,202,157
80,219,157
81,5,376
81,26,376
81,142,366
81,182,157
81,190,157
81,193,157
81,194,157
81,250,623
81,356,623
82,5,376
82,8,376
82,65,376
82,66,376
82,82,376
82,151,366
82,205,157
82,209,157
82,211,157
82,226,157
83,65,376
83,66,376
83,212,157
83,338,623
