"y","x","cluster_id"
37,94,1310
37,95,1310
37,98,581
37,99,581
38,93,1310
39,93,1310
46,137,581
47,135,581
49,147,581
49,161,581
49,164,581
51,154,581
52,164,581
53,82,1310
53,83,1310
53,123,581
53,125,581
54,84,1310
54,85,1310
54,222,477
56,123,581
56,169,477
56,178,477
56,252,1469
57,93,1310
57,122,581
57,124,581
57,157,581
57,158,581
57,159,581
57,160,581
57,177,477
57,178,477
57,180,477
57,182,477
58,154,581
58,155,581
58,157,581
58,183,477
58,184,477
58,232,477
58,250,1469
59,156,581
60,138,581
60,153,581
60,163,581
60,225,477
61,162,581
61,179,477
61,231,477
61,238,477
63,155,581
63,178,477
63,242,477
63,248,1469
63,249,1469
63,250,1469
64,164,581
64,165,581
64,219,477
64,222,477
64,247,1469
64,251,1469
65,163,581
65,164,581
65,165,581
65,230,477
65,250,1469
65,251,1469
66,132,581
66,161,581
66,164,581
66,227,477
66,228,477
66,243,1469
67,120,581
67,200,477
67,245,1469
67,246,1469
68,178,477
68,182,477
68,192,477
68,195,477
68,196,477
68,198,477
68,199,477
68,246,1469
68,248,1469
69,191,477
69,192,477
69,193,477
69,248,1469
69,249,1469
70,174,477
70,179,477
70,180,477
70,184,477
70,188,477
70,191,477
70,193,477
70,194,477
70,196,477
70,250,1469
70,269,1469
71,174,477
71,180,477
71,186,477
71,191,477
71,192,477
71,193,477
71,270,1469
71,271,1469
72,74,1310
72,76,1310
72,179,477
72,180,477
72,181,477
72,182,477
72,184,477
72,185,477
72,186,477
72,187,477
72,188,477
72,189,477
72,190,477
72,191,477
72,192,477
72,194,477
73,70,1310
73,72,1310
73,73,1310
73,74,1310
73,75,1310
73,87,1310
73,88,1310
73,127,581
73,155,581
73,179,477
73,185,477
73,186,477
73,188,477
73,189,477
73,190,477
73,191,477
73,192,477
73,193,477
73,194,477
73,195,477
74,70,1310
74,71,1310
74,72,1310
74,73,1310
74,74,1310
74,75,1310
74,76,1310
74,88,1310
74,126,581
74,130,581
74,156,581
74,178,477
74,180,477
74,189,477
74,190,477
74,191,477
74,192,477
74,193,477
74,194,477
75,71,1310
75,74,1310
75,136,581
75,138,581
75,141,581
75,142,581
75,148,581
75,178,477
75,186,477
75,190,477
75,193,477
75,194,477
75,195,477
75,196,477
75,197,477
75,268,1469
76,61,1310
76,80,1310
76,81,1310
76,82,1310
76,83,1310
76,84,1310
76,141,581
76,146,581
76,147,581
76,151,581
76,168,477
76,191,477
76,192,477
76,193,477
76,194,477
76,195,477
76,196,477
76,197,477
77,60,1310
77,79,1310
77,81,1310
77,82,1310
77,83,1310
77,84,1310
77,85,1310
77,127,581
77,134,581
77,135,581
77,136,581
77,143,581
77,147,581
