"y","x","cluster_id"
54,278,45
63,339,34
66,340,34
68,329,34
68,331,34
68,332,34
68,338,34
68,343,34
69,271,45
69,333,34
70,332,34
71,335,34
71,342,34
71,345,34
71,354,34
72,332,34
72,343,34
72,344,34
73,339,34
74,338,34
75,332,34
75,337,34
75,338,34
75,344,34
78,272,45
78,345,34
79,352,34
79,353,34
79,354,34
80,276,45
80,279,45
81,271,45
85,339,34
88,346,34
98,383,34
98,385,34
102,254,45
108,333,34
109,257,45
110,327,34
111,325,34
112,205,45
112,334,34
114,264,45
115,265,45
115,304,45
115,306,45
116,393,34
117,374,34
118,265,45
122,281,45
122,336,34
123,241,45
124,240,45
124,382,34
126,241,45
128,187,151
128,273,45
131,273,45
133,268,45
134,271,45
135,210,151
135,244,45
138,204,151
140,204,151
140,349,34
141,375,34
142,178,151
144,338,214
145,205,151
146,177,151
147,234,45
147,249,45
147,318,214
148,213,151
148,263,45
148,268,45
148,322,214
149,202,151
149,321,214
149,382,214
150,204,151
150,351,214
155,181,151
155,194,151
155,275,45
155,319,214
156,192,151
156,194,151
157,192,151
158,193,151
158,277,198
158,282,198
158,345,214
159,357,214
161,282,198
162,281,198
163,194,151
164,205,151
169,298,198
171,196,151
172,153,151
172,243,198
172,245,198
172,246,198
172,302,198
173,160,151
173,306,214
174,176,151
174,178,151
174,293,198
175,177,151
175,225,151
175,257,198
175,292,198
176,179,151
176,180,151
176,181,151
177,176,151
177,291,198
178,189,151
178,349,214
179,175,151
179,176,151
179,197,151
179,253,198
179,254,198
179,255,198
180,176,151
180,189,151
180,206,151
180,253,198
180,254,198
180,279,198
180,380,214
180,416,214
181,195,151
181,196,151
181,253,198
181,254,198
181,255,198
181,325,214
182,160,151
182,281,198
183,212,151
183,259,198
183,260,198
183,328,214
183,351,214
183,371,214
184,185,151
184,416,214
185,193,151
186,258,198
186,314,214
186,321,214
186,332,214
187,182,151
187,218,151
187,258,198
187,259,198
187,320,214
187,321,214
187,325,214
188,316,214
188,320,214
188,322,214
188,323,214
189,184,151
189,195,151
189,316,214
190,176,151
190,254,198
190,272,198
190,316,214
190,353,214
191,177,151
191,181,151
191,211,151
191,268,198
191,327,214
192,327,214
192,354,214
192,420,214
193,230,198
193,258,198
193,287,198
193,322,214
193,328,214
193,355,214
194,181,151
194,272,198
194,314,214
195,185,151
195,212,151
195,329,214
195,330,214
196,263,198
196,316,214
196,328,214
196,429,214
197,315,214
197,318,214
197,356,214
198,176,151
198,191,151
198,319,214
198,329,214
198,358,214
199,188,151
200,189,151
200,281,198
200,318,214
200,340,214
201,182,151
201,257,198
201,423,214
202,176,151
202,189,151
202,190,151
202,222,151
202,259,198
202,283,198
202,313,214
203,183,151
203,185,151
203,186,151
203,243,198
203,332,214
203,333,214
203,387,214
204,384,214
205,252,198
205,258,198
205,316,214
206,187,151
206,188,151
206,313,214
206,317,214
207,181,151
207,274,198
207,316,214
208,180,151
208,275,198
208,423,214
209,256,198
209,395,214
210,262,198
211,176,151
211,274,198
212,314,214
212,355,214
214,177,151
214,245,198
215,179,151
216,253,198
216,364,214
217,362,214
220,230,334
220,251,198
221,273,198
221,381,214
222,172,151
222,177,151
222,270,198
223,173,151
223,252,198
223,269,198
223,272,198
223,286,198
224,283,198
225,284,198
227,276,198
227,357,214
228,210,334
228,275,198
228,276,198
228,340,214
228,341,214
228,360,214
229,177,151
229,209,334
229,210,334
229,276,198
229,340,214
229,341,214
230,222,334
230,223,334
230,224,334
231,223,334
232,164,151
232,246,334
233,205,334
233,214,334
233,267,334
233,394,214
234,205,334
234,247,334
234,341,214
236,308,214
237,202,334
237,275,334
238,174,151
238,240,334
238,285,334
240,235,334
242,235,334
243,288,334
243,314,214
244,245,334
244,275,334
244,313,214
245,156,151
247,257,334
247,261,334
248,243,334
248,254,334
248,288,334
248,315,214
249,169,151
249,254,334
249,273,334
250,273,334
251,153,151
251,168,151
251,271,334
251,273,334
253,224,334
253,225,334
254,272,334
255,223,334
256,246,334
256,361,214
257,242,334
258,271,334
259,219,334
264,222,334
264,294,334
265,366,214
265,367,214
266,217,334
266,365,214
266,366,214
267,273,334
268,216,334
268,265,334
268,274,334
269,218,334
270,250,334
270,281,334
271,216,334
271,264,334
272,216,334
272,218,334
272,219,334
272,220,334
273,219,334
274,218,334
274,220,334
274,221,334
274,222,334
275,223,334
276,201,334
277,239,334
278,219,334
278,228,334
279,256,334
280,259,334
282,228,334
283,391,214
284,224,334
285,224,334
295,380,214
