"y","x","cluster_id"
8,242,105
8,243,105
8,249,105
8,250,105
8,251,105
8,252,105
9,244,105
9,248,105
9,249,105
9,250,105
9,251,105
10,243,105
10,244,105
10,245,105
10,246,105
10,247,105
10,248,105
11,242,105
11,243,105
11,244,105
11,245,105
11,246,105
11,247,105
11,248,105
11,301,105
12,244,105
12,246,105
12,247,105
12,248,105
12,255,105
13,245,105
13,246,105
13,247,105
14,244,105
14,245,105
14,246,105
14,270,105
14,330,154
15,271,105
15,272,105
16,337,154
17,335,154
19,340,154
20,265,105
20,344,154
21,357,154
22,226,105
23,227,105
23,327,154
24,297,105
24,339,154
25,270,105
26,270,105
26,271,105
27,248,105
27,270,105
27,271,105
28,246,105
29,243,105
29,368,154
30,226,105
30,270,105
31,270,105
33,216,105
33,217,105
34,215,105
34,216,105
34,226,105
34,314,154
35,327,154
35,354,154
37,226,105
37,228,105
38,393,154
38,394,154
38,395,154
39,313,105
39,366,154
39,368,154
40,228,105
40,314,154
40,368,154
41,304,105
41,330,154
41,398,154
42,229,105
42,292,105
42,377,154
42,380,154
43,228,105
43,295,105
43,298,105
43,349,154
44,268,105
44,297,105
44,325,154
44,330,154
45,223,105
45,226,105
45,228,105
45,246,105
45,338,154
46,223,105
46,226,105
46,243,105
47,225,105
47,226,105
47,229,105
47,230,105
47,243,105
47,276,105
47,400,154
48,198,105
48,224,105
48,225,105
48,229,105
48,230,105
49,196,105
49,225,105
49,250,105
50,194,105
50,195,105
50,222,105
50,228,105
51,222,105
51,409,154
52,226,105
52,229,105
52,246,105
53,215,105
53,223,105
53,245,105
53,288,105
54,186,105
54,216,105
54,218,105
54,224,105
54,246,105
54,334,154
54,335,154
54,336,154
54,338,154
55,184,105
55,224,105
56,224,105
57,427,154
58,210,105
58,249,105
58,278,105
58,283,105
59,213,105
59,249,105
59,279,105
59,381,154
60,207,105
60,328,154
60,341,154
60,427,154
61,208,105
61,214,105
61,217,105
61,409,154
62,301,105
63,137,264
63,212,105
64,270,105
64,383,154
64,427,154
64,428,154
65,202,105
65,206,105
65,209,105
65,339,154
66,198,105
66,205,105
66,206,105
66,237,105
66,418,154
66,427,154
67,317,154
68,167,264
68,198,105
68,213,105
68,418,154
69,423,154
70,196,105
70,415,154
71,214,105
72,133,264
72,214,105
72,215,105
72,356,154
72,378,154
72,380,154
73,167,264
73,217,105
74,276,105
75,161,264
75,270,105
76,139,264
77,151,264
77,159,264
77,171,264
78,149,264
78,158,264
78,160,264
78,417,154
78,422,154
78,430,154
79,150,264
79,159,264
79,417,154
79,418,154
80,145,264
80,418,154
81,164,264
81,295,105
82,167,264
82,228,105
84,169,264
85,139,264
85,184,264
86,148,264
86,372,154
89,151,264
91,268,105
92,172,264
92,230,105
93,132,264
93,265,105
94,262,105
94,411,154
95,234,105
96,189,264
96,410,154
97,134,264
97,410,154
98,409,154
100,225,761
103,190,264
103,403,154
104,203,264
105,128,264
105,404,154
105,405,154
106,144,264
107,136,264
107,142,264
107,144,264
108,136,264
108,142,264
108,144,264
109,142,264
109,145,264
109,404,154
109,415,154
110,140,264
110,142,264
112,143,264
113,147,264
113,390,154
114,136,264
114,147,264
114,151,264
115,147,264
115,148,264
115,149,264
116,149,264
116,154,264
116,172,264
118,154,264
118,160,264
118,174,264
119,133,264
119,161,264
120,161,264
121,130,264
121,163,264
121,164,264
121,166,264
121,168,264
121,171,264
121,225,761
121,395,154
122,164,264
122,165,264
123,165,264
124,227,761
125,121,264
127,157,264
130,276,677
130,277,677
131,413,1344
135,116,264
135,240,761
137,282,677
138,114,1200
138,260,761
138,265,761
139,162,264
139,230,761
139,244,761
139,245,761
139,246,761
139,248,761
139,257,761
139,258,761
139,262,761
139,269,677
139,278,677
139,281,677
140,113,1200
140,156,264
140,158,264
140,161,264
140,168,264
140,238,761
140,245,761
140,247,761
140,248,761
140,254,761
140,255,761
140,256,761
140,257,761
140,260,761
140,266,677
140,267,677
140,277,677
140,281,677
140,284,677
140,293,677
141,105,1200
141,160,264
141,237,761
141,245,761
141,249,761
141,250,761
141,253,761
141,255,761
141,257,761
141,260,761
141,264,761
141,265,761
141,268,677
141,271,677
141,274,677
141,275,677
141,276,677
141,278,677
141,281,677
141,282,677
141,283,677
141,285,677
141,291,677
141,294,677
141,306,677
142,103,1200
142,108,1200
142,136,264
142,137,264
142,231,761
142,235,761
142,240,761
142,241,761
142,242,761
142,245,761
142,246,761
142,247,761
142,249,761
142,253,761
142,254,761
142,255,761
142,256,761
142,258,761
142,260,761
142,261,761
142,263,761
142,266,677
142,267,677
142,269,677
142,270,677
142,271,677
142,280,677
142,285,677
142,288,677
142,289,677
142,290,677
142,298,677
142,300,677
143,229,761
143,230,761
143,231,761
143,232,761
143,233,761
143,234,761
143,239,761
143,240,761
143,241,761
143,242,761
143,243,761
143,244,761
143,245,761
143,250,761
143,252,761
143,253,761
143,254,761
143,255,761
143,256,761
143,257,761
143,258,761
143,260,761
143,263,761
143,266,677
143,267,677
143,271,677
143,272,677
143,276,677
143,278,677
143,280,677
143,281,677
143,283,677
143,284,677
143,285,677
143,286,677
143,309,677
143,312,677
144,227,761
144,228,761
144,230,761
144,231,761
144,232,761
144,233,761
144,234,761
144,235,761
144,236,761
144,238,761
144,239,761
144,240,761
144,241,761
144,242,761
144,243,761
144,246,761
144,247,761
144,249,761
144,253,761
144,254,761
144,255,761
144,256,761
144,260,761
144,262,761
144,263,761
144,265,761
144,268,677
144,270,677
144,273,677
144,275,677
144,276,677
144,277,677
144,278,677
144,280,677
144,281,677
144,282,677
144,283,677
144,285,677
144,286,677
144,287,677
144,288,677
144,291,677
144,299,677
144,301,677
144,305,677
144,308,677
144,309,677
144,310,677
144,316,677
144,317,677
144,318,677
145,211,761
145,228,761
145,229,761
145,232,761
145,233,761
