"y","x","cluster_id"
25,125,215
26,172,215
27,131,215
27,181,215
28,121,215
28,131,215
28,170,215
29,120,215
29,127,215
29,134,215
29,135,215
29,187,215
30,136,215
30,172,215
30,174,215
31,135,215
31,167,215
31,179,215
32,139,215
32,162,215
32,170,215
32,187,215
32,188,215
32,189,215
33,119,215
33,168,215
33,189,215
34,145,215
34,152,215
34,154,215
34,162,215
34,179,215
34,183,215
34,184,215
35,117,215
35,162,215
36,131,215
36,143,215
36,148,215
36,159,215
36,164,215
36,183,215
36,193,215
36,195,215
37,110,215
37,135,215
37,143,215
37,154,215
37,187,215
37,189,215
38,128,215
38,130,215
38,141,215
38,152,215
38,159,215
38,161,215
38,182,215
38,195,215
39,131,215
39,136,215
39,137,215
39,142,215
39,152,215
39,158,215
39,163,215
39,173,215
39,185,215
40,108,367
40,128,215
40,135,215
40,137,215
40,141,215
40,142,215
40,180,215
41,104,367
41,110,215
41,113,215
41,130,215
41,136,215
41,164,215
41,177,215
41,179,215
41,184,215
42,112,215
42,142,215
42,175,215
42,193,215
43,108,367
43,112,215
43,142,215
43,145,215
43,179,215
43,198,215
43,199,215
44,101,367
44,130,215
44,131,215
44,146,215
44,159,215
44,160,215
44,184,215
45,98,367
45,99,367
45,101,367
45,103,367
45,127,215
45,132,215
45,147,215
45,157,215
45,198,215
46,60,367
46,61,367
46,102,367
46,103,367
46,160,215
46,198,215
47,51,367
47,52,367
47,53,367
47,85,367
47,99,367
47,130,215
47,132,215
47,134,215
47,135,215
47,140,215
47,147,215
47,148,215
47,178,215
47,191,215
47,197,215
47,198,215
48,54,367
48,64,367
48,75,367
48,92,367
48,95,367
48,96,367
48,99,367
48,126,215
48,129,215
48,133,215
48,160,215
48,169,215
48,193,215
49,69,367
49,72,367
49,96,367
49,127,215
49,132,215
49,159,215
49,160,215
49,185,215
50,88,367
50,90,367
50,102,367
50,157,215
50,181,215
50,183,215
50,187,215
50,188,215
50,200,215
51,37,367
51,61,367
51,83,367
51,98,367
51,99,367
51,100,367
51,176,215
51,198,215
52,61,367
52,83,367
52,113,215
52,137,215
52,158,215
52,178,215
52,181,215
52,202,215
53,49,367
53,61,367
53,88,367
53,101,367
53,111,215
53,117,215
53,151,215
53,159,215
53,161,215
53,190,215
53,191,215
54,80,367
54,88,367
54,98,367
54,113,215
54,153,215
54,160,215
54,170,215
54,184,215
55,67,367
55,88,367
55,89,367
55,94,367
55,101,367
55,115,215
55,117,215
55,118,215
55,120,215
55,122,215
55,127,215
55,128,215
55,130,215
55,134,215
55,143,215
55,156,215
55,160,215
55,161,215
55,176,215
56,72,367
56,82,367
56,94,367
56,95,367
56,99,367
56,101,367
56,121,215
56,136,215
56,137,215
56,161,215
56,175,215
57,60,367
57,61,367
57,62,367
57,94,367
57,99,367
57,109,367
57,111,367
57,117,215
57,126,215
57,137,215
57,144,215
57,160,215
57,198,215
58,89,367
58,91,367
58,106,367
58,109,367
58,113,215
58,116,215
58,119,215
58,120,215
58,121,215
58,129,215
58,135,215
58,140,215
58,141,215
58,151,215
58,155,215
58,167,215
58,182,215
58,198,215
58,199,215
59,39,367
59,62,367
59,65,367
59,66,367
59,67,367
59,69,367
59,73,367
59,83,367
59,92,367
59,93,367
59,112,215
59,135,215
59,141,215
59,148,215
59,175,215
59,178,215
59,199,215
60,63,367
60,64,367
60,65,367
60,66,367
60,67,367
60,101,367
60,105,367
60,108,367
60,113,215
60,121,215
60,123,215
60,124,215
60,132,215
60,138,215
60,178,215
60,179,215
60,186,215
61,32,367
61,55,367
61,56,367
61,57,367
61,65,367
61,66,367
61,68,367
61,89,367
61,113,215
61,114,215
61,149,215
61,165,215
61,176,215
62,33,367
62,52,367
62,56,367
62,61,367
62,63,367
62,64,367
62,65,367
62,83,367
62,85,367
62,91,367
62,95,367
62,101,367
62,174,215
62,181,215
63,33,367
63,64,367
63,65,367
63,81,367
63,124,215
63,183,215
63,198,215
64,61,367
64,62,367
64,63,367
64,89,367
64,134,215
64,152,215
64,157,215
64,184,215
64,196,215
65,47,367
65,61,367
65,62,367
65,63,367
65,64,367
65,107,367
65,108,367
65,109,367
65,118,215
65,143,215
65,148,215
65,176,215
