"y","x","cluster_id"
2,813,484
5,803,484
5,804,484
5,805,484
5,807,484
5,857,484
5,858,484
5,859,484
6,804,484
6,805,484
6,806,484
6,807,484
6,857,484
6,858,484
7,804,484
7,805,484
7,806,484
7,807,484
7,818,484
7,857,484
7,858,484
7,859,484
8,785,484
8,790,484
8,799,484
8,800,484
8,804,484
8,805,484
8,806,484
8,818,484
8,858,484
8,859,484
9,786,484
9,797,484
9,821,484
10,792,484
10,821,484
11,838,484
12,774,484
12,808,484
12,809,484
13,821,484
14,802,484
14,821,484
15,802,484
15,803,484
15,804,484
16,843,484
16,879,484
17,819,484
17,843,484
17,851,484
17,881,484
18,796,484
19,850,484
20,762,484
20,788,484
20,795,484
20,797,484
20,850,484
21,794,484
21,863,484
23,774,484
23,863,484
24,156,1645
24,157,1645
24,761,484
24,764,484
24,775,484
24,887,484
25,114,1013
25,773,484
25,774,484
26,115,1013
26,124,1013
26,783,484
26,784,484
26,796,484
27,114,1013
27,742,484
27,784,484
28,744,484
28,776,484
28,777,484
28,782,484
28,783,484
28,797,484
28,854,484
29,786,484
30,110,1013
30,117,1013
30,119,1013
30,125,1013
30,154,1645
30,745,484
30,788,484
31,119,1013
31,155,1645
31,785,484
31,788,484
32,108,1013
32,125,1013
32,153,1645
32,154,1645
32,155,1645
32,747,484
32,785,484
32,786,484
33,90,1013
33,108,1013
33,109,1013
33,110,1013
33,112,1013
33,113,1013
33,127,1013
33,152,1645
33,154,1645
33,155,1645
33,769,484
33,771,484
33,782,484
33,796,484
34,91,1013
34,109,1013
34,110,1013
34,111,1013
34,112,1013
34,113,1013
34,114,1013
34,115,1013
34,152,1645
34,153,1645
34,154,1645
34,732,484
35,96,1013
35,109,1013
35,110,1013
35,111,1013
35,112,1013
35,117,1013
35,119,1013
35,165,1645
35,721,484
35,731,484
35,732,484
35,733,484
35,734,484
35,750,484
35,752,484
35,753,484
35,755,484
35,771,484
35,782,484
36,100,1013
36,109,1013
36,110,1013
36,111,1013
36,114,1013
36,116,1013
36,117,1013
36,148,1645
36,150,1645
36,165,1645
36,166,1645
36,173,1645
36,543,1284
36,545,1284
36,671,2290
36,722,484
36,748,484
36,753,484
36,760,484
37,100,1013
37,116,1013
37,117,1013
37,118,1013
37,152,1645
37,165,1645
37,166,1645
37,167,1645
37,168,1645
37,324,1187
37,325,1187
37,341,1187
37,540,1284
37,552,1284
37,715,484
37,716,484
37,721,484
37,727,484
37,733,484
37,748,484
37,749,484
37,760,484
37,771,484
38,115,1013
38,116,1013
38,117,1013
38,166,1645
38,167,1645
38,194,1645
38,286,1187
38,302,1187
38,323,1187
38,340,1187
38,539,1284
38,541,1284
38,544,1284
38,649,1284
38,664,2290
38,720,484
38,721,484
38,724,484
38,729,484
39,87,1013
39,90,1013
39,94,1013
39,95,1013
39,113,1013
39,114,1013
39,116,1013
39,117,1013
39,119,1013
39,150,1645
39,151,1645
39,164,1645
39,165,1645
39,167,1645
39,194,1645
39,293,1187
39,306,1187
39,307,1187
39,326,1187
39,328,1187
39,329,1187
39,574,1284
39,642,1284
39,649,1284
39,720,484
39,721,484
39,722,484
39,729,484
39,730,484
39,731,484
39,732,484
39,735,484
39,748,484
39,749,484
40,95,1013
40,96,1013
40,97,1013
40,98,1013
40,106,1013
40,113,1013
40,114,1013
40,117,1013
40,129,1013
40,150,1645
40,151,1645
40,164,1645
40,166,1645
40,167,1645
40,169,1645
40,195,1645
40,196,1645
40,211,1645
40,289,1187
40,306,1187
40,307,1187
40,325,1187
40,326,1187
40,327,1187
40,328,1187
40,329,1187
40,544,1284
40,545,1284
40,551,1284
40,554,1284
40,643,1284
40,707,2290
40,714,484
40,721,484
40,808,484
41,72,1013
41,74,1013
41,88,1013
41,89,1013
41,98,1013
41,111,1013
41,112,1013
41,113,1013
41,114,1013
41,118,1013
41,123,1013
41,151,1645
41,163,1645
41,165,1645
41,166,1645
41,169,1645
41,195,1645
41,196,1645
41,197,1645
41,201,1645
41,210,1645
41,231,3648
41,235,1187
41,254,1187
41,289,1187
41,298,1187
41,307,1187
41,308,1187
41,314,1187
41,315,1187
41,316,1187
41,317,1187
41,324,1187
41,325,1187
41,328,1187
41,329,1187
41,331,1187
41,541,1284
41,545,1284
41,567,1284
41,574,1284
41,650,1284
41,706,2290
41,707,2290
41,709,2290
41,713,2290
41,714,2290
41,721,484
41,722,484
41,724,484
41,743,484
41,769,484
41,809,484
42,73,1013
42,75,1013
42,90,1013
42,99,1013
42,100,1013
42,101,1013
42,111,1013
42,112,1013
42,113,1013
42,114,1013
42,115,1013
42,124,1013
42,125,1013
42,147,1645
42,148,1645
42,151,1645
42,162,1645
42,163,1645
42,191,1645
42,196,1645
42,201,1645
42,208,1645
42,209,1645
42,210,1645
42,213,1645
42,234,1187
42,235,1187
42,250,1187
42,251,1187
42,308,1187
42,309,1187
42,310,1187
42,311,1187
42,313,1187
42,316,1187
42,317,1187
42,318,1187
42,324,1187
42,326,1187
42,328,1187
42,329,1187
42,330,1187
42,541,1284
42,542,1284
42,566,1284
42,567,1284
42,570,1284
42,577,1284
42,582,1284
42,609,1284
42,614,1284
42,636,1284
42,637,1284
42,644,1284
42,645,1284
42,665,2290
42,706,2290
42,707,2290
42,708,2290
