"y","x","cluster_id"
24,266,1041
24,830,1286
26,265,1041
32,269,1041
34,69,1821
34,70,1821
35,836,1286
43,852,1286
44,854,1286
45,853,1286
45,854,1286
46,853,1286
46,860,1286
47,857,1286
47,858,1286
47,864,1286
48,858,1286
49,866,1286
49,867,1286
50,864,1286
50,869,1286
51,862,1286
52,316,2742
53,754,1189
53,761,1189
54,248,1041
54,318,2742
54,873,1286
56,193,1041
56,317,2742
56,871,1286
56,872,1286
57,213,1041
57,323,2742
57,872,1286
57,873,1286
58,192,1041
58,194,1041
58,195,1041
58,214,1041
58,764,1189
58,838,1286
58,873,1286
59,195,1041
59,305,1041
59,326,2742
59,880,1286
60,206,1041
60,305,1041
60,329,2742
60,730,1189
60,751,1189
61,180,1041
61,195,1041
61,196,1041
61,212,1041
61,316,2742
61,750,1189
61,751,1189
61,825,1286
61,865,1286
61,884,1286
61,885,1286
62,150,1041
62,168,1041
62,179,1041
62,328,2742
62,750,1189
62,751,1189
62,887,1286
63,229,1041
63,326,2742
64,244,1041
64,749,1189
64,778,1189
64,889,1286
64,891,1286
65,177,1041
65,749,1189
65,750,1189
65,752,1189
65,796,1189
65,882,1286
65,883,1286
66,213,1041
66,214,1041
66,712,1189
66,748,1189
66,750,1189
66,751,1189
66,753,1189
66,754,1189
66,795,1189
66,811,1189
66,882,1286
66,883,1286
66,892,1286
67,212,1041
67,213,1041
67,214,1041
67,236,1041
67,243,1041
67,337,2742
67,745,1189
67,748,1189
67,749,1189
67,750,1189
67,751,1189
67,752,1189
67,754,1189
67,777,1189
67,778,1189
67,893,1286
67,894,1286
68,111,1821
68,211,1041
68,212,1041
68,213,1041
68,214,1041
68,215,1041
68,304,1041
68,749,1189
68,751,1189
68,752,1189
68,776,1189
68,777,1189
68,781,1189
68,793,1189
68,889,1286
68,890,1286
68,891,1286
69,109,1821
69,178,1041
69,210,1041
69,211,1041
69,212,1041
69,213,1041
69,214,1041
69,215,1041
69,216,1041
69,242,1041
69,249,1041
69,266,1041
69,325,2742
69,326,2742
69,334,2742
69,727,1189
69,728,1189
69,744,1189
69,750,1189
69,751,1189
69,752,1189
69,755,1189
69,776,1189
69,781,1189
69,782,1189
69,877,1286
69,878,1286
69,880,1286
69,890,1286
69,891,1286
70,207,1041
70,211,1041
70,212,1041
70,215,1041
70,216,1041
70,242,1041
70,243,1041
70,285,1041
70,326,2742
70,327,2742
70,337,2742
70,728,1189
70,744,1189
70,754,1189
70,773,1189
70,781,1189
70,787,1189
70,792,1189
70,878,1286
70,879,1286
70,880,1286
70,895,1286
70,896,1286
71,214,1041
71,215,1041
71,216,1041
71,328,2742
71,727,1189
71,741,1189
71,742,1189
71,743,1189
