"y","x","cluster_id"
16,785,165
19,767,165
21,781,165
22,757,165
23,760,165
23,778,165
24,754,165
24,757,165
25,745,165
25,778,165
27,745,165
27,746,165
28,735,165
29,739,165
29,740,165
30,767,165
30,769,165
30,770,165
32,771,165
32,776,165
33,770,165
33,771,165
34,727,165
34,768,165
34,769,165
35,766,165
35,775,165
36,727,165
36,753,165
36,762,165
36,765,165
36,770,165
36,771,165
37,763,165
37,766,165
37,771,165
38,763,165
38,764,165
38,765,165
38,773,165
39,763,165
39,771,165
39,772,165
40,760,165
40,765,165
40,770,165
40,771,165
40,772,165
41,754,165
41,771,165
42,771,165
44,770,165
45,770,165
46,734,165
48,768,165
49,735,165
50,735,165
51,308,577
51,735,165
51,767,165
52,735,165
52,766,165
53,308,577
53,736,165
54,765,165
58,729,165
59,277,577
59,329,577
59,330,577
59,729,165
59,730,165
59,762,165
60,728,165
60,730,165
60,731,165
60,735,165
61,290,577
61,292,577
61,293,577
61,728,165
61,730,165
61,731,165
61,732,165
61,734,165
61,735,165
62,293,577
62,296,577
62,302,577
62,729,165
62,730,165
62,731,165
62,732,165
62,733,165
62,734,165
62,758,165
63,297,577
63,729,165
63,730,165
63,731,165
63,732,165
63,736,165
63,737,165
63,759,165
64,730,165
64,731,165
64,732,165
64,734,165
64,736,165
64,759,165
65,268,577
65,730,165
65,731,165
65,732,165
65,733,165
65,734,165
65,735,165
65,737,165
65,759,165
66,730,165
66,731,165
66,732,165
66,733,165
66,734,165
66,735,165
66,736,165
66,737,165
66,755,165
66,756,165
67,730,165
67,731,165
67,732,165
67,733,165
67,734,165
67,735,165
67,736,165
67,737,165
67,738,165
68,729,165
68,731,165
68,732,165
68,733,165
68,734,165
68,735,165
68,737,165
68,738,165
68,739,165
68,751,165
68,752,165
68,756,165
69,732,165
69,733,165
69,734,165
69,735,165
69,736,165
69,738,165
69,750,165
69,752,165
69,753,165
69,755,165
69,757,165
70,295,577
70,731,165
70,734,165
70,735,165
70,741,165
70,751,165
70,753,165
70,754,165
70,755,165
71,292,577
71,294,577
71,295,577
71,315,577
71,732,165
71,751,165
72,266,577
72,292,577
72,293,577
72,295,577
72,749,165
72,750,165
72,753,165
73,292,577
73,293,577
73,294,577
73,311,577
73,751,165
73,752,165
73,753,165
74,292,577
74,293,577
74,295,577
74,731,165
74,734,165
74,752,165
75,292,577
75,747,165
76,735,165
76,750,165
76,752,165
76,753,165
77,744,165
77,745,165
77,747,165
77,749,165
77,751,165
77,753,165
78,736,165
79,260,577
79,752,165
80,303,577
80,734,165
81,261,577
82,749,165
83,259,577
83,741,165
84,298,577
85,730,165
85,754,165
86,254,577
86,255,577
86,256,577
86,257,577
86,749,165
87,253,577
87,254,577
87,256,577
87,257,577
87,258,577
87,259,577
87,294,577
87,295,577
87,296,577
87,731,165
87,732,165
88,254,577
88,255,577
88,256,577
88,257,577
88,258,577
88,259,577
88,732,165
88,749,165
89,254,577
89,255,577
89,256,577
89,257,577
89,258,577
89,259,577
89,753,165
90,253,577
90,254,577
90,255,577
90,256,577
90,257,577
90,258,577
90,259,577
90,260,577
90,292,577
90,754,165
91,253,577
91,254,577
91,255,577
91,257,577
91,258,577
91,259,577
91,260,577
91,290,577
91,618,1016
92,254,577
92,255,577
92,256,577
92,257,577
92,258,577
92,259,577
92,744,165
93,254,577
93,255,577
93,256,577
93,258,577
93,259,577
93,260,577
93,261,577
93,597,1016
93,608,1016
94,123,1355
94,256,577
94,257,577
94,258,577
94,259,577
94,260,577
94,261,577
94,282,577
94,283,577
94,284,577
94,605,1016
94,606,1016
94,630,1016
94,731,165
94,732,165
95,256,577
95,257,577
95,258,577
95,259,577
95,260,577
95,281,577
95,282,577
95,622,1016
95,623,1016
95,733,165
95,742,165
96,256,577
96,257,577
96,258,577
96,260,577
96,261,577
96,262,577
96,281,577
96,282,577
96,283,577
96,622,1016
96,625,1016
96,745,165
97,256,577
97,262,577
97,281,577
97,611,1016
97,613,1016
97,614,1016
97,742,165
98,118,1355
98,251,577
98,274,577
98,616,1016
98,621,1016
98,628,1016
98,638,1016
98,727,165
99,113,1355
99,114,1355
99,118,1355
99,127,1355
99,250,577
99,251,577
99,261,577
99,273,577
99,274,577
99,275,577
99,597,1016
99,602,1016
99,617,1016
99,621,1016
99,622,1016
99,633,1016
99,748,165
100,132,1355
100,250,577
100,251,577
100,253,577
100,254,577
100,273,577
100,593,1016
100,597,1016
100,598,1016
100,607,1016
100,620,1016
100,621,1016
100,622,1016
101,118,1355
101,252,577
101,260,577
101,265,577
101,269,577
101,270,577
101,272,577
101,274,577
101,275,577
101,606,1016
101,608,1016
101,621,1016
101,624,1016
101,755,165
102,124,1355
102,129,1355
102,264,577
102,267,577
102,270,577
102,271,577
102,272,577
102,273,577
102,594,1016
102,607,1016
102,616,1016
102,623,1016
102,630,1016
102,631,1016
102,754,165
103,104,1355
103,253,577
103,259,577
103,265,577
103,609,1016
103,612,1016
103,613,1016
103,625,1016
103,626,1016
103,631,1016
104,132,1355
104,133,1355
104,143,1355
104,242,577
104,255,577
104,270,577
104,274,577
104,600,1016
104,602,1016
104,604,1016
104,612,1016
104,628,1016
104,709,165
104,712,165
105,121,1355
105,139,1355
105,141,1355
105,144,1355
105,242,577
105,257,577
105,258,577
105,267,577
105,272,577
105,273,577
105,274,577
105,598,1016
105,605,1016
105,606,1016
105,607,1016
105,624,1016
105,639,1016
105,709,165
105,710,165
106,142,1355
106,242,577
106,243,577
106,244,577
106,258,577
106,259,577
106,265,577
106,266,577
106,267,577
106,272,577
106,273,577
106,598,1016
106,601,1016
106,609,1016
106,614,1016
106,625,1016
106,627,1016
106,629,1016
106,706,165
106,712,165
106,755,165
107,118,1355
107,125,1355
107,131,1355
107,138,1355
107,144,1355
107,145,1355
107,146,1355
107,242,577
107,243,577
107,244,577
107,254,577
107,256,577
107,260,577
107,267,577
107,272,577
107,273,577
107,590,1016
107,591,1016
107,592,1016
107,609,1016
107,700,165
107,713,165
107,732,165
107,735,165
108,134,1355
108,140,1355
108,142,1355
108,146,1355
108,238,577
108,243,577
108,244,577
108,246,577
108,247,577
108,253,577
108,254,577
108,266,577
108,271,577
108,592,1016
108,599,1016
108,604,1016
108,611,1016
108,614,1016
108,632,1016
108,643,1016
108,698,165
108,700,165
108,713,165
109,93,1355
109,115,1355
109,121,1355
109,122,1355
109,134,1355
109,135,1355
109,142,1355
109,143,1355
109,144,1355
109,246,577
109,247,577
109,255,577
109,273,577
109,598,1016
109,606,1016
109,629,1016
109,637,1016
109,717,165
110,113,1355
110,114,1355
110,122,1355
110,142,1355
110,146,1355
110,246,577
110,247,577
110,253,577
110,268,577
110,269,577
110,271,577
110,272,577
110,586,1016
110,589,1016
110,599,1016
110,612,1016
110,619,1016
110,630,1016
110,732,165
110,755,165
111,113,1355
111,117,1355
111,122,1355
111,123,1355
111,141,1355
111,146,1355
111,147,1355
111,271,577
111,273,577
111,576,1016
111,587,1016
