"y","x","cluster_id"
5,134,16
5,135,16
6,134,16
6,139,16
7,139,16
9,139,16
11,137,16
11,138,16
11,139,16
11,140,16
14,138,16
15,137,16
16,134,16
17,134,16
29,127,16
30,137,16
35,157,16
37,148,16
39,128,16
39,157,16
40,85,16
40,125,16
40,127,16
42,99,16
42,129,16
42,140,16
44,31,38
44,131,16
44,132,16
44,134,16
45,31,38
48,30,38
49,30,38
50,142,16
51,30,38
51,31,38
51,35,38
52,31,38
52,32,38
53,98,16
54,153,67
54,171,67
55,171,67
55,172,67
56,151,67
56,169,67
56,171,67
56,172,67
57,131,16
59,134,67
61,127,67
62,162,67
65,150,67
70,138,67
70,143,67
70,164,67
71,138,67
71,142,67
73,135,67
73,136,67
74,136,67
76,162,67
76,163,67
76,191,67
77,187,67
78,186,67
81,152,67
83,136,67
83,137,67
86,209,67
89,204,67
94,105,67
96,75,97
97,168,67
102,178,67
104,13,38
105,175,67
105,188,67
106,5,38
106,16,38
106,147,67
108,71,97
112,184,67
114,164,67
114,169,67
118,91,97
120,152,67
121,88,97
123,137,67
124,132,67
125,144,67
126,145,67
126,146,67
127,129,67
133,14,97
135,67,97
137,71,97
138,62,97
148,59,97
161,80,97
163,118,97
166,122,97
167,120,97
