"y","x","cluster_id"
22,245,172
23,280,189
23,281,189
24,281,189
24,282,189
24,290,189
25,281,189
25,282,189
25,289,189
25,292,189
25,301,189
25,302,189
25,303,189
25,308,189
25,309,189
26,283,189
26,291,189
26,294,189
26,302,189
26,304,189
26,309,189
26,311,189
27,287,189
28,245,172
28,254,172
28,315,189
29,246,172
29,247,172
29,281,189
29,308,189
29,318,189
30,247,172
30,261,172
30,262,172
30,274,189
30,275,189
30,278,189
31,256,172
31,261,172
31,323,189
32,266,172
32,268,172
32,324,189
35,327,189
36,265,172
36,279,189
37,237,172
37,238,172
37,239,172
37,240,172
37,322,189
38,237,172
38,251,172
38,260,172
38,262,172
38,263,172
39,238,172
39,242,172
39,243,172
39,246,172
39,247,172
39,262,172
40,226,172
40,231,172
40,234,172
40,235,172
40,236,172
40,241,172
40,242,172
40,243,172
40,255,172
40,260,172
40,284,189
41,230,172
41,231,172
41,234,172
41,235,172
41,236,172
41,243,172
41,309,189
41,332,189
42,230,172
42,231,172
42,245,172
42,246,172
42,254,172
42,258,172
42,259,172
42,300,189
42,331,189
42,333,189
43,226,172
43,228,172
43,229,172
43,232,172
43,234,172
43,237,172
43,253,172
43,254,172
43,256,172
43,257,172
43,258,172
43,293,189
43,294,189
43,334,189
44,226,172
44,228,172
44,229,172
44,233,172
44,234,172
44,235,172
44,238,172
44,239,172
44,246,172
44,247,172
44,253,172
44,254,172
44,256,172
44,257,172
44,258,172
44,293,189
44,294,189
44,334,189
45,227,172
45,228,172
45,235,172
45,236,172
45,237,172
45,240,172
45,244,172
45,248,172
45,254,172
45,280,189
45,334,189
45,336,189
46,228,172
46,246,172
46,247,172
46,287,189
47,236,172
47,237,172
47,246,172
47,251,172
47,255,172
47,296,189
47,338,189
48,229,172
48,230,172
48,235,172
48,237,172
48,243,172
48,244,172
49,226,172
49,279,189
49,280,189
49,281,189
49,340,189
50,230,172
50,249,172
51,246,172
51,277,189
51,287,189
51,290,189
52,245,172
52,341,189
53,235,172
53,242,172
53,277,189
53,340,189
53,341,189
53,342,189
54,241,172
54,284,189
54,312,189
54,341,189
54,342,189
55,234,172
55,238,172
55,261,172
55,262,172
55,342,189
56,211,172
56,229,172
56,239,172
56,277,189
57,225,172
57,231,172
57,274,189
57,302,189
58,232,172
58,260,172
58,273,189
58,274,189
59,292,189
59,298,189
59,300,189
59,301,189
60,222,172
60,259,172
60,298,189
60,299,189
61,223,172
61,227,172
61,228,172
61,273,189
61,274,189
61,275,189
61,293,189
62,221,172
62,224,172
62,230,172
62,272,189
62,284,189
63,296,189
64,208,172
64,273,189
64,284,189
64,293,189
64,294,189
64,296,189
65,292,189
65,293,189
65,294,189
65,317,189
66,294,189
66,315,189
66,316,189
67,206,172
67,269,172
68,217,172
68,219,172
68,338,189
69,219,172
69,231,172
70,281,189
71,241,172
71,336,189
72,269,172
72,280,189
72,281,189
75,204,172
75,248,172
76,253,172
76,260,172
77,214,172
77,296,189
77,328,189
78,247,172
78,248,172
78,279,189
78,296,189
78,328,189
79,212,172
79,247,172
79,291,189
79,294,189
79,326,189
80,247,172
80,294,189
80,311,189
80,324,189
81,246,172
81,280,189
81,285,189
81,295,189
81,323,189
82,258,172
82,282,189
82,289,189
82,318,189
82,319,189
83,282,189
83,287,189
83,297,189
83,299,189
83,300,189
83,306,189
83,307,189
83,308,189
83,316,189
83,318,189
84,255,172
84,289,189
84,290,189
84,297,189
84,300,189
84,306,189
84,307,189
84,308,189
84,309,189
84,310,189
84,312,189
85,214,172
85,247,172
85,288,189
86,203,172
86,246,172
86,263,172
86,264,172
86,271,189
86,273,189
87,259,172
87,263,172
87,285,189
88,264,172
88,265,172
88,267,172
88,280,189
88,281,189
88,282,189
88,283,189
