"y","x","cluster_id"
14,447,524
14,448,524
15,443,524
15,445,524
15,446,524
15,447,524
15,464,524
16,440,524
16,441,524
16,472,524
17,439,524
19,434,524
22,426,192
24,394,192
24,416,192
24,417,192
25,384,192
25,387,192
25,388,192
25,389,192
25,416,192
25,417,192
25,418,192
26,343,192
26,380,192
26,381,192
26,382,192
26,383,192
26,384,192
26,385,192
26,386,192
26,400,192
26,412,192
26,415,192
26,416,192
26,417,192
26,418,192
27,378,192
27,381,192
27,382,192
27,383,192
28,376,192
28,377,192
29,360,192
29,361,192
29,363,192
29,376,192
29,406,192
30,330,192
30,367,192
30,368,192
30,369,192
30,371,192
30,373,192
30,374,192
31,269,245
31,272,245
31,273,245
31,274,245
31,275,245
31,371,192
31,373,192
31,375,192
32,243,245
32,271,245
32,273,245
32,274,245
32,320,245
32,363,192
32,376,192
33,244,245
33,245,245
33,246,245
33,250,245
33,251,245
33,272,245
33,274,245
33,276,245
33,280,245
34,246,245
34,247,245
34,250,245
34,251,245
34,252,245
34,253,245
34,272,245
34,276,245
34,279,245
34,280,245
34,281,245
34,283,245
34,284,245
34,285,245
34,376,192
35,246,245
35,247,245
35,250,245
35,251,245
35,252,245
35,253,245
35,280,245
35,281,245
35,282,245
35,283,245
35,284,245
35,285,245
35,286,245
35,287,245
35,289,245
35,290,245
35,291,245
35,292,245
35,293,245
35,294,245
35,295,245
35,296,245
35,297,245
36,245,245
36,249,245
36,278,245
36,279,245
36,280,245
36,281,245
36,283,245
36,284,245
36,285,245
36,289,245
36,290,245
36,291,245
36,292,245
36,293,245
36,294,245
36,295,245
37,277,245
37,279,245
37,280,245
37,281,245
37,283,245
37,284,245
37,285,245
37,295,245
38,255,245
38,271,245
38,283,245
38,285,245
39,282,245
39,283,245
39,285,245
39,340,192
39,341,192
39,407,192
40,338,192
40,339,192
40,340,192
40,341,192
40,497,524
41,241,245
41,337,192
41,339,192
42,286,245
42,293,245
42,294,245
42,304,245
42,307,245
42,308,245
42,336,192
42,337,192
42,338,192
42,340,192
43,286,245
43,288,245
43,289,245
43,292,245
43,293,245
43,296,245
43,337,192
43,339,192
43,385,192
43,482,524
44,274,245
44,282,245
44,287,245
44,292,245
44,293,245
44,297,245
44,342,192
45,275,245
45,276,245
45,292,245
45,293,245
45,337,192
45,373,192
46,275,245
46,276,245
46,281,245
46,338,192
46,381,192
47,275,245
47,276,245
47,288,245
47,289,245
47,290,245
48,271,245
48,289,245
48,290,245
48,306,245
48,336,192
48,342,192
48,379,192
49,202,555
49,243,245
49,244,245
49,245,245
49,247,245
49,248,245
49,272,245
49,341,192
49,342,192
49,373,192
49,374,192
49,378,192
50,242,245
50,243,245
50,244,245
50,245,245
50,274,245
50,282,245
50,289,245
50,309,245
50,314,245
50,340,192
50,341,192
50,342,192
51,241,245
51,242,245
51,272,245
51,277,245
51,339,192
51,340,192
51,341,192
52,244,245
52,267,245
52,271,245
52,273,245
52,274,245
52,289,245
52,298,245
52,340,192
52,341,192
52,343,192
52,345,192
52,365,192
52,455,524
53,192,555
53,268,245
53,269,245
53,271,245
53,289,245
53,309,245
53,310,245
53,342,192
53,364,192
53,415,524
54,192,555
54,246,245
54,253,245
54,264,245
54,287,245
54,300,245
54,310,245
54,343,192
55,186,555
55,241,245
55,244,245
55,248,245
55,258,245
55,261,245
55,264,245
55,275,245
55,282,245
55,295,245
55,344,192
55,345,192
55,414,524
55,415,524
55,470,524
56,186,555
56,225,555
56,244,245
56,245,245
56,246,245
56,267,245
56,361,192
56,433,524
56,470,524
57,185,555
57,257,245
57,258,245
57,263,245
57,264,245
57,265,245
57,274,245
57,374,192
57,416,524
57,457,524
57,470,524
58,185,555
