"y","x","cluster_id"
46,78,250
51,73,250
55,73,250
62,115,250
62,117,250
63,121,250
65,515,511
67,508,511
68,116,250
69,507,511
70,512,511
74,505,511
76,551,511
77,514,511
77,515,511
78,514,511
79,562,511
80,67,250
81,510,511
82,504,511
82,553,511
87,506,511
89,514,511
89,551,511
89,552,511
89,553,511
90,504,511
91,64,250
92,64,250
92,68,250
93,67,250
93,68,250
94,66,250
94,70,250
94,508,511
95,65,250
95,66,250
95,67,250
95,506,511
95,507,511
96,64,250
96,65,250
96,66,250
96,67,250
96,69,250
96,505,511
96,506,511
97,65,250
97,66,250
97,67,250
98,65,250
99,69,250
100,62,250
100,505,511
101,63,250
102,62,250
102,506,511
102,531,511
103,62,250
103,63,250
103,64,250
103,506,511
104,60,250
104,61,250
104,63,250
105,58,250
105,62,250
105,63,250
105,64,250
105,65,250
105,505,511
105,603,511
106,57,250
106,58,250
106,59,250
106,60,250
106,61,250
106,63,250
106,64,250
106,505,511
106,506,511
106,558,511
107,58,250
107,59,250
107,60,250
107,61,250
107,64,250
107,71,250
108,57,250
108,58,250
108,59,250
108,60,250
108,62,250
108,66,250
109,56,250
109,58,250
109,59,250
109,60,250
109,61,250
109,67,250
110,54,250
110,55,250
110,58,250
110,59,250
110,60,250
110,61,250
110,66,250
110,108,250
110,508,511
111,54,250
111,55,250
111,56,250
111,59,250
111,60,250
111,61,250
111,62,250
112,54,250
112,55,250
112,56,250
112,59,250
112,60,250
112,61,250
112,62,250
112,505,511
112,506,511
112,507,511
112,508,511
112,509,511
112,510,511
112,515,511
113,54,250
113,55,250
113,59,250
113,60,250
113,62,250
113,503,511
113,505,511
113,509,511
114,55,250
114,56,250
114,57,250
114,59,250
114,60,250
114,503,511
114,504,511
114,505,511
114,506,511
114,507,511
114,508,511
114,509,511
114,515,511
115,55,250
115,61,250
115,62,250
115,504,511
115,505,511
115,506,511
115,507,511
116,55,250
116,58,250
116,59,250
116,238,250
116,507,511
117,56,250
117,57,250
117,58,250
117,59,250
118,59,250
118,501,511
119,58,250
119,62,250
119,63,250
120,62,250
120,63,250
120,74,250
120,175,250
121,57,250
121,60,250
121,62,250
121,63,250
121,76,250
121,502,511
121,504,511
122,57,250
122,64,250
122,501,511
122,504,511
122,505,511
122,679,511
123,56,250
123,57,250
123,177,250
123,500,511
123,502,511
123,504,511
123,505,511
123,506,511
124,56,250
124,57,250
124,502,511
124,503,511
124,504,511
124,505,511
124,506,511
124,507,511
125,54,250
125,58,250
125,63,250
125,166,250
125,500,511
125,501,511
125,502,511
125,503,511
125,505,511
125,506,511
125,507,511
126,54,250
126,499,511
126,500,511
126,501,511
126,502,511
126,503,511
127,49,250
127,53,250
127,55,250
127,56,250
127,57,250
127,58,250
127,170,250
127,171,250
127,498,511
127,499,511
127,500,511
127,501,511
127,502,511
127,503,511
127,509,511
128,53,250
128,54,250
128,98,250
128,172,250
128,500,511
128,501,511
128,502,511
128,503,511
128,507,511
128,510,511
129,54,250
129,63,250
129,64,250
129,498,511
129,500,511
129,501,511
129,502,511
129,503,511
129,504,511
130,53,250
130,54,250
130,58,250
130,65,250
130,498,511
130,500,511
130,501,511
130,502,511
130,503,511
130,509,511
130,617,511
131,53,250
131,66,250
131,496,511
131,499,511
131,501,511
131,502,511
131,503,511
131,504,511
132,54,250
132,56,250
132,58,250
132,59,250
132,498,511
132,499,511
132,501,511
132,502,511
132,503,511
132,504,511
132,505,511
133,55,250
133,57,250
133,59,250
133,60,250
133,65,250
133,66,250
133,67,250
133,496,511
133,497,511
133,498,511
133,499,511
133,502,511
133,504,511
133,505,511
134,54,250
134,57,250
134,58,250
134,59,250
134,60,250
134,65,250
134,67,250
134,497,511
134,498,511
134,499,511
134,506,511
135,55,250
135,56,250
135,59,250
135,61,250
135,64,250
135,498,511
135,500,511
135,501,511
135,502,511
135,504,511
136,55,250
136,56,250
136,59,250
136,499,511
136,500,511
136,501,511
136,502,511
137,55,250
137,56,250
137,57,250
137,71,250
137,500,511
137,502,511
137,507,511
137,519,511
138,56,250
138,57,250
138,60,250
138,62,250
138,64,250
138,499,511
138,501,511
138,505,511
138,506,511
138,507,511
138,518,511
138,520,511
138,614,511
138,615,511
139,53,250
139,54,250
139,56,250
139,57,250
139,58,250
139,59,250
139,60,250
139,61,250
139,62,250
139,65,250
139,499,511
139,502,511
139,505,511
139,506,511
139,507,511
139,519,511
139,615,511
140,53,250
140,55,250
140,56,250
140,57,250
140,58,250
140,59,250
140,60,250
140,61,250
140,62,250
140,64,250
140,65,250
140,66,250
140,102,250
140,500,511
140,505,511
140,506,511
140,507,511
140,616,511
141,52,250
141,53,250
141,55,250
141,56,250
141,57,250
141,58,250
141,59,250
141,60,250
141,61,250
141,62,250
141,63,250
141,64,250
141,65,250
141,101,250
141,103,250
141,104,250
141,106,250
141,505,511
142,55,250
142,56,250
142,57,250
142,58,250
142,59,250
142,60,250
142,61,250
142,62,250
142,63,250
142,64,250
142,104,250
142,504,511
143,53,250
143,54,250
143,55,250
143,56,250
143,57,250
143,58,250
143,59,250
143,60,250
143,61,250
143,62,250
143,63,250
143,64,250
143,500,511
144,49,250
144,50,250
144,51,250
144,52,250
144,53,250
144,54,250
144,55,250
144,56,250
144,57,250
144,58,250
144,59,250
144,60,250
144,63,250
144,501,511
145,49,250
145,51,250
145,52,250
145,53,250
145,54,250
145,55,250
145,56,250
145,57,250
145,59,250
145,60,250
145,62,250
145,496,511
145,499,511
145,500,511
145,502,511
146,50,250
146,53,250
146,55,250
146,56,250
146,59,250
146,60,250
146,61,250
146,62,250
146,497,511
146,500,511
146,501,511
147,56,250
147,58,250
147,59,250
147,60,250
147,61,250
147,62,250
147,63,250
147,494,511
147,500,511
147,501,511
147,502,511
148,54,250
148,56,250
148,57,250
148,58,250
148,59,250
148,60,250
148,61,250
148,62,250
148,63,250
148,64,250
148,496,511
148,498,511
148,499,511
148,502,511
149,54,250
149,55,250
149,56,250
149,57,250
149,58,250
149,59,250
149,60,250
149,61,250
149,62,250
149,63,250
149,64,250
149,66,250
149,158,250
149,497,511
149,498,511
149,500,511
149,503,511
149,507,511
150,55,250
150,56,250
150,57,250
150,58,250
150,59,250
150,60,250
150,61,250
150,62,250
150,63,250
150,64,250
150,497,511
151,48,1196
151,50,1196
151,51,1196
151,52,1196
151,53,1196
151,54,250
151,55,250
151,56,250
151,57,250
151,58,250
151,59,250
151,60,250
151,61,250
151,62,250
151,63,250
151,64,250
151,65,250
151,503,511
152,48,1196
152,49,1196
152,50,1196
152,51,1196
152,52,1196
152,53,1196
152,54,1196
152,55,1196
152,56,1196
152,57,1196
152,58,1196
152,59,1196
152,60,1196
152,61,250
152,63,250
152,64,250
152,65,250
152,67,250
152,494,511
152,496,511
152,499,511
152,501,511
152,502,511
152,503,511
152,506,511
153,45,1196
153,47,1196
153,48,1196
153,49,1196
153,50,1196
153,51,1196
153,52,1196
153,53,1196
153,54,1196
153,55,1196
153,56,1196
153,57,1196
153,58,1196
153,59,1196
153,61,1196
153,62,1196
153,63,1196
153,64,1196
153,65,1196
153,67,1196
153,68,250
153,500,511
153,501,511
153,504,511
153,505,511
153,506,511
153,507,511
153,510,511
153,511,511
153,512,511
154,47,1196
154,48,1196
154,49,1196
154,50,1196
154,51,1196
154,52,1196
154,53,1196
154,54,1196
154,56,1196
154,57,1196
154,58,1196
154,60,1196
154,61,1196
154,62,1196
154,63,1196
154,64,1196
154,65,1196
154,69,1196
154,501,511
154,503,511
154,504,511
154,505,511
154,506,511
154,510,511
154,511,511
155,47,1196
155,48,1196
155,49,1196
155,50,1196
155,51,1196
155,52,1196
155,53,1196
155,57,1196
155,58,1196
155,59,1196
155,60,1196
155,61,1196
155,62,1196
155,63,1196
155,64,1196
155,65,1196
155,66,1196
155,68,1196
155,69,1196
155,500,511
155,501,511
155,504,511
155,506,511
155,511,511
155,551,511
156,46,1196
156,47,1196
156,48,1196
156,49,1196
156,50,1196
156,51,1196
156,52,1196
156,53,1196
156,54,1196
156,55,1196
156,56,1196
156,58,1196
156,59,1196
156,60,1196
156,63,1196
156,64,1196
156,65,1196
156,66,1196
156,67,1196
156,69,1196
156,502,511
156,505,511
156,547,511
157,43,1196
157,46,1196
157,47,1196
157,48,1196
157,49,1196
157,50,1196
157,51,1196
157,52,1196
157,53,1196
157,54,1196
157,55,1196
157,56,1196
157,57,1196
157,58,1196
157,59,1196
157,60,1196
157,62,1196
157,63,1196
157,64,1196
157,66,1196
157,67,1196
157,105,250
157,502,511
157,505,511
157,506,511
157,507,511
157,553,511
158,47,1196
158,48,1196
158,49,1196
158,50,1196
158,51,1196
158,52,1196
158,53,1196
158,54,1196
158,55,1196
158,56,1196
158,57,1196
158,58,1196
158,59,1196
158,60,1196
158,61,1196
158,62,1196
158,63,1196
158,64,1196
158,68,1196
158,140,250
158,157,250
158,502,511
158,504,511
158,505,511
158,506,511
158,507,511
158,508,511
158,509,511
158,510,511
159,48,1196
159,49,1196
159,50,1196
159,51,1196
159,53,1196
159,56,1196
159,57,1196
159,58,1196
159,59,1196
159,60,1196
159,61,1196
159,62,1196
159,63,1196
159,67,1196
159,68,1196
159,501,511
159,502,511
159,503,511
159,504,511
159,505,511
159,506,511
159,507,511
159,508,511
159,509,511
159,510,511
159,512,511
160,49,1196
160,50,1196
160,52,1196
160,53,1196
160,54,1196
160,57,1196
160,59,1196
160,61,1196
160,62,1196
160,63,1196
160,64,1196
160,67,1196
160,501,511
160,502,511
160,503,511
160,504,511
160,505,511
160,506,511
160,507,511
160,508,511
160,510,511
160,511,511
160,512,511
161,52,1196
161,53,1196
161,54,1196
161,56,1196
161,57,1196
161,60,1196
161,62,1196
161,63,1196
161,64,1196
161,65,1196
161,71,1196
161,498,511
161,499,511
161,500,511
161,501,511
161,502,511
161,503,511
161,504,511
161,505,511
161,506,511
161,507,511
161,508,511
161,509,511
161,510,511
162,52,1196
162,53,1196
162,54,1196
162,55,1196
162,56,1196
162,57,1196
162,58,1196
162,64,1196
162,65,1196
162,73,1196
162,74,1196
162,501,511
162,502,511
162,503,511
162,504,511
162,505,511
162,506,511
162,507,511
162,508,511
162,509,511
162,510,511
162,604,511
163,50,1196
163,51,1196
163,52,1196
163,53,1196
163,54,1196
163,55,1196
163,57,1196
163,63,1196
163,64,1196
163,65,1196
163,69,1196
163,73,1196
163,90,1196
163,91,1196
163,498,511
163,499,511
163,500,511
163,501,511
163,502,511
163,503,511
163,504,511
163,505,511
163,506,511
163,507,511
163,508,511
163,509,511
163,510,511
