"y","x","cluster_id"
20,355,59
27,357,59
28,358,59
41,336,59
41,362,59
46,361,59
47,346,59
48,319,59
48,359,59
48,361,59
49,296,59
49,300,59
50,301,59
50,302,59
50,370,59
51,267,59
51,379,59
53,364,59
55,291,59
56,312,59
58,361,59
59,302,59
60,361,59
62,273,59
66,357,59
67,144,168
67,219,455
67,244,59
68,206,455
69,138,168
69,224,455
69,270,59
70,341,59
73,204,455
73,216,455
73,398,59
74,242,455
74,353,59
75,352,59
75,361,59
76,233,455
76,344,59
76,346,59
76,351,59
76,359,59
76,361,59
76,393,59
77,345,59
77,358,59
77,360,59
78,236,455
78,360,59
80,338,59
80,393,59
81,333,59
82,310,59
82,343,59
82,345,59
83,334,59
83,343,59
84,188,455
85,344,59
86,331,59
86,345,59
88,321,59
88,353,59
88,375,59
88,377,59
89,292,59
90,293,59
91,105,168
92,217,455
92,388,59
93,132,168
93,211,455
93,213,455
93,303,59
94,213,455
95,106,168
95,306,59
98,378,59
99,133,168
99,291,59
99,327,59
99,345,59
100,146,168
100,277,59
100,279,59
100,326,59
100,361,59
100,382,59
101,234,455
101,380,59
102,120,168
102,128,168
103,82,168
104,379,59
105,114,168
105,218,455
105,290,59
105,379,59
106,111,168
106,129,168
107,286,59
107,344,59
107,377,59
108,69,168
108,78,168
108,79,168
108,152,831
108,308,59
108,358,59
108,377,59
109,78,168
109,79,168
109,113,168
109,204,455
109,289,59
110,79,168
110,85,168
110,86,168
110,197,455
111,84,168
111,85,168
111,256,455
111,328,59
111,353,59
112,296,59
113,297,59
113,299,59
114,95,168
116,295,59
118,142,168
118,346,59
119,313,59
119,346,59
119,372,556
120,109,168
120,110,168
120,210,455
120,312,59
120,346,59
120,348,59
121,334,59
121,337,59
122,334,59
122,337,59
122,352,59
123,99,168
123,208,455
123,334,59
124,108,168
125,152,831
125,359,556
129,273,455
130,222,455
131,373,556
132,61,168
132,62,168
132,63,168
132,80,168
132,309,59
132,343,556
132,354,556
133,62,168
133,70,168
133,316,59
134,80,168
134,208,455
134,238,455
134,239,455
134,268,455
134,311,942
134,313,59
134,314,59
135,65,168
135,78,168
135,79,168
135,238,455
135,239,455
135,305,942
135,336,556
136,66,168
136,79,168
136,229,455
136,230,455
136,237,455
136,238,455
136,239,455
136,240,455
137,113,168
137,122,168
137,217,455
137,239,455
137,241,455
137,360,556
138,301,942
138,340,556
139,69,168
139,213,455
139,218,455
139,335,556
140,248,455
140,294,942
140,329,556
140,331,556
140,358,556
141,255,455
141,265,455
141,293,942
141,294,942
141,295,942
141,308,942
142,143,831
142,230,455
142,259,455
142,294,942
142,295,942
142,332,556
143,52,168
143,136,831
143,198,455
143,230,455
143,231,455
143,232,455
143,254,455
143,324,556
144,107,168
144,117,168
144,118,168
144,196,455
144,202,455
144,323,556
144,324,556
145,204,455
145,260,455
146,156,831
146,199,455
146,222,455
146,230,455
146,260,455
146,300,942
146,317,942
147,202,455
147,205,455
147,207,455
147,224,455
147,258,455
147,283,942
148,97,168
148,118,168
148,124,831
148,206,455
148,207,455
148,209,455
148,212,455
148,219,455
148,230,455
148,330,556
148,332,556
148,333,556
149,117,168
149,204,455
149,206,455
149,208,455
149,212,455
149,331,556
149,377,556
149,378,556
149,379,556
150,201,455
150,290,942
150,330,556
150,331,556
150,344,556
151,67,168
151,180,831
151,190,455
151,195,455
151,199,455
151,236,455
151,242,455
151,339,556
152,67,168
152,68,168
152,71,168
152,93,168
152,124,831
152,138,831
152,145,831
152,209,455
152,235,455
152,289,942
152,290,942
152,375,556
152,377,556
153,67,168
153,68,168
153,69,168
153,70,168
153,72,168
153,137,831
153,138,831
153,162,831
153,199,455
153,237,455
153,290,942
153,311,942
153,362,556
153,374,556
153,375,556
154,68,168
154,70,168
154,71,168
154,72,168
154,73,168
154,122,831
154,136,831
154,137,831
154,163,831
154,198,455
154,199,455
154,205,455
154,246,455
154,253,455
154,283,942
154,292,942
154,303,942
154,315,942
154,362,556
154,377,556
155,68,168
155,70,168
155,71,168
155,72,168
155,136,831
155,137,831
155,140,831
155,191,455
155,198,455
155,208,455
155,315,942
155,376,556
155,377,556
156,70,168
156,74,168
156,85,168
156,123,831
156,127,831
156,134,831
156,135,831
156,198,455
156,209,455
156,280,942
156,377,556
157,68,168
157,69,168
157,70,168
157,72,168
157,73,168
157,74,168
157,85,168
157,86,168
157,121,831
157,122,831
157,126,831
157,197,455
157,212,455
157,216,455
157,238,455
157,239,455
157,251,455
157,262,455
157,265,455
157,372,556
157,377,556
158,85,168
158,146,831
158,148,831
158,149,831
158,175,831
158,185,831
158,189,455
158,198,455
158,199,455
158,234,455
158,236,455
158,241,455
158,242,455
158,244,455
158,245,455
158,246,455
158,270,455
158,339,556
158,371,556
158,376,556
159,73,168
159,74,168
159,121,831
159,135,831
159,138,831
159,139,831
159,147,831
159,148,831
159,191,455
159,207,455
159,240,455
159,241,455
159,242,455
159,243,455
159,244,455
159,245,455
159,249,455
159,250,455
159,373,556
159,375,556
159,376,556
160,73,168
160,74,168
160,85,168
160,118,831
160,131,831
160,132,831
160,138,831
160,139,831
160,209,455
160,240,455
160,241,455
160,242,455
160,243,455
160,244,455
160,245,455
160,246,455
160,248,455
160,301,942
160,302,942
160,327,556
160,346,556
160,353,556
160,364,556
160,370,556
160,371,556
160,373,556
160,374,556
160,375,556
160,376,556
161,75,168
161,132,831
161,137,831
161,138,831
161,139,831
161,146,831
161,147,831
161,205,455
161,229,455
161,230,455
161,240,455
161,241,455
161,242,455
161,243,455
161,244,455
161,245,455
161,246,455
161,252,455
161,258,455
161,298,942
161,299,942
161,300,942
161,301,942
161,302,942
161,303,942
161,305,942
161,371,556
161,372,556
161,375,556
161,376,556
161,377,556
162,132,831
162,134,831
162,141,831
162,149,831
162,183,831
162,241,455
162,242,455
162,243,455
162,244,455
162,245,455
162,246,455
162,247,455
162,300,942
162,301,942
162,302,942
162,303,942
162,304,942
162,305,942
162,352,556
162,364,556
162,371,556
162,373,556
162,376,556
162,377,556
163,74,168
163,132,831
163,138,831
163,139,831
163,140,831
163,242,455
163,255,455
