"y","x","cluster_id"
11,395,299
12,413,299
13,192,231
13,194,231
13,412,299
13,414,299
14,397,299
14,413,299
15,193,231
16,400,299
16,421,299
17,411,299
21,426,299
21,427,299
22,424,299
23,214,231
23,354,299
23,428,299
24,214,231
24,447,299
27,137,231
28,296,1295
28,356,299
29,351,299
29,355,299
29,461,299
30,214,231
30,464,299
33,282,231
34,296,1295
35,578,248
36,263,231
37,413,299
37,505,248
37,508,248
38,477,299
38,484,248
38,495,248
39,281,231
40,555,248
41,315,1295
41,433,299
41,559,248
43,155,231
43,156,231
43,236,231
44,154,231
44,160,231
44,267,231
46,101,231
46,349,299
47,279,1295
48,210,231
49,146,231
49,147,231
49,184,231
49,261,231
49,384,299
50,242,231
51,150,231
51,230,231
51,507,248
51,532,248
51,557,248
52,135,231
52,139,231
52,140,231
52,141,231
52,146,231
52,164,231
52,166,231
52,171,231
52,549,248
53,139,231
53,147,231
53,148,231
53,151,231
53,489,248
53,510,248
54,140,231
54,149,231
54,151,231
54,152,231
54,153,231
54,339,1295
54,509,248
54,555,248
54,563,248
54,564,248
54,580,248
55,141,231
55,149,231
55,150,231
55,151,231
55,152,231
55,153,231
55,154,231
55,155,231
55,159,231
55,267,231
55,552,248
55,554,248
55,555,248
55,559,248
55,560,248
55,563,248
55,564,248
55,565,248
55,568,248
55,569,248
55,579,248
55,580,248
56,129,231
56,140,231
56,146,231
56,151,231
56,188,231
56,212,231
56,245,231
56,558,248
56,559,248
56,560,248
56,561,248
56,562,248
56,563,248
56,564,248
56,566,248
56,568,248
56,570,248
56,571,248
56,572,248
56,579,248
57,143,231
57,149,231
57,151,231
57,152,231
57,160,231
57,558,248
57,559,248
57,560,248
57,561,248
57,562,248
57,563,248
57,564,248
57,569,248
57,570,248
57,571,248
57,572,248
58,85,800
58,138,231
58,141,231
58,144,231
58,147,231
58,148,231
58,149,231
58,150,231
58,151,231
58,154,231
58,157,231
58,161,231
58,163,231
58,562,248
58,571,248
59,143,231
59,145,231
59,149,231
59,150,231
59,151,231
59,156,231
59,157,231
59,159,231
59,160,231
59,309,1295
59,573,248
59,575,248
59,577,248
60,140,231
60,141,231
60,142,231
60,144,231
60,145,231
60,146,231
60,150,231
60,151,231
60,164,231
60,312,1295
60,563,248
61,131,231
61,134,231
61,142,231
61,143,231
61,144,231
61,145,231
61,150,231
61,194,231
61,195,231
61,197,231
61,398,299
61,504,248
61,571,248
62,132,231
62,135,231
62,143,231
62,156,231
62,158,231
62,160,231
62,165,231
62,167,231
62,192,231
63,189,231
63,190,231
63,193,231
63,240,231
63,501,248
63,555,248
63,571,248
64,103,800
64,145,231
64,156,231
64,184,231
64,188,231
64,189,231
64,190,231
64,348,299
64,572,248
65,135,231
65,144,231
65,186,231
65,187,231
65,575,248
66,175,231
66,548,248
67,175,231
67,223,231
68,102,800
68,141,231
68,210,231
68,573,248
69,101,800
69,134,231
69,191,231
71,167,231
71,168,231
71,169,231
72,168,231
72,415,299
73,190,231
74,535,248
75,213,231
75,515,248
76,211,231
76,514,248
77,192,231
77,207,231
77,211,231
77,212,231
77,320,1295
77,514,248
78,191,231
78,192,231
78,206,231
78,207,231
78,209,231
78,212,231
78,324,1295
78,330,1295
78,475,299
79,193,231
79,204,231
79,205,231
79,207,231
79,300,1295
79,475,299
79,476,299
80,154,231
80,188,231
80,189,231
80,191,231
80,192,231
80,204,231
80,209,231
80,298,1295
80,329,1295
80,467,299
81,189,231
81,204,231
81,206,231
81,212,231
81,296,1295
81,332,1295
82,203,231
82,205,231
82,206,231
82,207,231
82,223,231
82,235,231
82,295,1295
82,296,1295
82,426,299
83,201,231
83,203,231
83,204,231
83,205,231
83,206,231
83,207,231
83,208,231
83,471,299
83,472,299
84,205,231
84,206,231
84,207,231
84,209,231
84,425,299
84,426,299
84,496,248
85,209,231
85,424,299
86,208,231
86,465,299
86,497,248
88,84,1246
88,112,800
88,129,800
88,164,231
89,293,1295
89,316,1295
89,386,299
90,294,1295
91,469,299
91,489,248
92,144,800
92,156,800
92,227,231
92,315,1295
92,387,299
93,155,800
93,156,800
93,295,1295
94,84,1246
94,148,800
94,154,800
94,155,800
94,383,299
94,463,299
94,464,299
94,536,248
94,537,248
94,538,248
95,151,800
95,152,800
95,153,800
95,160,800
95,192,231
95,464,299
95,535,248
95,536,248
95,537,248
95,538,248
95,539,248
96,80,1246
96,133,800
96,143,800
96,285,1295
96,294,1295
96,366,299
96,463,299
96,468,299
96,535,248
96,536,248
96,537,248
96,538,248
96,539,248
97,87,1246
97,143,800
97,144,800
97,156,800
97,158,800
97,283,1295
97,331,1295
97,463,299
97,536,248
97,537,248
97,539,248
98,80,1246
98,81,1246
98,82,1246
98,83,1246
98,85,1246
98,86,1246
98,132,800
98,143,800
98,144,800
98,145,800
98,146,800
98,149,800
98,155,800
98,263,2155
98,460,299
98,462,299
98,536,248
98,537,248
98,554,248
99,80,1246
99,81,1246
99,82,1246
99,83,1246
99,132,800
99,142,800
99,143,800
99,144,800
99,145,800
99,146,800
99,147,800
99,155,800
99,156,800
99,214,231
99,458,299
99,462,299
99,531,248
100,79,1246
100,80,1246
100,81,1246
100,88,1246
100,142,800
100,143,800
100,144,800
100,145,800
100,146,800
100,155,800
100,156,800
100,244,2155
100,453,299
100,458,299
100,462,299
101,78,1246
101,79,1246
101,80,1246
101,81,1246
101,82,1246
101,130,800
101,144,800
101,145,800
101,146,800
101,245,2155
101,246,2155
101,377,299
101,452,299
101,459,299
101,462,299
102,77,1246
102,78,1246
102,80,1246
102,81,1246
102,144,800
102,145,800
102,245,2155
102,376,299
102,456,299
102,461,299
103,77,1246
103,78,1246
103,79,1246
103,135,800
104,77,1246
104,78,1246
104,96,1246
104,134,800
104,135,800
104,140,800
104,142,800
104,266,2155
104,461,299
104,500,248
105,79,1246
105,101,1246
105,127,800
105,129,800
105,134,800
105,135,800
105,139,800
105,190,231
105,453,299
106,76,1246
106,77,1246
106,78,1246
106,102,1246
106,103,800
106,113,800
106,127,800
106,129,800
106,131,800
106,132,800
106,135,800
106,137,800
106,371,299
107,76,1246
107,77,1246
107,103,800
107,104,800
107,105,800
107,106,800
107,107,800
107,108,800
107,111,800
107,130,800
107,131,800
107,133,800
107,134,800
107,135,800
107,136,800
107,139,800
107,143,800
107,214,2155
107,225,2155
107,453,299
107,467,299
108,66,1246
108,88,1246
108,89,1246
108,90,1246
108,95,1246
108,105,800
108,106,800
108,107,800
108,108,800
108,109,800
108,110,800
108,111,800
108,112,800
108,113,800
108,125,800
108,127,800
108,128,800
108,129,800
108,130,800
108,131,800
108,132,800
108,133,800
108,134,800
108,135,800
108,136,800
108,139,800
108,140,800
108,142,800
108,143,800
108,144,800
108,208,231
109,41,1246
109,66,1246
109,88,1246
109,105,800
109,106,800
109,107,800
109,108,800
109,109,800
109,110,800
109,111,800
109,112,800
109,113,800
109,118,800
109,124,800
109,125,800
109,126,800
109,127,800
109,128,800
109,129,800
109,130,800
109,131,800
109,132,800
109,133,800
109,134,800
109,136,800
109,137,800
109,138,800
109,139,800
109,140,800
109,142,800
109,144,800
109,145,800
109,444,299
110,66,1246
110,67,1246
110,74,1246
110,106,800
110,107,800
110,108,800
110,109,800
110,110,800
110,111,800
110,112,800
