"y","x","cluster_id"
14,474,56
18,480,56
19,477,56
19,478,56
19,480,56
19,481,56
19,484,56
20,474,56
20,475,56
20,476,56
20,477,56
20,478,56
20,479,56
20,480,56
20,483,56
21,473,56
21,477,56
21,480,56
22,456,56
22,471,56
23,473,56
24,450,56
24,456,56
24,457,56
24,472,56
24,474,56
25,451,56
25,464,56
25,466,56
26,457,56
26,466,56
27,456,56
27,461,56
27,464,56
29,458,56
29,468,56
30,458,56
32,450,56
32,457,56
33,450,56
34,450,56
34,455,56
35,453,56
36,450,56
36,470,56
37,441,56
37,458,56
37,483,56
37,486,56
37,488,56
38,484,56
38,485,56
39,443,56
39,473,56
40,448,56
40,462,56
40,476,56
40,479,56
41,475,56
41,476,56
41,478,56
41,479,56
42,437,56
42,464,56
42,475,56
42,477,56
42,478,56
43,477,56
45,467,56
46,434,56
46,435,56
46,436,56
46,468,56
47,434,56
47,470,56
47,475,56
47,476,56
47,477,56
48,430,56
48,431,56
48,472,56
48,473,56
48,474,56
48,475,56
48,477,56
49,430,56
49,431,56
49,474,56
49,475,56
49,477,56
50,429,56
50,430,56
50,474,56
50,476,56
53,422,56
54,423,56
55,421,248
56,419,248
56,420,248
57,456,56
58,475,56
59,200,168
59,201,168
59,215,168
59,463,56
60,469,56
61,211,168
62,469,56
63,195,168
63,196,168
63,200,168
64,201,168
64,220,168
64,221,168
64,222,168
64,223,168
64,224,168
64,415,248
65,212,168
65,220,168
65,221,168
65,222,168
65,223,168
65,225,168
65,227,168
66,220,168
66,223,168
66,224,168
66,225,168
66,228,168
66,415,248
67,204,168
67,205,168
67,210,168
68,198,168
68,208,168
68,216,168
68,217,168
68,413,248
69,193,168
69,194,168
69,195,168
69,200,168
69,201,168
70,193,168
70,200,168
70,408,248
71,192,168
71,193,168
71,403,248
71,408,248
71,464,56
72,183,168
72,191,168
72,192,168
72,194,168
73,404,248
73,405,248
73,406,248
73,410,248
73,457,56
74,180,168
74,181,168
74,408,248
74,409,248
75,180,168
75,181,168
75,199,168
75,401,248
75,402,248
75,403,248
75,408,248
75,409,248
75,411,248
76,178,168
76,190,168
76,398,248
76,402,248
76,403,248
76,407,248
77,396,248
77,409,248
78,175,168
78,394,248
78,395,248
78,416,248
79,170,168
79,393,248
79,423,248
79,424,248
80,166,168
80,168,168
80,171,168
80,172,168
80,175,168
80,231,168
81,164,168
81,168,168
81,169,168
81,170,168
81,172,168
81,176,168
81,425,248
82,162,168
82,174,168
83,221,168
83,225,168
83,387,248
83,389,248
83,427,248
83,428,248
84,158,168
84,221,168
84,224,168
84,226,168
84,387,248
85,215,168
85,216,168
85,217,168
85,222,168
85,223,168
85,224,168
85,386,248
85,387,248
85,388,248
85,389,248
85,430,248
86,215,168
86,216,168
86,387,248
86,431,248
86,433,248
87,154,401
87,184,168
87,216,168
87,451,56
88,154,401
88,207,168
88,216,168
88,386,248
88,412,248
89,208,168
90,208,168
90,213,168
90,397,248
91,209,168
91,212,168
91,397,248
91,405,248
92,211,168
92,212,168
92,213,168
92,399,248
92,400,248
92,401,248
92,402,248
92,404,248
92,405,248
92,413,248
92,417,248
92,441,248
93,393,248
93,401,248
93,441,248
93,442,248
94,200,168
94,213,168
94,405,248
94,442,248
95,200,168
95,201,168
95,391,248
95,393,248
95,394,248
95,434,248
95,444,248
95,445,248
96,380,248
96,391,248
96,392,248
97,132,401
97,133,401
97,137,401
97,202,168
97,205,168
97,392,248
97,394,248
98,128,401
98,129,401
98,130,401
98,131,401
98,134,401
98,137,401
98,138,401
98,206,168
98,398,248
98,400,248
99,126,401
99,127,401
99,128,401
99,135,401
99,136,401
99,143,401
99,144,401
99,376,248
99,377,248
99,379,248
99,380,248
99,400,248
100,125,401
100,140,401
100,141,401
100,142,401
100,145,401
100,196,168
100,210,168
100,376,248
100,377,248
100,378,248
100,380,248
101,122,401
101,140,401
101,141,401
101,142,401
101,194,168
101,209,168
101,376,248
101,378,248
101,379,248
101,380,248
102,119,401
102,120,401
102,140,401
102,375,248
102,401,248
103,118,401
103,119,401
103,378,248
103,379,248
104,118,401
104,119,401
104,378,248
104,379,248
105,116,401
105,118,401
105,154,401
105,205,168
105,375,248
105,379,248
105,434,248
106,115,401
106,116,401
106,374,248
107,115,401
107,371,248
107,375,248
108,114,401
108,115,401
108,155,401
108,368,248
108,369,248
108,373,248
108,375,248
108,379,248
108,397,248
109,111,401
109,113,401
109,115,401
109,375,248
109,378,248
110,108,401
110,375,248
110,385,248
110,398,248
110,420,248
111,127,401
111,398,248
112,126,401
112,372,248
112,375,248
113,105,401
113,106,401
113,371,248
113,373,248
114,105,401
114,107,401
114,108,401
114,120,401
114,121,401
114,128,401
114,129,401
114,130,401
114,134,401
115,102,401
115,104,401
115,105,401
115,106,401
115,107,401
115,119,401
115,121,401
115,122,401
115,132,401
115,133,401
116,103,401
116,104,401
116,105,401
116,106,401
116,116,401
116,120,401
116,122,401
116,160,401
116,369,248
116,372,248
117,102,401
117,103,401
117,104,401
117,122,401
117,133,401
117,141,401
117,160,401
117,400,248
118,102,401
118,106,401
118,367,248
118,368,248
118,371,248
119,104,401
119,105,401
119,107,401
119,121,401
119,126,401
120,94,401
120,101,401
120,106,401
120,107,401
120,126,401
120,127,401
121,94,401
121,95,401
121,104,401
121,106,401
121,467,555
122,181,168
123,468,555
124,146,401
125,97,401
125,100,401
125,101,401
125,168,401
126,168,401
126,380,248
126,483,555
127,93,401
127,169,401
127,170,401
127,455,555
128,95,401
128,169,401
128,469,555
129,94,401
129,171,401
129,453,555
130,95,401
130,171,401
130,172,401
130,381,248
131,92,401
131,94,401
131,382,248
131,448,555
131,451,555
132,94,401
132,121,401
132,122,401
132,172,401
132,454,555
133,444,555
133,449,555
133,450,555
134,443,555
134,461,555
135,123,401
136,123,401
136,143,401
136,158,401
136,441,555
136,446,555
137,95,401
137,117,401
137,143,401
137,144,401
137,449,555
137,460,555
138,457,555
139,95,401
141,434,555
142,433,555
142,434,555
142,435,555
143,431,555
143,433,555
143,434,555
144,132,401
144,133,401
144,432,555
146,101,401
146,130,401
146,432,555
147,429,555
148,428,555
148,429,555
148,463,555
149,427,555
149,428,555
149,463,555
150,426,555
150,439,555
150,482,555
151,426,555
151,439,555
152,424,555
152,425,555
152,426,555
152,442,555
152,446,555
153,425,555
153,426,555
153,440,555
154,423,555
154,424,555
155,424,555
156,437,555
158,419,555
162,177,639
162,179,639
162,186,639
162,419,555
163,190,639
164,167,639
165,160,639
165,161,639
165,162,639
165,163,639
165,164,639
165,165,639
165,173,639
165,421,555
166,161,639
166,163,639
166,164,639
166,165,639
166,171,639
166,174,639
166,419,555
166,428,555
167,160,639
167,168,639
167,169,639
167,185,639
167,197,639
167,416,555
168,197,639
168,416,555
168,420,555
169,161,639
169,420,555
170,148,639
170,149,639
170,150,639
170,175,639
170,413,555
170,417,555
171,148,639
171,149,639
171,407,555
171,432,555
172,147,639
172,148,639
172,416,555
172,466,555
173,171,639
173,409,555
173,411,555
173,412,555
173,413,555
173,415,555
173,466,555
174,143,639
174,167,639
174,168,639
174,174,639
174,406,555
174,411,555
174,412,555
174,416,555
174,431,555
175,142,639
175,417,555
175,422,555
176,139,639
176,140,639
176,423,555
177,139,639
177,140,639
177,402,555
177,423,555
177,433,555
178,421,555
179,136,639
179,421,555
179,422,555
179,424,555
180,136,639
180,424,555
180,425,555
181,135,639
181,151,639
181,424,555
182,129,639
182,151,639
182,157,639
182,439,555
182,440,555
183,132,639
183,133,639
183,152,639
183,424,555
183,439,555
184,147,639
184,150,639
184,153,639
184,156,639
184,397,830
184,424,555
184,425,555
185,127,639
185,131,639
185,147,639
185,149,639
185,157,639
185,175,639
185,424,555
185,425,555
186,122,639
186,394,830
186,426,555
187,121,639
187,130,639
187,194,639
187,393,830
187,455,555
188,119,639
188,170,639
188,396,830
188,400,830
189,174,639
189,398,830
189,429,555
190,127,639
190,135,639
190,429,555
191,127,639
191,398,830
192,127,639
192,390,830
192,398,830
193,118,639
193,120,639
193,128,639
193,190,639
193,389,830
193,397,830
193,430,555
193,432,555
193,434,555
193,441,555
194,109,879
194,125,639
194,189,639
194,390,830
194,432,555
194,433,555
194,434,555
194,439,555
195,113,879
195,116,639
195,117,639
195,118,639
195,120,639
195,122,639
195,126,639
195,127,639
195,435,555
196,109,879
196,118,639
196,120,639
196,122,639
196,123,639
196,125,639
196,385,830
196,436,555
196,437,555
196,438,555
197,122,639
197,123,639
197,125,639
197,389,830
197,390,830
197,438,555
198,127,639
198,394,830
198,427,555
198,428,555
199,123,639
199,127,639
199,372,830
199,393,830
199,403,830
199,427,555
199,441,555
200,124,639
200,372,830
200,386,830
200,387,830
200,389,830
200,401,830
200,402,830
200,404,830
200,427,555
200,428,555
201,124,639
201,128,639
201,147,639
201,376,830
201,401,830
201,402,830
201,403,830
201,404,830
201,428,555
202,101,879
202,128,639
202,367,830
202,383,830
202,395,830
202,396,830
203,128,639
203,367,830
203,377,830
204,100,879
204,125,639
204,128,639
204,137,639
204,365,830
204,416,830
204,431,555
205,129,639
205,151,639
205,364,830
205,368,830
205,369,830
206,95,879
206,98,879
206,151,639
206,365,830
206,416,830
206,425,830
207,93,879
207,103,879
207,402,830
207,416,830
207,423,830
208,92,879
208,98,879
208,100,879
208,126,879
208,171,639
208,364,830
208,367,830
208,414,830
208,415,830
208,422,830
208,423,830
208,425,830
209,74,879
209,89,879
209,93,879
209,98,879
209,100,879
209,126,879
209,154,639
209,171,639
209,415,830
209,417,830
209,422,830
209,423,830
209,424,830
210,74,879
210,415,830
210,421,830
210,422,830
210,423,830
210,424,830
211,73,879
211,88,879
211,92,879
211,99,879
211,100,879
211,170,639
212,92,879
212,99,879
212,140,639
212,141,639
212,142,639
212,361,830
213,102,879
213,127,879
213,397,830
214,69,879
214,75,879
214,76,879
214,102,879
214,165,639
214,411,830
214,412,830
215,68,879
215,69,879
215,87,879
215,102,879
215,153,639
215,393,830
215,394,830
216,64,879
216,74,879
216,89,879
216,90,879
216,95,879
216,404,830
216,410,830
217,63,879
217,67,879
217,95,879
218,101,879
219,62,879
219,63,879
219,100,879
219,102,879
219,103,879
219,403,830
219,404,830
220,61,879
220,62,879
220,90,879
220,101,879
220,102,879
220,133,879
220,157,639
220,403,830
221,103,879
221,128,879
221,133,879
221,134,879
221,135,879
221,395,830
222,101,879
222,142,639
223,105,879
223,127,879
224,126,879
224,136,879
224,145,639
224,146,639
224,401,830
225,126,879
225,137,879
225,146,639
225,147,639
225,398,830
226,55,879
226,100,879
226,361,830
226,372,830
226,373,830
226,374,830
226,375,830
