"y","x","cluster_id"
3,74,173
3,81,173
3,83,173
4,70,173
4,77,173
5,69,173
5,70,173
5,71,173
6,69,173
6,80,173
6,90,173
6,91,173
7,66,173
7,69,173
7,88,173
7,89,173
7,90,173
7,91,173
8,65,173
8,102,173
9,60,173
9,67,173
9,91,173
10,60,173
10,61,173
10,64,173
11,91,173
12,59,173
12,103,173
12,104,173
12,105,173
12,106,173
13,56,173
13,63,173
13,105,173
14,54,173
14,56,173
14,57,173
14,58,173
14,59,173
14,103,173
14,105,173
14,106,173
14,110,173
15,53,173
15,54,173
15,55,173
15,104,173
15,105,173
15,106,173
15,107,173
15,111,173
16,53,173
16,105,173
16,106,173
16,107,173
16,108,173
16,112,173
17,49,173
17,52,173
17,53,173
17,106,173
17,107,173
18,56,173
18,106,173
18,107,173
19,49,173
19,50,173
19,52,173
20,47,173
20,48,173
20,52,173
20,115,173
22,46,173
22,109,173
23,45,173
23,47,173
23,48,173
23,49,173
23,59,173
24,42,173
24,43,173
24,100,173
24,104,173
24,120,947
25,42,173
25,46,173
25,65,173
25,100,173
25,208,1008
26,42,173
27,40,173
27,247,1008
28,39,173
28,40,173
28,49,173
28,131,947
28,217,1008
28,232,1008
28,234,1008
28,338,592
29,39,173
29,131,947
29,242,1008
29,252,1008
30,117,947
30,131,947
30,234,1008
30,237,1008
30,251,1008
30,257,1008
30,339,592
30,345,592
31,38,173
31,51,173
31,108,173
31,112,173
31,143,947
31,320,592
31,335,592
31,370,592
32,38,173
32,39,173
32,119,947
32,203,1008
32,273,592
32,281,592
32,287,592
32,294,592
32,314,592
32,358,592
33,38,173
33,41,173
33,48,173
33,117,947
33,118,947
33,218,1008
33,230,1008
33,232,1008
33,237,1008
33,238,1008
33,262,1008
33,281,592
33,290,592
33,313,592
33,316,592
33,353,592
34,37,173
34,38,173
34,42,173
34,44,173
34,196,1008
34,204,1008
34,233,1008
34,260,1008
34,354,592
34,438,639
35,51,173
35,75,173
35,78,173
35,105,173
35,118,947
35,144,947
35,257,1008
35,261,1008
35,269,592
35,272,592
35,291,592
35,341,592
35,342,592
35,346,592
35,383,592
36,59,173
36,75,173
36,76,173
36,119,947
36,222,1008
36,283,592
36,286,592
36,291,592
36,312,592
36,338,592
36,347,592
36,355,592
36,368,592
36,401,639
36,442,639
36,446,639
36,473,639
36,474,639
36,493,639
37,35,173
37,55,173
37,59,173
37,89,173
37,293,592
37,299,592
37,310,592
37,319,592
37,378,592
37,435,639
37,457,639
37,473,639
37,474,639
37,504,639
38,35,173
38,40,173
38,46,173
38,99,173
38,119,947
38,193,1008
38,288,592
38,324,592
38,326,592
38,335,592
38,336,592
38,380,592
38,384,592
38,435,639
38,481,639
38,490,639
39,33,173
39,46,173
39,48,173
39,111,947
39,151,947
39,244,1008
39,257,1008
39,267,1008
39,268,592
39,288,592
39,297,592
39,303,592
39,324,592
39,430,639
39,455,639
39,478,639
39,485,639
39,489,639
40,119,947
40,122,947
40,192,1008
40,229,1008
40,264,1008
40,279,592
40,292,592
40,312,592
40,324,592
40,383,592
40,430,639
40,454,639
40,464,639
40,469,639
41,33,173
41,39,173
41,40,173
41,42,173
41,122,947
41,123,947
41,133,947
41,149,947
41,297,592
41,300,592
41,316,592
41,376,592
41,404,639
41,414,639
41,415,639
41,429,639
41,454,639
41,464,639
41,504,639
41,509,639
42,39,173
42,40,173
42,41,173
42,78,173
42,122,947
42,123,947
42,270,592
42,271,592
42,274,592
42,360,592
42,381,592
42,406,639
42,445,639
42,468,639
42,474,639
42,476,639
43,34,173
43,37,173
43,40,173
43,41,173
43,132,947
43,224,1008
43,257,1008
43,260,1008
43,286,592
43,316,592
43,318,592
43,426,639
43,429,639
43,436,639
43,448,639
43,465,639
43,467,639
43,492,639
44,36,173
44,38,173
44,39,173
44,42,173
44,105,173
44,244,1008
44,255,1008
44,256,1008
44,272,592
44,334,592
44,431,639
44,433,639
44,443,639
44,450,639
44,501,639
45,33,173
45,35,173
45,42,173
45,147,947
45,271,592
45,431,639
45,469,639
46,29,173
46,34,173
46,145,947
46,217,1008
46,227,1008
46,278,592
46,333,592
46,382,592
46,470,639
46,481,639
46,509,639
47,33,173
