"y","x","cluster_id"
39,223,147
39,226,147
39,227,147
39,228,147
39,236,147
39,409,736
40,226,147
40,227,147
40,228,147
40,231,147
40,238,147
40,239,147
40,403,736
41,222,147
41,225,147
41,228,147
41,230,147
41,231,147
41,232,147
41,240,147
41,241,147
41,242,147
41,246,147
42,206,147
42,221,147
42,222,147
42,225,147
42,226,147
42,231,147
42,232,147
42,237,147
42,240,147
42,241,147
42,242,147
42,243,147
42,244,147
42,245,147
42,246,147
42,248,147
43,199,147
43,200,147
43,222,147
43,225,147
43,229,147
43,230,147
43,233,147
43,240,147
43,241,147
43,242,147
43,243,147
43,245,147
43,248,147
44,198,147
44,222,147
44,223,147
44,230,147
44,239,147
44,240,147
44,241,147
44,250,147
45,229,147
45,230,147
45,246,147
46,229,147
46,230,147
46,232,147
46,233,147
46,239,147
46,240,147
46,246,147
47,226,147
47,230,147
47,231,147
47,236,147
47,238,147
47,243,147
47,245,147
47,248,147
48,195,147
48,227,147
48,230,147
48,242,147
48,247,147
48,413,736
48,414,736
49,218,147
49,221,147
49,222,147
49,223,147
49,414,736
50,202,147
50,219,147
50,222,147
50,233,147
50,253,147
50,257,147
51,217,147
51,218,147
51,252,147
51,253,147
52,218,147
52,219,147
52,259,147
52,261,147
52,414,736
53,221,147
53,225,147
53,243,147
53,258,147
54,207,147
54,208,147
54,219,147
54,258,147
54,259,147
54,262,147
55,218,147
55,230,147
55,243,147
56,216,147
56,217,147
56,218,147
56,219,147
56,223,147
56,226,147
56,252,147
56,260,147
56,261,147
57,216,147
57,220,147
57,241,147
57,242,147
57,252,147
57,262,147
57,265,147
58,241,147
58,242,147
58,243,147
59,241,147
59,242,147
59,243,147
59,246,147
59,260,147
60,208,147
60,212,147
60,228,147
60,232,147
60,240,147
60,241,147
60,242,147
60,243,147
60,244,147
60,261,147
60,262,147
60,264,147
61,226,147
61,240,147
61,241,147
61,242,147
61,243,147
61,244,147
61,258,147
61,260,147
61,261,147
62,204,147
62,212,147
62,213,147
62,219,147
62,236,147
62,237,147
62,239,147
62,240,147
62,241,147
62,242,147
62,243,147
62,244,147
62,254,147
62,255,147
62,258,147
62,260,147
62,261,147
62,262,147
62,263,147
62,264,147
63,211,147
63,240,147
63,241,147
63,242,147
63,243,147
63,245,147
63,254,147
63,255,147
63,256,147
63,257,147
63,261,147
63,262,147
63,263,147
63,264,147
64,254,147
64,255,147
64,256,147
64,262,147
64,263,147
64,375,736
65,210,147
65,219,147
65,220,147
65,223,147
65,244,147
65,254,147
65,255,147
65,256,147
65,262,147
65,263,147
65,265,147
66,223,147
66,224,147
66,225,147
66,226,147
66,253,147
66,254,147
66,255,147
66,256,147
66,258,147
66,260,147
66,261,147
66,262,147
66,263,147
67,247,147
67,261,147
67,262,147
67,263,147
67,265,147
67,267,147
67,271,147
68,193,941
68,226,147
68,255,147
68,263,147
68,265,147
68,271,783
68,272,783
68,404,736
69,241,147
69,253,147
69,258,147
69,271,783
69,415,736
70,205,147
70,228,147
70,229,147
70,230,147
70,231,147
70,232,147
70,240,147
70,242,147
70,253,147
70,257,147
70,270,783
70,271,783
70,334,736
70,415,736
71,195,941
71,203,941
71,222,147
71,223,147
71,233,147
71,238,147
71,240,147
71,256,147
71,334,736
71,345,736
72,223,147
72,226,147
72,231,147
72,249,147
72,256,147
72,263,147
72,339,736
72,344,736
72,419,736
73,227,147
73,232,147
73,248,147
73,250,147
73,255,147
73,257,147
73,259,147
73,260,147
73,323,736
73,324,736
73,325,736
73,327,736
73,332,736
73,337,736
73,343,736
74,177,941
74,206,941
74,228,147
74,249,147
74,250,147
74,253,147
74,258,147
74,259,147
74,322,736
74,323,736
74,324,736
74,325,736
74,326,736
74,327,736
74,329,736
74,338,736
74,339,736
74,340,736
75,177,941
75,178,941
75,214,147
75,222,147
75,223,147
75,225,147
75,226,147
75,230,147
75,231,147
75,241,147
75,247,147
75,250,147
75,255,147
75,256,147
75,257,147
75,258,783
75,267,783
75,268,783
75,275,783
75,321,736
75,322,736
75,323,736
75,324,736
75,325,736
75,326,736
75,327,736
75,335,736
75,346,736
75,347,736
75,371,736
75,407,736
76,172,941
76,174,941
76,176,941
76,177,941
76,178,941
76,179,941
76,180,941
76,195,941
76,197,941
76,198,941
76,229,147
76,230,147
76,231,147
76,234,147
76,236,147
76,240,147
76,241,147
76,255,147
76,256,783
76,257,783
76,265,783
