"y","x","cluster_id"
53,96,5
67,101,5
80,97,5
85,91,5
87,97,5
90,101,5
94,98,5
95,94,5
95,99,5
96,93,5
97,90,5
103,69,5
157,200,41
158,200,41
166,196,41
168,54,95
169,54,95
171,194,41
172,165,41
172,194,41
174,178,41
175,181,41
175,182,41
175,183,41
175,184,41
175,185,41
176,143,41
176,144,41
176,181,41
176,182,41
176,183,41
176,184,41
177,181,41
179,157,41
179,187,41
180,59,95
180,155,41
180,157,41
181,64,95
181,157,41
181,158,41
182,156,41
182,157,41
183,59,95
183,87,95
183,157,41
184,128,41
186,58,95
186,66,95
186,159,41
186,173,41
188,161,41
189,151,41
189,172,41
190,56,95
190,124,41
190,125,41
190,130,41
190,160,41
191,55,95
191,160,41
192,56,95
192,124,41
192,125,41
193,55,95
194,64,95
194,71,95
194,164,41
195,139,41
196,69,95
196,70,95
196,71,95
198,56,95
200,66,95
201,51,95
201,72,95
202,45,95
202,67,95
203,40,95
203,152,41
204,44,95
204,66,95
204,68,95
204,71,95
204,77,95
205,29,95
205,43,95
205,71,95
206,66,95
206,68,95
206,144,41
207,144,41
208,68,95
210,69,95
211,68,95
211,69,95
212,68,95
213,68,95
213,71,95
213,73,95
214,67,95
214,73,95
215,72,95
215,73,95
216,70,95
216,73,95
218,72,95
219,68,95
219,72,95
219,73,95
220,30,95
221,45,95
223,66,95
224,65,95
224,68,95
227,73,95
228,68,95
230,56,95
230,62,95
233,62,95
243,68,95
244,67,95
245,65,95
246,45,95
248,37,95
250,53,95
253,48,95
258,52,95
