"y","x","cluster_id"
14,301,472
15,256,472
15,300,472
16,212,269
16,349,428
17,226,269
17,297,472
17,316,428
17,342,428
17,343,428
17,365,428
18,203,269
18,205,269
18,242,472
18,279,472
18,280,472
18,299,472
18,327,428
18,328,428
18,334,428
18,340,428
18,343,428
18,360,428
18,364,428
18,365,428
18,366,428
19,185,269
19,202,269
19,299,472
19,331,428
19,353,428
19,365,428
19,368,428
19,374,428
20,170,269
20,184,269
20,189,269
20,190,269
20,219,269
20,251,472
20,293,472
20,364,428
20,365,428
20,366,428
21,126,590
21,211,269
21,214,269
21,299,472
21,300,472
21,377,428
21,378,428
21,379,428
21,380,428
22,158,269
22,165,269
22,211,269
22,224,269
22,270,472
22,299,472
22,300,472
22,364,428
22,376,428
22,377,428
22,378,428
22,379,428
23,129,590
23,130,590
23,134,590
23,167,269
23,233,472
23,271,472
23,326,428
23,327,428
23,329,428
23,355,428
23,357,428
23,358,428
23,363,428
23,375,428
23,376,428
23,377,428
23,378,428
23,379,428
24,129,590
24,130,590
24,133,590
24,134,590
24,166,269
24,167,269
24,168,269
24,182,269
24,255,472
24,259,472
24,346,428
24,354,428
24,358,428
24,359,428
24,369,428
24,370,428
24,371,428
24,372,428
24,373,428
25,129,590
25,131,590
25,133,590
25,134,590
25,158,269
25,166,269
25,167,269
25,168,269
25,182,269
25,189,269
25,254,472
25,259,472
25,279,472
25,295,472
25,334,428
25,344,428
25,364,428
25,369,428
25,370,428
25,371,428
25,394,428
25,395,428
26,125,590
26,129,590
26,130,590
26,131,590
26,132,590
26,134,590
26,138,590
26,168,269
26,183,269
26,190,269
26,197,269
26,198,269
26,199,269
26,201,269
26,239,472
26,273,472
26,325,428
26,334,428
26,365,428
26,366,428
26,367,428
26,368,428
26,369,428
26,370,428
26,389,428
26,390,428
26,393,428
27,123,590
27,124,590
27,125,590
27,129,590
27,130,590
27,132,590
27,136,590
27,140,590
27,169,269
27,183,269
27,193,269
27,219,269
27,220,269
27,239,472
27,282,472
27,344,428
27,354,428
27,373,428
27,380,428
28,122,590
28,123,590
28,124,590
28,125,590
28,131,590
28,132,590
28,151,590
28,191,269
28,192,269
28,193,269
28,215,269
29,122,590
29,123,590
29,124,590
29,125,590
29,131,590
29,132,590
29,133,590
29,136,590
29,180,269
29,181,269
29,184,269
29,185,269
29,215,269
29,216,269
29,235,472
29,269,472
29,361,428
29,363,428
29,376,428
30,122,590
30,123,590
30,124,590
30,130,590
30,136,590
30,160,269
30,264,472
30,269,472
30,274,472
30,279,472
30,281,472
30,344,428
30,350,428
30,362,428
31,123,590
31,206,269
31,248,472
31,290,472
31,334,428
31,346,428
31,362,428
31,363,428
32,188,269
32,273,472
32,276,472
32,282,472
32,290,472
32,293,472
32,347,428
32,348,428
32,349,428
32,350,428
33,177,269
33,273,472
33,274,472
33,275,472
33,276,472
33,293,472
33,347,428
33,350,428
33,366,428
33,387,428
34,196,269
34,274,472
34,349,428
34,350,428
35,183,269
35,184,269
35,186,269
35,188,269
35,247,472
35,253,472
35,337,428
35,348,428
36,132,590
36,186,269
36,229,269
36,230,472
36,306,472
36,326,428
36,332,428
36,334,428
36,335,428
36,340,428
36,349,428
36,358,428
36,374,428
37,131,590
37,188,269
37,326,428
37,351,428
37,352,428
37,353,428
37,354,428
37,363,428
37,364,428
37,374,428
38,127,590
38,218,269
38,229,269
38,277,472
38,333,428
38,337,428
38,338,428
38,339,428
38,345,428
38,347,428
38,350,428
38,351,428
38,352,428
38,353,428
38,354,428
38,358,428
38,374,428
39,222,269
39,233,472
39,299,472
39,313,472
39,326,428
39,336,428
39,348,428
39,349,428
39,353,428
39,354,428
39,356,428
39,372,428
39,373,428
40,157,269
40,187,269
40,233,472
40,239,472
40,248,472
40,283,472
40,284,472
40,322,428
40,327,428
40,331,428
40,341,428
40,352,428
40,369,428
40,373,428
40,419,428
41,126,590
41,156,590
41,158,269
41,232,472
41,233,472
41,317,428
41,321,428
41,325,428
41,341,428
41,352,428
41,356,428
41,368,428
41,369,428
42,157,269
42,162,269
42,233,472
42,234,472
42,255,472
42,318,428
42,351,428
43,176,269
43,238,472
43,334,428
43,339,428
43,351,428
44,158,269
44,160,269
44,166,269
44,213,269
44,287,472
44,318,428
44,332,428
44,333,428
44,344,428
44,354,428
44,364,428
44,371,428
45,147,590
