"y","x","cluster_id"
1,69,31
1,78,31
3,61,31
3,78,31
4,63,31
5,55,31
5,67,31
6,51,31
6,82,31
6,88,31
7,54,31
7,61,31
7,65,31
8,54,31
8,65,31
9,49,31
9,50,31
9,61,31
9,62,31
9,84,31
10,49,31
10,50,31
10,61,31
12,64,31
12,65,31
14,38,110
14,90,171
15,38,110
15,39,110
15,40,110
15,63,31
16,40,110
16,64,31
16,87,31
16,90,171
16,91,171
17,30,110
17,32,110
17,33,110
17,45,110
17,48,31
17,51,31
17,54,31
17,66,31
18,55,31
19,48,31
19,51,31
19,55,31
19,67,31
19,68,31
20,54,31
20,55,31
20,56,31
20,58,31
20,68,31
21,23,110
21,54,31
21,55,31
21,56,31
21,91,171
22,23,110
22,55,31
22,71,31
22,91,171
23,29,110
23,36,110
23,44,110
23,89,171
23,100,171
24,35,110
24,44,110
24,100,171
24,101,171
24,103,171
25,22,110
25,23,110
25,26,110
25,35,110
25,37,110
25,77,31
25,93,171
25,100,171
25,101,171
25,102,171
25,103,171
26,19,110
26,25,110
26,26,110
26,27,110
26,28,110
26,37,110
26,57,31
26,97,171
26,101,171
26,102,171
26,103,171
26,104,171
27,25,110
27,26,110
27,27,110
27,28,110
27,36,110
27,37,110
27,82,171
27,97,171
27,98,171
27,100,171
27,103,171
28,26,110
28,31,110
28,35,110
28,37,110
28,60,31
28,101,171
29,23,110
29,27,110
29,34,110
29,35,110
30,24,110
30,29,110
30,36,110
30,61,195
30,78,195
30,106,171
31,50,195
31,60,195
31,79,195
31,87,171
31,103,171
32,45,110
32,59,195
32,73,195
32,79,195
32,87,171
32,88,171
32,108,171
33,63,195
33,70,195
33,71,195
33,72,195
33,73,195
33,78,195
33,85,171
33,87,171
33,88,171
33,102,171
33,108,171
34,63,195
34,102,171
34,103,171
34,104,171
34,110,171
35,46,110
35,75,195
36,45,110
36,47,110
36,54,195
36,63,195
36,75,195
36,76,195
37,49,195
37,63,195
37,75,195
37,76,195
37,78,195
38,51,195
38,55,195
38,64,195
38,75,195
38,88,171
38,100,171
38,101,171
39,22,110
39,23,110
39,24,110
39,25,110
39,43,110
39,45,110
39,50,195
39,52,195
40,51,195
40,52,195
40,53,195
40,99,171
40,100,171
40,101,171
41,47,195
41,55,195
41,66,195
41,88,171
41,102,171
42,56,195
42,82,195
43,54,195
43,65,195
43,66,195
43,74,195
43,84,171
44,50,195
44,52,195
44,58,195
44,64,195
44,65,195
44,84,171
45,64,195
45,65,195
45,70,195
45,84,171
45,91,171
45,108,171
45,109,171
46,5,303
46,65,195
46,85,171
46,101,171
46,108,171
46,109,171
47,4,303
47,14,303
47,46,195
47,64,195
47,68,195
47,85,171
47,86,171
48,4,303
