"y","x","cluster_id"
20,25,102
21,22,102
21,25,102
21,26,102
21,28,102
22,30,102
22,33,102
23,25,102
23,27,102
23,28,102
23,30,102
23,31,102
24,24,102
24,25,102
24,26,102
24,27,102
24,28,102
24,31,102
24,32,102
24,35,102
25,24,102
25,25,102
25,26,102
25,27,102
25,29,102
25,42,102
25,43,102
25,44,102
25,46,102
25,47,102
25,48,102
26,22,102
26,30,102
26,36,102
26,43,102
26,46,102
26,47,102
26,48,102
26,49,102
26,50,102
26,51,102
27,21,102
27,22,102
27,23,102
27,30,102
27,34,102
27,36,102
27,43,102
27,48,102
27,49,102
27,50,102
27,51,102
27,52,102
28,21,102
28,22,102
28,24,102
28,27,102
28,29,102
28,31,102
28,39,102
28,41,102
28,42,102
28,46,102
28,47,102
28,52,102
28,54,102
29,20,102
29,21,102
29,22,102
29,29,102
29,38,102
29,41,102
29,42,102
29,48,102
29,53,102
29,54,102
29,55,102
30,20,102
30,21,102
30,22,102
30,41,102
30,42,102
30,43,102
30,48,102
30,56,102
31,21,102
31,22,102
31,26,102
31,40,102
31,41,102
31,42,102
31,55,102
31,56,102
32,21,102
32,41,102
32,42,102
32,53,102
32,55,102
32,56,102
33,19,102
33,41,102
33,42,102
33,54,102
34,48,102
34,54,102
34,56,102
34,59,102
35,35,102
35,41,102
35,56,102
35,60,102
35,61,102
35,63,102
35,64,102
36,47,102
36,59,102
36,60,102
36,63,102
36,64,102
36,66,102
37,19,102
37,32,102
37,53,102
37,56,102
37,63,102
37,66,102
37,67,102
38,53,102
38,55,102
38,66,102
38,67,102
38,68,102
38,69,102
39,22,102
39,38,102
39,41,102
39,48,102
39,52,102
39,53,102
39,65,102
39,66,102
39,67,102
39,71,102
40,19,102
40,49,102
40,52,102
40,65,102
40,66,102
40,67,102
40,68,102
40,74,597
41,32,102
41,42,102
41,47,102
41,59,102
41,65,102
41,74,597
42,51,102
42,63,102
42,64,102
42,65,102
42,70,597
42,71,597
42,74,597
43,30,102
43,51,102
43,63,102
43,64,102
43,76,597
44,30,102
44,31,102
44,45,102
44,60,102
44,63,102
44,64,102
44,73,597
44,76,597
45,45,102
45,63,102
45,64,102
45,81,597
46,48,102
46,51,102
46,70,597
47,31,102
47,37,102
47,38,102
47,85,597
48,22,102
48,53,102
48,64,597
48,70,597
48,85,597
48,86,597
49,41,102
49,49,102
49,53,102
49,54,102
49,62,597
49,63,597
49,85,597
50,21,102
50,27,102
50,38,102
50,61,597
50,85,597
50,89,597
51,21,102
51,44,102
51,45,102
51,46,102
51,52,102
51,58,102
51,69,597
51,84,597
51,87,597
52,28,102
52,52,102
52,68,597
52,82,597
52,84,597
52,85,597
52,91,597
53,20,102
53,21,102
53,44,691
53,54,691
53,55,691
53,65,597
53,68,597
53,91,597
54,45,691
54,46,691
54,49,691
54,53,691
54,54,691
54,55,691
54,56,691
54,65,597
54,66,597
54,67,597
54,68,597
54,76,597
54,86,597
54,92,597
55,53,691
55,65,597
55,67,597
55,68,597
55,73,597
55,87,597
55,90,597
55,91,597
55,92,597
56,37,691
56,43,691
56,57,691
56,66,597
56,69,597
56,89,597
56,90,597
57,52,691
57,53,691
57,88,597
57,89,597
57,92,597
57,93,597
57,95,597
58,24,691
58,35,691
58,47,691
58,49,691
58,52,691
58,53,691
58,55,691
58,68,597
58,84,597
58,87,597
58,88,597
58,90,597
58,93,597
58,94,597
58,102,597
59,29,691
59,47,691
59,49,691
59,53,691
59,69,597
59,70,597
59,72,597
59,85,597
59,86,597
59,87,597
59,99,597
60,26,691
60,41,691
60,47,691
60,48,691
60,50,691
60,53,691
60,65,597
60,68,597
60,69,597
60,70,597
60,83,597
60,84,597
60,85,597
60,86,597
60,87,597
60,94,597
61,28,691
61,42,691
61,45,691
61,46,691
61,47,691
61,48,691
61,49,691
61,50,691
61,51,691
61,53,691
61,57,691
61,61,597
61,64,597
61,66,597
61,67,597
61,68,597
