"y","x","cluster_id"
12,51,23
16,51,23
17,63,23
20,48,23
22,46,23
23,46,23
23,62,23
32,59,23
33,64,23
34,57,23
34,359,33
35,59,23
36,59,23
36,363,33
37,59,23
37,362,33
40,360,33
41,70,23
41,360,33
41,376,33
42,70,23
45,61,23
45,71,23
45,392,33
49,83,23
50,39,23
53,375,33
54,374,33
55,369,33
55,371,33
55,372,33
55,374,33
56,372,33
56,374,33
58,39,23
60,92,23
62,359,33
68,105,23
68,106,23
69,402,33
77,104,23
77,354,33
78,50,23
78,353,33
80,105,23
85,79,23
88,417,33
90,117,23
95,350,33
96,361,33
100,358,33
103,135,218
111,128,218
112,405,33
131,150,218
131,151,218
134,455,308
135,164,218
137,162,218
139,27,201
139,28,201
139,37,201
139,40,201
139,50,201
139,137,218
139,138,218
139,468,308
140,25,201
140,26,201
140,27,201
140,28,201
140,29,201
140,30,201
140,31,201
140,38,201
140,39,201
140,138,218
140,459,308
141,24,201
141,25,201
141,26,201
141,27,201
141,28,201
141,29,201
141,136,218
141,137,218
141,138,218
141,139,218
142,27,201
142,28,201
142,29,201
142,30,201
142,138,218
142,139,218
142,140,218
142,144,218
143,29,201
143,30,201
143,31,201
143,134,218
143,135,218
143,136,218
143,139,218
143,461,308
144,24,201
144,25,201
144,27,201
144,31,201
144,135,218
144,143,218
145,26,201
145,33,201
145,135,218
146,25,201
146,33,201
146,44,201
146,46,201
146,168,218
147,46,201
147,47,201
147,140,218
147,141,218
148,29,201
148,39,201
148,44,201
148,47,201
149,33,201
149,40,201
149,50,201
150,25,201
150,26,201
150,213,218
151,23,201
151,24,201
151,213,218
152,23,201
152,24,201
152,53,201
152,179,218
153,23,201
153,24,201
153,26,201
153,27,201
153,213,218
154,53,201
154,54,201
155,48,201
155,54,201
155,55,201
156,55,201
157,48,201
157,54,201
157,347,220
159,53,201
159,336,220
159,337,220
159,338,220
159,339,220
159,340,220
159,341,220
159,349,220
159,350,220
159,351,220
159,361,220
160,61,201
160,144,218
160,336,220
160,337,220
160,338,220
160,339,220
160,340,220
160,349,220
160,350,220
161,335,220
161,338,220
161,339,220
161,340,220
161,342,220
161,357,220
161,450,308
161,458,308
162,54,201
162,169,218
162,170,218
162,342,220
162,448,308
163,168,218
163,169,218
163,170,218
163,342,220
163,343,220
163,448,308
163,449,308
163,456,308
164,166,218
164,167,218
164,169,218
164,170,218
164,448,308
164,449,308
165,53,201
165,166,218
165,167,218
165,335,220
165,337,220
165,344,220
165,360,220
165,445,308
165,446,308
165,454,308
166,166,218
166,341,220
166,352,220
166,354,220
166,357,220
166,453,308
167,155,218
167,156,218
167,164,218
167,346,220
167,357,220
167,358,220
167,365,220
168,163,218
168,184,218
168,336,220
168,452,308
169,72,201
169,162,218
169,169,218
169,170,218
169,171,218
169,336,220
169,337,220
169,357,220
169,358,220
169,361,220
169,364,220
169,365,220
170,162,218
170,163,218
170,172,218
170,334,220
170,335,220
170,336,220
170,338,220
170,339,220
170,365,220
171,162,218
171,163,218
171,164,218
171,165,218
171,170,218
171,172,218
171,335,220
171,338,220
171,450,308
172,164,218
172,165,218
172,168,218
172,169,218
172,335,220
172,450,308
173,163,218
173,168,218
173,169,218
173,335,220
173,365,220
174,163,218
174,170,218
174,172,218
174,173,218
174,365,220
174,366,220
174,451,308
175,169,218
175,170,218
175,171,218
175,172,218
175,173,218
175,365,220
175,366,220
176,170,218
176,171,218
176,172,218
176,360,220
176,499,308
177,170,218
177,171,218
177,172,218
177,173,218
177,359,220
179,493,308
180,498,308
182,102,201
184,108,218
184,339,220
185,480,308
186,460,308
187,476,308
187,478,308
187,479,308
187,480,308
188,475,308
188,476,308
188,477,308
188,478,308
189,465,308
189,475,308
191,472,308
192,472,308
192,479,308
192,480,308
193,115,218
193,472,308
193,478,308
193,479,308
193,480,308
193,481,308
194,50,201
194,64,201
194,470,308
194,472,308
194,479,308
194,480,308
194,481,308
195,477,308
195,478,308
195,479,308
196,124,218
196,125,218
196,478,308
196,479,308
197,68,201
197,478,308
197,479,308
197,480,308
197,481,308
197,482,308
198,478,308
198,479,308
198,480,308
198,481,308
199,478,308
199,479,308
199,480,308
199,481,308
200,478,308
200,479,308
200,480,308
202,490,308
204,390,220
205,72,201
211,71,201
212,148,218
212,422,308
214,48,201
214,65,201
214,124,218
215,69,201
215,141,218
215,422,308
216,373,220
217,373,220
218,126,218
218,362,220
218,383,220
221,86,201
222,145,218
223,145,218
224,83,201
224,121,218
224,122,218
227,47,201
227,75,201
227,89,201
228,86,201
228,88,201
230,87,201
230,90,201
230,91,201
231,90,201
231,414,308
232,83,201
233,83,201
235,413,308
242,431,308
243,428,308
244,453,308
245,429,308
246,428,308
254,397,308
263,389,220
