"y","x","cluster_id"
11,29,75
11,31,75
12,28,75
12,29,75
12,30,75
12,31,75
12,37,75
12,39,75
12,40,132
13,28,75
13,29,75
13,30,75
13,31,75
13,36,75
13,37,75
13,40,132
13,42,132
13,47,132
14,27,75
14,28,75
14,30,75
14,34,75
14,36,75
14,40,132
14,42,132
14,47,132
15,27,75
15,28,75
15,31,75
15,32,75
15,39,132
15,41,132
15,42,132
15,44,132
15,46,132
15,49,132
16,28,75
16,32,75
16,41,132
16,43,132
16,44,132
16,45,132
17,28,75
17,29,75
17,31,75
17,32,75
17,33,75
17,34,75
17,35,75
17,36,75
17,40,132
17,41,132
17,42,132
17,43,132
17,49,132
18,31,75
18,32,75
18,33,75
18,34,75
18,36,75
18,37,75
18,38,132
18,40,132
18,41,132
18,42,132
18,43,132
18,45,132
18,46,132
18,47,132
18,48,132
18,49,132
18,50,132
19,26,75
19,27,75
19,30,75
19,31,75
19,32,75
19,34,75
19,36,75
19,37,75
19,40,132
19,41,132
19,42,132
19,44,132
19,46,132
19,47,132
19,50,132
19,51,132
19,52,132
20,26,75
20,27,75
20,28,75
20,30,75
20,35,75
20,40,132
20,41,132
20,44,132
20,45,132
20,46,132
20,47,132
20,48,132
21,25,75
21,26,75
21,28,75
21,29,75
21,40,132
21,41,132
21,44,132
21,45,132
21,47,132
21,48,132
21,51,132
22,25,75
22,26,75
22,27,75
22,28,75
22,29,75
22,38,132
22,39,132
22,40,132
22,41,132
22,50,132
22,51,132
23,25,75
23,26,75
23,27,75
23,28,75
23,29,75
23,38,132
23,41,132
23,43,132
23,44,132
23,45,132
23,46,132
23,47,132
23,48,132
23,50,132
23,51,132
24,26,75
24,27,75
24,28,75
24,29,75
24,37,132
24,38,132
24,44,132
24,45,132
24,47,132
24,48,132
24,49,132
25,25,75
25,26,75
25,27,75
25,28,75
25,29,75
25,37,132
25,38,132
25,43,132
25,47,132
25,48,132
25,49,132
26,25,75
26,27,75
26,28,75
26,29,75
26,37,132
26,38,132
26,43,132
26,46,132
26,47,132
26,49,132
26,51,132
27,25,322
27,26,75
27,28,75
27,29,75
27,37,132
27,38,132
27,41,132
27,42,132
27,43,132
27,44,132
27,45,132
27,50,132
27,51,132
28,16,322
28,17,322
28,25,322
28,26,322
28,27,322
28,28,322
28,29,75
28,39,132
28,43,132
28,45,132
28,46,132
28,49,132
29,16,322
29,24,322
29,26,322
29,27,322
29,28,322
29,29,322
29,41,132
29,42,132
29,43,132
29,46,132
29,47,132
29,48,132
30,14,322
30,15,322
30,16,322
30,23,322
30,24,322
30,25,322
30,26,322
30,27,322
30,38,132
30,39,132
30,40,132
30,43,132
30,50,132
31,15,322
31,16,322
31,17,322
31,18,322
31,19,322
31,20,322
31,22,322
31,23,322
31,24,322
31,25,322
31,26,322
31,36,132
31,37,132
31,38,132
31,39,132
31,42,132
31,44,132
31,45,132
31,48,132
31,49,132
31,63,513
31,65,513
31,66,513
32,18,322
32,19,322
32,20,322
32,21,322
32,22,322
32,23,322
32,24,322
32,25,322
32,37,132
32,38,132
