"y","x","cluster_id"
7,71,150
8,73,150
9,68,150
9,72,150
10,69,150
10,72,150
11,593,196
11,594,196
12,594,196
13,593,196
13,595,196
19,580,196
19,581,196
20,580,196
20,582,196
21,65,150
21,66,150
22,580,196
23,64,150
23,65,150
23,572,196
24,65,150
27,57,150
31,571,196
33,573,196
35,564,196
37,561,196
38,561,196
38,571,196
39,556,196
39,562,196
39,565,196
40,557,196
40,561,196
41,556,196
41,561,196
42,60,150
42,551,196
43,52,150
43,53,150
43,562,196
44,37,150
44,52,150
44,56,150
45,51,150
46,47,150
46,559,196
47,46,150
47,559,196
47,560,196
48,48,150
48,550,196
48,552,196
49,48,150
49,54,150
49,55,150
49,552,196
50,553,196
51,47,150
52,45,150
52,47,150
52,552,196
52,563,196
53,52,150
53,546,196
53,547,196
53,548,196
54,51,150
54,549,196
56,43,150
57,544,196
58,42,150
58,43,150
58,540,196
58,550,196
59,42,150
59,43,150
59,540,196
59,543,196
59,549,196
60,43,150
61,36,150
61,40,150
61,42,150
62,38,150
62,39,150
62,136,150
63,38,150
63,134,150
65,135,150
65,553,196
66,127,150
66,133,150
66,134,150
66,547,196
66,551,196
66,552,196
66,553,196
66,554,196
67,36,150
67,42,150
67,49,150
67,129,150
67,553,196
68,35,150
68,552,196
68,553,196
69,37,150
69,541,196
69,549,196
69,552,196
70,37,150
72,46,150
72,47,150
73,45,150
73,47,150
73,48,150
73,128,150
73,133,150
74,39,150
74,47,150
74,132,150
74,133,150
75,37,150
76,47,150
76,131,150
77,130,150
78,38,150
79,134,150
82,638,196
83,120,150
84,647,196
84,653,196
85,127,150
85,650,196
86,643,196
86,645,196
87,116,150
87,644,196
87,646,196
88,644,196
89,113,150
89,121,150
91,112,150
91,113,150
91,114,150
91,115,150
91,116,150
91,637,196
92,111,150
92,112,150
92,113,150
92,114,150
92,115,150
92,116,150
92,120,150
92,636,196
93,111,150
93,112,150
93,113,150
93,114,150
93,115,150
93,634,196
94,113,150
94,114,150
94,115,150
94,116,150
94,621,196
95,110,150
95,115,150
96,108,150
98,615,196
98,632,196
99,619,196
100,116,150
101,116,150
101,611,196
101,612,196
101,613,196
101,614,196
102,609,196
102,610,196
102,611,196
102,612,196
102,613,196
102,614,196
103,610,196
103,611,196
103,612,196
103,613,196
103,614,196
103,615,196
104,612,196
104,613,196
104,614,196
105,603,196
105,612,196
105,613,196
105,614,196
106,613,196
108,106,150
112,107,150
112,114,150
112,611,196
112,612,196
112,613,196
114,114,150
119,102,150
120,99,150
120,100,150
120,102,150
120,103,150
120,105,150
121,102,150
121,109,150
121,110,150
122,99,150
122,102,150
122,110,150
123,110,150
124,605,196
134,617,196
135,617,196
136,615,196
139,610,196
139,611,196
140,610,196
140,611,196
140,615,196
141,610,196
141,613,196
142,609,196
143,617,196
