"y","x","cluster_id"
17,161,451
18,116,472
18,161,451
18,165,451
19,152,451
19,161,451
19,162,451
19,163,451
19,165,451
20,109,446
20,161,451
20,166,451
21,104,446
21,105,446
21,112,446
21,122,472
21,135,472
21,166,451
22,110,446
22,112,446
22,113,472
22,132,472
22,154,451
22,165,451
22,166,451
22,168,451
22,169,451
23,106,446
23,113,472
23,114,472
23,115,472
23,116,472
23,117,472
23,167,451
24,99,446
24,101,446
24,115,472
24,116,472
24,117,472
24,168,451
24,171,451
25,96,446
25,100,446
25,101,446
25,107,446
25,113,472
25,130,472
25,165,451
25,166,451
25,167,451
25,171,451
26,97,446
26,100,446
26,101,446
26,105,446
26,108,446
26,109,446
26,110,446
26,112,446
26,116,472
26,164,451
26,165,451
26,166,451
26,173,451
26,174,451
27,96,446
27,103,446
27,104,446
27,110,446
27,153,451
27,170,451
27,171,451
27,173,451
27,174,451
27,175,451
27,176,451
28,96,446
28,98,446
28,105,446
28,106,446
28,108,446
28,109,446
28,118,472
28,142,472
28,147,472
28,153,451
28,169,451
28,171,451
28,172,451
28,173,451
28,174,451
28,175,451
29,94,446
29,96,446
29,97,446
29,104,446
29,105,446
29,107,446
29,108,446
29,141,472
29,171,451
29,173,451
29,174,451
29,175,451
30,103,446
30,104,446
30,107,446
30,108,446
30,109,446
30,122,472
30,141,472
30,170,451
30,171,451
30,172,451
30,173,451
30,174,451
31,99,446
31,104,446
31,105,446
31,106,446
31,109,446
31,141,472
31,168,451
31,169,451
31,170,451
31,173,451
31,174,451
31,187,451
31,188,451
31,189,451
31,204,441
31,205,441
32,102,446
32,114,472
32,170,451
32,175,451
32,204,441
32,205,441
32,206,441
33,127,472
33,167,451
33,175,451
33,194,441
33,203,441
33,204,441
33,205,441
33,206,441
33,207,441
34,107,446
34,119,472
34,127,472
34,175,451
34,178,451
34,202,441
34,203,441
34,204,441
34,205,441
34,206,441
34,209,441
34,210,441
34,212,441
34,213,441
34,215,441
34,216,441
34,217,441
34,218,441
35,93,446
35,94,446
35,95,446
35,104,446
35,125,472
35,143,472
35,148,472
35,149,472
35,161,451
35,176,451
35,194,441
35,196,441
35,203,441
35,204,441
35,205,441
35,206,441
35,209,441
35,210,441
35,211,441
35,215,441
35,220,441
36,90,446
36,91,446
36,92,446
36,93,446
36,94,446
36,95,446
36,96,446
36,100,446
36,101,446
36,103,446
36,128,472
36,140,472
36,149,472
36,177,451
36,193,441
36,194,441
36,201,441
36,203,441
36,204,441
36,205,441
36,206,441
36,207,441
36,209,441
36,210,441
36,211,441
36,215,441
36,216,441
36,219,441
37,91,446
37,92,446
37,93,446
37,94,446
37,95,446
37,100,446
37,101,446
37,102,446
37,103,446
37,117,472
37,119,472
37,126,472
37,144,472
37,147,472
37,176,451
37,187,451
37,196,441
37,201,441
37,202,441
37,203,441
37,204,441
37,205,441
37,206,441
37,207,441
37,208,441
37,209,441
37,210,441
37,211,441
37,213,441
37,217,441
37,218,441
38,97,446
38,98,446
38,101,446
38,102,446
38,103,446
38,115,472
38,116,472
38,133,472
38,140,472
38,177,451
38,201,441
38,202,441
38,203,441
38,204,441
38,205,441
38,206,441
38,207,441
38,208,441
38,209,441
38,212,441
38,216,441
38,217,441
38,218,441
39,89,446
39,103,446
39,105,446
39,125,472
39,177,451
39,194,441
39,201,441
39,202,441
39,203,441
39,204,441
39,205,441
39,206,441
39,207,441
39,208,441
39,209,441
39,210,441
39,211,441
39,212,441
39,213,441
40,91,446
40,92,446
40,93,446
40,94,446
40,95,446
40,96,446
40,168,451
40,194,441
40,196,441
40,202,441
40,203,441
40,204,441
40,205,441
40,206,441
40,207,441
40,209,441
40,210,441
40,211,441
40,212,441
40,213,441
40,217,441
41,91,446
41,92,446
41,99,446
41,127,472
41,130,472
41,135,472
41,152,451
41,162,451
41,166,451
41,169,451
41,175,451
41,181,451
41,202,441
41,203,441
41,204,441
41,205,441
41,206,441
41,207,441
41,208,441
41,209,441
41,210,441
41,211,441
41,212,441
41,213,441
42,82,446
42,93,446
42,96,446
42,98,446
42,99,446
42,100,446
42,130,472
42,141,472
42,173,451
42,182,451
42,201,441
42,202,441
42,203,441
42,204,441
42,205,441
42,206,441
42,207,441
42,208,441
42,209,441
42,210,441
42,211,441
42,212,441
42,214,441
42,221,441
43,94,446
43,95,446
43,96,446
43,97,446
43,98,446
43,99,446
43,100,446
43,116,472
43,123,472
43,125,472
43,128,472
43,177,451
43,178,451
43,179,451
43,180,451
43,182,451
43,186,451
43,201,441
43,202,441
43,203,441
43,204,441
43,205,441
43,206,441
43,207,441
43,208,441
43,209,441
43,210,441
43,211,441
43,212,441
44,93,446
44,96,446
44,98,446
44,99,446
44,100,446
44,119,472
44,124,472
44,125,472
44,127,472
44,140,472
44,145,472
44,178,451
44,182,451
44,193,441
44,199,441
44,200,441
44,202,441
44,203,441
44,204,441
44,205,441
44,206,441
44,207,441
44,208,441
44,209,441
44,210,441
44,211,441
44,213,441
44,214,441
45,97,446
45,117,472
45,129,472
45,178,451
45,183,451
45,200,441
45,205,441
45,206,441
45,207,441
45,208,441
45,209,441
45,210,441
45,211,441
45,212,441
45,213,441
45,220,441
45,221,441
46,120,472
46,135,472
46,138,472
46,143,472
46,180,451
46,190,441
46,193,441
46,194,441
46,204,441
46,207,441
46,213,441
47,79,446
47,80,446
47,81,446
47,94,446
47,129,472
47,130,472
47,141,472
47,143,472
47,172,451
47,176,451
47,177,451
47,178,451
47,180,451
47,199,441
47,204,441
47,206,441
47,207,441
47,208,441
47,209,441
47,212,441
47,213,441
47,214,441
48,79,446
48,80,446
48,99,446
48,100,446
48,102,446
48,103,446
48,125,472
48,129,472
48,131,472
48,140,472
48,143,472
48,144,472
48,169,451
48,172,451
48,174,451
48,175,451
48,185,451
48,188,451
48,192,441
48,196,441
48,207,441
48,212,441
48,213,441
48,214,441
48,215,441
48,216,441
48,217,441
48,220,441
49,79,446
49,80,446
49,83,446
49,88,446
49,91,446
49,103,446
49,106,446
49,129,472
49,144,472
49,147,472
49,175,451
49,176,451
49,185,451
49,197,441
49,208,441
49,213,441
50,78,446
50,79,446
50,80,446
50,83,446
50,92,446
50,101,446
50,107,446
50,111,446
50,112,472
50,113,472
50,114,472
50,136,472
50,137,472
50,138,472
50,139,472
50,142,472
50,144,472
50,169,451
50,170,451
50,179,451
50,183,451
50,198,441
50,204,441
50,215,441
51,78,446
51,79,446
51,80,446
51,81,446
51,82,446
51,83,446
51,84,446
51,85,446
51,106,446
51,107,446
51,112,472
51,113,472
51,115,472
51,135,472
51,136,472
51,137,472
51,144,472
