"y","x","cluster_id"
1,179,316
1,181,316
1,182,316
1,183,316
1,184,316
1,185,316
1,187,316
1,189,316
1,190,316
1,191,316
1,192,316
1,193,316
1,194,316
1,195,316
1,196,316
1,197,316
1,198,316
1,199,316
1,200,316
1,201,316
1,202,316
1,204,316
1,205,316
1,207,316
1,208,316
1,217,316
1,220,316
1,308,1249
2,178,316
2,179,316
2,180,316
2,181,316
2,182,316
2,183,316
2,184,316
2,185,316
2,186,316
2,187,316
2,188,316
2,189,316
2,190,316
2,191,316
2,192,316
2,193,316
2,194,316
2,195,316
2,196,316
2,197,316
2,198,316
2,199,316
2,200,316
2,201,316
2,202,316
2,203,316
2,204,316
2,205,316
2,206,316
2,207,316
2,208,316
2,209,316
2,210,316
2,211,316
2,212,316
2,228,316
3,177,316
3,178,316
3,179,316
3,180,316
3,181,316
3,182,316
3,183,316
3,184,316
3,186,316
3,187,316
3,188,316
3,189,316
3,190,316
3,191,316
3,192,316
3,193,316
3,194,316
3,195,316
3,196,316
3,197,316
3,198,316
3,199,316
3,200,316
3,201,316
3,202,316
3,203,316
3,204,316
3,206,316
3,207,316
3,208,316
3,209,316
3,210,316
3,211,316
3,214,316
3,221,316
3,229,316
3,230,316
3,245,316
4,178,316
4,179,316
4,180,316
4,181,316
4,182,316
4,183,316
4,184,316
4,185,316
4,186,316
4,187,316
4,188,316
4,189,316
4,190,316
4,191,316
4,192,316
4,193,316
4,194,316
4,195,316
4,196,316
4,197,316
4,198,316
4,199,316
4,200,316
4,201,316
4,202,316
4,203,316
4,205,316
4,206,316
4,207,316
4,208,316
4,209,316
4,210,316
4,211,316
4,212,316
4,213,316
4,214,316
4,215,316
4,216,316
4,228,316
4,229,316
4,237,316
4,239,316
4,243,316
4,245,316
4,246,316
5,176,316
5,177,316
5,178,316
5,179,316
5,182,316
5,183,316
5,184,316
5,186,316
5,187,316
5,202,316
5,205,316
5,209,316
5,210,316
5,211,316
5,216,316
5,217,316
5,219,316
5,223,316
5,228,316
5,231,316
5,234,316
5,235,316
5,253,890
5,255,890
5,258,890
5,263,890
6,176,316
6,177,316
6,181,316
6,182,316
6,183,316
6,184,316
6,185,316
6,186,316
6,210,316
6,211,316
6,218,316
6,223,316
6,230,316
6,231,316
6,253,890
6,254,890
6,255,890
6,258,890
6,260,890
6,261,890
6,262,890
6,265,890
6,298,1249
7,176,316
7,178,316
7,179,316
7,182,316
7,183,316
7,184,316
7,186,316
7,211,316
7,217,316
7,224,316
7,225,316
7,227,316
7,245,890
7,258,890
7,264,890
7,265,890
8,177,316
8,178,316
8,210,316
8,211,316
8,213,316
8,214,316
8,215,316
8,217,316
8,220,316
8,224,316
8,225,316
8,231,316
8,232,316
8,241,316
8,245,890
8,246,890
8,248,890
8,253,890
8,258,890
8,264,890
8,265,890
8,266,890
9,175,316
9,176,316
9,180,316
9,181,316
9,182,316
9,190,316
9,191,316
9,199,316
9,205,316
9,206,316
9,211,316
9,213,316
9,214,316
9,215,316
9,216,316
9,217,316
9,218,316
9,219,316
9,220,316
9,221,316
9,226,316
9,227,316
9,228,316
9,230,316
9,231,316
9,232,316
9,233,316
9,235,316
9,238,316
9,239,316
9,242,316
9,245,890
9,251,890
9,252,890
9,257,890
9,259,890
9,261,890
9,262,890
9,266,890
10,177,316
10,180,316
10,181,316
10,213,316
10,214,316
10,215,316
10,216,316
10,217,316
10,218,316
10,219,316
10,220,316
10,221,316
10,222,316
10,223,316
10,224,316
10,226,316
10,227,316
10,228,316
10,229,316
10,230,316
10,233,316
10,234,316
10,235,316
10,236,316
10,237,316
10,238,316
10,241,316
10,250,890
10,251,890
10,254,890
10,255,890
10,256,890
10,257,890
10,258,890
10,259,890
10,260,890
10,261,890
10,262,890
10,263,890
11,175,316
11,177,316
11,179,316
11,213,316
11,214,316
11,215,316
11,216,316
11,217,316
11,218,316
11,219,316
11,220,316
11,221,316
11,222,316
11,223,316
11,224,316
11,225,316
11,226,316
11,237,316
11,238,316
11,239,316
11,240,316
11,241,890
11,250,890
11,251,890
11,253,890
11,257,890
11,258,890
11,259,890
11,260,890
11,261,890
11,262,890
11,263,890
11,264,890
11,265,890
12,175,316
12,215,316
12,216,316
12,217,316
12,218,316
12,223,316
12,224,316
12,226,316
12,228,316
12,229,316
12,230,316
12,231,316
12,232,316
12,233,316
12,234,316
12,235,316
12,236,316
12,237,316
12,238,316
12,239,316
12,240,890
12,241,890
12,251,890
12,253,890
12,254,890
12,258,890
12,259,890
12,260,890
12,262,890
12,263,890
12,264,890
12,266,890
13,174,316
13,213,316
13,215,316
13,220,316
13,221,316
13,225,316
13,226,316
13,227,316
13,228,316
13,230,316
13,231,316
13,240,890
13,259,890
13,263,890
13,265,890
14,174,316
14,183,316
14,184,316
14,216,316
14,218,316
14,220,316
14,221,316
14,222,316
14,242,890
15,184,316
15,216,316
15,217,316
15,218,316
15,237,316
15,238,890
15,239,890
15,240,890
15,283,890
16,175,316
16,183,316
16,215,316
16,216,316
16,217,316
16,219,316
16,224,316
16,236,316
16,237,890
16,238,890
16,239,890
16,268,890
16,272,890
17,184,316
17,215,316
17,216,316
17,217,316
17,218,316
17,219,316
17,237,890
17,238,890
17,240,890
17,241,890
17,270,890
18,218,316
18,238,890
18,239,890
18,240,890
18,241,890
18,256,890
18,270,890
18,271,890
19,213,316
19,238,890
19,240,890
19,241,890
19,271,890
19,272,890
19,274,890
20,238,890
20,239,890
20,240,890
20,241,890
21,216,316
21,239,890
21,240,890
21,241,890
21,242,890
21,246,890
21,273,890
21,275,890
21,276,890
22,215,316
22,216,316
22,241,890
22,242,890
22,247,890
22,276,890
22,297,1249
22,298,1249
22,299,1249
22,300,1249
22,301,1249
23,217,316
23,240,890
23,242,890
23,246,890
23,247,890
23,248,890
23,249,890
23,250,890
23,251,890
23,256,890
23,297,1249
23,298,1249
23,299,1249
23,300,1249
24,197,316
24,217,316
24,241,890
24,243,890
24,244,890
24,246,890
24,247,890
24,248,890
24,249,890
24,250,890
24,251,890
24,252,890
24,261,890
24,274,890
24,298,1249
24,299,1249
25,197,316
25,206,316
25,215,316
25,218,316
25,241,890
25,242,890
25,243,890
25,244,890
25,245,890
25,246,890
25,247,890
25,248,890
25,249,890
25,250,890
25,251,890
25,252,890
25,253,890
25,263,890
25,264,890
26,215,316
26,216,316
26,218,316
26,227,316
26,241,890
26,242,890
26,243,890
26,244,890
26,245,890
26,246,890
26,247,890
26,248,890
26,249,890
26,250,890
26,251,890
26,252,890
26,253,890
26,260,890
26,262,890
26,263,890
26,286,1249
26,305,1249
26,325,1249
27,215,316
27,217,316
27,219,316
27,241,890
27,242,890
27,243,890
27,244,890
27,245,890
27,246,890
27,247,890
27,248,890
27,249,890
27,250,890
27,251,890
27,252,890
27,253,890
27,288,1249
27,305,1249
28,165,1746
28,218,316
28,219,316
28,220,316
28,240,890
28,241,890
28,243,890
28,244,890
28,245,890
28,246,890
28,247,890
28,248,890
28,249,890
28,250,890
28,251,890
28,252,890
28,253,890
28,288,1249
29,164,1746
29,169,1746
29,196,316
29,218,316
29,219,316
29,220,316
29,239,890
29,240,890
29,241,890
29,242,890
29,243,890
29,244,890
29,245,890
29,246,890
29,247,890
29,248,890
29,249,890
29,250,890
29,251,890
29,252,890
29,253,890
29,288,1249
29,291,1249
29,292,1249
29,293,1249
29,295,1249
29,297,1249
29,340,1249
