"y","x","cluster_id"
46,468,630
47,348,314
49,335,314
49,340,314
49,341,314
52,308,314
52,313,314
52,317,314
52,326,314
53,302,314
53,303,314
54,254,339
55,252,339
55,276,314
56,262,314
57,255,339
57,273,314
57,293,314
57,295,314
57,302,314
58,216,339
58,221,339
58,222,339
58,223,339
60,269,314
60,281,314
61,268,314
62,312,314
62,373,314
63,198,339
63,263,314
63,273,314
64,187,339
65,70,356
65,78,356
65,323,314
66,179,339
66,234,339
66,314,314
66,490,630
67,77,356
67,78,356
67,158,356
67,319,314
68,78,356
68,167,356
68,170,356
68,184,339
68,380,314
69,201,339
69,228,339
69,310,314
69,311,314
70,80,356
70,144,356
70,148,356
70,170,356
70,186,339
70,266,314
70,317,314
70,319,314
71,143,356
71,144,356
71,168,356
71,171,339
71,193,339
71,200,339
71,209,339
71,216,339
71,305,314
72,138,356
72,148,356
72,201,339
72,235,339
72,275,314
72,334,314
73,138,356
73,145,356
73,196,339
73,215,339
73,243,339
73,318,314
74,76,356
74,130,356
74,138,356
74,145,356
74,161,356
74,240,339
74,265,314
74,285,314
74,286,314
74,328,314
74,510,630
75,68,356
75,69,356
75,130,356
75,137,356
75,165,356
75,243,339
75,288,314
75,328,314
76,65,356
76,77,356
76,126,356
76,129,356
76,151,356
76,210,339
76,284,314
76,288,314
76,493,630
76,515,630
77,108,356
77,111,356
77,112,356
77,118,356
77,126,356
77,151,356
77,162,356
77,175,339
77,184,339
77,195,339
77,225,339
77,264,314
77,295,314
77,329,314
78,79,356
78,109,356
78,116,356
78,162,356
78,166,356
78,214,339
78,310,314
78,355,314
79,120,356
79,124,356
79,292,314
79,346,314
79,503,630
80,64,356
80,116,356
80,123,356
80,148,356
80,227,339
80,303,314
80,366,314
80,477,630
81,149,356
81,164,356
81,260,314
82,94,356
82,153,356
82,161,356
82,204,339
82,205,339
82,215,339
82,216,339
82,260,314
82,305,314
82,320,314
82,324,314
82,343,314
82,515,630
83,65,356
83,93,356
83,157,356
83,158,356
83,161,356
83,263,314
83,291,314
83,343,314
83,344,314
84,108,356
84,137,356
84,152,356
84,184,339
84,186,339
84,200,339
84,214,339
84,215,339
84,261,314
84,285,314
84,290,314
84,352,314
84,494,630
85,104,356
85,148,356
85,195,339
85,201,339
85,214,339
85,216,339
85,290,314
85,295,314
85,327,314
86,94,356
86,214,339
86,218,339
86,219,339
86,221,339
86,288,314
86,289,314
86,290,314
86,291,314
86,295,314
86,296,314
86,314,314
87,151,356
87,214,339
87,216,339
87,244,339
87,254,339
87,287,314
87,288,314
87,289,314
87,290,314
87,291,314
87,292,314
87,293,314
87,294,314
87,308,314
87,490,630
87,491,630
88,128,356
88,189,339
88,191,339
88,192,339
88,202,339
88,212,339
88,214,339
88,226,339
88,244,339
88,245,339
88,287,314
88,288,314
88,289,314
88,290,314
88,291,314
88,292,314
88,293,314
88,294,314
88,309,314
88,318,314
88,339,314
88,352,314
88,353,314
88,508,630
89,70,356
89,97,356
89,174,339
89,189,339
89,197,339
89,209,339
89,256,339
89,259,314
89,260,314
89,286,314
89,287,314
89,288,314
89,289,314
89,290,314
89,291,314
89,292,314
89,293,314
89,352,314
89,487,630
90,123,356
90,170,356
90,203,339
90,221,339
90,286,314
90,287,314
90,288,314
90,289,314
90,290,314
90,291,314
90,292,314
90,293,314
90,294,314
90,320,314
90,470,630
90,510,630
91,47,1076
91,120,356
91,121,356
91,123,356
91,144,356
91,178,339
91,253,339
91,256,339
91,286,314
91,287,314
91,289,314
91,290,314
91,291,314
91,292,314
91,293,314
91,294,314
91,296,314
92,96,356
92,154,356
92,156,356
92,157,356
92,159,356
92,186,339
92,264,314
92,287,314
92,288,314
92,289,314
92,290,314
92,291,314
92,292,314
92,293,314
92,294,314
92,295,314
92,302,314
92,360,314
93,60,356
93,61,356
93,66,356
93,75,356
93,122,356
93,140,356
93,174,339
93,185,339
93,189,339
93,252,339
93,256,339
93,288,314
93,289,314
93,290,314
93,291,314
93,292,314
93,295,314
93,325,314
93,488,630
94,77,356
94,101,356
94,157,356
94,194,339
94,216,339
94,507,630
95,54,1076
95,78,356
96,71,356
96,81,356
96,109,356
96,185,339
96,193,339
96,202,339
96,217,339
96,229,339
96,275,314
96,308,314
96,326,314
96,535,630
97,80,356
97,127,356
