"y","x","cluster_id"
21,534,257
22,516,257
22,535,257
23,515,257
24,531,257
25,521,257
25,522,257
25,524,257
25,539,257
26,540,257
26,544,257
27,531,257
27,532,257
28,501,257
28,502,257
28,504,257
28,514,257
28,518,257
28,522,257
28,539,257
28,540,257
28,542,257
29,501,257
29,538,257
29,542,257
29,549,257
30,537,257
30,538,257
30,551,257
31,497,257
31,518,257
32,504,257
32,510,257
32,526,257
32,527,257
32,535,257
32,544,257
33,504,257
33,512,257
33,532,257
33,547,257
33,548,257
34,508,257
34,514,257
34,515,257
34,532,257
34,533,257
34,534,257
35,529,257
35,530,257
35,531,257
35,534,257
35,536,257
36,489,257
36,522,257
36,523,257
36,529,257
36,533,257
36,534,257
36,535,257
36,537,257
36,550,257
37,513,257
37,523,257
37,527,257
37,533,257
37,535,257
37,536,257
37,546,257
37,554,257
38,492,257
38,494,257
38,514,257
38,525,257
38,533,257
38,534,257
38,535,257
38,536,257
38,541,257
39,511,257
39,533,257
39,534,257
39,536,257
40,486,257
40,488,257
40,495,257
40,528,257
40,534,257
40,535,257
40,540,257
41,508,257
41,509,257
41,523,257
41,528,257
41,535,257
41,539,257
41,551,257
41,554,257
41,559,257
42,532,257
42,543,257
42,563,257
43,522,257
43,554,257
43,560,257
43,561,257
44,230,510
44,497,257
44,531,257
44,562,257
44,563,257
45,502,257
45,520,257
45,525,257
45,553,257
45,554,257
45,556,257
45,557,257
45,560,257
45,563,257
46,220,510
46,515,257
46,535,257
46,536,257
46,557,257
46,558,257
46,560,257
46,561,257
47,191,510
47,220,510
47,505,257
47,513,257
47,514,257
47,551,257
47,559,257
48,194,510
48,225,510
48,227,510
48,479,257
48,500,257
48,514,257
48,521,257
48,522,257
48,529,257
48,530,257
48,532,257
48,539,257
48,540,257
48,541,257
48,560,257
48,564,257
49,227,510
49,230,510
49,521,257
49,523,257
49,535,257
49,560,257
49,575,257
50,228,510
50,229,510
50,465,257
50,468,257
50,521,257
50,522,257
50,526,257
50,533,257
50,534,257
50,540,257
50,560,257
50,561,257
50,563,257
51,186,510
51,187,510
51,197,510
51,228,510
51,229,510
51,230,510
51,464,257
51,527,257
51,534,257
51,536,257
52,177,510
52,180,510
52,181,510
52,187,510
52,246,510
52,247,510
52,471,257
52,502,257
52,527,257
52,528,257
52,530,257
52,541,257
52,561,257
52,562,257
52,585,257
52,586,257
53,180,510
53,192,510
53,195,510
53,237,510
53,244,510
53,245,510
53,246,510
53,247,510
53,248,510
53,462,257
53,476,257
53,512,257
53,526,257
53,527,257
53,540,257
53,544,257
53,559,257
53,560,257
53,588,257
53,590,1616
54,177,510
54,193,510
54,195,510
54,211,510
54,243,510
54,244,510
54,245,510
54,246,510
54,247,510
54,248,510
54,507,257
54,513,257
54,514,257
54,515,257
54,528,257
54,532,257
54,541,257
54,559,257
54,562,257
54,563,257
54,565,257
54,582,257
54,586,257
55,169,510
55,193,510
55,206,510
55,210,510
55,221,510
55,244,510
55,245,510
55,246,510
55,247,510
55,252,510
55,253,510
55,254,510
55,256,510
55,257,510
55,478,257
55,508,257
55,527,257
55,531,257
55,545,257
55,558,257
55,559,257
55,560,257
55,562,257
55,565,257
56,171,510
56,173,510
56,209,510
56,475,257
56,477,257
56,531,257
56,541,257
56,565,257
57,172,510
57,173,510
57,245,510
57,469,257
57,513,257
57,528,257
57,529,257
57,542,257
57,559,257
57,582,257
57,590,1616
57,595,1616
58,162,510
58,163,510
58,168,510
58,169,510
58,172,510
58,173,510
58,174,510
58,208,510
58,213,510
58,526,257
58,529,257
58,530,257
58,537,257
58,546,257
58,559,257
58,589,1616
58,591,1616
59,161,510
59,169,510
59,170,510
59,171,510
59,172,510
59,173,510
59,174,510
59,201,510
59,219,510
59,463,257
59,511,257
59,516,257
59,526,257
59,528,257
59,529,257
59,531,257
59,535,257
59,540,257
59,543,257
59,603,1616
60,171,510
60,172,510
60,173,510
60,174,510
60,199,510
60,219,510
60,225,510
60,471,257
60,488,257
60,528,257
60,530,257
60,535,257
60,538,257
60,540,257
60,544,257
60,546,257
60,597,1616
60,604,1616
61,160,510
61,161,510
61,167,510
61,172,510
61,174,510
61,199,510
61,202,510
61,205,510
61,209,510
61,225,510
61,283,1687
61,284,1687
61,285,1687
61,305,1687
61,306,1687
61,468,257
61,531,257
61,534,257
61,545,257
61,546,257
62,155,1731
62,156,1731
62,157,510
62,161,510
62,171,510
62,172,510
62,174,510
62,201,510
62,202,510
62,206,510
62,207,510
62,209,510
62,220,510
62,301,1687
62,306,1687
62,307,1687
62,308,1687
62,309,1687
62,489,257
62,492,257
62,493,257
62,530,257
62,534,257
62,535,257
62,596,1616
62,597,1616
63,149,1731
63,155,1731
63,156,1731
63,199,510
63,206,510
63,219,510
63,220,510
63,301,1687
63,308,1687
63,309,1687
63,310,1687
63,311,1687
63,464,257
63,527,257
63,533,257
63,535,257
64,135,1731
64,136,1731
64,137,1731
64,138,1731
64,203,510
64,210,510
64,252,510
64,299,1687
64,300,1687
64,316,1687
64,465,257
64,471,257
64,528,257
64,531,257
64,532,257
64,535,257
64,537,257
64,541,257
64,629,1616
65,134,1731
65,135,1731
65,136,1731
65,201,510
65,211,510
65,232,510
65,298,1687
65,299,1687
65,529,257
65,532,257
65,536,257
65,537,257
65,557,257
65,565,257
66,137,1731
66,157,1731
66,161,510
66,198,510
66,199,510
66,202,510
66,209,510
66,210,510
66,218,510
66,312,1687
66,313,1687
66,512,257
67,131,1731
67,137,1731
67,138,1731
67,159,510
67,199,510
67,201,510
67,202,510
67,203,510
67,210,510
67,219,510
67,296,1687
67,298,1687
67,300,1687
67,453,257
67,459,257
67,484,257
67,488,257
67,511,257
67,535,257
67,538,257
67,589,1616
68,134,1731
68,201,510
68,204,510
68,254,510
68,255,510
68,301,1687
68,463,257
68,483,257
68,511,257
68,519,257
68,534,257
68,562,257
69,124,1731
69,201,510
69,202,510
69,203,510
69,204,510
69,255,510
69,511,257
69,512,257
69,515,257
70,124,1731
70,176,510
70,177,510
70,202,510
70,204,510
70,226,510
70,227,510
70,244,510
70,305,1687
70,310,1687
70,456,257
70,481,257
70,537,257
70,554,257
70,555,257
70,626,1616
70,627,1616
71,118,1731
71,121,1731
71,176,510
71,179,510
71,202,510
71,203,510
71,205,510
71,304,1687
71,316,1687
71,455,257
71,457,257
71,564,257
71,636,1616
72,118,1731
72,119,1731
72,120,1731
72,121,1731
72,151,1731
72,173,510
72,174,510
72,177,510
72,240,510
72,243,510
72,270,1687
72,459,257
72,537,257
72,556,257
72,557,257
72,620,1616
72,633,1616
72,636,1616
73,119,1731
73,120,1731
73,121,1731
73,146,1731
73,172,510
73,173,510
73,175,510
73,188,510
73,189,510
73,192,510
73,193,510
73,216,510
73,326,1687
73,533,257
73,559,257
73,560,257
73,568,2357
73,617,1616
73,626,1616
73,629,1616
73,630,1616
74,121,1731
74,169,510
74,171,510
74,172,510
74,173,510
74,175,510
74,176,510
74,190,510
74,191,510
74,192,510
74,193,510
74,215,510
74,217,510
74,272,1687
74,296,1687
74,450,3715
74,453,3715
74,454,3715
74,455,3715
74,531,257
74,538,257
74,545,257
74,546,257
74,606,1616
74,620,1616
74,637,1616
75,118,1731
75,119,1731
75,126,1731
75,128,1731
75,169,510
75,170,510
75,171,510
75,172,510
75,173,510
75,189,510
75,190,510
75,191,510
75,192,510
75,193,510
75,194,510
75,195,510
75,216,510
75,217,510
75,272,1687
75,297,1687
75,462,257
75,485,257
75,490,257
75,535,257
75,541,257
75,545,257
75,570,2357
75,623,1616
75,629,1616
76,116,1731
76,117,1731
76,119,1731
76,127,1731
76,129,1731
76,130,1731
76,136,1731
76,159,1731
76,161,1731
76,167,510
76,168,510
76,169,510
76,170,510
76,172,510
76,173,510
76,188,510
76,189,510
76,191,510
76,192,510
76,193,510
76,195,510
76,196,510
76,197,510
76,265,1687
76,276,1687
76,282,1687
76,283,1687
76,310,1687
76,324,1687
76,459,3715
76,463,257
76,561,2357
76,595,1616
76,628,1616
76,630,1616
76,653,1616
77,117,1731
77,128,1731
77,129,1731
77,130,1731
77,131,1731
77,141,1731
77,167,510
77,168,510
77,170,510
77,172,510
77,187,510
77,188,510
77,189,510
77,190,510
77,191,510
77,192,510
77,193,510
77,194,510
77,196,510
77,197,510
77,233,510
77,265,1687
77,284,1687
77,309,1687
77,310,1687
77,330,1687
77,452,3715
77,457,3715
77,458,3715
77,465,257
77,537,257
77,542,257
77,551,257
77,561,2357
77,562,2357
77,623,1616
77,631,1616
78,117,1731
78,118,1731
78,119,1731
78,129,1731
78,130,1731
78,131,1731
78,132,1731
78,159,1731
78,162,1731
78,166,510
78,167,510
78,171,510
78,186,510
78,187,510
78,191,510
78,192,510
78,193,510
78,194,510
78,196,510
78,218,510
78,309,1687
78,310,1687
78,311,1687
78,312,1687
78,464,3715
78,468,257
78,510,257
78,511,257
78,515,257
78,529,257
78,531,257
78,532,257
78,534,257
78,536,257
78,565,2357
78,620,1616
78,622,1616
78,627,1616
78,639,1616
78,641,1616
78,642,1616
78,643,1616
78,644,1616
78,659,1616
79,108,1731
79,122,1731
79,130,1731
79,132,1731
79,166,510
79,167,510
79,188,510
79,191,510
79,192,510
79,194,510
79,195,510
79,196,510
79,197,510
79,198,510
79,199,510
79,204,510
79,218,510
79,220,510
79,221,510
79,229,510
79,263,1687
79,269,1687
79,310,1687
79,311,1687
79,312,1687
79,479,257
79,489,257
79,508,257
79,509,257
79,510,257
79,511,257
79,512,257
79,551,2357
79,564,2357
79,565,2357
79,567,2357
79,613,1616
79,618,1616
79,619,1616
79,620,1616
79,621,1616
79,622,1616
79,650,1616
79,651,1616
80,133,1731
80,166,510
80,189,510
80,190,510
80,191,510
80,195,510
80,196,510
80,200,510
80,203,510
80,204,510
80,239,510
80,268,1687
80,281,1687
80,311,1687
80,312,1687
80,459,3715
80,465,3715
80,479,257
80,492,257
80,514,257
80,545,257
80,551,2357
80,552,2357
80,553,2357
80,555,2357
80,556,2357
80,564,2357
80,567,2357
80,568,2357
80,610,1616
80,612,1616
80,613,1616
80,619,1616
80,621,1616
80,622,1616
80,630,1616
80,633,1616
80,638,1616
80,639,1616
80,641,1616
80,645,1616
81,110,1731
81,111,1731
81,134,1731
81,154,1731
81,189,510
81,190,510
81,199,510
81,200,510
81,202,510
81,217,510
81,318,1687
81,481,257
81,522,257
81,544,257
81,552,2357
81,553,2357
81,556,2357
81,561,2357
81,566,2357
81,567,2357
81,568,2357
81,610,1616
81,611,1616
81,612,1616
81,613,1616
81,614,1616
81,615,1616
81,627,1616
81,632,1616
81,633,1616
81,637,1616
81,640,1616
81,641,1616
81,642,1616
81,644,1616
81,645,1616
81,651,1616
81,652,1616
81,653,1616
81,655,1616
81,656,1616
81,657,1616
82,100,1731
82,132,1731
82,154,1731
82,200,510
82,201,510
82,202,510
82,203,510
82,258,1687
82,279,1687
82,300,1687
82,319,1687
82,455,3715
82,481,257
82,483,257
82,490,257
82,513,257
82,533,257
82,543,257
82,552,2357
82,555,2357
82,565,2357
82,566,2357
82,567,2357
82,568,2357
82,576,2357
82,593,1616
82,603,1616
82,608,1616
82,609,1616
82,610,1616
82,611,1616
82,612,1616
82,613,1616
82,614,1616
82,622,1616
82,631,1616
82,634,1616
82,636,1616
82,639,1616
82,641,1616
82,642,1616
82,643,1616
82,644,1616
82,645,1616
82,651,1616
82,654,1616
82,656,1616
82,664,1616
83,136,1731
83,137,1731
83,160,1731
83,198,510
83,200,510
83,203,510
83,204,510
83,206,510
83,267,1687
83,273,1687
83,284,1687
83,300,1687
83,301,1687
83,318,1687
83,319,1687
83,332,1687
83,335,1687
83,493,257
83,533,257
83,552,2357
83,553,2357
83,554,2357
83,567,2357
83,590,1616
83,592,1616
83,593,1616
83,599,1616
83,608,1616
83,617,1616
83,619,1616
83,621,1616
83,633,1616
83,635,1616
83,637,1616
83,645,1616
83,647,1616
83,648,1616
83,649,1616
83,650,1616
83,652,1616
83,654,1616
83,655,1616
84,100,1731
84,102,1731
84,117,1731
84,135,1731
84,137,1731
84,161,1731
84,167,510
84,188,510
84,189,510
84,199,510
84,204,510
84,260,1687
84,268,1687
84,319,1687
84,320,1687
84,335,1687
84,515,257
84,545,2357
84,567,2357
84,589,2357
84,596,1616
84,600,1616
84,601,1616
84,602,1616
84,615,1616
84,616,1616
84,619,1616
