"y","x","cluster_id"
10,74,288
11,75,288
13,78,288
13,101,312
14,73,288
15,100,312
15,103,312
16,102,312
16,103,312
17,73,288
20,78,288
23,78,288
25,70,288
26,36,197
26,72,288
30,81,288
31,76,288
32,29,197
32,30,197
33,27,197
33,28,197
33,34,197
33,85,288
34,36,197
35,36,197
35,42,197
36,35,197
36,40,197
36,41,197
36,42,197
36,43,197
36,44,197
37,18,197
37,40,197
37,41,197
37,42,197
37,45,197
37,46,197
38,41,197
38,42,197
39,42,197
39,43,197
40,12,197
40,19,197
40,46,197
40,47,197
41,10,197
41,30,197
41,44,197
41,47,197
41,48,197
41,53,288
41,59,288
41,61,288
41,66,288
41,67,288
42,13,197
42,26,197
42,28,197
42,29,197
42,30,197
42,31,197
42,54,288
42,55,288
42,61,288
42,65,288
42,66,288
42,70,288
42,88,288
43,26,197
43,27,197
43,28,197
43,29,197
43,30,197
43,31,197
43,32,197
43,33,197
43,35,197
43,36,197
43,54,288
43,55,288
43,56,288
43,66,288
43,67,288
43,74,288
44,26,197
44,28,197
44,29,197
44,30,197
44,31,197
44,32,197
44,34,197
44,35,197
44,47,197
44,55,288
44,56,288
44,66,288
44,67,288
44,71,288
44,73,288
44,74,288
45,15,197
45,16,197
45,21,197
45,28,197
45,29,197
45,30,197
45,37,197
45,40,197
45,42,197
45,43,197
45,44,197
45,49,197
45,62,288
45,66,288
45,67,288
45,73,288
45,74,288
46,8,197
46,11,197
46,12,197
46,23,197
46,24,197
46,26,197
46,27,197
46,28,197
46,42,197
46,43,197
46,72,288
46,73,288
46,74,288
46,75,288
46,87,288
47,11,197
47,12,197
47,13,197
47,14,197
47,15,197
47,18,197
47,19,197
47,26,197
47,28,197
47,43,197
47,44,197
47,48,197
47,72,288
47,73,288
47,74,288
47,75,288
47,76,288
47,85,288
47,92,312
48,13,197
48,14,197
48,19,197
48,25,197
48,26,197
48,27,197
48,28,197
48,51,288
48,53,288
48,72,288
48,73,288
48,75,288
48,92,312
48,93,312
49,10,197
49,16,197
49,17,197
49,27,197
49,28,197
49,29,197
49,75,288
49,76,288
49,77,288
49,93,312
49,94,312
50,26,197
50,28,197
50,50,288
50,53,288
50,55,288
50,56,288
50,57,288
50,69,288
50,75,288
50,76,288
50,94,312
50,95,312
50,96,312
50,98,312
50,99,312
51,24,197
51,27,197
51,28,197
51,29,197
51,30,197
51,38,197
51,44,197
51,48,197
51,50,288
51,51,288
51,52,288
51,53,288
51,56,288
51,57,288
51,58,288
51,69,288
51,76,288
51,77,288
51,78,288
51,95,312
51,96,312
51,99,312
51,100,312
52,8,197
52,9,197
52,24,197
52,26,197
52,27,197
52,28,197
52,29,197
52,30,197
52,42,197
52,44,197
52,59,288
52,76,288
52,77,288
52,78,288
52,79,288
52,96,312
52,97,312
52,99,312
52,100,312
52,101,312
52,102,312
52,103,312
52,105,312
53,26,197
53,27,197
53,28,197
53,49,197
53,58,288
53,77,288
53,78,288
53,79,288
53,80,288
53,81,288
53,99,312
53,102,312
53,103,312
53,104,312
53,105,312
54,22,197
54,24,197
54,25,197
54,26,197
54,30,197
54,31,197
54,36,197
54,37,197
54,39,197
54,47,197
54,48,197
54,49,197
54,58,288
54,68,288
54,79,288
54,80,288
54,82,288
54,102,312
54,104,312
54,105,312
54,106,312
54,107,312
54,108,312
55,24,197
55,26,197
55,27,197
55,28,197
55,34,197
55,35,197
55,37,197
55,38,197
55,39,197
55,48,197
55,49,197
55,69,288
55,83,288
55,84,288
55,86,288
55,103,312
55,105,312
55,106,312
55,107,312
55,108,312
55,109,312
56,26,197
56,27,197
56,28,197
56,34,197
56,35,197
56,36,197
56,37,197
56,39,197
56,45,197
56,46,197
56,65,288
56,83,288
56,106,312
56,107,312
56,108,312
56,109,312
56,110,312
57,26,197
57,27,197
57,32,197
57,37,197
57,38,197
57,39,197
57,46,197
57,48,197
57,49,197
57,66,288
57,107,312
57,108,312
57,109,312
58,21,197
58,23,197
58,26,197
58,27,197
58,32,197
58,38,197
58,46,197
58,47,197
58,50,651
58,61,288
58,77,288
58,110,312
59,21,197
59,22,197
59,25,197
59,26,197
59,27,197
59,31,197
59,32,197
59,34,197
59,50,651
59,51,651
59,61,288
59,110,312
60,20,197
60,21,197
60,25,197
60,31,197
60,40,197
60,41,197
60,42,197
60,46,651
60,51,651
60,63,288
61,18,625
61,21,197
61,30,197
61,36,197
61,38,197
61,39,197
61,52,651
61,65,288
61,115,312
61,121,312
62,18,625
62,19,625
62,20,625
62,21,625
62,36,197
62,37,197
62,45,651
62,73,288
62,117,312
63,18,625
63,19,625
63,20,625
63,24,625
63,33,197
63,37,197
63,38,197
63,41,651
63,49,651
63,61,288
63,69,288
63,73,288
63,115,312
63,122,312
64,17,625
64,18,625
64,19,625
64,23,625
64,26,625
64,27,197
64,31,197
64,34,197
64,40,651
64,46,651
64,52,651
64,73,288
64,111,312
64,114,312
64,115,312
64,123,312
64,125,312
64,126,312
64,127,312
65,17,625
65,19,625
65,23,625
65,27,625
65,28,625
65,32,197
65,33,197
65,46,651
65,51,651
65,53,651
65,114,312
65,115,312
66,17,625
66,18,625
66,19,625
66,20,625
66,21,625
66,27,625
66,32,625
66,34,197
66,35,197
66,36,197
66,46,651
66,52,651
66,53,651
66,54,651
66,57,651
66,114,312
66,115,312
67,17,625
67,18,625
67,19,625
67,20,625
67,22,625
67,23,625
67,30,625
67,31,625
67,32,625
67,35,625
67,36,651
67,42,651
67,43,651
67,45,651
67,46,651
67,47,651
67,53,651
67,54,651
67,57,651
67,58,651
67,59,651
67,60,651
67,61,288
67,66,288
67,68,288
67,77,288
67,128,312
68,18,625
68,19,625
68,20,625
68,21,625
68,23,625
68,34,625
68,36,651
68,39,651
68,41,651
68,43,651
68,45,651
68,46,651
68,48,651
68,53,651
68,54,651
68,55,651
68,56,651
68,60,651
68,61,651
68,76,288
69,18,625
69,20,625
69,22,625
69,38,651
69,40,651
69,41,651
69,45,651
69,49,651
69,59,651
69,60,651
69,61,651
69,62,651
69,69,288
69,87,288
70,17,625
70,18,625
70,19,625
70,20,625
70,22,625
70,24,625
70,40,651
70,41,651
70,42,651
70,43,651
70,47,651
70,49,651
70,50,651
70,52,651
70,68,288
70,69,288
70,70,288
70,71,288
70,74,288
70,76,288
70,111,312
70,112,312
70,117,312
70,118,312
70,138,312
71,17,625
71,23,625
71,24,625
71,41,651
71,42,651
71,43,651
71,44,651
71,46,651
71,66,288
71,67,288
71,68,288
71,69,288
71,70,288
